edge,score
input->a0.h0<v>,-0.012756348
input->a0.h1<q>,0.01574707
input->a0.h1<k>,0.027954102
input->a0.h1<v>,-0.041259766
input->a0.h2<q>,0.009399414
input->a0.h2<k>,0.03125
input->a0.h3<q>,0.00982666
input->a0.h3<v>,0.11767578
input->a0.h4<q>,0.012451172
input->a0.h4<k>,0.0154418945
input->a0.h4<v>,-0.016357422
input->a0.h5<q>,0.08251953
input->a0.h5<k>,0.056884766
input->a0.h6<q>,0.013916016
input->a0.h6<k>,-0.014770508
input->a0.h6<v>,0.13671875
input->a0.h7<q>,-0.068359375
input->a0.h7<k>,0.016845703
input->a0.h7<v>,0.064941406
input->a0.h8<k>,0.12060547
input->a0.h8<v>,-0.118652344
input->a0.h9<q>,0.033203125
input->a0.h9<k>,0.049072266
input->a0.h9<v>,0.053955078
input->a0.h10<q>,0.061767578
input->a0.h10<k>,0.012512207
input->a0.h10<v>,0.038330078
input->a0.h11<q>,0.01574707
input->a0.h11<v>,-0.16992188
input->m0,1.046875
a0.h1->m0,-0.032714844
a0.h2->m0,-0.023925781
a0.h3->m0,0.013427734
a0.h4->m0,0.029418945
a0.h5->m0,-0.012878418
a0.h6->m0,0.011657715
a0.h7->m0,-0.019042969
a0.h8->m0,-0.011230469
a0.h9->m0,0.014038086
input->a1.h10<q>,-0.012084961
m0->a1.h0<q>,-0.015258789
m0->a1.h1<k>,0.017333984
m0->a1.h2<v>,-0.041015625
m0->a1.h3<q>,0.010925293
m0->a1.h4<v>,0.01586914
m0->a1.h5<q>,-0.01361084
m0->a1.h5<v>,-0.014526367
m0->a1.h6<q>,0.01361084
m0->a1.h6<v>,0.0154418945
m0->a1.h7<k>,-0.017944336
m0->a1.h9<q>,0.01586914
m0->a1.h9<v>,-0.021606445
m0->a1.h10<k>,-0.021118164
m0->a1.h10<v>,0.027709961
m0->a1.h11<k>,-0.014160156
m0->a1.h11<v>,0.010864258
input->m1,0.0099487305
a0.h1->m1,0.012084961
m0->m1,0.26757812
m0->a2.h0<k>,-0.013061523
m0->a2.h0<v>,-0.012329102
m0->a2.h2<q>,0.025756836
m0->a2.h3<k>,-0.011474609
m0->a2.h3<v>,-0.018188477
m0->a2.h4<q>,-0.009765625
m0->a2.h4<v>,-0.014526367
m0->a2.h6<k>,0.010803223
m0->a2.h7<q>,0.008972168
m0->a2.h7<k>,-0.036865234
m0->a2.h7<v>,0.0115356445
m0->a2.h8<k>,0.009521484
m0->a2.h8<v>,0.012756348
m0->a2.h11<q>,-0.042236328
m1->a2.h2<k>,-0.009643555
m1->a2.h3<v>,-0.012329102
m1->a2.h4<q>,-0.010620117
m1->a2.h7<k>,-0.010559082
m1->a2.h11<q>,0.016113281
input->m2,-0.012268066
m0->m2,0.26367188
m1->m2,0.07080078
a2.h3->m2,-0.010009766
m0->a3.h0<k>,-0.013061523
m0->a3.h1<q>,0.025268555
m0->a3.h3<q>,-0.025878906
m0->a3.h4<q>,0.041503906
m0->a3.h4<k>,0.014038086
m0->a3.h5<k>,0.0115356445
m0->a3.h6<k>,-0.02355957
m0->a3.h7<k>,0.029785156
m0->a3.h7<v>,-0.016479492
m0->a3.h8<k>,-0.0095825195
m0->a3.h9<q>,-0.01574707
m0->a3.h9<k>,0.020629883
m0->a3.h9<v>,0.020629883
m0->a3.h10<q>,-0.0138549805
m0->a3.h10<v>,0.016113281
m0->a3.h11<k>,0.010070801
m1->a3.h4<q>,0.009033203
m1->a3.h7<k>,0.011779785
m1->a3.h8<k>,-0.015991211
m1->a3.h9<v>,0.010803223
m2->a3.h1<k>,0.011169434
m2->a3.h4<q>,0.010009766
m2->a3.h7<k>,-0.012207031
m2->a3.h8<v>,-0.014038086
m0->m3,0.0099487305
