edge,score
input->a0.h0<k>,0.030151367
input->a0.h0<v>,-0.076660156
input->a0.h1<v>,-0.048828125
input->a0.h3<v>,-0.045410156
input->a0.h4<q>,0.053955078
input->a0.h4<k>,0.038330078
input->a0.h4<v>,0.20507812
input->a0.h5<q>,0.044921875
input->a0.h5<k>,0.028930664
input->a0.h5<v>,0.079589844
input->a0.h6<v>,0.15039062
input->a0.h7<v>,0.051757812
input->a0.h8<v>,-0.14453125
input->a0.h9<q>,-0.052246094
input->a0.h9<k>,-0.10449219
input->a0.h9<v>,-0.13476562
input->a0.h10<q>,-0.035888672
input->a0.h10<k>,0.057617188
input->a0.h10<v>,-0.111816406
input->m0,1.0703125
a0.h0->m0,-0.08496094
a0.h1->m0,-0.21289062
a0.h4->m0,0.107421875
a0.h5->m0,0.040527344
a0.h6->m0,-0.07519531
a0.h7->m0,-0.08496094
a0.h8->m0,-0.068847656
a0.h9->m0,-0.027832031
a0.h10->m0,-0.040527344
a0.h11->m0,-0.123046875
input->a1.h11<v>,-0.03112793
m0->a1.h0<q>,-0.03491211
m0->a1.h0<v>,-0.18164062
m0->a1.h1<k>,0.03149414
m0->a1.h1<v>,0.079589844
m0->a1.h2<v>,-0.03466797
m0->a1.h3<k>,-0.068359375
m0->a1.h3<v>,0.07324219
m0->a1.h4<q>,0.029174805
m0->a1.h5<q>,-0.06982422
m0->a1.h5<k>,-0.056152344
m0->a1.h5<v>,-0.20214844
m0->a1.h6<v>,0.06982422
m0->a1.h8<v>,0.064453125
m0->a1.h9<q>,0.100097656
m0->a1.h10<v>,-0.08203125
m0->a1.h11<q>,-0.036621094
input->m1,0.053955078
a0.h1->m1,-0.036621094
m0->m1,2.46875
a1.h0->m1,0.028320312
a1.h1->m1,-0.030029297
m0->a2.h1<k>,-0.12695312
m0->a2.h2<q>,0.045654297
m0->a2.h2<v>,-0.07861328
m0->a2.h3<q>,0.051757812
m0->a2.h3<v>,-0.044677734
m0->a2.h5<v>,0.05834961
m0->a2.h6<k>,0.03955078
m0->a2.h7<k>,0.034423828
m0->a2.h7<v>,0.071777344
m0->a2.h8<v>,0.051513672
m0->a2.h9<q>,-0.046142578
m0->a2.h9<k>,-0.028564453
m0->a2.h10<k>,0.02734375
m0->a2.h10<v>,-0.056152344
m0->a2.h11<q>,0.044433594
m0->a2.h11<k>,-0.043701172
m0->a2.h11<v>,0.10644531
m1->a2.h1<q>,-0.03491211
m1->a2.h1<v>,-0.03112793
m1->a2.h2<v>,-0.07763672
m1->a2.h6<v>,0.10107422
m1->a2.h7<v>,0.03564453
m1->a2.h8<k>,-0.027954102
m1->a2.h11<q>,-0.099609375
m1->a2.h11<k>,-0.044921875
m1->a2.h11<v>,0.038330078
input->m2,-0.07470703
a0.h5->m2,-0.032714844
m0->m2,-0.060546875
a1.h1->m2,-0.05444336
m1->m2,0.31054688
a2.h10->m2,-0.038330078
m0->a3.h0<q>,0.05834961
m0->a3.h0<k>,0.037597656
m0->a3.h1<k>,0.07421875
m0->a3.h1<v>,0.0390625
m0->a3.h2<q>,0.05126953
m0->a3.h2<k>,-0.036376953
m0->a3.h3<q>,-0.034423828
m0->a3.h3<v>,-0.063964844
m0->a3.h8<q>,-0.04321289
m0->a3.h8<v>,0.06542969
m0->a3.h10<k>,0.030029297
m0->a3.h10<v>,0.031982422
m1->a3.h0<k>,0.03149414
m1->a3.h1<k>,0.04321289
m1->a3.h2<k>,0.11767578
m1->a3.h3<q>,-0.030639648
m1->a3.h3<k>,-0.034179688
m1->a3.h7<q>,0.02746582
m1->a3.h8<q>,0.034423828
m1->a3.h8<v>,0.07519531
m2->a3.h0<q>,-0.03515625
m2->a3.h0<k>,0.028808594
m2->a3.h2<v>,0.033691406
m2->a3.h3<v>,-0.027709961
m2->a3.h4<q>,0.040527344
m2->a3.h5<v>,-0.039794922
m2->a3.h8<v>,0.028076172
m0->m3,0.31640625
a1.h10->m3,-0.040283203
m1->m3,-0.47265625
a2.h3->m3,0.03149414
a2.h6->m3,0.03112793
a2.h9->m3,-0.030761719
a2.h10->m3,-0.043945312
m2->m3,-0.19238281
m0->a4.h4<q>,-0.064453125
m0->a4.h4<k>,-0.07861328
m0->a4.h6<q>,0.045410156
m0->a4.h6<k>,0.08496094
m0->a4.h7<v>,0.076171875
m0->a4.h10<q>,-0.038330078
m0->a4.h10<k>,-0.048095703
m0->a4.h11<v>,-0.02734375
m1->a4.h6<q>,0.068359375
m1->a4.h6<v>,0.028564453
m1->a4.h7<k>,-0.037109375
m2->a4.h4<q>,0.056884766
m2->a4.h4<k>,-0.028442383
m2->a4.h10<q>,-0.034179688
m3->a4.h4<q>,-0.063964844
m3->a4.h4<k>,-0.044677734
m3->a4.h7<v>,0.057128906
m3->a4.h11<v>,-0.06689453
a0.h5->m4,0.03125
m0->m4,0.06640625
m1->m4,0.045654297
a2.h3->m4,0.04663086
a2.h6->m4,-0.08544922
m2->m4,-0.17871094
a3.h2->m4,-0.042236328
m3->m4,-0.111816406
a4.h11->m4,0.123046875
m0->a5.h3<v>,0.028930664
m0->a5.h4<v>,-0.036376953
m0->a5.h8<k>,-0.076171875
m0->a5.h8<v>,0.037597656
m0->a5.h9<k>,-0.080566406
m0->a5.h10<v>,-0.04321289
m0->a5.h11<q>,0.11376953
m0->a5.h11<k>,0.033447266
m1->a5.h3<q>,0.051757812
m1->a5.h6<q>,-0.027954102
m1->a5.h8<k>,-0.078125
m1->a5.h11<q>,-0.064453125
m2->a5.h3<v>,0.034423828
m2->a5.h6<q>,-0.03149414
m2->a5.h9<q>,-0.10644531
m2->a5.h9<k>,0.030029297
m2->a5.h11<q>,0.11376953
