edge,score
input->a0.h0<v>,-0.06738281
input->a0.h2<v>,-0.017700195
input->a0.h3<k>,0.026123047
input->a0.h4<v>,-0.041259766
input->a0.h5<q>,0.05834961
input->a0.h6<v>,-0.080566406
input->a0.h7<v>,0.063964844
input->a0.h8<q>,0.020263672
input->a0.h8<k>,0.045654297
input->a0.h8<v>,0.038085938
input->a0.h9<q>,-0.022827148
input->a0.h9<v>,-0.034179688
input->a0.h10<q>,0.03515625
input->a0.h10<k>,0.030883789
input->a0.h10<v>,0.037597656
input->a0.h11<v>,-0.08642578
input->m0,0.578125
a0.h0->m0,-0.034423828
a0.h1->m0,0.048339844
a0.h2->m0,0.045410156
a0.h3->m0,-0.036865234
a0.h4->m0,0.053222656
a0.h5->m0,0.041992188
a0.h7->m0,-0.052490234
a0.h9->m0,0.10644531
a0.h10->m0,0.018676758
a0.h11->m0,0.05810547
m0->a1.h0<v>,-0.026611328
m0->a1.h1<q>,0.017944336
m0->a1.h1<v>,0.06225586
m0->a1.h3<v>,0.041992188
m0->a1.h4<v>,-0.021850586
m0->a1.h5<v>,-0.029785156
m0->a1.h6<v>,0.03125
m0->a1.h7<v>,-0.15625
m0->a1.h8<v>,0.032226562
m0->a1.h9<q>,0.05102539
m0->a1.h9<k>,0.01977539
m0->a1.h10<v>,-0.024536133
m0->a1.h11<q>,0.01977539
m0->a1.h11<k>,0.033447266
m0->a1.h11<v>,-0.027832031
input->m1,-0.023071289
a0.h8->m1,-0.02355957
a0.h9->m1,-0.017944336
m0->m1,0.7734375
a1.h11->m1,-0.021728516
m0->a2.h0<v>,0.026733398
m0->a2.h1<v>,-0.06225586
m0->a2.h3<v>,-0.031982422
m0->a2.h4<v>,0.028320312
m0->a2.h5<q>,0.034423828
m0->a2.h5<v>,-0.019042969
m0->a2.h6<v>,0.035888672
m0->a2.h7<k>,0.017944336
m0->a2.h9<v>,-0.018920898
m0->a2.h10<q>,-0.033203125
m0->a2.h10<v>,-0.049804688
m0->a2.h11<q>,0.025024414
m0->a2.h11<k>,-0.03564453
m0->a2.h11<v>,0.03173828
m1->a2.h0<v>,0.016601562
m1->a2.h5<v>,0.03466797
m1->a2.h6<v>,0.036132812
m1->a2.h7<v>,-0.023803711
m1->a2.h10<v>,-0.043945312
input->m2,-0.052490234
m0->m2,-0.024658203
a1.h1->m2,-0.030029297
a1.h6->m2,-0.017944336
a1.h7->m2,0.016723633
m1->m2,0.17773438
input->a3.h1<q>,0.018310547
m0->a3.h1<q>,0.06738281
m0->a3.h3<q>,0.026367188
m0->a3.h3<k>,-0.02331543
m0->a3.h5<q>,-0.028076172
m0->a3.h5<v>,-0.040283203
m0->a3.h6<k>,-0.015991211
m0->a3.h8<v>,-0.021240234
m0->a3.h9<v>,0.029418945
m0->a3.h11<v>,-0.024414062
m1->a3.h1<q>,-0.07519531
m1->a3.h1<k>,0.050048828
m1->a3.h2<q>,-0.017944336
m1->a3.h2<v>,0.019897461
m1->a3.h3<q>,-0.035888672
m1->a3.h5<q>,0.026855469
m1->a3.h5<v>,0.021972656
m1->a3.h11<v>,-0.01940918
m2->a3.h1<v>,-0.024658203
m2->a3.h2<v>,-0.034423828
m2->a3.h5<v>,-0.03857422
m2->a3.h8<v>,0.020019531
input->m3,-0.04321289
m0->m3,0.47265625
a1.h11->m3,-0.028564453
m1->m3,0.04321289
a2.h3->m3,0.030639648
a2.h6->m3,-0.017089844
a2.h7->m3,0.01586914
a2.h10->m3,-0.016357422
m2->m3,0.016357422
m0->a4.h4<k>,0.021850586
m0->a4.h4<v>,0.01586914
m0->a4.h5<q>,0.026977539
m0->a4.h6<q>,-0.061279297
m0->a4.h6<k>,0.044433594
m0->a4.h7<q>,-0.024536133
m0->a4.h7<v>,-0.022216797
m0->a4.h8<q>,-0.025268555
m0->a4.h8<v>,-0.019897461
m0->a4.h9<k>,-0.01940918
m0->a4.h9<v>,-0.053955078
m0->a4.h10<k>,-0.027709961
m0->a4.h10<v>,0.02722168
m1->a4.h2<q>,-0.029052734
m1->a4.h4<q>,0.021606445
m1->a4.h4<v>,-0.032470703
m1->a4.h5<q>,-0.038085938
m1->a4.h6<q>,0.037597656
m1->a4.h6<v>,0.021118164
m1->a4.h9<q>,-0.036132812
m2->a4.h0<v>,0.016113281
m2->a4.h2<v>,-0.0234375
m2->a4.h4<v>,-0.02746582
m2->a4.h8<q>,-0.026123047
m2->a4.h10<q>,0.017700195
m3->a4.h2<q>,-0.03881836
m3->a4.h2<k>,-0.01940918
m3->a4.h6<k>,0.016479492
m3->a4.h6<v>,-0.050048828
m3->a4.h7<v>,0.022338867
m3->a4.h8<q>,0.044921875
m3->a4.h8<v>,-0.05126953
m3->a4.h9<v>,0.030639648
m3->a4.h10<q>,-0.021972656
m0->m4,-0.19238281
m1->m4,0.06298828
m2->m4,0.10107422
m3->m4,0.22753906
m0->a5.h0<q>,-0.017822266
m0->a5.h2<v>,0.028076172
m0->a5.h3<q>,0.017456055
m0->a5.h3<v>,-0.024902344
m0->a5.h4<q>,0.025268555
m0->a5.h4<k>,-0.016601562
m0->a5.h7<q>,0.020751953
m0->a5.h8<q>,-0.04711914
m0->a5.h8<k>,0.015991211
m0->a5.h9<q>,0.02331543
m0->a5.h10<v>,-0.017944336
m0->a5.h11<q>,-0.026123047
m0->a5.h11<k>,0.03930664
m1->a5.h2<q>,-0.034423828
m1->a5.h3<q>,-0.027709961
m1->a5.h3<k>,0.022705078
m1->a5.h3<v>,0.043945312
m1->a5.h4<q>,-0.04345703
m1->a5.h4<v>,-0.016357422
m1->a5.h7<v>,-0.016601562
m1->a5.h8<q>,0.056884766
m1->a5.h9<k>,-0.019897461
m1->a5.h11<v>,0.02355957
m2->a5.h2<v>,-0.022216797
m2->a5.h3<v>,-0.041503906
m2->a5.h7<v>,0.020629883
m2->a5.h9<q>,0.043945312
m2->a5.h9<k>,-0.018676758
m2->a5.h10<q>,-0.018310547
m2->a5.h10<v>,0.020141602
m2->a5.h11<k>,0.016113281
m3->a5.h3<v>,0.033447266
m3->a5.h4<v>,-0.021728516
m3->a5.h8<q>,0.03540039
m3->a5.h8<k>,0.019165039
m3->a5.h9<q>,-0.05810547
m3->a5.h11<k>,0.016113281
m4->a5.h4<v>,-0.019042969
a0.h9->m5,0.016113281
m0->m5,0.059570312
a1.h6->m5,-0.016845703
a1.h11->m5,-0.017089844
a2.h10->m5,-0.018432617
m2->m5,0.06982422
m3->m5,-0.05883789
m4->m5,0.10888672
input->a6.h0<q>,0.017089844
m0->a6.h0<k>,-0.022705078
m0->a6.h0<v>,0.026977539
m0->a6.h1<q>,-0.017456055
m0->a6.h2<q>,-0.04248047
m0->a6.h2<v>,0.040527344
m0->a6.h3<v>,-0.04272461
m0->a6.h4<v>,-0.043945312
m0->a6.h5<v>,0.063964844
m0->a6.h7<v>,-0.029418945
m0->a6.h8<k>,0.016967773
m0->a6.h8<v>,-0.027832031
m0->a6.h10<q>,0.018188477
m0->a6.h11<q>,0.015991211
m1->a6.h0<q>,-0.096191406
m1->a6.h0<k>,0.053466797
m1->a6.h0<v>,0.020141602
m1->a6.h2<v>,0.021240234
m1->a6.h3<q>,-0.04321289
m1->a6.h3<v>,-0.017089844
m1->a6.h4<v>,0.034423828
m1->a6.h5<q>,0.017456055
m1->a6.h5<k>,-0.021118164
m1->a6.h6<v>,-0.018432617
m1->a6.h8<q>,0.027709961
m1->a6.h11<q>,-0.027709961
m2->a6.h0<q>,-0.032226562
m2->a6.h0<v>,-0.022949219
m2->a6.h2<q>,-0.017333984
m2->a6.h2<v>,-0.017944336
m2->a6.h3<v>,0.020019531
m2->a6.h4<q>,0.016723633
m2->a6.h4<v>,0.01940918
m2->a6.h8<v>,0.017333984
m2->a6.h10<q>,0.026611328
m3->a6.h0<q>,-0.05053711
m3->a6.h3<q>,-0.037109375
m3->a6.h4<q>,-0.037597656
m3->a6.h6<q>,-0.01965332
m3->a6.h10<q>,-0.040283203
m4->a6.h0<q>,-0.03515625
m4->a6.h3<q>,-0.019042969
m4->a6.h4<v>,-0.01953125
m5->a6.h0<q>,-0.021972656
m5->a6.h0<v>,-0.061035156
m5->a6.h3<q>,-0.01953125
m5->a6.h3<v>,-0.021606445
m5->a6.h4<q>,-0.022460938
m5->a6.h4<v>,-0.03491211
m5->a6.h5<v>,-0.036376953
m5->a6.h8<v>,-0.026855469
m5->a6.h10<q>,-0.018798828
input->m6,-0.025634766
a0.h0->m6,-0.016235352
a0.h1->m6,-0.016845703
m0->m6,0.40820312
a1.h1->m6,-0.015991211
a1.h7->m6,0.016113281
m1->m6,0.14355469
a2.h6->m6,-0.019042969
m2->m6,0.048828125
m3->m6,0.084472656
m4->m6,0.118652344
m5->m6,0.07421875
m0->a7.h3<q>,-0.032470703
m0->a7.h3<k>,0.025024414
m0->a7.h8<q>,0.021728516
m0->a7.h9<q>,0.037109375
m1->a7.h0<q>,0.026367188
m1->a7.h3<q>,0.04711914
m1->a7.h3<k>,-0.021728516
m1->a7.h4<v>,0.03540039
m1->a7.h8<q>,-0.037353516
m1->a7.h9<q>,-0.032226562
m1->a7.h9<k>,0.01928711
m3->a7.h3<q>,0.026855469
m3->a7.h9<q>,-0.015991211
m4->a7.h4<v>,-0.020751953
m5->a7.h3<q>,0.017456055
m5->a7.h3<v>,-0.025512695
m6->a7.h6<v>,0.048828125
input->m7,-0.030151367
m0->m7,-0.07324219
a1.h1->m7,0.022827148
m1->m7,0.03112793
m2->m7,-0.038330078
m3->m7,0.045410156
m4->m7,0.026733398
m5->m7,0.017700195
m0->a8.h0<q>,0.018798828
m0->a8.h1<v>,-0.016845703
m0->a8.h2<v>,-0.05883789
m1->a8.h0<q>,-0.018554688
m1->a8.h2<q>,0.017700195
m1->a8.h2<v>,0.032226562
m2->a8.h0<q>,0.018798828
m2->a8.h10<v>,-0.01940918
m3->a8.h2<q>,0.034423828
m4->a8.h2<v>,-0.020629883
m5->a8.h2<q>,0.02746582
m5->a8.h2<v>,-0.024902344
m6->a8.h2<v>,-0.040283203
m6->a8.h10<v>,-0.016113281
m7->a8.h2<q>,0.027709961
m7->a8.h2<v>,-0.061523438
m7->a8.h5<v>,0.017089844
input->m8,-0.059326172
a0.h11->m8,-0.01940918
m0->m8,-0.30078125
m1->m8,-0.17285156
m2->m8,-0.056640625
m3->m8,-0.14257812
a4.h7->m8,-0.021240234
m4->m8,-0.09326172
m5->m8,-0.09765625
m6->m8,-0.07519531
m7->m8,0.049316406
m0->a9.h3<v>,-0.021850586
m0->a9.h4<k>,-0.018676758
m0->a9.h4<v>,0.021606445
m1->a9.h5<q>,-0.01965332
input->m9,-0.071777344
a0.h11->m9,0.017578125
m0->m9,0.19921875
a1.h0->m9,-0.017456055
a1.h1->m9,-0.028076172
m1->m9,-0.018554688
m2->m9,-0.033447266
m3->m9,0.06640625
m4->m9,-0.034423828
m5->m9,-0.052490234
m7->m9,0.03491211
m8->m9,0.20410156
input->a10.h5<q>,-0.025512695
m0->a10.h5<q>,-0.063964844
m0->a10.h5<k>,0.029418945
m0->a10.h9<q>,-0.024658203
m0->a10.h9<v>,-0.01586914
m1->a10.h5<q>,0.08984375
m1->a10.h5<k>,-0.022216797
m1->a10.h9<q>,0.029785156
m2->a10.h5<q>,0.018920898
m3->a10.h5<q>,0.028564453
m3->a10.h5<k>,0.017089844
m4->a10.h5<q>,0.024902344
m5->a10.h5<q>,0.043701172
m6->a10.h4<k>,-0.017211914
m7->a10.h9<v>,-0.01928711
m8->a10.h5<q>,-0.018432617
input->m10,-0.033203125
m0->m10,-0.51953125
m1->m10,-0.020629883
a2.h3->m10,0.015991211
m2->m10,-0.1328125
m3->m10,-0.16601562
a4.h11->m10,0.0234375
m4->m10,-0.23339844
m5->m10,-0.119140625
m6->m10,-0.22167969
m7->m10,-0.21777344
m8->m10,-0.18457031
m9->m10,-0.27734375
m0->a11.h0<q>,-0.021240234
m0->a11.h8<v>,0.049072266
m0->a11.h11<v>,0.016723633
m2->a11.h0<v>,0.020751953
m3->a11.h8<v>,0.028930664
m6->a11.h0<q>,0.018432617
m6->a11.h0<v>,0.033691406
