edge,score
input->a0.h14<k>,-0.1796875
m1->a2.h0<k>,0.20214844
m1->a2.h1<q>,-0.32226562
m1->a2.h2<k>,-0.21777344
m1->a2.h3<q>,0.421875
m1->a2.h7<q>,-0.24121094
m1->a2.h8<q>,-0.37304688
m1->a2.h8<k>,0.8359375
m1->a2.h9<q>,-0.578125
m1->a2.h9<k>,-1.0625
m1->a2.h11<k>,-2.171875
m1->a2.h12<q>,-0.32421875
m1->a2.h12<k>,0.34179688
m1->a2.h13<k>,-0.390625
m1->a2.h15<q>,2.484375
m1->a2.h15<k>,-0.32226562
m1->a2.h16<q>,-0.96875
m1->a2.h16<k>,0.7265625
m1->a2.h17<k>,-1.3125
m1->a2.h18<k>,1.2265625
m1->a2.h20<k>,-0.83984375
m1->a2.h21<q>,1.4296875
m1->a2.h21<k>,-4.21875
m1->a2.h22<q>,0.6015625
m1->a2.h22<k>,-0.21289062
m1->a2.h23<q>,2.125
m1->a2.h23<k>,-0.57421875
m1->a2.h24<k>,-0.94140625
m1->a2.h25<q>,0.53125
m1->a2.h25<k>,0.41992188
m1->a2.h26<q>,-0.27148438
m1->a2.h26<k>,-0.19921875
m1->a2.h27<q>,0.22363281
m1->a2.h27<k>,0.45507812
m1->a2.h28<k>,0.19238281
m1->a2.h29<q>,0.7890625
m1->a2.h29<k>,-1.8828125
m1->a2.h30<k>,-2.546875
m1->a2.h31<k>,-0.3359375
m1->m2,10.375
m1->a3.h0<q>,0.8515625
m1->a3.h1<k>,-0.41210938
m1->a3.h2<q>,-0.60546875
m1->a3.h2<k>,0.37695312
m1->a3.h3<k>,0.18847656
m1->a3.h6<q>,-0.828125
m1->a3.h6<k>,-0.4375
m1->a3.h8<q>,-0.73828125
m1->a3.h8<k>,-0.40820312
m1->a3.h9<q>,0.19042969
m1->a3.h9<k>,0.24707031
m1->a3.h11<q>,0.25976562
m1->a3.h12<q>,-0.5546875
m1->a3.h12<k>,0.38671875
m1->a3.h13<q>,0.6484375
m1->a3.h13<k>,-0.421875
m1->a3.h14<q>,-0.30078125
m1->a3.h15<q>,-0.4921875
m1->a3.h16<q>,-1.140625
m1->a3.h16<k>,-0.23730469
m1->a3.h17<q>,-5.90625
m1->a3.h17<k>,0.953125
m1->a3.h18<q>,-0.23046875
m1->a3.h19<q>,-0.75390625
m1->a3.h19<k>,0.4609375
m1->a3.h20<q>,-0.80078125
m1->a3.h20<k>,0.24707031
m1->a3.h21<q>,-1.7421875
m1->a3.h21<k>,0.27929688
m1->a3.h22<q>,-1.5625
m1->a3.h22<k>,0.890625
m1->a3.h23<k>,-1.3125
m1->a3.h25<q>,0.26171875
m1->a3.h25<k>,0.31445312
m1->a3.h26<k>,-0.49023438
m1->a3.h27<q>,-0.44921875
m1->a3.h27<k>,0.32226562
m1->a3.h28<k>,-0.40039062
m1->a3.h30<q>,-0.546875
m1->a3.h30<k>,-0.33789062
m1->a3.h31<q>,0.24609375
m1->m3,-0.69921875
m1->a4.h0<q>,0.87890625
m1->a4.h0<k>,0.73828125
m1->a4.h1<q>,0.59375
m1->a4.h1<k>,-1.0625
m1->a4.h2<q>,-0.98828125
m1->a4.h2<k>,-1.0546875
m1->a4.h3<q>,0.25195312
m1->a4.h4<q>,-1.53125
m1->a4.h4<k>,0.20214844
m1->a4.h5<q>,-1.421875
m1->a4.h5<k>,-1.6875
m1->a4.h6<q>,0.6171875
m1->a4.h7<q>,-0.65625
m1->a4.h7<k>,0.359375
m1->a4.h8<q>,-0.31835938
m1->a4.h8<k>,0.18164062
m1->a4.h9<q>,-2.1875
m1->a4.h9<k>,-0.33007812
m1->a4.h10<q>,0.265625
m1->a4.h11<q>,1.34375
m1->a4.h12<q>,0.25390625
m1->a4.h12<k>,-0.29296875
m1->a4.h13<q>,0.41992188
m1->a4.h15<q>,0.83984375
m1->a4.h16<q>,-0.734375
m1->a4.h17<q>,-0.23535156
m1->a4.h17<k>,-0.31445312
m1->a4.h19<q>,1.265625
m1->a4.h20<q>,-0.78125
m1->a4.h20<k>,1.5234375
m1->a4.h21<q>,-1.140625
m1->a4.h21<k>,-0.36914062
m1->a4.h22<q>,-0.765625
m1->a4.h22<k>,-0.42578125
m1->a4.h23<q>,1.71875
m1->a4.h23<k>,0.20703125
m1->a4.h24<q>,0.21582031
m1->a4.h25<q>,0.23339844
m1->a4.h26<q>,3.015625
m1->a4.h26<k>,-2.40625
m1->a4.h27<q>,-0.734375
m1->a4.h27<k>,-0.43945312
m1->a4.h28<q>,1.5625
m1->a4.h29<q>,0.41992188
m1->a4.h30<q>,1.5390625
m1->m4,-2.203125
m1->a5.h0<q>,0.94921875
m1->a5.h0<k>,0.20214844
m1->a5.h1<q>,-0.20703125
m1->a5.h2<q>,0.31054688
m1->a5.h2<k>,-0.3046875
m1->a5.h4<q>,1.1328125
m1->a5.h4<k>,-0.5234375
m1->a5.h5<q>,-1.0703125
m1->a5.h5<k>,0.83984375
m1->a5.h6<q>,0.24023438
m1->a5.h6<k>,-0.76171875
m1->a5.h7<k>,-0.19628906
m1->a5.h8<q>,-1.3828125
m1->a5.h9<q>,0.35546875
m1->a5.h11<q>,-0.98828125
m1->a5.h12<q>,-0.98828125
m1->a5.h13<q>,-0.36914062
m1->a5.h13<k>,0.4140625
m1->a5.h14<q>,1.1328125
m1->a5.h16<q>,-0.3359375
m1->a5.h16<k>,-0.19335938
m1->a5.h17<k>,-0.4296875
m1->a5.h18<q>,0.27539062
m1->a5.h19<q>,0.66015625
m1->a5.h21<k>,-0.23730469
m1->a5.h22<q>,0.6015625
m1->a5.h22<k>,-0.2734375
m1->a5.h23<q>,0.18261719
m1->a5.h24<q>,1.453125
m1->a5.h27<k>,-0.53125
