edge,score
input->m0,-0.12597656
m0->m1,-0.09765625
m1->a2.h0<k>,-0.29492188
m1->a2.h2<k>,-0.11669922
m1->a2.h3<q>,-0.06738281
m1->a2.h4<k>,0.063964844
m1->a2.h5<q>,0.16992188
m1->a2.h5<k>,0.061279297
m1->a2.h10<q>,0.13085938
m1->a2.h10<k>,-0.0625
m1->a2.h11<q>,-0.71875
m1->a2.h11<k>,0.08203125
m1->a2.h12<k>,0.092285156
m1->a2.h14<q>,-0.07080078
m1->a2.h15<q>,0.55859375
m1->a2.h16<q>,-0.27539062
m1->a2.h16<k>,0.109375
m1->a2.h17<k>,-0.33203125
m1->a2.h18<k>,-0.1484375
m1->a2.h19<q>,0.46484375
m1->a2.h20<q>,-0.103515625
m1->a2.h21<k>,0.12011719
m1->a2.h22<q>,0.12890625
m1->a2.h23<q>,0.39453125
m1->a2.h23<k>,0.23046875
m1->a2.h24<k>,-0.068847656
m1->a2.h25<q>,0.10644531
m1->a2.h29<q>,-0.15625
m1->a2.h29<k>,-0.1484375
m1->a2.h30<q>,-0.24511719
m1->a2.h30<k>,0.15332031
m1->a2.h31<k>,-0.09667969
m1->a3.h0<q>,-0.47070312
m1->a3.h0<k>,0.27929688
m1->a3.h2<q>,-0.061767578
m1->a3.h3<q>,0.08105469
m1->a3.h4<q>,-0.23730469
m1->a3.h6<q>,0.375
m1->a3.h6<k>,-0.0703125
m1->a3.h8<q>,-0.115722656
m1->a3.h9<q>,-0.5234375
m1->a3.h9<k>,0.17578125
m1->a3.h10<k>,0.13671875
m1->a3.h11<q>,0.4609375
m1->a3.h13<q>,-0.30273438
m1->a3.h13<k>,0.14941406
m1->a3.h14<q>,-0.103027344
m1->a3.h15<q>,0.060302734
m1->a3.h15<k>,0.06640625
m1->a3.h16<q>,-0.118652344
m1->a3.h19<q>,0.13964844
m1->a3.h21<q>,-0.25195312
m1->a3.h21<k>,0.068359375
m1->a3.h23<q>,0.08544922
m1->a3.h24<k>,0.09375
m1->a3.h25<q>,-0.38476562
m1->a3.h25<k>,0.063964844
m1->a3.h27<q>,-0.09326172
m1->a3.h28<k>,-0.26953125
m1->a3.h30<q>,-0.76171875
m1->a3.h30<k>,0.11669922
m1->m3,-1.09375
m2->m3,-0.06298828
m1->a4.h0<q>,0.21484375
m1->a4.h1<q>,-0.31445312
m1->a4.h4<q>,0.10058594
m1->a4.h4<k>,-0.12695312
m1->a4.h5<q>,-0.5625
m1->a4.h5<k>,-0.15234375
m1->a4.h6<k>,-0.20898438
m1->a4.h7<q>,0.13378906
m1->a4.h7<k>,-0.21582031
m1->a4.h9<k>,0.076660156
m1->a4.h10<q>,-0.27929688
m1->a4.h10<k>,0.22265625
m1->a4.h13<q>,-0.075683594
m1->a4.h13<k>,0.10546875
m1->a4.h14<q>,0.072265625
m1->a4.h16<k>,-0.21972656
m1->a4.h17<q>,-0.81640625
m1->a4.h18<q>,-0.33203125
m1->a4.h19<q>,-0.064941406
m1->a4.h21<q>,-0.076171875
m1->a4.h21<k>,0.107421875
m1->a4.h22<k>,-0.15234375
m1->a4.h23<q>,-0.17773438
m1->a4.h23<k>,0.056884766
m1->a4.h24<q>,0.2265625
m1->a4.h26<q>,-0.10253906
m1->a4.h27<q>,0.74609375
m1->a4.h28<q>,-0.125
m1->a4.h29<q>,-0.31445312
m1->a4.h30<q>,-0.25195312
m1->m4,-0.38085938
m1->a5.h0<q>,0.453125
m1->a5.h0<k>,-0.17382812
m1->a5.h1<q>,0.22753906
m1->a5.h2<q>,0.060302734
m1->a5.h4<q>,0.1796875
m1->a5.h6<q>,0.75
m1->a5.h6<k>,-0.30664062
m1->a5.h7<q>,-0.06640625
m1->a5.h7<k>,0.15917969
m1->a5.h8<q>,0.31640625
m1->a5.h8<k>,-0.084472656
m1->a5.h10<q>,0.07910156
m1->a5.h12<q>,0.18847656
m1->a5.h12<k>,-0.059326172
m1->a5.h13<q>,-0.079589844
m1->a5.h13<k>,0.078125
m1->a5.h14<q>,0.13085938
m1->a5.h16<q>,-0.12695312
m1->a5.h16<k>,0.08300781
m1->a5.h17<q>,0.22460938
m1->a5.h19<q>,0.3046875
m1->a5.h21<q>,0.08251953
m1->a5.h21<k>,-0.14355469
m1->a5.h22<q>,-0.34960938
m1->a5.h23<k>,-0.06542969
m1->a5.h28<q>,0.07763672
m1->a5.h28<k>,-0.08496094
m1->a5.h30<q>,0.25585938
m1->a5.h31<q>,0.107421875
m1->a5.h31<k>,-0.068359375
m1->m5,-0.3046875
m1->a6.h0<k>,-0.087890625
m1->a6.h1<q>,-0.076171875
m1->a6.h4<q>,-0.20410156
m1->a6.h5<q>,-0.08984375
m1->a6.h6<q>,0.16992188
m1->a6.h8<q>,-0.28710938
m1->a6.h10<q>,0.08642578
m1->a6.h10<k>,-0.072265625
m1->a6.h11<k>,-0.080566406
m1->a6.h13<q>,0.103027344
m1->a6.h14<q>,0.15722656
