edge,score
input->m0,-0.057617188
m1->a2.h0<q>,0.31054688
m1->a2.h0<k>,-0.34570312
m1->a2.h1<q>,-0.055664062
m1->a2.h1<k>,-0.09082031
m1->a2.h2<k>,0.14648438
m1->a2.h3<q>,-0.13964844
m1->a2.h3<k>,-0.123046875
m1->a2.h5<q>,-0.12792969
m1->a2.h5<k>,0.06591797
m1->a2.h7<q>,0.048339844
m1->a2.h8<k>,-0.07519531
m1->a2.h10<q>,0.09667969
m1->a2.h11<q>,0.734375
m1->a2.h12<q>,-0.092285156
m1->a2.h13<q>,-0.42578125
m1->a2.h13<k>,0.40234375
m1->a2.h15<q>,1.0078125
m1->a2.h15<k>,-0.064453125
m1->a2.h16<q>,-0.12695312
m1->a2.h16<k>,0.42773438
m1->a2.h17<k>,0.068847656
m1->a2.h18<k>,0.12890625
m1->a2.h19<q>,-0.08496094
m1->a2.h19<k>,0.08300781
m1->a2.h20<q>,-0.17285156
m1->a2.h20<k>,0.1328125
m1->a2.h21<k>,0.048339844
m1->a2.h22<q>,-0.625
m1->a2.h22<k>,-0.21289062
m1->a2.h23<q>,-0.41210938
m1->a2.h23<k>,0.23730469
m1->a2.h24<q>,-0.29101562
m1->a2.h25<q>,0.30078125
m1->a2.h25<k>,-0.063964844
m1->a2.h27<q>,-0.107421875
m1->a2.h27<k>,0.265625
m1->a2.h28<q>,0.17089844
m1->a2.h29<q>,-0.40820312
m1->a2.h29<k>,0.296875
m1->a2.h30<k>,-0.24902344
m1->a2.h31<q>,-0.16894531
m1->m2,-1.7890625
m1->a3.h0<k>,0.059326172
m1->a3.h2<k>,0.057617188
m1->a3.h3<q>,0.15332031
m1->a3.h3<k>,-0.08203125
m1->a3.h4<k>,0.100097656
m1->a3.h6<q>,0.068847656
m1->a3.h6<k>,0.36328125
m1->a3.h8<k>,-0.08984375
m1->a3.h10<k>,0.08935547
m1->a3.h11<q>,-0.2109375
m1->a3.h12<q>,-0.07714844
m1->a3.h14<q>,0.06591797
m1->a3.h15<q>,0.57421875
m1->a3.h16<q>,0.33203125
m1->a3.h17<k>,-0.18261719
m1->a3.h19<q>,0.10546875
m1->a3.h20<q>,0.15625
m1->a3.h20<k>,-0.068847656
m1->a3.h21<q>,0.48828125
m1->a3.h21<k>,-0.2265625
m1->a3.h22<q>,0.052246094
m1->a3.h22<k>,-0.20214844
m1->a3.h23<q>,0.048828125
m1->a3.h23<k>,-0.16796875
m1->a3.h25<q>,0.33984375
m1->a3.h25<k>,0.29296875
m1->a3.h26<k>,-0.7109375
m1->a3.h26<v>,0.07324219
m1->a3.h27<q>,-0.05053711
