edge,score
input->a0.h0<k>,-0.039794922
input->a0.h1<v>,-0.10644531
input->a0.h3<k>,0.1640625
input->a0.h3<v>,-0.030273438
input->a0.h4<q>,-0.045410156
input->a0.h4<v>,0.07080078
input->a0.h5<v>,-0.03955078
input->a0.h6<v>,-0.032470703
input->a0.h8<k>,0.071777344
input->a0.h9<q>,-0.041503906
input->a0.h9<k>,-0.099609375
input->a0.h10<k>,0.03930664
input->a0.h11<v>,0.038085938
input->a0.h12<k>,0.08300781
input->a0.h13<q>,-0.03930664
input->a0.h14<q>,-0.040283203
input->a0.h15<q>,-0.052734375
input->a0.h15<k>,0.031982422
input->a0.h15<v>,-0.13085938
input->a0.h18<v>,-0.03466797
input->a0.h21<q>,-0.0703125
input->a0.h21<k>,0.035888672
input->a0.h21<v>,0.37695312
input->a0.h22<q>,-0.09814453
input->a0.h22<k>,0.39453125
input->a0.h22<v>,-0.17578125
input->a0.h23<q>,-0.038330078
input->a0.h25<q>,-0.02722168
input->a0.h25<k>,0.05126953
input->a0.h25<v>,-0.1328125
input->a0.h26<v>,0.07470703
input->a0.h28<v>,-0.04345703
input->a0.h29<k>,0.034423828
input->a0.h31<q>,-0.02722168
input->a0.h31<v>,-0.034423828
input->m0,-0.4296875
a0.h4->m0,-0.025268555
a0.h5->m0,-0.033935547
a0.h15->m0,0.032958984
a0.h19->m0,0.033447266
a0.h25->m0,0.030517578
input->a1.h11<v>,-0.028564453
input->a1.h14<v>,-0.024658203
input->a1.h18<q>,0.032958984
input->a1.h22<q>,0.029785156
input->a1.h22<v>,-0.029052734
input->a1.h23<v>,0.026245117
input->a1.h26<v>,-0.029663086
m0->a1.h1<q>,-0.045654297
m0->a1.h1<v>,0.025512695
m0->a1.h4<q>,-0.03564453
m0->a1.h7<v>,-0.031982422
m0->a1.h8<q>,-0.071777344
m0->a1.h8<k>,0.032714844
m0->a1.h8<v>,-0.36328125
m0->a1.h11<v>,0.31445312
m0->a1.h12<v>,-0.025146484
m0->a1.h14<q>,0.036132812
m0->a1.h14<v>,0.09667969
m0->a1.h15<q>,-0.06298828
m0->a1.h17<v>,0.084472656
m0->a1.h18<q>,0.08544922
m0->a1.h22<q>,0.061279297
m0->a1.h22<k>,-0.07373047
m0->a1.h22<v>,-0.029418945
m0->a1.h24<q>,0.04345703
m0->a1.h26<q>,0.025268555
input->m1,-0.12597656
a0.h1->m1,0.033447266
a0.h12->m1,0.025146484
a0.h15->m1,0.02722168
a0.h30->m1,0.02734375
a1.h8->m1,0.025634766
a1.h11->m1,0.045898438
a1.h30->m1,-0.024169922
m0->a2.h5<k>,-0.030883789
m0->a2.h17<q>,0.04321289
m1->a2.h0<q>,0.039794922
m1->a2.h1<q>,0.035888672
m1->a2.h7<q>,0.13769531
m1->a2.h7<k>,-0.028564453
m1->a2.h8<q>,0.036132812
m1->a2.h10<q>,0.06542969
m1->a2.h10<k>,-0.03881836
m1->a2.h11<q>,0.05126953
m1->a2.h12<k>,0.034423828
m1->a2.h15<q>,0.19238281
m1->a2.h15<k>,-0.040527344
m1->a2.h17<q>,0.039794922
m1->a2.h18<k>,-0.037109375
m1->a2.h21<k>,-0.028320312
m1->a2.h22<q>,0.05883789
m1->a2.h22<k>,0.030029297
m1->a2.h23<q>,-0.14746094
m1->a2.h23<k>,-0.060546875
m1->a2.h24<q>,0.029663086
m1->a2.h26<q>,0.027709961
m1->a2.h27<q>,0.17480469
m1->a2.h27<v>,0.024169922
m1->a2.h28<q>,-0.031982422
m1->a2.h29<q>,0.049316406
m1->a2.h29<v>,-0.068359375
m1->a2.h30<q>,0.072753906
m1->a2.h30<k>,-0.076660156
m1->a2.h31<q>,-0.052734375
a0.h15->m2,-0.044677734
m0->m2,-0.044433594
a1.h0->m2,0.026245117
a1.h8->m2,-0.029663086
a1.h27->m2,-0.029663086
a2.h1->m2,0.030151367
a2.h5->m2,-0.0390625
m1->a3.h2<q>,-0.037109375
m1->a3.h3<q>,-0.072753906
m1->a3.h6<q>,0.024414062
m1->a3.h8<q>,0.025512695
m1->a3.h9<q>,-0.025512695
m1->a3.h10<q>,-0.12207031
m1->a3.h10<k>,0.044921875
m1->a3.h11<q>,-0.034423828
m1->a3.h12<k>,-0.0390625
m1->a3.h13<q>,0.05908203
m1->a3.h15<q>,-0.045410156
m1->a3.h16<q>,0.07128906
m1->a3.h17<q>,-0.09375
m1->a3.h19<q>,0.025756836
m1->a3.h21<q>,-0.031982422
m1->a3.h22<q>,-0.040283203
m1->a3.h23<q>,0.040527344
m1->a3.h24<q>,0.027954102
m1->a3.h28<q>,0.043701172
m1->a3.h29<q>,-0.10986328
m1->a3.h31<k>,-0.036621094
m2->a3.h29<q>,-0.029418945
input->m3,0.024169922
a1.h0->m3,-0.035888672
a1.h24->m3,0.028076172
m1->m3,0.060546875
m2->m3,0.033203125
