edge,score
input->a0.h9<k>,-0.076171875
input->m0,-0.084472656
m1->a2.h0<q>,0.43164062
m1->a2.h0<k>,-1.1484375
m1->a2.h1<k>,0.053710938
m1->a2.h2<k>,-0.47460938
m1->a2.h4<k>,0.15625
m1->a2.h5<q>,-0.22265625
m1->a2.h5<k>,0.31445312
m1->a2.h6<q>,-0.11376953
m1->a2.h7<q>,-0.17089844
m1->a2.h8<q>,0.14160156
m1->a2.h9<k>,-0.07470703
m1->a2.h10<q>,-0.103515625
m1->a2.h11<q>,-0.64453125
m1->a2.h12<k>,0.08886719
m1->a2.h13<k>,-0.103027344
m1->a2.h14<q>,-0.044433594
m1->a2.h16<q>,0.08691406
m1->a2.h17<k>,-0.21289062
m1->a2.h17<v>,-0.044677734
m1->a2.h18<k>,-0.390625
m1->a2.h19<q>,0.38085938
m1->a2.h20<k>,0.13867188
m1->a2.h21<q>,-0.064453125
m1->a2.h21<k>,0.06298828
m1->a2.h22<q>,0.41796875
m1->a2.h23<q>,0.32226562
m1->a2.h23<k>,0.107910156
m1->a2.h24<q>,0.06225586
m1->a2.h24<k>,-0.4765625
m1->a2.h25<q>,-0.05883789
m1->a2.h26<q>,0.10888672
m1->a2.h27<q>,0.27929688
m1->a2.h30<q>,-0.17285156
m1->a2.h30<k>,-0.12792969
m1->a2.h31<k>,0.050048828
m1->m2,0.23730469
m1->a3.h0<q>,-0.33984375
m1->a3.h0<k>,0.15039062
m1->a3.h2<q>,-0.20898438
m1->a3.h2<k>,0.23828125
m1->a3.h3<q>,-0.072753906
m1->a3.h3<k>,-0.079589844
m1->a3.h6<q>,0.265625
m1->a3.h6<k>,-0.16601562
m1->a3.h7<q>,-0.08203125
m1->a3.h9<q>,-0.20898438
m1->a3.h9<k>,0.1640625
m1->a3.h10<k>,0.07324219
m1->a3.h11<q>,0.071777344
m1->a3.h13<q>,-0.265625
m1->a3.h13<k>,0.061279297
m1->a3.h14<k>,-0.047851562
m1->a3.h15<q>,-0.08203125
m1->a3.h15<k>,-0.07714844
m1->a3.h16<k>,-0.045654297
m1->a3.h17<k>,0.080566406
m1->a3.h19<q>,0.22363281
m1->a3.h19<k>,-0.20996094
m1->a3.h20<q>,0.20117188
m1->a3.h20<k>,0.05126953
m1->a3.h21<q>,-0.11621094
m1->a3.h22<q>,0.08251953
m1->a3.h24<q>,-0.09375
m1->a3.h24<k>,0.095703125
m1->a3.h25<q>,-0.23535156
m1->a3.h28<q>,-0.045410156
m1->a3.h28<k>,-0.21289062
m1->a3.h30<q>,-0.58203125
m1->a3.h30<k>,0.115722656
m1->a3.h31<q>,0.064941406
m1->m3,-0.38671875
m1->a4.h0<q>,0.096191406
m1->a4.h1<q>,-0.27539062
m1->a4.h1<k>,0.08105469
m1->a4.h2<q>,-0.23242188
m1->a4.h3<k>,-0.087402344
m1->a4.h4<q>,-0.05834961
m1->a4.h4<k>,-0.13476562
m1->a4.h5<q>,-0.26953125
m1->a4.h5<k>,-0.084472656
m1->a4.h6<q>,0.4453125
m1->a4.h6<k>,-0.2265625
m1->a4.h7<q>,-0.27929688
m1->a4.h10<q>,0.09423828
m1->a4.h10<k>,-0.08496094
m1->a4.h11<q>,0.08203125
m1->a4.h12<q>,0.09326172
m1->a4.h13<q>,-0.17773438
m1->a4.h13<k>,0.076660156
m1->a4.h16<k>,-0.24023438
m1->a4.h18<q>,-0.07324219
m1->a4.h19<q>,-0.04711914
m1->a4.h21<q>,-0.09814453
m1->a4.h21<k>,0.1328125
