edge,score
input->a0.h2<q>,0.11376953
input->a0.h6<q>,-0.14160156
input->a0.h9<q>,-0.18457031
input->a0.h28<q>,0.11669922
input->a0.h30<q>,0.12988281
input->m0,0.30078125
a0.h6->m0,-0.2265625
a0.h12->m0,-0.13964844
a0.h23->m0,0.122558594
a0.h24->m0,-0.12451172
input->a1.h19<q>,-0.122558594
m0->a1.h0<q>,0.13085938
m0->a1.h3<q>,-0.16601562
m0->a1.h9<q>,-0.122558594
m0->a1.h14<q>,-0.14160156
m0->a1.h17<q>,0.13574219
m0->a1.h18<q>,-0.1796875
m0->a1.h19<q>,-0.13671875
m0->a1.h23<q>,-0.27929688
input->m1,-0.55078125
a0.h2->m1,-0.11621094
a0.h3->m1,0.115234375
m0->m1,0.30664062
a1.h3->m1,-0.17480469
a1.h4->m1,0.1875
a1.h18->m1,-0.115234375
a1.h20->m1,0.26171875
a1.h23->m1,0.22167969
a1.h25->m1,-0.1484375
a1.h26->m1,-0.17871094
a1.h30->m1,-0.118652344
m0->a2.h1<q>,-0.12451172
m0->a2.h5<q>,-0.25585938
m0->a2.h6<q>,0.13964844
m0->a2.h14<q>,0.22460938
m0->a2.h17<q>,0.18359375
m0->a2.h20<q>,0.20019531
m0->a2.h29<q>,-0.12792969
m0->a2.h31<q>,0.12695312
m1->a2.h2<q>,0.14453125
m1->a2.h5<q>,-0.26171875
m1->a2.h6<q>,0.23046875
m1->a2.h14<q>,0.19140625
m1->a2.h17<q>,0.14355469
input->m2,0.62890625
a0.h16->m2,0.15917969
a0.h28->m2,-0.17578125
m0->m2,-0.31054688
a1.h1->m2,0.14550781
a1.h16->m2,-0.125
a1.h19->m2,-0.14257812
a1.h21->m2,-0.11376953
a1.h23->m2,-0.111328125
a1.h31->m2,-0.123535156
m1->m2,-0.2578125
a2.h16->m2,-0.15527344
a2.h18->m2,-0.14648438
m2->a3.h10<q>,-0.12890625
m2->a3.h23<q>,0.18457031
input->m3,-0.2265625
a0.h2->m3,-0.17773438
m0->m3,0.17578125
a1.h25->m3,-0.14550781
m1->m3,0.42578125
a2.h6->m3,0.111816406
a2.h12->m3,-0.115722656
a2.h13->m3,-0.13378906
a2.h19->m3,0.15625
m2->m3,-1.21875
a3.h9->m3,0.16015625
a3.h10->m3,0.125
a3.h11->m3,0.17773438
a3.h12->m3,-0.18359375
a3.h19->m3,-0.16210938
m0->a4.h24<q>,0.15136719
m1->a4.h5<q>,-0.11816406
m1->a4.h24<q>,0.13476562
m1->a4.h26<q>,-0.11425781
m2->a4.h9<q>,-0.111816406
m2->a4.h16<q>,-0.15039062
m2->a4.h19<q>,0.17089844
m2->a4.h30<q>,-0.111328125
m3->a4.h0<q>,-0.13867188
m3->a4.h1<q>,-0.13769531
m3->a4.h11<q>,0.12011719
m3->a4.h16<q>,-0.23632812
m3->a4.h19<q>,0.18359375
input->m4,-0.20019531
m0->m4,0.46484375
a1.h4->m4,0.16503906
a1.h24->m4,0.20703125
m2->m4,0.73828125
a3.h5->m4,0.12451172
a3.h8->m4,0.16015625
a3.h19->m4,-0.17578125
a3.h28->m4,-0.12988281
a3.h31->m4,-0.15429688
a4.h1->m4,-0.21289062
a4.h6->m4,-0.118652344
a4.h16->m4,-0.19335938
m2->a5.h4<q>,-0.14257812
m2->a5.h6<q>,0.16894531
m2->a5.h19<q>,0.140625
m3->a5.h3<q>,0.11376953
m3->a5.h15<q>,-0.14550781
m4->a5.h5<q>,0.15917969
m4->a5.h6<q>,0.24609375
m4->a5.h7<q>,-0.18847656
m4->a5.h15<q>,-0.16992188
m4->a5.h19<q>,0.11621094
m4->a5.h26<q>,0.1875
m4->a5.h28<q>,-0.13085938
m0->m5,-0.15820312
a1.h1->m5,0.14453125
a1.h26->m5,-0.13085938
a2.h10->m5,0.11816406
a2.h30->m5,-0.12060547
m2->m5,-0.75390625
a3.h2->m5,0.12011719
a3.h5->m5,-0.13867188
a3.h16->m5,0.11425781
m3->m5,-0.1796875
a4.h13->m5,-0.12060547
a4.h14->m5,-0.13671875
a4.h15->m5,-0.24414062
a4.h16->m5,0.15429688
m4->m5,-0.88671875
a5.h3->m5,0.12109375
a5.h4->m5,0.12109375
a5.h18->m5,0.12207031
a5.h25->m5,0.16796875
a5.h28->m5,-0.19238281
a5.h30->m5,-0.15527344
a5.h31->m5,-0.20214844
m1->a6.h11<q>,0.118652344
m2->a6.h6<q>,0.123535156
m2->a6.h11<q>,0.11816406
m3->a6.h6<q>,0.111328125
m3->a6.h11<q>,0.19921875
m3->a6.h29<q>,-0.12060547
m4->a6.h8<q>,0.13574219
m4->a6.h30<q>,-0.14160156
m4->a6.h31<q>,0.12792969
m5->a6.h5<q>,-0.12792969
m5->a6.h6<q>,0.19628906
m5->a6.h8<q>,0.36914062
m5->a6.h9<q>,-0.31445312
m5->a6.h11<q>,0.31835938
m5->a6.h14<q>,0.14550781
m5->a6.h18<q>,-0.11425781
m5->a6.h24<q>,0.11376953
m5->a6.h30<q>,-0.23242188
m5->a6.h31<q>,0.19140625
input->m6,-0.13378906
m0->m6,-0.31445312
a1.h1->m6,-0.115234375
m1->m6,-0.21484375
m2->m6,-0.21875
a3.h5->m6,0.18164062
a3.h23->m6,0.122558594
a3.h26->m6,-0.1328125
m3->m6,0.6484375
a4.h4->m6,-0.115722656
a4.h7->m6,-0.18847656
a4.h10->m6,0.111328125
a4.h23->m6,0.13183594
a4.h31->m6,0.11230469
m4->m6,0.94140625
a5.h8->m6,0.110839844
