edge,score
input->a0.h2<q>,0.16992188
input->a0.h22<q>,-0.09082031
input->m0,0.1796875
a0.h3->m0,0.13085938
a0.h7->m0,0.07763672
a0.h10->m0,-0.103515625
a0.h17->m0,0.08984375
a0.h28->m0,-0.14453125
m0->a1.h5<q>,-0.10205078
m0->a1.h9<q>,0.09667969
m0->a1.h12<q>,-0.19335938
m0->a1.h15<q>,-0.08496094
m0->a1.h17<q>,0.091796875
m0->a1.h25<q>,-0.078125
m0->a1.h28<q>,0.09375
m0->a1.h30<q>,0.08203125
m0->a1.h31<q>,0.092285156
input->m1,-0.08886719
a0.h2->m1,0.13671875
a0.h9->m1,-0.11328125
m0->m1,-0.88671875
a1.h0->m1,-0.08886719
a1.h16->m1,-0.080566406
a1.h20->m1,0.21777344
a1.h23->m1,-0.07763672
a1.h24->m1,0.14160156
a1.h26->m1,0.107910156
a1.h27->m1,0.11425781
a1.h30->m1,0.08300781
m0->a2.h13<q>,0.118652344
m0->a2.h15<q>,-0.08691406
m0->a2.h16<q>,0.080566406
m0->a2.h23<q>,-0.100097656
m1->a2.h6<q>,-0.08496094
m1->a2.h16<q>,0.07421875
m1->a2.h17<q>,0.092285156
m1->a2.h23<q>,-0.110839844
m1->a2.h25<q>,0.08886719
input->m2,-0.15722656
a0.h2->m2,-0.107910156
a0.h23->m2,-0.08642578
m0->m2,-0.25195312
a1.h18->m2,-0.07861328
a1.h31->m2,0.08642578
m1->m2,0.3359375
a2.h12->m2,0.09082031
a2.h16->m2,0.08496094
a2.h19->m2,0.095703125
a2.h24->m2,0.078125
a2.h26->m2,0.084472656
m1->a3.h28<q>,0.08251953
m1->a3.h29<q>,-0.080566406
m2->a3.h1<q>,-0.095703125
m2->a3.h19<q>,-0.07861328
m2->a3.h28<q>,0.109375
a0.h9->m3,-0.078125
a1.h24->m3,0.087402344
m1->m3,0.10058594
a2.h4->m3,-0.079589844
a2.h5->m3,-0.076171875
a2.h7->m3,-0.07373047
a2.h13->m3,0.08886719
a2.h16->m3,-0.08105469
a2.h26->m3,0.10986328
m2->m3,0.12597656
a3.h5->m3,0.13867188
a3.h7->m3,0.087890625
a3.h15->m3,0.07519531
a3.h16->m3,0.091308594
a3.h17->m3,0.09082031
a3.h28->m3,-0.13085938
m3->a4.h2<q>,0.1328125
m3->a4.h8<q>,-0.08935547
m3->a4.h9<q>,-0.07763672
m3->a4.h15<q>,0.107910156
m3->a4.h24<q>,0.07519531
m3->a4.h26<q>,-0.08691406
m3->a4.h29<q>,0.10888672
m1->m4,-0.36914062
a2.h23->m4,-0.079589844
a2.h26->m4,-0.078125
m2->m4,-0.47265625
a3.h1->m4,-0.092285156
a3.h28->m4,0.109375
m3->m4,0.53515625
a4.h12->m4,0.15039062
a4.h13->m4,0.20507812
a4.h14->m4,0.11669922
a4.h15->m4,0.084472656
a4.h25->m4,-0.09082031
a4.h31->m4,-0.16601562
m3->a5.h15<q>,-0.084472656
m4->a5.h15<q>,-0.096191406
m4->a5.h28<q>,-0.091796875
m0->m5,-0.17871094
a1.h28->m5,-0.08203125
a1.h31->m5,-0.110839844
m1->m5,-0.11376953
m2->m5,0.33203125
a3.h5->m5,-0.08935547
a3.h24->m5,-0.087402344
