edge,score
input->a0.h9<q>,0.095703125
input->m0,-0.111328125
a0.h0->m0,-0.099609375
a0.h9->m0,-0.080566406
a0.h23->m0,-0.15820312
m0->a1.h3<q>,0.09082031
m0->a1.h11<q>,0.09326172
m0->a1.h19<q>,0.10107422
m0->a1.h23<q>,0.15332031
m0->a1.h25<q>,-0.17773438
m0->a1.h31<q>,0.075683594
input->m1,-0.21875
m0->m1,-0.1953125
a1.h5->m1,-0.099609375
m0->a2.h7<q>,-0.08105469
m0->a2.h13<q>,-0.08886719
m0->a2.h19<q>,0.087890625
m1->a2.h19<q>,0.091308594
input->m2,-0.18359375
m0->m2,-0.24023438
a1.h10->m2,-0.08691406
a1.h11->m2,-0.08251953
m1->m2,0.18457031
a2.h7->m2,-0.115234375
a2.h11->m2,-0.076660156
m0->a3.h23<q>,0.07763672
m2->a3.h23<q>,0.14746094
m0->m3,0.09667969
a1.h11->m3,0.08105469
m1->m3,-0.103515625
m2->m3,-0.15722656
a3.h2->m3,-0.1328125
m3->a4.h7<q>,-0.07324219
input->m4,-0.07470703
m0->m4,-0.15332031
m2->m4,0.30078125
a3.h5->m4,-0.115234375
a3.h21->m4,0.08300781
a3.h28->m4,-0.087402344
m3->m4,0.20507812
a4.h1->m4,-0.11376953
a4.h4->m4,0.15625
a4.h5->m4,0.10058594
a4.h7->m4,0.08935547
a4.h12->m4,-0.092285156
a4.h14->m4,-0.16210938
a4.h26->m4,0.08300781
input->m5,0.100097656
m0->m5,-0.13085938
m1->m5,0.079589844
a2.h12->m5,-0.095703125
a2.h25->m5,-0.076660156
a2.h31->m5,0.079589844
m2->m5,-0.23535156
a3.h1->m5,0.07373047
a3.h2->m5,0.11230469
a3.h17->m5,-0.075683594
a3.h28->m5,0.08935547
m3->m5,0.100097656
a4.h1->m5,0.091308594
a4.h14->m5,0.10205078
a4.h24->m5,-0.071777344
a4.h31->m5,0.10449219
m4->m5,0.71875
a5.h12->m5,0.11425781
a5.h13->m5,0.17089844
a5.h14->m5,0.103515625
a5.h15->m5,0.13574219
a5.h17->m5,-0.076660156
a5.h19->m5,-0.076660156
a5.h22->m5,0.111328125
a5.h23->m5,0.109375
m1->m6,-0.080078125
a3.h5->m6,0.16601562
a3.h19->m6,0.075683594
a3.h21->m6,0.08642578
a3.h22->m6,0.07080078
a3.h24->m6,0.11425781
a3.h31->m6,-0.07373047
m3->m6,-0.08984375
a4.h1->m6,-0.08984375
a4.h2->m6,-0.079589844
a4.h8->m6,-0.08544922
a4.h12->m6,-0.095214844
a4.h13->m6,-0.08935547
a4.h14->m6,-0.11816406
a4.h24->m6,0.1328125
a4.h31->m6,-0.08691406
m4->m6,-0.49414062
a5.h13->m6,-0.100097656
a5.h14->m6,-0.071777344
a5.h15->m6,-0.09423828
a5.h16->m6,0.079589844
m5->m6,0.32421875
a6.h0->m6,0.08496094
a6.h1->m6,0.110839844
m5->a7.h2<q>,-0.118652344
m5->a7.h3<q>,0.07714844
m5->a7.h16<q>,0.076171875
m5->a7.h26<q>,-0.07910156
m6->a7.h19<q>,-0.076660156
input->m7,-0.110839844
m0->m7,0.23144531
m1->m7,-0.16601562
m2->m7,0.123535156
a3.h17->m7,-0.14453125
a3.h21->m7,-0.09765625
a3.h22->m7,-0.111816406
a3.h23->m7,-0.09667969
m3->m7,-0.31640625
a4.h4->m7,0.09375
a4.h15->m7,-0.08984375
a4.h24->m7,-0.08642578
m4->m7,-0.09814453
a5.h8->m7,0.08642578
a5.h12->m7,-0.08251953
a5.h15->m7,-0.084472656
a5.h30->m7,-0.080566406
a6.h0->m7,-0.103027344
a6.h4->m7,-0.106933594
a6.h5->m7,-0.11669922
a6.h6->m7,-0.111328125
a6.h7->m7,-0.122558594
a6.h18->m7,-0.07519531
a6.h20->m7,0.107421875
a6.h21->m7,0.118652344
a6.h22->m7,0.15039062
a6.h23->m7,0.08203125
a6.h24->m7,-0.09375
a6.h29->m7,0.09863281
a7.h4->m7,-0.12890625
a7.h7->m7,-0.099609375
a7.h8->m7,0.09863281
a7.h10->m7,0.07080078
a7.h11->m7,0.079589844
a7.h21->m7,-0.11425781
a7.h22->m7,-0.079589844
a7.h23->m7,-0.07421875
m7->a8.h20<q>,-0.091796875
m7->a8.h22<q>,0.083984375
m7->a8.h30<q>,0.08300781
m7->a8.h31<q>,-0.084472656
m0->m8,-0.13476562
a3.h16->m8,0.075683594
a3.h23->m8,-0.07324219
m3->m8,0.29101562
a4.h1->m8,-0.072265625
a4.h8->m8,0.095214844
a4.h9->m8,0.15332031
a4.h10->m8,0.1328125
a4.h11->m8,0.087890625
a5.h3->m8,-0.07080078
a5.h13->m8,-0.079589844
a5.h14->m8,-0.075683594
a5.h17->m8,0.118652344
a5.h29->m8,-0.16992188
a5.h31->m8,-0.103027344
a6.h7->m8,-0.07421875
a6.h12->m8,-0.087890625
a6.h15->m8,-0.092285156
a6.h25->m8,-0.123046875
m6->m8,-0.23632812
a7.h1->m8,-0.07519531
a7.h8->m8,-0.078125
a7.h11->m8,-0.09423828
a7.h21->m8,0.10888672
a7.h22->m8,0.111816406
a7.h23->m8,0.14746094
m7->m8,-0.1796875
a8.h9->m8,-0.111328125
a8.h19->m8,-0.087890625
a8.h22->m8,-0.07080078
a8.h26->m8,-0.095214844
a8.h28->m8,0.076171875
a8.h29->m8,0.22851562
m6->a9.h13<q>,0.16113281
a2.h7->m9,0.080566406
m2->m9,-0.08544922
a3.h21->m9,-0.083984375
a3.h22->m9,-0.07324219
a3.h23->m9,-0.10107422
m3->m9,-0.5
a4.h4->m9,-0.08886719
a4.h14->m9,-0.08300781
m4->m9,0.2734375
a5.h12->m9,0.12597656
a5.h13->m9,0.14355469
a5.h14->m9,0.15136719
a5.h15->m9,0.13476562
a5.h16->m9,-0.07861328
a5.h17->m9,-0.12597656
a5.h18->m9,-0.07470703
m5->m9,0.31640625
a6.h8->m9,-0.07128906
m6->m9,-0.36328125
a7.h4->m9,0.125
a7.h7->m9,0.12695312
a7.h8->m9,-0.09423828
m7->m9,0.10107422
a8.h4->m9,0.08935547
a8.h9->m9,0.07763672
a8.h12->m9,-0.11376953
a8.h14->m9,-0.087890625
a8.h15->m9,-0.09375
a8.h22->m9,-0.07421875
a8.h28->m9,-0.13085938
a8.h29->m9,-0.2890625
m8->m9,0.12451172
a9.h1->m9,-0.09375
a9.h3->m9,-0.15234375
a9.h4->m9,0.103515625
a9.h5->m9,0.13769531
a9.h6->m9,0.09667969
a9.h19->m9,0.099609375
a9.h20->m9,-0.07080078
a9.h31->m9,0.09326172
m2->m10,-0.14648438
a3.h2->m10,0.07421875
a3.h10->m10,-0.07080078
a3.h11->m10,-0.087890625
a3.h28->m10,0.08251953
a3.h30->m10,0.10888672
a3.h31->m10,0.072753906
m3->m10,0.15234375
a4.h5->m10,-0.08251953
a4.h26->m10,-0.092285156
m4->m10,-0.47265625
a5.h2->m10,0.076660156
a5.h3->m10,0.15527344
a5.h8->m10,-0.106933594
a5.h10->m10,-0.09082031
a5.h12->m10,-0.095703125
a5.h13->m10,-0.08984375
a5.h14->m10,-0.099609375
a5.h15->m10,-0.10107422
a5.h24->m10,0.09375
a5.h25->m10,0.099609375
a5.h27->m10,0.107910156
a6.h1->m10,0.100097656
a6.h2->m10,0.125
a6.h13->m10,-0.072265625
a6.h18->m10,-0.072753906
m6->m10,0.20410156
a7.h4->m10,-0.13574219
a7.h7->m10,-0.10449219
a7.h14->m10,-0.072265625
a7.h25->m10,0.08984375
a7.h26->m10,0.12060547
m7->m10,0.38085938
a8.h9->m10,-0.08642578
a8.h12->m10,0.10498047
a8.h13->m10,0.080566406
a8.h15->m10,0.11230469
a8.h22->m10,0.11328125
a8.h23->m10,0.08300781
a8.h24->m10,0.10058594
a8.h26->m10,0.109375
a8.h27->m10,0.07470703
a8.h28->m10,-0.10986328
a8.h29->m10,-0.2109375
a8.h31->m10,-0.106933594
a9.h12->m10,0.21582031
a9.h13->m10,0.18847656
a9.h14->m10,0.111816406
a9.h20->m10,0.071777344
a9.h25->m10,-0.08691406
a9.h26->m10,-0.072753906
m9->m10,-0.22753906
a10.h8->m10,-0.1953125
a10.h9->m10,-0.25976562
a10.h10->m10,-0.18359375
a10.h11->m10,-0.20507812
a10.h12->m10,0.20410156
a10.h15->m10,0.16503906
a10.h17->m10,0.07763672
m2->m11,-0.080566406
m3->m11,0.25195312
a6.h15->m11,0.076660156
a6.h19->m11,0.10205078
m6->m11,-0.41210938
a7.h0->m11,0.123535156
a7.h1->m11,0.115722656
m7->m11,0.3984375
a8.h8->m11,-0.12011719
a8.h9->m11,-0.095703125
a8.h10->m11,-0.092285156
a8.h11->m11,-0.107421875
a8.h12->m11,-0.07324219
a8.h13->m11,-0.08642578
a8.h14->m11,-0.080078125
a8.h16->m11,0.080078125
a8.h22->m11,0.079589844
a8.h23->m11,0.071777344
a8.h28->m11,0.092285156
a8.h29->m11,0.21289062
m8->m11,-0.50390625
a9.h0->m11,0.10986328
a9.h1->m11,0.103515625
a9.h13->m11,-0.099609375
a9.h14->m11,-0.092285156
a9.h26->m11,0.08105469
m9->m11,-0.12109375
a10.h9->m11,0.08935547
a10.h11->m11,0.071777344
m10->m11,0.21484375
m9->a12.h9<q>,0.12988281
m10->a12.h9<q>,0.07421875
m11->a12.h9<q>,0.08105469
m0->m12,-0.08984375
m1->m12,-0.075683594
a3.h28->m12,0.11376953
a4.h1->m12,0.07080078
a4.h12->m12,0.07421875
a4.h13->m12,0.07080078
a4.h14->m12,0.08300781
m4->m12,-0.084472656
a5.h12->m12,0.08105469
a5.h13->m12,0.08886719
a5.h14->m12,0.087890625
m5->m12,0.10058594
a6.h0->m12,-0.072753906
a6.h29->m12,-0.08105469
a6.h31->m12,-0.075683594
m6->m12,-0.1484375
a7.h4->m12,0.07861328
a8.h12->m12,-0.10107422
a8.h13->m12,-0.115722656
a8.h14->m12,-0.11669922
a8.h15->m12,-0.13476562
a9.h4->m12,0.084472656
a9.h5->m12,0.071777344
a9.h6->m12,0.07910156
m9->m12,0.21484375
a10.h12->m12,-0.103515625
a10.h15->m12,-0.08203125
m10->m12,-0.17382812
m11->m12,-0.09814453
m9->a13.h26<q>,0.07910156
m9->a13.h27<q>,-0.12695312
m10->a13.h27<q>,-0.084472656
m12->a13.h26<q>,0.118652344
m12->a13.h27<q>,-0.119140625
m3->m13,0.10986328
m5->m13,-0.22265625
a6.h3->m13,0.071777344
a6.h6->m13,0.08984375
a6.h7->m13,0.076171875
m6->m13,0.12890625
m8->m13,0.10205078
m10->m13,-0.07470703
m12->m13,0.17578125
m5->m14,0.075683594
m9->m14,-0.23339844
m10->m14,-0.10058594
m12->m14,0.111816406
m0->m15,0.07080078
m2->m15,0.08251953
m4->m15,0.11767578
m6->m15,0.17382812
m7->m15,-0.1796875
m9->m15,-0.13183594
a10.h9->m15,0.115234375
a10.h11->m15,0.08984375
a10.h12->m15,0.09814453
m10->m15,-0.12451172
m11->m15,-0.32421875
m12->m15,-0.31835938
m13->m15,-0.25585938
a15.h14->m15,-0.115722656
a15.h27->m15,0.08105469
input->logits,0.11816406
m3->logits,-0.123535156
m4->logits,0.15722656
a6.h3->logits,-0.08496094
a6.h29->logits,0.080566406
a6.h30->logits,0.080566406
a6.h31->logits,0.08935547
a7.h4->logits,0.07324219
a7.h21->logits,0.087890625
m7->logits,-0.19042969
a8.h12->logits,0.08691406
a8.h13->logits,0.095703125
a8.h14->logits,0.08203125
a8.h15->logits,0.11376953
a8.h29->logits,0.071777344
m9->logits,-0.07470703
a10.h12->logits,-0.111816406
a10.h15->logits,-0.079589844
m10->logits,0.12695312
a11.h21->logits,-0.08203125
m11->logits,0.19042969
a12.h8->logits,-0.09326172
m12->logits,0.23242188
m13->logits,-0.17480469
a14.h24->logits,-0.091308594
a14.h25->logits,-0.14160156
m14->logits,-0.14648438
a15.h2->logits,0.07519531
a15.h3->logits,0.072265625
a15.h12->logits,-0.072265625
a15.h13->logits,-0.15332031
a15.h14->logits,-0.21777344
a15.h15->logits,-0.09082031
a15.h18->logits,-0.072753906
a15.h23->logits,-0.08984375
a15.h24->logits,-0.109375
a15.h25->logits,-0.11230469
m15->logits,0.26171875
