edge,score
input->a0.h1<q>,0.040039062
input->a0.h10<q>,-0.0390625
input->a0.h22<q>,0.032958984
input->a0.h28<q>,-0.03955078
input->m0,-0.11767578
a0.h1->m0,0.09863281
a0.h6->m0,0.111328125
a0.h7->m0,0.03857422
a0.h9->m0,-0.087402344
a0.h12->m0,0.032714844
a0.h28->m0,-0.0390625
input->a1.h4<q>,-0.060546875
input->a1.h23<q>,0.03540039
input->a1.h31<q>,0.03540039
m0->a1.h3<q>,0.03515625
m0->a1.h9<q>,-0.033447266
m0->a1.h16<q>,-0.0390625
m0->a1.h17<q>,0.053710938
m0->a1.h21<q>,-0.040039062
m0->a1.h22<q>,-0.043701172
m0->a1.h23<q>,0.22753906
m0->a1.h31<q>,0.09765625
input->m1,0.09863281
a0.h6->m1,-0.08886719
a0.h24->m1,-0.063964844
m0->m1,-0.20117188
a1.h6->m1,-0.041503906
a1.h21->m1,0.038330078
a1.h22->m1,0.039794922
a1.h23->m1,0.09863281
input->a2.h1<q>,0.033203125
input->a2.h8<q>,0.03881836
m0->a2.h5<q>,0.04711914
m0->a2.h6<q>,-0.04321289
m0->a2.h17<q>,-0.041259766
m0->a2.h26<q>,0.083984375
m1->a2.h8<q>,-0.033935547
m1->a2.h26<q>,0.033691406
m1->a2.h28<q>,0.036132812
input->m2,0.05053711
m0->m2,-0.33007812
a1.h4->m2,-0.04345703
a1.h16->m2,-0.041015625
a1.h20->m2,0.04272461
a1.h23->m2,-0.037353516
a1.h24->m2,-0.039794922
a1.h26->m2,-0.041992188
a1.h28->m2,0.040527344
m1->m2,0.18261719
a2.h4->m2,0.059326172
a2.h6->m2,0.0625
a2.h7->m2,0.053466797
a2.h11->m2,0.057128906
a2.h17->m2,0.03491211
a2.h18->m2,-0.032470703
a2.h19->m2,0.036132812
a2.h22->m2,-0.03881836
a2.h25->m2,-0.06298828
a2.h28->m2,0.07470703
a2.h29->m2,-0.032714844
a2.h30->m2,0.09765625
m1->a3.h15<q>,-0.03491211
m2->a3.h21<q>,-0.034179688
m2->a3.h30<q>,-0.05810547
input->m3,-0.053222656
m0->m3,0.16210938
a1.h6->m3,0.034179688
a1.h22->m3,-0.05126953
a1.h23->m3,-0.047607422
a1.h26->m3,0.038085938
a1.h28->m3,-0.034423828
m1->m3,0.24707031
a2.h5->m3,-0.049072266
a2.h9->m3,-0.04345703
a2.h12->m3,-0.034179688
a2.h15->m3,-0.04711914
a2.h28->m3,-0.044921875
a2.h30->m3,-0.052734375
a3.h2->m3,0.032226562
a3.h5->m3,0.038330078
a3.h7->m3,0.039794922
a3.h14->m3,0.03540039
m0->a4.h16<q>,-0.040283203
m3->a4.h10<q>,0.031982422
m3->a4.h11<q>,-0.034179688
m3->a4.h16<q>,-0.055908203
input->m4,-0.071777344
a0.h24->m4,-0.036132812
m0->m4,-0.10546875
a1.h6->m4,-0.05102539
a1.h22->m4,-0.039794922
a1.h23->m4,-0.0625
m1->m4,-0.095703125
a2.h1->m4,-0.046142578
a2.h18->m4,0.049072266
a2.h20->m4,0.031982422
a2.h25->m4,-0.04345703
m2->m4,0.18847656
a3.h5->m4,-0.056884766
a3.h13->m4,-0.047851562
a3.h16->m4,-0.061279297
a3.h19->m4,-0.033691406
a3.h23->m4,0.037597656
a3.h31->m4,0.03515625
a4.h5->m4,0.09326172
a4.h7->m4,0.08691406
a4.h11->m4,-0.10058594
a4.h13->m4,-0.05883789
a4.h16->m4,0.07861328
a4.h17->m4,0.03491211
a4.h19->m4,0.036621094
a4.h24->m4,0.03564453
a4.h27->m4,0.044677734
a4.h31->m4,0.047851562
m2->a5.h0<q>,-0.034179688
m2->a5.h4<q>,0.052490234
m2->a5.h5<q>,0.035888672
m3->a5.h0<q>,-0.047851562
m3->a5.h1<q>,0.03540039
m3->a5.h3<q>,0.060058594
m3->a5.h4<q>,0.055419922
m3->a5.h5<q>,0.036865234
m3->a5.h6<q>,-0.03515625
m3->a5.h7<q>,-0.042236328
m3->a5.h10<q>,-0.033447266
m3->a5.h17<q>,0.041503906
m3->a5.h18<q>,0.032226562
m4->a5.h0<q>,-0.05053711
m4->a5.h1<q>,0.039794922
m4->a5.h7<q>,-0.057861328
m4->a5.h22<q>,0.040283203
m4->a5.h26<q>,0.04321289
input->m5,-0.033447266
m0->m5,-0.03881836
a1.h5->m5,0.05883789
a1.h6->m5,0.053222656
a1.h20->m5,-0.040527344
a1.h23->m5,0.03881836
a1.h26->m5,-0.032714844
m1->m5,0.07519531
a2.h6->m5,-0.032958984
a2.h7->m5,-0.04345703
a2.h9->m5,0.041992188
a2.h14->m5,0.04345703
a2.h20->m5,-0.03540039
a2.h28->m5,0.061767578
a2.h30->m5,0.056640625
m2->m5,-0.33789062
a3.h16->m5,0.039794922
a3.h18->m5,0.048095703
a3.h23->m5,-0.053222656
m3->m5,0.1953125
a4.h4->m5,-0.048339844
a4.h5->m5,-0.079589844
a4.h7->m5,-0.08691406
a4.h11->m5,0.049072266
a4.h12->m5,0.04663086
a4.h13->m5,-0.036621094
a4.h17->m5,-0.041015625
a4.h23->m5,-0.04321289
a4.h26->m5,-0.059570312
a4.h31->m5,-0.05126953
m4->m5,-0.28320312
a5.h4->m5,0.057617188
a5.h13->m5,0.03540039
a5.h18->m5,-0.032714844
a5.h22->m5,0.048095703
a5.h24->m5,-0.03515625
a5.h25->m5,-0.055664062
a5.h28->m5,0.06689453
a5.h29->m5,0.09423828
m3->a6.h9<q>,-0.03540039
m3->a6.h11<q>,0.049072266
m3->a6.h14<q>,0.05810547
m4->a6.h11<q>,0.041259766
m4->a6.h24<q>,0.031982422
m5->a6.h11<q>,0.046142578
m5->a6.h31<q>,0.034423828
input->m6,-0.07324219
a1.h6->m6,-0.03540039
a1.h22->m6,0.032226562
a1.h23->m6,0.043701172
a2.h5->m6,-0.040039062
a2.h7->m6,0.032226562
a2.h31->m6,0.03930664
m2->m6,0.051513672
a3.h0->m6,-0.034423828
a3.h19->m6,0.056152344
a3.h25->m6,0.032958984
a3.h28->m6,-0.032714844
m3->m6,-0.10253906
a4.h4->m6,-0.05444336
a4.h5->m6,-0.037109375
a4.h7->m6,-0.048095703
a4.h12->m6,0.07861328
a4.h13->m6,0.051513672
a4.h15->m6,0.05053711
a4.h25->m6,-0.032226562
m4->m6,0.06689453
a5.h1->m6,0.05444336
a5.h5->m6,-0.05126953
a5.h12->m6,-0.05053711
a5.h13->m6,-0.100097656
a5.h14->m6,-0.055664062
a5.h15->m6,-0.056640625
a5.h16->m6,0.046142578
a5.h17->m6,0.083984375
a5.h18->m6,0.049804688
a5.h22->m6,-0.059326172
a5.h31->m6,-0.03540039
m5->m6,0.22460938
a6.h2->m6,-0.041992188
a6.h12->m6,0.055908203
a6.h13->m6,0.033691406
a6.h14->m6,0.09423828
a6.h29->m6,-0.11621094
a6.h30->m6,-0.039794922
m1->a7.h15<q>,0.046875
m3->a7.h13<q>,-0.03491211
m3->a7.h22<q>,-0.047851562
m4->a7.h13<q>,0.055908203
m4->a7.h15<q>,-0.05908203
m4->a7.h21<q>,-0.032226562
m4->a7.h22<q>,0.055664062
m4->a7.h24<q>,0.048339844
m4->a7.h25<q>,0.033691406
m5->a7.h15<q>,-0.0390625
m5->a7.h22<q>,0.057128906
m6->a7.h13<q>,-0.03881836
m6->a7.h15<q>,0.06347656
a0.h24->m7,0.061279297
m1->m7,-0.07519531
a2.h1->m7,-0.07128906
a2.h5->m7,0.032714844
a2.h25->m7,0.037109375
m2->m7,-0.36523438
a3.h16->m7,-0.038330078
a3.h17->m7,-0.050048828
a3.h18->m7,-0.053222656
a3.h29->m7,-0.037597656
a3.h30->m7,-0.03564453
m3->m7,0.034179688
a4.h4->m7,0.118652344
a4.h5->m7,0.091308594
a4.h6->m7,0.047607422
a4.h7->m7,0.125
a4.h11->m7,0.037841797
m4->m7,0.29101562
a5.h1->m7,-0.033203125
a5.h4->m7,0.092285156
a5.h5->m7,0.059570312
a5.h6->m7,0.046875
a5.h7->m7,0.036621094
a5.h8->m7,0.034423828
a5.h16->m7,0.040527344
a5.h17->m7,-0.04272461
a5.h20->m7,0.036621094
a5.h22->m7,0.051513672
a5.h29->m7,-0.06542969
m5->m7,-0.20507812
a6.h0->m7,0.040283203
a6.h2->m7,0.045410156
a6.h8->m7,-0.043945312
a6.h11->m7,-0.03466797
a6.h14->m7,0.040283203
a6.h19->m7,0.032714844
a6.h21->m7,-0.037841797
a6.h29->m7,0.049072266
a6.h30->m7,0.052246094
a6.h31->m7,0.06933594
m6->m7,0.35742188
a7.h12->m7,0.044433594
a7.h17->m7,-0.03491211
m5->a8.h5<q>,0.03930664
m6->a8.h0<q>,-0.038330078
m6->a8.h2<q>,0.034179688
m6->a8.h4<q>,0.031982422
m7->a8.h3<q>,-0.035888672
m7->a8.h7<q>,-0.032714844
m7->a8.h20<q>,-0.05493164
input->m8,-0.07128906
a0.h1->m8,0.040527344
a1.h1->m8,-0.032226562
m1->m8,0.042236328
m2->m8,0.08642578
a3.h14->m8,0.03857422
m3->m8,0.083984375
a4.h7->m8,0.032226562
a4.h8->m8,-0.05493164
a4.h11->m8,-0.06298828
a4.h14->m8,-0.080078125
a4.h16->m8,-0.037109375
a4.h17->m8,0.047607422
a4.h24->m8,0.040039062
m4->m8,0.08984375
a5.h2->m8,0.034423828
a5.h4->m8,-0.048339844
a5.h17->m8,-0.05029297
a5.h29->m8,-0.032958984
m5->m8,-0.05126953
a6.h0->m8,0.033203125
a6.h1->m8,0.033691406
a6.h2->m8,0.042236328
a6.h9->m8,0.050048828
a6.h12->m8,0.038330078
a6.h29->m8,-0.05810547
a6.h30->m8,-0.068847656
a6.h31->m8,-0.11767578
m6->m8,-0.061279297
a7.h13->m8,0.036621094
a7.h15->m8,0.043701172
a7.h27->m8,-0.032226562
m7->m8,-0.11816406
a8.h5->m8,0.040527344
a8.h6->m8,0.034179688
a8.h9->m8,0.07421875
a8.h11->m8,0.047851562
a8.h19->m8,0.05810547
m4->a9.h18<q>,-0.05908203
m6->a9.h18<q>,0.11230469
a8.h12->a9.h18<q>,-0.03930664
m8->a9.h18<q>,0.04345703
m8->a9.h20<q>,0.03540039
m0->m9,0.071777344
m2->m9,0.06542969
a3.h19->m9,0.037841797
m3->m9,0.036621094
a4.h4->m9,-0.053466797
a4.h7->m9,-0.063964844
m5->m9,-0.049316406
a6.h3->m9,-0.036621094
a6.h9->m9,0.034423828
a6.h29->m9,0.049804688
m6->m9,0.057617188
a8.h29->m9,0.032470703
a9.h26->m9,0.049316406
a0.h24->m10,-0.032226562
m0->m10,0.046142578
a2.h1->m10,0.033203125
a2.h30->m10,-0.040283203
m2->m10,-0.04663086
a3.h19->m10,-0.03515625
a4.h6->m10,0.038085938
a4.h7->m10,0.032470703
a4.h14->m10,-0.05444336
m4->m10,-0.041503906
a5.h17->m10,-0.036132812
a5.h19->m10,-0.051757812
a6.h29->m10,0.048095703
m6->m10,-0.042236328
m7->m10,0.043701172
m8->m10,-0.09765625
a9.h4->m10,-0.0390625
m9->m10,0.12109375
m10->a11.h2<q>,-0.037841797
m0->m11,-0.03881836
m2->m11,0.063964844
m3->m11,0.052490234
m4->m11,0.045898438
m5->m11,-0.10498047
m6->m11,-0.057617188
a7.h26->m11,-0.04345703
a10.h24->m11,-0.034423828
m10->m11,0.09863281
m4->m12,-0.056884766
m5->m12,0.055908203
m6->m12,-0.08203125
m10->m12,0.091308594
m11->m12,-0.049316406
m4->m13,-0.06347656
m6->m13,0.053222656
m8->m13,-0.04248047
m10->m13,-0.050048828
input->m14,-0.040527344
m5->m14,0.040527344
m6->m14,-0.047851562
m10->m14,-0.044921875
m12->m14,0.0703125
m13->m14,0.07080078
input->m15,-0.05102539
m3->m15,-0.045898438
m4->m15,-0.051757812
m5->m15,0.032714844
m7->m15,-0.055664062
m8->m15,0.067871094
a12.h22->m15,0.036132812
m12->m15,-0.087890625
m13->m15,0.075683594
a15.h14->m15,0.053466797
a15.h25->m15,0.03466797
input->logits,0.17773438
m0->logits,-0.08691406
m2->logits,-0.036376953
m3->logits,-0.041992188
a10.h13->logits,-0.03930664
m10->logits,-0.092285156
m11->logits,-0.064453125
m12->logits,-0.30078125
m13->logits,-0.33789062
m14->logits,-0.080078125
a15.h23->logits,-0.07861328
m15->logits,0.13378906
