edge,score
input->a0.h9<q>,-0.3203125
input->a0.h20<q>,-0.17773438
input->m0,-1.453125
a0.h2->m0,0.13085938
a0.h16->m0,0.18847656
a0.h17->m0,0.15625
a0.h19->m0,0.26953125
a0.h30->m0,0.14746094
m0->a1.h19<q>,0.14355469
m0->a1.h22<q>,-0.1328125
m0->a1.h23<q>,-0.26367188
m0->a1.h25<q>,0.18164062
a0.h2->m1,-0.17285156
a0.h9->m1,-0.15527344
m0->m1,-0.80859375
a1.h11->m1,-0.13671875
a1.h16->m1,0.20996094
a1.h17->m1,0.13085938
a1.h18->m1,0.15527344
a1.h22->m1,-0.14648438
m0->a2.h7<q>,-0.16113281
m0->a2.h17<q>,-0.15136719
m0->a2.h30<q>,0.16796875
m1->a2.h7<q>,-0.16503906
m1->a2.h16<q>,0.13085938
m1->a2.h17<q>,-0.13476562
m1->a2.h25<q>,-0.17773438
m1->a2.h27<q>,0.16601562
m1->a2.h30<q>,0.16015625
m2->a3.h1<q>,0.14648438
m2->a3.h5<q>,-0.16503906
m2->a3.h17<q>,0.17578125
m2->a3.h23<q>,-0.16210938
m1->m3,0.1875
a2.h7->m3,-0.14257812
a2.h27->m3,-0.13671875
a2.h29->m3,0.17871094
m2->m3,-0.31835938
input->m4,-0.14648438
m0->m4,0.359375
m1->m4,-0.19726562
m2->m4,0.34960938
a3.h5->m4,-0.2265625
a3.h30->m4,0.13671875
a4.h12->m4,0.1640625
a4.h13->m4,0.13574219
m0->m5,-0.49414062
a1.h11->m5,-0.13476562
m2->m5,0.14453125
a3.h5->m5,-0.21289062
m3->m5,0.34570312
a4.h4->m5,-0.13671875
a4.h7->m5,-0.13964844
a4.h8->m5,-0.1796875
a4.h9->m5,-0.16113281
a4.h10->m5,-0.16210938
a4.h11->m5,-0.140625
a5.h2->m5,0.15136719
m5->a6.h13<q>,0.17382812
m0->m6,0.13183594
a1.h28->m6,0.13085938
a1.h31->m6,0.18261719
m1->m6,0.22265625
m2->m6,-0.18652344
a3.h5->m6,0.1796875
m3->m6,0.18457031
a4.h7->m6,0.14160156
a4.h9->m6,-0.19140625
a4.h11->m6,-0.14257812
a4.h13->m6,-0.15429688
m4->m6,0.14160156
m5->m6,-0.69921875
a6.h22->m6,0.13378906
a6.h24->m6,-0.13085938
a6.h25->m6,-0.14355469
a6.h29->m6,-0.13671875
a6.h30->m6,-0.13671875
a6.h31->m6,-0.16601562
m5->a7.h14<q>,-0.15234375
m5->a7.h24<q>,0.13476562
m5->a7.h26<q>,-0.13769531
m6->a7.h13<q>,0.17480469
m6->a7.h14<q>,-0.23242188
m6->a7.h19<q>,0.19921875
m6->a7.h21<q>,-0.18457031
m6->a7.h23<q>,-0.19726562
m6->a7.h24<q>,0.23242188
m6->a7.h26<q>,-0.27929688
input->m7,-0.15332031
a1.h10->m7,-0.13378906
a1.h11->m7,-0.14160156
a1.h28->m7,-0.16210938
a1.h31->m7,-0.23046875
m1->m7,0.16992188
a2.h27->m7,0.17285156
a3.h28->m7,0.21777344
a3.h29->m7,0.13476562
a3.h30->m7,0.17285156
a3.h31->m7,0.25585938
m3->m7,-0.22167969
a5.h12->m7,-0.15136719
a5.h14->m7,-0.14160156
a5.h15->m7,-0.15625
a5.h16->m7,-0.17285156
a5.h17->m7,-0.13964844
a5.h20->m7,0.15625
a5.h22->m7,0.20605469
a5.h23->m7,0.1484375
m5->m7,0.62109375
a6.h2->m7,0.26171875
a6.h20->m7,-0.15917969
a6.h21->m7,-0.15625
a6.h22->m7,-0.21386719
m6->m7,1.203125
a7.h31->m7,-0.24023438
m7->a8.h2<q>,0.14355469
m7->a8.h11<q>,0.19726562
m1->m8,-0.5703125
m2->m8,-0.4765625
a3.h5->m8,-0.25976562
a4.h13->m8,0.1953125
m4->m8,0.69921875
a5.h13->m8,-0.20117188
a6.h0->m8,-0.23144531
a6.h2->m8,-0.2890625
a6.h8->m8,-0.140625
a6.h9->m8,-0.16015625
a6.h15->m8,0.20410156
a6.h22->m8,-0.13476562
m6->m8,0.23828125
a7.h21->m8,-0.23828125
m7->m8,-1.09375
a8.h2->m8,0.13769531
a8.h8->m8,-0.20410156
a8.h9->m8,-0.296875
a8.h10->m8,-0.14648438
a8.h11->m8,-0.17773438
a8.h22->m8,0.23730469
a8.h23->m8,0.18359375
a8.h24->m8,-0.17871094
a8.h27->m8,-0.14355469
m7->a9.h18<q>,-0.15917969
m8->a9.h9<q>,-0.13085938
m8->a9.h19<q>,0.15332031
input->m9,-0.31835938
m2->m9,0.33007812
a3.h5->m9,-0.32226562
a3.h28->m9,-0.20117188
a3.h29->m9,-0.13867188
a3.h30->m9,-0.18652344
a3.h31->m9,-0.22851562
m4->m9,-0.42578125
a5.h29->m9,0.13085938
a5.h31->m9,0.15722656
m5->m9,0.67578125
a6.h2->m9,-0.21484375
a6.h29->m9,-0.15234375
a6.h31->m9,-0.14453125
m6->m9,0.15039062
a7.h8->m9,0.18457031
a7.h11->m9,0.14453125
m7->m9,0.41796875
a8.h26->m9,-0.17773438
a8.h29->m9,0.13378906
m8->m9,-0.3671875
a9.h12->m9,-0.24609375
a9.h13->m9,-0.16113281
a9.h14->m9,-0.22167969
a9.h15->m9,-0.20410156
a9.h26->m9,0.21289062
a9.h28->m9,0.14355469
m8->a10.h22<q>,0.20214844
input->m10,-0.39453125
m0->m10,0.55078125
m1->m10,0.265625
m2->m10,0.6953125
a3.h28->m10,-0.13085938
a3.h31->m10,-0.2265625
m3->m10,-0.23535156
a4.h14->m10,0.13085938
a4.h23->m10,-0.17089844
m4->m10,-0.671875
a5.h31->m10,0.16113281
a6.h2->m10,0.15332031
a6.h15->m10,-0.16113281
a6.h29->m10,-0.328125
a6.h30->m10,-0.1875
a6.h31->m10,-0.20214844
a7.h31->m10,-0.14160156
a8.h8->m10,-0.2734375
