edge,score
input->a0.h9<q>,-0.056152344
input->a0.h14<q>,-0.044921875
input->a0.h28<q>,-0.056152344
input->m0,0.17480469
a0.h0->m0,0.05102539
a0.h1->m0,0.063964844
a0.h2->m0,0.25390625
a0.h3->m0,0.12792969
a0.h9->m0,0.064453125
a0.h24->m0,0.048828125
m0->a1.h14<q>,-0.037597656
m0->a1.h21<q>,-0.07763672
m0->a1.h22<q>,0.10253906
m0->a1.h23<q>,0.13769531
m0->a1.h24<q>,-0.034179688
m0->a1.h25<q>,-0.055419922
input->m1,-0.24121094
m0->m1,0.20898438
a1.h15->m1,-0.041259766
a1.h26->m1,0.09863281
a1.h30->m1,-0.060302734
m0->a2.h1<q>,-0.033935547
m0->a2.h7<q>,0.048095703
m0->a2.h13<q>,-0.041992188
m1->a2.h5<q>,0.033447266
m1->a2.h7<q>,0.052734375
m1->a2.h13<q>,-0.041015625
a0.h0->m2,0.03540039
m0->m2,0.25195312
a1.h20->m2,-0.041992188
a1.h22->m2,-0.035888672
m1->m2,-0.033447266
a2.h5->m2,-0.03955078
a2.h30->m2,0.037353516
input->m3,-0.12060547
a1.h16->m3,0.041259766
a1.h26->m3,0.033691406
a1.h30->m3,0.033935547
m1->m3,0.07128906
m2->m3,-0.2734375
a3.h5->m3,0.036865234
a3.h12->m3,-0.060546875
m0->a4.h16<q>,-0.036621094
m2->a4.h28<q>,0.040527344
m2->a4.h30<q>,-0.048095703
m3->a4.h0<q>,-0.036621094
m3->a4.h28<q>,0.046142578
m3->a4.h30<q>,-0.049316406
m0->m4,-0.12890625
a1.h19->m4,0.055664062
a2.h25->m4,-0.034179688
m2->m4,0.16992188
a3.h1->m4,0.045654297
a3.h5->m4,-0.043945312
a3.h18->m4,0.03515625
a3.h19->m4,0.052490234
m3->m4,-0.11376953
a4.h8->m4,0.041503906
a4.h10->m4,0.033935547
a4.h13->m4,0.045410156
a4.h15->m4,0.042236328
a4.h16->m4,0.03564453
a4.h26->m4,-0.041015625
a4.h31->m4,-0.047851562
m2->a5.h19<q>,0.044433594
m3->a5.h4<q>,-0.041015625
m3->a5.h5<q>,0.041992188
m3->a5.h6<q>,0.033691406
m4->a5.h7<q>,-0.041259766
m4->a5.h19<q>,0.036621094
a0.h2->m5,0.04345703
m0->m5,0.052490234
a1.h19->m5,-0.052734375
a1.h23->m5,-0.05029297
a1.h24->m5,-0.033447266
m1->m5,0.140625
m2->m5,-0.10107422
a3.h21->m5,0.036132812
a4.h7->m5,0.04321289
a4.h17->m5,0.040039062
m4->m5,-0.31640625
a5.h1->m5,-0.03491211
a5.h22->m5,0.037109375
a5.h27->m5,-0.041015625
m3->a6.h8<q>,0.049804688
m5->a6.h8<q>,0.061767578
input->m6,-0.05810547
m0->m6,0.07080078
a1.h19->m6,0.04248047
m1->m6,-0.095703125
a2.h10->m6,-0.064941406
m2->m6,0.107421875
a3.h30->m6,0.041259766
m3->m6,-0.079589844
a4.h4->m6,-0.044433594
a4.h7->m6,-0.03540039
a4.h12->m6,0.033691406
a4.h16->m6,-0.036865234
