edge,score
input->m0,-0.17382812
a0.h2->m0,-0.08300781
a0.h3->m0,-0.053222656
a0.h9->m0,0.048828125
m0->a1.h25<q>,-0.051757812
m0->m1,-0.15136719
a1.h16->m1,-0.099609375
a1.h18->m1,-0.059570312
a1.h26->m1,-0.055664062
m1->a2.h27<q>,0.046142578
a2.h12->m2,0.050048828
a2.h16->m2,0.053710938
a2.h19->m2,0.056640625
a2.h24->m2,-0.053710938
m0->a3.h23<q>,-0.051757812
m2->a3.h21<q>,0.046142578
m2->a3.h23<q>,-0.09814453
input->m3,0.07421875
m0->m3,-0.08496094
m1->m3,-0.20019531
m2->m3,0.063964844
a3.h30->m3,0.047851562
m3->a4.h15<q>,-0.04711914
a3.h2->m4,-0.05493164
a3.h30->m4,-0.049072266
m3->m4,0.36523438
a4.h15->m4,0.063964844
a4.h24->m4,-0.07861328
a4.h25->m4,-0.049804688
m0->m5,-0.06738281
a2.h26->m5,-0.048339844
a3.h17->m5,-0.067871094
a3.h30->m5,-0.046875
m3->m5,-0.053466797
a4.h31->m5,0.052246094
m4->m5,0.14257812
a5.h16->m5,-0.06542969
a5.h17->m5,-0.08886719
a5.h19->m5,-0.06347656
m1->m6,-0.079589844
a2.h7->m6,-0.080078125
a3.h5->m6,0.048828125
m3->m6,-0.12451172
a4.h1->m6,-0.06542969
a4.h2->m6,-0.049804688
a4.h14->m6,-0.047607422
a5.h3->m6,0.056152344
a5.h8->m6,-0.061523438
a5.h17->m6,0.06738281
a5.h20->m6,0.059570312
a5.h27->m6,-0.049316406
a5.h28->m6,-0.05126953
a5.h29->m6,-0.05908203
a5.h30->m6,-0.049316406
m5->m6,0.19628906
a6.h0->m6,0.0625
a6.h1->m6,0.06542969
a6.h3->m6,0.072265625
a6.h5->m6,0.055908203
a6.h6->m6,0.056884766
a6.h12->m6,-0.05908203
a6.h15->m6,-0.06738281
a6.h17->m6,0.051513672
a6.h21->m6,-0.048095703
a6.h22->m6,-0.05053711
m0->m7,0.15039062
m2->m7,-0.056640625
a3.h22->m7,-0.067871094
m3->m7,-0.110839844
a4.h24->m7,-0.092285156
a4.h25->m7,-0.091308594
a4.h26->m7,-0.07861328
m4->m7,0.16210938
a5.h17->m7,-0.079589844
a5.h19->m7,-0.056640625
a5.h27->m7,0.048339844
a6.h3->m7,0.067871094
a6.h4->m7,-0.18164062
a6.h5->m7,-0.19238281
a6.h6->m7,-0.22460938
a6.h7->m7,-0.21777344
a6.h15->m7,0.05444336
a6.h24->m7,0.087890625
a6.h25->m7,0.07324219
a6.h29->m7,0.047851562
a6.h30->m7,0.057861328
a6.h31->m7,0.05126953
m6->m7,0.15527344
a7.h8->m7,0.06982422
a7.h16->m7,0.056884766
a7.h31->m7,-0.048095703
a1.h16->m8,-0.056884766
a2.h17->m8,0.053710938
m2->m8,0.122558594
a3.h16->m8,0.07324219
a3.h17->m8,0.084472656
a3.h19->m8,0.05834961
m3->m8,-0.07128906
a4.h1->m8,-0.13378906
a4.h2->m8,-0.111816406
a4.h4->m8,0.05102539
a4.h8->m8,0.08984375
a4.h9->m8,0.122558594
a4.h10->m8,0.09863281
a4.h11->m8,0.055908203
a4.h13->m8,0.067871094
m4->m8,-0.115722656
a5.h16->m8,0.055908203
a5.h17->m8,0.080566406
a5.h19->m8,0.047607422
a5.h20->m8,0.048095703
a5.h25->m8,-0.075683594
a5.h27->m8,-0.050048828
a5.h29->m8,-0.068847656
a5.h31->m8,-0.05029297
m5->m8,-0.15917969
a6.h0->m8,0.12695312
a6.h3->m8,0.11425781
a6.h4->m8,-0.047851562
a6.h5->m8,-0.06225586
a6.h7->m8,-0.06982422
a6.h15->m8,-0.05908203
a6.h20->m8,-0.04711914
a6.h22->m8,-0.067871094
a6.h23->m8,-0.06933594
m6->m8,0.22753906
a7.h4->m8,-0.13671875
a7.h7->m8,-0.125
a7.h8->m8,-0.068847656
a7.h23->m8,0.047851562
a7.h25->m8,0.05493164
a7.h27->m8,0.061523438
a8.h8->m8,-0.050048828
a8.h10->m8,-0.068359375
a8.h12->m8,-0.046142578
a8.h15->m8,-0.068359375
a8.h16->m8,0.047607422
a8.h22->m8,0.125
a8.h23->m8,0.10498047
a8.h29->m8,0.12060547
m8->a9.h9<q>,-0.047851562
m1->m9,0.050048828
m2->m9,-0.21484375
a3.h21->m9,-0.08105469
a3.h22->m9,-0.059326172
a3.h23->m9,-0.068847656
m3->m9,-0.14746094
a4.h4->m9,-0.071777344
a4.h9->m9,-0.05029297
a4.h14->m9,-0.096191406
a5.h12->m9,0.087890625
a5.h13->m9,0.079589844
a5.h14->m9,0.048828125
a5.h15->m9,0.057617188
a5.h25->m9,0.04663086
a5.h27->m9,0.05029297
m5->m9,0.06225586
a6.h0->m9,0.056640625
a6.h2->m9,0.071777344
a6.h4->m9,0.060546875
a6.h5->m9,0.046875
a6.h6->m9,0.0703125
a6.h7->m9,0.060058594
a6.h8->m9,-0.060546875
a6.h13->m9,-0.09326172
a6.h15->m9,-0.047851562
a6.h24->m9,0.10986328
a6.h25->m9,0.049316406
a7.h4->m9,0.08105469
a7.h7->m9,0.0703125
a7.h8->m9,-0.052734375
a7.h25->m9,-0.057861328
a7.h27->m9,-0.049804688
m7->m9,0.17773438
a8.h8->m9,-0.046875
a8.h9->m9,-0.045898438
a8.h12->m9,-0.05053711
a8.h13->m9,-0.06640625
a8.h14->m9,-0.06689453
a8.h15->m9,-0.07519531
a8.h16->m9,-0.064453125
a8.h28->m9,-0.10888672
a8.h29->m9,-0.19726562
a8.h30->m9,-0.05126953
m8->m9,0.09375
a9.h12->m9,0.103515625
a9.h13->m9,0.06298828
a9.h14->m9,0.09082031
a9.h15->m9,0.06738281
a9.h20->m9,-0.06689453
a9.h22->m9,-0.046142578
a9.h23->m9,-0.07080078
a9.h25->m9,-0.05102539
a9.h26->m9,-0.064453125
a9.h28->m9,0.06640625
a9.h31->m9,0.053710938
m0->m10,-0.05883789
