edge,score
input->a0.h9<q>,-0.072265625
input->a0.h22<q>,0.043701172
input->m0,0.091308594
a0.h0->m0,0.047607422
a0.h2->m0,0.20214844
a0.h3->m0,0.12890625
a0.h7->m0,-0.038330078
a0.h9->m0,0.046875
m0->a1.h9<q>,-0.051513672
m0->a1.h11<q>,0.03491211
m0->a1.h21<q>,-0.035888672
m0->a1.h22<q>,0.07421875
m0->a1.h23<q>,-0.043701172
m0->a1.h25<q>,0.055908203
m0->a1.h29<q>,0.05053711
input->m1,-0.11767578
m0->m1,-0.05053711
a1.h30->m1,-0.037597656
m0->a2.h1<q>,-0.034423828
m0->a2.h17<q>,0.045654297
m0->a2.h20<q>,-0.06347656
m1->a2.h5<q>,0.037353516
m1->a2.h16<q>,-0.051513672
m1->a2.h17<q>,0.055908203
m1->a2.h24<q>,-0.036621094
input->m2,0.08984375
a0.h9->m2,0.037597656
a0.h26->m2,-0.03491211
a1.h4->m2,0.043945312
a1.h16->m2,-0.039794922
a1.h24->m2,0.03540039
a2.h5->m2,0.038085938
a2.h6->m2,0.036132812
a2.h12->m2,0.03955078
m2->a3.h23<q>,-0.040527344
input->m3,-0.048095703
a1.h26->m3,0.06298828
m1->m3,-0.05493164
a2.h10->m3,-0.035888672
m2->m3,0.19238281
a3.h12->m3,-0.048095703
a3.h13->m3,-0.036132812
a3.h14->m3,-0.034423828
a3.h17->m3,-0.049072266
a3.h18->m3,-0.0390625
m0->a4.h16<q>,-0.07861328
m0->a4.h28<q>,0.034423828
m1->a4.h16<q>,-0.043701172
m2->a4.h16<q>,-0.067871094
m2->a4.h28<q>,0.06298828
m2->a4.h30<q>,-0.06542969
m3->a4.h16<q>,-0.08642578
m3->a4.h27<q>,0.040527344
m3->a4.h28<q>,0.05810547
m3->a4.h30<q>,-0.083984375
input->m4,-0.068359375
m0->m4,0.12060547
m1->m4,0.07861328
m2->m4,0.15722656
a3.h31->m4,-0.035888672
m3->m4,0.05883789
a4.h4->m4,-0.05102539
a4.h5->m4,-0.03881836
a4.h6->m4,-0.047851562
a4.h7->m4,-0.079589844
a4.h8->m4,0.037109375
a4.h11->m4,0.03540039
a4.h13->m4,0.03881836
a4.h15->m4,0.05102539
a4.h16->m4,0.06225586
a4.h18->m4,0.041503906
m0->a5.h10<q>,-0.038330078
m3->a5.h5<q>,-0.044921875
m3->a5.h15<q>,-0.037841797
m4->a5.h4<q>,0.036132812
m4->a5.h5<q>,0.03540039
m4->a5.h7<q>,-0.040283203
m4->a5.h15<q>,-0.03540039
m4->a5.h25<q>,-0.044433594
a1.h4->m5,-0.044433594
m1->m5,0.09375
m2->m5,-0.084472656
a3.h28->m5,0.040527344
m3->m5,0.049316406
a4.h12->m5,0.04321289
a4.h16->m5,-0.036132812
m4->m5,-0.28515625
a5.h4->m5,0.046142578
a5.h5->m5,0.036621094
a5.h6->m5,0.040527344
a5.h14->m5,0.037597656
a5.h22->m5,0.050048828
a5.h25->m5,-0.04248047
a5.h27->m5,-0.041503906
a5.h30->m5,-0.04345703
a5.h31->m5,-0.06982422
m3->a6.h30<q>,-0.041259766
m5->a6.h12<q>,0.03930664
m5->a6.h21<q>,0.03540039
m5->a6.h27<q>,-0.044921875
m5->a6.h29<q>,0.055419922
m5->a6.h30<q>,-0.044433594
input->m6,-0.12890625
m0->m6,-0.09375
a2.h10->m6,-0.063964844
a4.h16->m6,-0.059326172
m4->m6,0.14355469
a5.h3->m6,0.036376953
a5.h12->m6,-0.044433594
a5.h13->m6,-0.047607422
a5.h14->m6,-0.050048828
a5.h15->m6,-0.080078125
a5.h16->m6,0.03466797
a5.h17->m6,0.05908203
a5.h31->m6,-0.034423828
m5->m6,-0.19628906
a6.h0->m6,0.045410156
a6.h3->m6,-0.03491211
a6.h6->m6,-0.04272461
a6.h16->m6,0.041992188
a6.h18->m6,0.03881836
a6.h19->m6,0.056152344
a6.h22->m6,0.04248047
a6.h23->m6,0.041503906
a6.h24->m6,-0.045654297
a6.h25->m6,-0.05053711
a6.h30->m6,-0.041259766
a6.h31->m6,-0.09667969
m3->a7.h26<q>,0.036376953
m4->a7.h13<q>,-0.067871094
m4->a7.h14<q>,0.05126953
m4->a7.h26<q>,0.0390625
m5->a7.h5<q>,0.038085938
m5->a7.h13<q>,-0.061035156
m5->a7.h23<q>,0.056640625
m5->a7.h24<q>,-0.057617188
m5->a7.h26<q>,0.04711914
m5->a7.h27<q>,0.05102539
m6->a7.h2<q>,0.036865234
m6->a7.h3<q>,-0.040039062
m6->a7.h13<q>,-0.071777344
m6->a7.h15<q>,0.037597656
m6->a7.h23<q>,0.07080078
m6->a7.h27<q>,0.039794922
input->m7,-0.13183594
m1->m7,0.111816406
a2.h10->m7,0.057617188
m2->m7,-0.1640625
a3.h5->m7,-0.037353516
m3->m7,-0.115722656
a4.h4->m7,0.044677734
a4.h27->m7,0.041259766
m4->m7,0.037841797
a5.h5->m7,-0.052734375
a5.h10->m7,0.04248047
a5.h12->m7,0.05053711
a5.h17->m7,0.042236328
a5.h22->m7,0.036865234
a5.h23->m7,0.035888672
m5->m7,0.05810547
a6.h6->m7,0.04345703
a6.h15->m7,-0.041015625
a6.h20->m7,-0.04272461
a6.h31->m7,-0.053222656
m6->m7,0.068359375
a7.h14->m7,-0.037109375
a7.h23->m7,0.04711914
m6->a8.h1<q>,0.037597656
m6->a8.h8<q>,-0.052246094
m7->a8.h1<q>,0.037841797
m7->a8.h5<q>,-0.037353516
m7->a8.h6<q>,-0.03491211
m7->a8.h8<q>,-0.055664062
m7->a8.h9<q>,0.03491211
m7->a8.h28<q>,-0.05444336
m1->m8,0.103515625
m2->m8,-0.038330078
a3.h17->m8,0.037109375
a3.h30->m8,0.040283203
a4.h7->m8,-0.040283203
a4.h12->m8,-0.061035156
a4.h13->m8,-0.0625
a4.h27->m8,-0.047851562
m4->m8,0.14355469
a5.h8->m8,0.037597656
a5.h17->m8,-0.038085938
a5.h25->m8,-0.044921875
a5.h27->m8,-0.044433594
m5->m8,-0.063964844
a6.h4->m8,0.05102539
a6.h5->m8,0.06738281
a6.h6->m8,0.039794922
a6.h7->m8,0.044921875
a6.h8->m8,0.13574219
a6.h9->m8,0.06542969
a6.h10->m8,0.056152344
a6.h11->m8,0.068847656
a6.h24->m8,-0.03491211
a6.h25->m8,-0.05102539
a6.h26->m8,-0.037597656
a6.h28->m8,0.03515625
a6.h30->m8,0.05053711
a6.h31->m8,0.06689453
m6->m8,-0.13964844
a7.h4->m8,-0.03491211
a7.h8->m8,0.034423828
a7.h14->m8,0.049072266
m7->m8,0.072753906
a8.h0->m8,0.045410156
a8.h1->m8,0.048095703
a8.h10->m8,0.04321289
a8.h11->m8,0.05126953
a8.h15->m8,-0.040283203
a8.h21->m8,0.037109375
m7->a9.h6<q>,-0.06298828
m7->a9.h27<q>,-0.040527344
m8->a9.h6<q>,-0.06225586
m8->a9.h9<q>,0.038085938
m8->a9.h18<q>,-0.038330078
m0->m9,0.15332031
m1->m9,-0.061279297
a2.h5->m9,-0.037597656
m3->m9,0.08984375
a4.h7->m9,0.041992188
a4.h12->m9,0.052246094
a4.h13->m9,0.06640625
a4.h14->m9,0.041259766
a4.h15->m9,0.07080078
m4->m9,-0.068847656
a5.h3->m9,0.038085938
a5.h16->m9,-0.04321289
