edge,score
input->a0.h9<q>,-0.12890625
input->a0.h20<q>,-0.16796875
input->m0,-0.8515625
a0.h2->m0,0.10449219
a0.h16->m0,0.13574219
a0.h19->m0,0.19921875
a0.h30->m0,0.12988281
m0->a1.h11<q>,0.12060547
m0->a1.h25<q>,0.11376953
m0->a1.h31<q>,-0.14648438
input->m1,-0.16992188
a0.h9->m1,-0.12988281
m0->m1,-0.17871094
a1.h10->m1,-0.111328125
a1.h18->m1,0.11621094
m1->a2.h24<q>,0.15234375
m1->m2,0.2578125
a2.h12->m2,-0.106933594
m2->a3.h5<q>,-0.13085938
m2->a3.h17<q>,0.10644531
m0->m3,0.16894531
m1->m3,0.18164062
m2->m3,-0.5625
a3.h5->m3,-0.11767578
m1->m4,-0.23828125
m2->m4,0.2578125
m0->m5,-0.47265625
m2->m5,0.2578125
m3->m5,0.15625
a5.h2->m5,0.111328125
a5.h3->m5,0.107910156
m5->a6.h13<q>,0.110839844
m0->m6,0.15332031
a1.h31->m6,0.123535156
m1->m6,0.16113281
a4.h9->m6,-0.11767578
a4.h13->m6,-0.14550781
a5.h16->m6,0.11328125
m5->m6,-0.3515625
a6.h29->m6,-0.13085938
a6.h30->m6,-0.109375
a6.h31->m6,-0.12207031
m6->a7.h21<q>,-0.107421875
a1.h28->m7,-0.115234375
a1.h31->m7,-0.15917969
a3.h31->m7,0.14550781
a4.h13->m7,0.110839844
a5.h12->m7,-0.11621094
a5.h13->m7,-0.11816406
a5.h14->m7,-0.15039062
a5.h15->m7,-0.14355469
a5.h20->m7,0.118652344
a5.h22->m7,0.10888672
m5->m7,0.48242188
a6.h2->m7,0.25195312
a6.h8->m7,0.13867188
a6.h9->m7,0.12451172
a6.h15->m7,-0.11621094
a6.h21->m7,-0.12207031
a6.h22->m7,-0.17871094
a6.h24->m7,-0.10498047
m6->m7,0.765625
a7.h31->m7,-0.19042969
m7->a8.h11<q>,0.12695312
a0.h9->m8,-0.115722656
m0->m8,0.2265625
m1->m8,-0.51171875
a2.h12->m8,0.12792969
m2->m8,-0.5390625
a3.h5->m8,-0.17089844
a4.h10->m8,-0.11328125
a4.h13->m8,0.12597656
m4->m8,0.25195312
a5.h13->m8,-0.119140625
m5->m8,-0.20019531
a6.h0->m8,-0.20410156
a6.h1->m8,-0.107910156
a6.h2->m8,-0.27734375
a6.h8->m8,-0.12890625
a6.h9->m8,-0.13476562
a6.h15->m8,0.19042969
a7.h14->m8,0.115234375
a7.h21->m8,-0.16992188
m7->m8,-0.671875
a8.h2->m8,0.12695312
a8.h8->m8,-0.14355469
a8.h9->m8,-0.22460938
a8.h10->m8,-0.13671875
a8.h11->m8,-0.13964844
a8.h22->m8,0.21972656
a8.h23->m8,0.17285156
a8.h24->m8,-0.12988281
input->m9,-0.20703125
a1.h31->m9,0.11425781
m1->m9,0.123535156
a2.h24->m9,0.118652344
m2->m9,0.30078125
a3.h5->m9,-0.14648438
a3.h28->m9,-0.14550781
a3.h30->m9,-0.13769531
a3.h31->m9,-0.13769531
m4->m9,-0.45703125
a5.h31->m9,0.123535156
m5->m9,0.5859375
a6.h2->m9,-0.15527344
a6.h29->m9,-0.13476562
a6.h31->m9,-0.107421875
m6->m9,0.23535156
a7.h8->m9,0.12011719
m7->m9,0.37304688
a8.h29->m9,0.15527344
a9.h12->m9,-0.20214844
a9.h13->m9,-0.17480469
a9.h14->m9,-0.27539062
a9.h15->m9,-0.2109375
a9.h28->m9,0.14355469
m7->a10.h4<q>,-0.13671875
m8->a10.h4<q>,-0.13769531
m8->a10.h5<q>,0.11621094
m8->a10.h22<q>,0.11425781
m9->a10.h4<q>,-0.13964844
input->m10,-0.29101562
m0->m10,0.49414062
m1->m10,0.25195312
a2.h7->m10,-0.109375
m2->m10,0.24023438
a4.h24->m10,0.10644531
m4->m10,-0.50390625
a6.h2->m10,0.14941406
a6.h15->m10,-0.111816406
a6.h29->m10,-0.22851562
a6.h31->m10,-0.10546875
m6->m10,0.1953125
a7.h31->m10,-0.12792969
m7->m10,-0.296875
a8.h8->m10,-0.16210938
a8.h9->m10,-0.17089844
a8.h10->m10,-0.12890625
a8.h29->m10,-0.14746094
m8->m10,0.5390625
a9.h14->m10,-0.106933594
a10.h12->m10,-0.23730469
a10.h21->m10,0.14941406
m8->a11.h2<q>,0.140625
m9->a11.h2<q>,0.10644531
m10->a11.h16<q>,0.10546875
a1.h31->m11,-0.10644531
m2->m11,0.14648438
a4.h23->m11,0.14648438
a5.h14->m11,-0.119140625
a5.h20->m11,0.14355469
a5.h25->m11,-0.12890625
a5.h27->m11,-0.15527344
m5->m11,-0.37695312
a6.h21->m11,0.10986328
a6.h22->m11,0.14355469
a6.h24->m11,-0.18261719
a6.h25->m11,-0.16210938
m6->m11,0.38085938
m7->m11,0.71484375
a8.h8->m11,0.14550781
a8.h9->m11,0.15039062
a8.h10->m11,0.1640625
a8.h11->m11,0.10449219
a8.h29->m11,0.10888672
m8->m11,0.30273438
a9.h6->m11,0.10986328
a9.h25->m11,-0.11669922
a9.h26->m11,-0.125
a10.h3->m11,0.24609375
a10.h4->m11,0.13085938
a10.h21->m11,0.19726562
m10->m11,-0.14941406
a11.h17->m11,0.12597656
a11.h19->m11,0.15234375
input->m12,-0.8046875
m0->m12,0.32421875
m1->m12,0.15039062
m2->m12,0.24414062
a3.h5->m12,0.14453125
a3.h21->m12,-0.115234375
a3.h22->m12,-0.11328125
a3.h23->m12,-0.11376953
m3->m12,-0.26171875
a4.h14->m12,-0.10888672
m4->m12,0.19238281
a5.h16->m12,0.11816406
a5.h29->m12,-0.11230469
a5.h30->m12,-0.106933594
a5.h31->m12,-0.15234375
m5->m12,0.49414062
a6.h2->m12,0.20898438
a7.h14->m12,-0.111816406
m7->m12,0.16992188
a8.h22->m12,0.13671875
a8.h23->m12,0.107421875
a8.h29->m12,-0.1875
m8->m12,-0.14941406
a9.h31->m12,0.10888672
m9->m12,-0.46679688
a10.h3->m12,0.27539062
a10.h12->m12,0.33984375
a11.h8->m12,-0.23730469
a11.h9->m12,-0.107910156
a11.h10->m12,-0.21972656
a11.h11->m12,-0.16796875
m11->m12,1.7421875
m10->a13.h9<q>,-0.12207031
m12->a13.h9<q>,-0.11816406
input->m13,-0.40429688
m1->m13,0.123535156
a4.h8->m13,0.10546875
a4.h9->m13,0.12695312
a4.h10->m13,0.10546875
a4.h11->m13,0.10449219
m6->m13,-0.123535156
a7.h8->m13,0.12988281
a7.h21->m13,-0.11425781
m7->m13,-0.59375
a8.h29->m13,0.17285156
m8->m13,0.5390625
a9.h6->m13,-0.10986328
a9.h12->m13,0.12597656
a9.h13->m13,0.110839844
a9.h14->m13,0.15332031
a9.h15->m13,0.1328125
m9->m13,-0.15722656
a10.h3->m13,0.17285156
m10->m13,0.31445312
a11.h28->m13,0.122558594
m11->m13,0.81640625
a12.h1->m13,-0.15332031
a12.h22->m13,-0.15136719
m12->m13,1.2265625
a13.h18->m13,-0.2265625
a13.h20->m13,0.11230469
m8->a14.h18<q>,0.118652344
m9->a14.h18<q>,0.23242188
m10->a14.h18<q>,0.14746094
m11->a14.h18<q>,0.16601562
m12->a14.h18<q>,0.24609375
m13->a14.h18<q>,0.17480469
input->m14,-1.21875
a0.h0->m14,0.12451172
a0.h23->m14,-0.10498047
m1->m14,-0.73046875
m2->m14,0.16992188
a3.h5->m14,-0.12890625
a3.h19->m14,0.10986328
m3->m14,-0.48828125
a4.h1->m14,0.1640625
a4.h2->m14,0.15234375
a4.h24->m14,-0.15722656
a4.h25->m14,-0.17089844
m4->m14,-0.15234375
a5.h12->m14,0.10986328
a5.h14->m14,0.17578125
a5.h15->m14,0.15332031
m5->m14,0.3984375
a6.h15->m14,0.10449219
a6.h19->m14,-0.13183594
m6->m14,-0.4609375
a7.h25->m14,0.12988281
a7.h31->m14,0.12109375
a8.h8->m14,0.118652344
a8.h9->m14,0.13085938
a8.h13->m14,0.12011719
a8.h29->m14,-0.11621094
m8->m14,-0.12792969
a9.h12->m14,-0.1953125
a9.h13->m14,-0.15722656
a9.h14->m14,-0.19140625
a9.h15->m14,-0.18652344
m9->m14,-1.15625
a10.h3->m14,-0.23144531
a10.h4->m14,0.11669922
m10->m14,0.29882812
a11.h8->m14,-0.10546875
a11.h11->m14,-0.13964844
m11->m14,1.0078125
a12.h4->m14,0.16894531
a12.h5->m14,0.11669922
a12.h19->m14,0.12890625
m12->m14,1.71875
a13.h10->m14,0.15234375
a13.h11->m14,0.18261719
a13.h18->m14,0.20410156
m13->m14,0.6328125
a14.h18->m14,-0.14648438
a14.h19->m14,-0.19238281
m10->a15.h19<q>,0.31835938
m11->a15.h19<q>,0.14550781
m12->a15.h19<q>,0.26953125
m13->a15.h8<q>,0.12109375
m13->a15.h19<q>,0.15527344
m14->a15.h19<q>,0.56640625
m14->a15.h25<q>,0.11669922
input->m15,1.5703125
m0->m15,-0.953125
a1.h28->m15,0.10498047
a1.h31->m15,0.16601562
m1->m15,-0.17480469
m2->m15,-0.43164062
a3.h5->m15,0.20605469
a3.h21->m15,0.12207031
a3.h28->m15,0.122558594
a3.h30->m15,0.107910156
m3->m15,0.21972656
a4.h7->m15,0.107421875
a4.h13->m15,0.11425781
m4->m15,0.421875
m5->m15,-0.39257812
a6.h0->m15,0.11621094
a6.h24->m15,0.17578125
a6.h25->m15,0.15039062
a6.h29->m15,0.11230469
a7.h0->m15,-0.17871094
a7.h1->m15,-0.1953125
a7.h16->m15,-0.107421875
