edge,score
input->a0.h2<q>,-0.08203125
input->a0.h3<q>,-0.046142578
input->a0.h4<q>,0.053710938
input->a0.h7<q>,-0.22167969
input->a0.h20<q>,-0.095214844
input->a0.h22<q>,-0.050048828
input->m0,-0.4609375
a0.h1->m0,-0.068359375
a0.h2->m0,-0.051513672
a0.h7->m0,0.053222656
a0.h8->m0,-0.063964844
a0.h9->m0,-0.16113281
a0.h14->m0,-0.049804688
a0.h19->m0,-0.052734375
a0.h20->m0,-0.10205078
a0.h21->m0,-0.063964844
a0.h23->m0,-0.080078125
a0.h24->m0,0.061279297
a0.h25->m0,0.06298828
a0.h27->m0,0.049316406
a0.h28->m0,-0.049804688
input->a1.h18<q>,-0.04711914
m0->a1.h3<q>,-0.06640625
m0->a1.h5<q>,0.072265625
m0->a1.h18<q>,-0.059570312
m0->a1.h21<q>,-0.056152344
m0->a1.h22<q>,0.076171875
m0->a1.h23<q>,-0.052246094
m0->a1.h24<q>,-0.07519531
input->m1,0.060302734
a0.h0->m1,-0.103515625
a0.h1->m1,-0.055419922
a0.h2->m1,-0.12451172
a0.h3->m1,-0.05029297
a0.h21->m1,0.076171875
a0.h30->m1,0.05126953
m0->m1,-0.25
a1.h2->m1,-0.048828125
a1.h3->m1,-0.05126953
a1.h4->m1,0.05883789
a1.h5->m1,0.06738281
a1.h11->m1,0.10986328
a1.h12->m1,-0.09667969
a1.h13->m1,-0.06542969
a1.h14->m1,-0.083984375
a1.h15->m1,-0.048095703
a1.h16->m1,0.076660156
a1.h18->m1,0.048095703
a1.h19->m1,0.046875
a1.h20->m1,0.06298828
a1.h21->m1,-0.049804688
a1.h22->m1,-0.096191406
m0->a2.h1<q>,-0.07519531
m0->a2.h3<q>,0.20117188
m0->a2.h7<q>,0.053955078
m0->a2.h8<q>,0.06591797
m0->a2.h16<q>,0.095214844
m0->a2.h22<q>,-0.064453125
m0->a2.h26<q>,-0.05053711
m1->a2.h1<q>,-0.07324219
m1->a2.h3<q>,0.19140625
m1->a2.h5<q>,-0.071777344
m1->a2.h8<q>,0.07080078
m1->a2.h12<q>,0.051513672
m1->a2.h16<q>,0.080566406
input->m2,0.14941406
a0.h0->m2,0.056884766
a0.h2->m2,0.07080078
a0.h9->m2,0.08544922
m0->m2,-0.107421875
a1.h11->m2,-0.055664062
a1.h20->m2,0.115234375
a1.h21->m2,0.06738281
a1.h22->m2,0.08642578
a1.h23->m2,0.046875
a1.h24->m2,-0.055664062
m1->m2,-0.34765625
a2.h12->m2,-0.06347656
a2.h13->m2,-0.10986328
a2.h14->m2,-0.078125
a2.h15->m2,-0.08642578
a2.h18->m2,0.07324219
a2.h19->m2,0.052734375
a2.h22->m2,-0.08642578
a2.h23->m2,-0.09326172
a2.h24->m2,0.096191406
a2.h26->m2,0.059570312
a2.h27->m2,0.14453125
m2->a3.h23<q>,-0.04663086
m2->a3.h27<q>,-0.052246094
m0->m3,-0.111328125
a1.h10->m3,-0.046875
a1.h11->m3,-0.045898438
a1.h31->m3,-0.052734375
m1->m3,-0.13085938
a2.h7->m3,-0.06298828
a2.h23->m3,-0.04663086
m3->a4.h10<q>,0.05102539
m0->m4,0.14257812
a1.h12->m4,0.045654297
a1.h24->m4,0.076171875
a1.h28->m4,-0.091308594
a1.h29->m4,-0.055664062
a1.h30->m4,-0.067871094
a1.h31->m4,-0.09375
m2->m4,0.18652344
a3.h1->m4,-0.05834961
m3->m4,-0.27929688
a4.h8->m4,-0.052490234
a4.h9->m4,-0.049804688
a4.h27->m4,0.046142578
input->m5,-0.046875
a2.h23->m5,-0.05053711
a2.h24->m5,-0.053710938
a2.h26->m5,-0.052734375
a2.h27->m5,-0.095703125
m2->m5,0.084472656
a3.h15->m5,0.053222656
a3.h27->m5,0.05053711
m3->m5,0.2890625
a4.h16->m5,0.057861328
a4.h28->m5,-0.049072266
a4.h29->m5,-0.05053711
a4.h30->m5,-0.08300781
a5.h10->m5,0.07080078
a5.h22->m5,-0.061767578
m0->m6,-0.052734375
a2.h13->m6,-0.05053711
a3.h27->m6,-0.060302734
m4->m6,-0.04711914
a5.h8->m6,-0.053222656
a5.h10->m6,-0.06591797
a5.h25->m6,-0.05102539
m5->m6,-0.061279297
a6.h0->m6,-0.053222656
a6.h2->m6,-0.06982422
a6.h8->m6,0.07470703
a6.h9->m6,0.068359375
a6.h15->m6,0.047851562
m5->a7.h28<q>,-0.048095703
input->m7,-0.1796875
m0->m7,-0.076171875
m1->m7,0.05834961
m2->m7,0.09375
a3.h21->m7,-0.05810547
a3.h22->m7,-0.0625
m3->m7,-0.064453125
m4->m7,0.05029297
m5->m7,0.20703125
a6.h1->m7,0.045654297
a6.h2->m7,0.06298828
a6.h21->m7,-0.056152344
a6.h22->m7,-0.0703125
a6.h23->m7,-0.064453125
a6.h31->m7,0.057617188
a7.h17->m7,-0.056152344
m0->m8,-0.048828125
a1.h28->m8,0.068847656
a1.h29->m8,0.05444336
a1.h31->m8,0.08105469
m1->m8,-0.14355469
a2.h27->m8,-0.061035156
m2->m8,-0.111328125
m3->m8,-0.15625
m4->m8,0.059326172
a5.h8->m8,-0.11669922
a5.h25->m8,0.045898438
a5.h27->m8,0.047607422
m5->m8,0.04663086
a6.h15->m8,0.06982422
m6->m8,0.33203125
a7.h4->m8,0.079589844
a7.h7->m8,0.052490234
a8.h19->m8,-0.05810547
a8.h22->m8,0.06640625
a8.h23->m8,0.05444336
a8.h26->m8,-0.05810547
a8.h29->m8,-0.061279297
input->m9,-0.28515625
m0->m9,0.103027344
a1.h24->m9,0.053466797
m1->m9,0.10253906
m3->m9,0.09765625
a5.h8->m9,0.055908203
a6.h0->m9,-0.0546875
a6.h1->m9,-0.10058594
a6.h2->m9,-0.083984375
m6->m9,0.16796875
a7.h13->m9,-0.06542969
a7.h14->m9,-0.07714844
a7.h15->m9,-0.06542969
m7->m9,0.3828125
a8.h13->m9,0.053955078
m8->m9,0.23730469
a9.h12->m9,-0.103027344
a9.h13->m9,-0.078125
a9.h14->m9,-0.071777344
a9.h15->m9,-0.087402344
a9.h25->m9,0.050048828
a9.h26->m9,0.048828125
a9.h28->m9,0.17773438
a9.h29->m9,0.05810547
a9.h30->m9,0.05810547
a9.h31->m9,0.13476562
m7->a10.h4<q>,-0.06982422
m7->a10.h12<q>,0.056152344
m7->a10.h15<q>,-0.060302734
m7->a10.h27<q>,-0.051513672
m8->a10.h4<q>,-0.056152344
m9->a10.h12<q>,0.05883789
input->m10,-0.28710938
m0->m10,0.18652344
a2.h27->m10,0.056640625
m2->m10,0.10253906
m3->m10,0.17382812
a4.h17->m10,-0.052490234
m4->m10,-0.06591797
a5.h20->m10,-0.056152344
a5.h22->m10,-0.047851562
a6.h0->m10,0.076171875
a6.h1->m10,0.08642578
a6.h2->m10,0.08544922
a6.h3->m10,0.048828125
m6->m10,0.063964844
a7.h21->m10,0.048828125
a7.h23->m10,0.047851562
m7->m10,0.047607422
input->m11,-0.1328125
m0->m11,0.061279297
m1->m11,0.11816406
m4->m11,0.076660156
m5->m11,-0.092285156
a6.h24->m11,-0.048828125
a6.h25->m11,-0.053955078
m6->m11,0.049316406
a7.h21->m11,0.06298828
m7->m11,0.16210938
a8.h29->m11,0.05908203
m8->m11,-0.18359375
a9.h12->m11,-0.072265625
a9.h13->m11,-0.063964844
a9.h14->m11,-0.08935547
a9.h15->m11,-0.07373047
a9.h28->m11,-0.07470703
m9->m11,-0.33007812
m10->m11,0.16210938
a11.h10->m11,-0.05126953
a11.h11->m11,-0.048095703
m0->a12.h5<q>,-0.045654297
m2->a12.h5<q>,-0.053710938
m9->a12.h5<q>,-0.051513672
m10->a12.h20<q>,-0.048828125
m11->a12.h0<q>,-0.048828125
m11->a12.h2<q>,-0.05810547
m11->a12.h5<q>,-0.11669922
input->m12,-0.28320312
m0->m12,0.046875
m2->m12,0.083984375
m3->m12,-0.091796875
m4->m12,0.056640625
m5->m12,-0.09375
a6.h0->m12,0.06298828
a6.h1->m12,0.12011719
a6.h2->m12,0.118652344
m6->m12,0.11328125
a8.h29->m12,-0.05126953
m9->m12,-0.13476562
a10.h12->m12,0.049072266
a10.h17->m12,-0.047851562
a10.h21->m12,0.087402344
m11->m12,0.23535156
m9->a13.h18<q>,0.047607422
m10->a13.h27<q>,-0.05810547
m11->a13.h17<q>,-0.049316406
m11->a13.h18<q>,0.045654297
m11->a13.h23<q>,-0.06738281
m12->a13.h18<q>,0.06982422
m12->a13.h27<q>,-0.056152344
input->m13,-0.09082031
m0->m13,-0.05810547
m2->m13,-0.07080078
m4->m13,-0.087890625
m6->m13,-0.10205078
m7->m13,-0.19140625
a8.h9->m13,-0.05029297
m8->m13,-0.09814453
a9.h12->m13,0.09082031
a9.h13->m13,0.06640625
a9.h14->m13,0.056152344
a9.h15->m13,0.055664062
a9.h28->m13,0.12207031
a9.h29->m13,0.06738281
a9.h31->m13,0.08984375
m9->m13,-0.111816406
m10->m13,-0.24707031
a11.h8->m13,-0.05102539
a11.h10->m13,-0.064941406
a11.h11->m13,-0.05493164
m12->m13,0.515625
a13.h18->m13,-0.09863281
a13.h20->m13,0.12597656
a13.h21->m13,0.055419922
m13->a14.h0<q>,-0.05883789
m13->a14.h2<q>,0.052490234
m13->a14.h18<q>,0.046875
input->m14,-0.24707031
m1->m14,-0.118652344
m5->m14,-0.064453125
m6->m14,-0.1796875
m9->m14,0.23046875
a10.h3->m14,-0.055664062
m11->m14,0.23632812
a12.h4->m14,0.06591797
a12.h5->m14,0.06591797
m12->m14,0.16894531
m13->m14,0.31054688
a14.h25->m14,-0.076171875
a14.h27->m14,-0.053955078
m14->a15.h19<q>,0.25390625
input->m15,-0.22363281
m3->m15,-0.06225586
a4.h12->m15,0.111816406
a4.h13->m15,0.06738281
a4.h14->m15,0.06542969
a5.h8->m15,0.11376953
m5->m15,0.07324219
m6->m15,-0.20019531
m7->m15,-0.24121094
a8.h9->m15,-0.05102539
a8.h12->m15,-0.050048828
a8.h13->m15,-0.05444336
a8.h14->m15,-0.052734375
a8.h15->m15,-0.059570312
m8->m15,-0.19335938
a9.h4->m15,0.05053711
a9.h12->m15,0.14453125
a9.h13->m15,0.11328125
a9.h14->m15,0.115722656
a9.h15->m15,0.12451172
a9.h28->m15,-0.12011719
a9.h29->m15,-0.04711914
a9.h31->m15,-0.09375
m9->m15,-0.19726562
a10.h0->m15,-0.046142578
a10.h3->m15,-0.072753906
a10.h21->m15,-0.063964844
a10.h23->m15,-0.053955078
m10->m15,-0.35742188
a11.h10->m15,-0.05834961
a11.h14->m15,-0.048095703
m11->m15,-0.5234375
a12.h13->m15,0.051513672
a12.h22->m15,-0.052246094
m12->m15,-0.765625
a13.h20->m15,-0.11816406
a13.h21->m15,-0.05493164
a13.h23->m15,-0.051513672
m13->m15,-0.765625
a14.h4->m15,-0.07910156
a14.h5->m15,-0.051513672
a14.h7->m15,-0.053710938
a14.h11->m15,0.09814453
a14.h13->m15,0.046875
a14.h15->m15,0.07080078
a14.h20->m15,-0.07421875
m14->m15,-0.609375
a15.h0->m15,-0.051757812
a15.h1->m15,-0.07080078
a15.h2->m15,-0.08496094
a15.h3->m15,-0.06225586
a15.h12->m15,0.068847656
a15.h21->m15,-0.076171875
a15.h23->m15,-0.078125
a15.h25->m15,-0.092285156
input->logits,1.8828125
m0->logits,-0.53125
m1->logits,-0.13183594
m2->logits,-0.21386719
m3->logits,-0.23046875
m4->logits,-0.10107422
m5->logits,-0.14648438
a6.h1->logits,-0.049316406
a6.h2->logits,-0.05029297
m6->logits,-0.087402344
m8->logits,-0.07714844
a9.h14->logits,-0.05029297
m9->logits,-0.17871094
a10.h3->logits,0.06640625
m10->logits,-0.22753906
m11->logits,-0.41796875
a12.h8->logits,0.046142578
m12->logits,-0.34570312
m13->logits,-0.87890625
a14.h1->logits,-0.060546875
a14.h15->logits,-0.050048828
m14->logits,-0.6171875
a15.h11->logits,0.091796875
a15.h14->logits,-0.087402344
a15.h15->logits,-0.053955078
a15.h21->logits,0.072753906
a15.h23->logits,0.35742188
a15.h27->logits,-0.061523438
m15->logits,1.40625
