edge,score
input->a0.h0<q>,0.06738281
a0.h2->m0,0.08300781
a0.h6->m0,-0.092285156
m0->a1.h4<q>,-0.092285156
m0->a1.h9<q>,-0.07128906
m0->a1.h17<q>,0.07421875
m0->a1.h25<q>,-0.056152344
m0->a1.h26<q>,0.072265625
m0->a1.h28<q>,0.091796875
m0->a1.h29<q>,0.06689453
m0->a1.h30<q>,0.053955078
m0->a1.h31<q>,-0.123046875
input->m1,-0.30078125
a0.h3->m1,0.110839844
m0->m1,-0.16210938
a1.h10->m1,-0.052734375
a1.h17->m1,-0.05908203
a1.h18->m1,-0.068847656
a1.h21->m1,-0.060302734
a1.h22->m1,-0.072265625
a1.h23->m1,-0.06738281
a1.h24->m1,0.068847656
a1.h30->m1,-0.052734375
m0->a2.h5<q>,-0.08886719
m0->a2.h6<q>,0.06982422
m0->a2.h14<q>,0.06689453
m0->a2.h17<q>,0.08300781
m0->a2.h18<q>,-0.055664062
m0->a2.h19<q>,-0.052490234
m0->a2.h26<q>,-0.056152344
m1->a2.h5<q>,-0.11767578
m1->a2.h6<q>,0.16210938
m1->a2.h14<q>,0.055664062
m1->a2.h17<q>,0.109375
m1->a2.h18<q>,-0.06347656
input->m2,0.51171875
a0.h2->m2,-0.059570312
a0.h6->m2,0.06225586
a0.h28->m2,-0.067871094
m0->m2,-0.3125
a1.h4->m2,0.068847656
a1.h11->m2,0.063964844
a1.h19->m2,-0.068847656
a1.h24->m2,0.06640625
a2.h10->m2,-0.08251953
a2.h29->m2,0.06738281
a2.h31->m2,0.111816406
m2->a3.h16<q>,-0.060546875
input->m3,-0.07519531
m0->m3,0.23242188
m1->m3,0.25390625
a2.h9->m3,-0.056152344
a2.h12->m3,-0.0625
a2.h30->m3,0.08496094
m2->m3,0.33789062
a3.h17->m3,-0.08105469
a3.h18->m3,-0.068847656
m0->a4.h16<q>,-0.14453125
m0->a4.h24<q>,0.07763672
m0->a4.h26<q>,-0.087402344
m1->a4.h16<q>,-0.06640625
m1->a4.h24<q>,0.0546875
m1->a4.h26<q>,-0.072265625
m2->a4.h16<q>,-0.09375
m2->a4.h19<q>,0.07324219
m2->a4.h24<q>,0.057617188
m2->a4.h26<q>,-0.061767578
m2->a4.h28<q>,0.06591797
m2->a4.h30<q>,-0.06542969
m3->a4.h1<q>,0.068359375
m3->a4.h2<q>,0.052734375
m3->a4.h3<q>,-0.05810547
m3->a4.h11<q>,0.057128906
m3->a4.h16<q>,-0.08886719
m3->a4.h19<q>,0.08203125
m3->a4.h26<q>,-0.09082031
m3->a4.h28<q>,0.076171875
m3->a4.h30<q>,-0.061767578
m0->m4,0.13378906
a1.h23->m4,-0.05834961
m1->m4,-0.13183594
a2.h5->m4,0.07324219
m2->m4,-0.08935547
a3.h1->m4,0.053222656
a3.h15->m4,0.063964844
a3.h19->m4,-0.06689453
a3.h28->m4,0.079589844
m3->m4,-0.23828125
a4.h1->m4,-0.079589844
a4.h16->m4,-0.072265625
m3->a5.h5<q>,-0.063964844
m3->a5.h7<q>,0.068359375
m4->a5.h15<q>,-0.056884766
input->m5,-0.106933594
m1->m5,0.46679688
a2.h5->m5,-0.06298828
m2->m5,-0.35742188
a3.h28->m5,-0.061767578
a3.h29->m5,-0.056884766
a3.h30->m5,-0.06689453
m3->m5,0.15527344
a4.h12->m5,-0.067871094
a4.h13->m5,-0.092285156
a4.h24->m5,-0.060546875
a4.h25->m5,-0.053222656
m4->m5,-0.21972656
a5.h13->m5,-0.06298828
a5.h15->m5,-0.059326172
a5.h24->m5,-0.07910156
a5.h25->m5,-0.064453125
a5.h27->m5,-0.107421875
a5.h29->m5,-0.06542969
a5.h30->m5,-0.06347656
m2->a6.h9<q>,0.056152344
m3->a6.h8<q>,-0.05908203
m4->a6.h9<q>,0.055908203
m4->a6.h11<q>,-0.053222656
m5->a6.h1<q>,-0.08251953
m5->a6.h9<q>,0.068847656
m5->a6.h11<q>,-0.06225586
m5->a6.h21<q>,0.05883789
m5->a6.h24<q>,0.07080078
input->m6,-0.16894531
m1->m6,-0.296875
m2->m6,0.33007812
a3.h22->m6,-0.057617188
a3.h23->m6,-0.052490234
a3.h31->m6,-0.099609375
m3->m6,0.11816406
