edge,score
input->a0.h9<q>,0.115722656
input->a0.h20<q>,0.055664062
input->a0.h28<q>,0.061279297
a0.h2->m0,0.06347656
a0.h3->m0,0.06933594
a0.h6->m0,0.064941406
m0->a1.h3<q>,-0.09814453
m0->a1.h5<q>,-0.087890625
m0->a1.h17<q>,0.057128906
m0->a1.h23<q>,0.10449219
m0->a1.h25<q>,0.056640625
m0->a1.h28<q>,0.0625
input->m1,-0.15429688
a0.h16->m1,0.064453125
a1.h8->m1,0.0625
a1.h24->m1,0.057128906
a1.h26->m1,0.14160156
a1.h27->m1,0.07861328
a1.h31->m1,-0.075683594
m0->a2.h6<q>,0.07373047
m0->a2.h7<q>,0.072265625
m0->a2.h27<q>,0.05493164
m1->a2.h5<q>,-0.063964844
m1->a2.h6<q>,0.08935547
m1->a2.h7<q>,0.08935547
m1->a2.h16<q>,0.06640625
m1->a2.h19<q>,-0.056152344
m1->a2.h27<q>,0.055419922
a0.h2->m2,0.063964844
m0->m2,-0.18164062
a1.h11->m2,0.068847656
m1->m2,-0.16015625
a2.h12->m2,0.07910156
a2.h24->m2,-0.09765625
m1->a3.h1<q>,0.055419922
m1->m3,0.265625
m2->m3,-0.05834961
m3->a4.h29<q>,0.07324219
m0->m4,0.107421875
m1->m4,-0.092285156
a2.h26->m4,-0.057861328
a3.h2->m4,-0.06542969
m3->m4,0.37304688
a4.h1->m4,-0.080078125
a4.h2->m4,-0.056152344
a4.h13->m4,0.06982422
a4.h14->m4,0.083984375
a4.h31->m4,-0.08105469
m3->a5.h26<q>,0.061035156
m4->a5.h19<q>,-0.068847656
m4->a5.h26<q>,0.07128906
m4->a5.h27<q>,0.0703125
m0->m5,-0.08886719
m1->m5,-0.06347656
a3.h2->m5,0.06738281
m4->m5,0.40820312
m3->a6.h4<q>,-0.05834961
m5->a6.h4<q>,-0.09423828
m5->a6.h27<q>,0.07080078
m0->m6,-0.07080078
a1.h11->m6,-0.064453125
a1.h28->m6,0.06225586
a1.h30->m6,0.0546875
a1.h31->m6,0.096191406
m1->m6,0.09082031
a2.h24->m6,-0.059570312
a2.h26->m6,-0.057861328
a3.h7->m6,0.061279297
a3.h21->m6,-0.060546875
m3->m6,-0.11425781
a4.h2->m6,0.06738281
a4.h7->m6,-0.0546875
a4.h9->m6,-0.06225586
a4.h13->m6,-0.057617188
m4->m6,0.055664062
a5.h2->m6,-0.068847656
m5->m6,0.4609375
a6.h0->m6,0.07080078
a6.h3->m6,0.055419922
a6.h4->m6,0.095214844
a6.h5->m6,0.08105469
a6.h6->m6,0.09814453
a6.h7->m6,0.07714844
a6.h19->m6,0.06542969
a6.h30->m6,-0.056640625
m6->a7.h15<q>,-0.05493164
input->m7,-0.11621094
m0->m7,0.109375
a1.h24->m7,0.059570312
m1->m7,0.115722656
a2.h26->m7,0.08544922
a3.h2->m7,0.07714844
a3.h21->m7,0.05883789
a3.h24->m7,-0.057617188
a3.h29->m7,0.05810547
a3.h30->m7,0.0625
m3->m7,0.22753906
a4.h31->m7,0.055419922
m4->m7,-0.25
a5.h29->m7,0.072265625
a5.h30->m7,0.05493164
a5.h31->m7,0.056152344
m5->m7,0.23144531
a6.h1->m7,0.06689453
a6.h4->m7,-0.11669922
a6.h5->m7,-0.11669922
a6.h6->m7,-0.14648438
a6.h7->m7,-0.118652344
a6.h19->m7,-0.08496094
a6.h30->m7,0.06982422
m6->m7,0.3984375
a7.h8->m7,0.09375
a7.h11->m7,0.072265625
a7.h15->m7,0.072265625
a7.h21->m7,-0.08251953
a7.h31->m7,-0.061767578
m7->a8.h8<q>,0.06542969
m1->m8,-0.07861328
a2.h16->m8,-0.05908203
m2->m8,0.08691406
m3->m8,-0.125
a4.h24->m8,-0.072265625
a4.h25->m8,-0.07421875
a4.h26->m8,-0.055664062
m4->m8,0.13671875
a5.h14->m8,0.06738281
a5.h17->m8,-0.072265625
m5->m8,-0.20898438
a6.h0->m8,-0.107910156
a6.h1->m8,-0.103027344
a6.h2->m8,-0.18652344
a6.h3->m8,-0.075683594
