edge,score
input->a0.h9<q>,-0.17871094
input->a0.h20<q>,-0.13085938
input->m0,-1.125
a0.h16->m0,0.15917969
a0.h17->m0,0.103027344
a0.h19->m0,0.22851562
a0.h23->m0,-0.10546875
a0.h28->m0,-0.11376953
a0.h30->m0,0.15332031
m0->a1.h25<q>,0.18652344
m0->a1.h31<q>,-0.15136719
input->m1,-0.3515625
a0.h9->m1,-0.123535156
m0->m1,-0.14160156
a1.h10->m1,-0.110839844
a1.h11->m1,-0.10498047
m0->a2.h24<q>,0.125
m1->a2.h24<q>,0.20898438
a1.h10->m2,0.107421875
m1->m2,0.18847656
m2->a3.h1<q>,0.14160156
m2->a3.h5<q>,-0.15429688
m2->a3.h17<q>,0.13964844
m2->a3.h23<q>,-0.106933594
m1->m3,0.19726562
m2->m3,-0.55078125
a3.h5->m3,-0.13671875
input->m4,-0.13476562
m0->m4,0.107421875
m1->m4,-0.23144531
m2->m4,0.18457031
a3.h5->m4,-0.14453125
a3.h28->m4,0.10498047
a3.h30->m4,0.103515625
m0->m5,-0.49414062
m2->m5,0.22265625
m3->m5,0.22851562
a4.h8->m5,-0.111816406
a4.h9->m5,-0.10888672
a4.h10->m5,-0.110839844
m4->m5,0.12109375
m5->a6.h13<q>,0.14550781
m0->m6,0.31054688
a1.h11->m6,-0.109375
a1.h28->m6,0.11328125
a1.h31->m6,0.14648438
m1->m6,0.103515625
m3->m6,0.1328125
a4.h9->m6,-0.13574219
a4.h13->m6,-0.14257812
a5.h16->m6,0.11425781
m5->m6,-0.57421875
a6.h29->m6,-0.12988281
a6.h30->m6,-0.107910156
a6.h31->m6,-0.12792969
m6->a7.h14<q>,-0.13769531
m6->a7.h21<q>,-0.11767578
m6->a7.h24<q>,0.115234375
m6->a7.h26<q>,-0.11230469
input->m7,-0.119140625
a1.h28->m7,-0.12988281
a1.h31->m7,-0.18164062
a3.h28->m7,0.11621094
a3.h31->m7,0.17773438
m3->m7,-0.12207031
a5.h12->m7,-0.119140625
a5.h13->m7,-0.103515625
a5.h14->m7,-0.13964844
a5.h15->m7,-0.14648438
a5.h16->m7,-0.118652344
a5.h17->m7,-0.10644531
a5.h20->m7,0.115722656
m5->m7,0.609375
a6.h1->m7,0.10449219
a6.h2->m7,0.30078125
a6.h8->m7,0.109375
a6.h21->m7,-0.12988281
a6.h22->m7,-0.14648438
m6->m7,0.9453125
a7.h31->m7,-0.15039062
m5->a8.h11<q>,0.111328125
m7->a8.h11<q>,0.14355469
m0->m8,0.24609375
m1->m8,-0.4609375
a2.h12->m8,0.12011719
m2->m8,-0.40429688
