edge,score
input->m0,-0.1796875
m0->a1.h9<q>,-0.04663086
input->m1,-0.072753906
a1.h5->m1,-0.047607422
m0->m2,-0.125
a1.h3->m2,-0.035888672
a2.h16->m2,0.040283203
a2.h24->m2,-0.053222656
a2.h31->m2,-0.03881836
m2->m3,-0.09326172
a3.h2->m3,-0.037597656
a3.h21->m3,0.03564453
a3.h28->m3,0.038085938
m0->m4,0.076171875
a2.h31->m4,-0.038330078
m2->m4,0.10058594
a3.h5->m4,-0.059326172
a4.h1->m4,-0.041503906
a4.h4->m4,0.055664062
input->m5,0.045654297
m0->m5,-0.046875
m2->m5,-0.064453125
a3.h2->m5,0.063964844
a4.h9->m5,0.051513672
a4.h31->m5,0.049072266
m4->m5,0.14257812
a5.h15->m5,0.036621094
a5.h17->m5,-0.040039062
m5->a6.h4<q>,-0.048095703
a3.h5->m6,0.049804688
a3.h19->m6,0.04345703
m3->m6,-0.091796875
a4.h1->m6,-0.052734375
a4.h9->m6,0.037109375
a4.h14->m6,-0.043701172
a4.h24->m6,0.04248047
m4->m6,-0.24414062
a5.h13->m6,-0.09082031
a5.h14->m6,-0.049804688
a5.h15->m6,-0.05102539
a5.h17->m6,0.03564453
a5.h29->m6,-0.03930664
a5.h31->m6,-0.03857422
m5->m6,0.20996094
a6.h3->m6,0.040039062
m5->a7.h2<q>,-0.051757812
input->m7,-0.05834961
m0->m7,0.095214844
m2->m7,0.040527344
m3->m7,-0.05908203
a4.h14->m7,-0.046142578
a4.h15->m7,-0.037597656
a4.h31->m7,-0.038085938
m4->m7,0.11425781
a5.h14->m7,-0.040283203
a5.h15->m7,-0.048095703
a5.h29->m7,0.036132812
a5.h31->m7,0.03881836
m5->m7,-0.057861328
a6.h1->m7,0.037109375
a6.h2->m7,0.052490234
a6.h4->m7,-0.08544922
a6.h5->m7,-0.09082031
a6.h6->m7,-0.09082031
a6.h7->m7,-0.095214844
a6.h19->m7,-0.037109375
m6->m7,0.2890625
a7.h21->m7,-0.07519531
a7.h23->m7,-0.03955078
a3.h16->m8,0.038085938
a3.h19->m8,0.0390625
a3.h21->m8,-0.037597656
a3.h23->m8,-0.04321289
m3->m8,-0.048095703
a4.h1->m8,-0.06298828
a4.h2->m8,-0.049316406
a4.h8->m8,0.068847656
a4.h9->m8,0.07324219
a4.h10->m8,0.068359375
a4.h11->m8,0.05908203
m4->m8,0.042236328
a5.h14->m8,-0.037353516
a5.h17->m8,0.039794922
a5.h19->m8,0.037353516
a5.h20->m8,0.04321289
a5.h25->m8,-0.03955078
a5.h29->m8,-0.08984375
a5.h30->m8,-0.045654297
a5.h31->m8,-0.078125
m5->m8,-0.055664062
a6.h1->m8,-0.04345703
a6.h2->m8,-0.038330078
a6.h12->m8,-0.041015625
a6.h13->m8,-0.040283203
a6.h15->m8,-0.061767578
m6->m8,-0.050048828
a7.h8->m8,-0.051757812
a7.h16->m8,0.0390625
a7.h21->m8,0.078125
a7.h22->m8,0.040527344
a7.h23->m8,0.07714844
m7->m8,0.049316406
a8.h8->m8,-0.051757812
a8.h9->m8,-0.046142578
a8.h10->m8,-0.042236328
a8.h15->m8,-0.037597656
m6->a9.h13<q>,0.038085938
m1->m9,0.08105469
m2->m9,-0.11376953
a3.h16->m9,0.03540039
a3.h21->m9,-0.055664062
a3.h22->m9,-0.038330078
a3.h23->m9,-0.053466797
m3->m9,-0.11669922
a4.h4->m9,-0.038085938
a4.h14->m9,-0.05493164
a5.h12->m9,0.051757812
a5.h13->m9,0.051757812
a5.h14->m9,0.04711914
a5.h15->m9,0.060058594
a5.h25->m9,0.045410156
m5->m9,0.19726562
a6.h2->m9,0.059326172
a6.h13->m9,-0.044677734
a6.h15->m9,-0.051513672
a6.h24->m9,0.04321289
m6->m9,-0.17773438
a7.h4->m9,0.048828125
a7.h7->m9,0.044677734
m7->m9,0.18164062
a8.h12->m9,-0.041259766
a8.h14->m9,-0.041015625
a8.h15->m9,-0.044433594
a8.h28->m9,-0.079589844
a8.h29->m9,-0.14648438
a8.h30->m9,-0.036865234
m8->m9,0.099609375
a9.h19->m9,0.03491211
a9.h20->m9,-0.040039062
a9.h28->m9,0.03930664
a9.h31->m9,0.035888672
m0->m10,-0.063964844
a2.h12->m10,0.041992188
m2->m10,-0.14257812
a3.h28->m10,0.059326172
a3.h29->m10,0.049316406
a3.h30->m10,0.06542969
a3.h31->m10,0.042236328
m3->m10,0.038085938
a4.h1->m10,0.045654297
a4.h2->m10,0.041259766
a4.h4->m10,-0.04321289
a4.h5->m10,-0.041015625
a4.h23->m10,-0.03857422
m4->m10,-0.18457031
a5.h3->m10,0.07763672
a5.h8->m10,-0.036621094
a5.h24->m10,0.045654297
a5.h25->m10,0.049072266
a5.h27->m10,0.040283203
m5->m10,-0.06591797
a6.h0->m10,0.09814453
a6.h1->m10,0.06347656
a6.h2->m10,0.091796875
a6.h3->m10,0.07519531
a6.h8->m10,0.045654297
