edge,score
input->m0,-0.87109375
a0.h7->m0,1.046875
a0.h8->m0,1.015625
a0.h9->m0,0.86328125
a0.h10->m0,1.0078125
a0.h11->m0,1.1640625
a0.h12->m0,0.83984375
a0.h13->m0,0.640625
m0->m1,-0.4921875
a1.h7->m1,-0.38476562
a1.h8->m1,-0.43945312
a1.h10->m1,-0.375
a1.h11->m1,-0.58984375
a1.h12->m1,-0.37695312
a1.h0->m2,0.40429688
a1.h1->m2,-0.3984375
a1.h10->m2,0.48242188
a1.h11->m2,0.30664062
m1->m2,0.48828125
a2.h1->m2,-0.45703125
a2.h3->m2,-0.3828125
a1.h0->m3,0.4296875
a1.h1->m3,-0.44335938
a1.h5->m3,-0.33984375
a1.h7->m3,0.4140625
a1.h8->m3,0.32421875
a1.h10->m3,0.43164062
a1.h11->m3,0.49023438
a1.h12->m3,0.34179688
a2.h2->m3,-0.4375
a2.h3->m3,-0.3515625
a2.h4->m3,-0.625
a2.h5->m3,-0.34960938
a2.h6->m3,-0.4453125
a2.h7->m3,0.45507812
a2.h10->m3,0.51171875
a2.h12->m3,0.40234375
m2->m3,0.453125
m0->m4,-0.5234375
a1.h1->m4,0.43164062
a1.h7->m4,-0.37304688
a1.h8->m4,-0.3203125
a1.h10->m4,-0.42578125
a1.h11->m4,-0.49023438
a1.h12->m4,-0.3671875
m1->m4,-1.3125
a2.h3->m4,0.44921875
a2.h4->m4,0.41015625
a2.h5->m4,0.33007812
a2.h6->m4,0.421875
m2->m4,0.484375
m3->m4,0.48828125
m0->m5,-0.61328125
m1->m5,-0.6484375
a2.h10->m5,-0.31054688
m3->m5,-0.546875
m4->m5,1.03125
a5.h13->m5,-0.35546875
a2.h3->m6,-0.38671875
m2->m6,-0.6953125
m4->m6,-0.6328125
a5.h5->m6,-0.375
a6.h3->m6,0.75
a1.h0->m7,-0.33984375
a2.h0->m7,-0.33007812
a2.h1->m7,-0.43554688
a3.h1->m7,0.43554688
m3->m7,-0.80859375
a4.h3->m7,0.32226562
m4->m7,1.1484375
a5.h4->m7,0.47265625
m5->m7,-1.1640625
m6->m7,1.0078125
a7.h6->m7,-0.38085938
a2.h4->m8,-0.35546875
a2.h6->m8,-0.31054688
m2->m8,1.1015625
a4.h13->m8,-0.3125
m4->m8,-1.109375
m5->m8,-0.98046875
a6.h3->m8,-0.34960938
a6.h5->m8,0.35546875
m6->m8,1.0390625
m7->m8,-1.5234375
a8.h6->m8,0.578125
m0->m9,0.55859375
a2.h1->m9,-0.359375
a2.h7->m9,-0.32421875
a2.h10->m9,-0.32421875
m2->m9,1.0390625
m3->m9,-0.6484375
a4.h3->m9,-0.53125
m4->m9,1.6171875
a5.h5->m9,0.38671875
m5->m9,1.0546875
a6.h5->m9,-0.32226562
a6.h12->m9,0.34570312
m6->m9,-0.98046875
a7.h6->m9,0.39453125
a7.h10->m9,-0.55859375
a7.h12->m9,-0.890625
a7.h13->m9,-0.6015625
a8.h7->m9,-0.88671875
a8.h9->m9,-0.5390625
a8.h10->m9,-1.0625
a8.h12->m9,-0.5234375
m9->a10.h8<q>,-0.32226562
m9->a10.h11<q>,-0.30664062
m0->m10,0.40039062
a1.h1->m10,-0.41796875
a1.h2->m10,-0.31054688
a1.h4->m10,-0.375
a1.h5->m10,-0.4453125
a1.h6->m10,-0.4921875
a2.h3->m10,0.3203125
a2.h5->m10,0.3203125
m2->m10,-0.875
m3->m10,2.4375
m4->m10,-0.36523438
a5.h13->m10,0.41210938
m5->m10,-1.4296875
a6.h3->m10,0.8515625
m6->m10,-0.53125
a7.h6->m10,-0.32421875
a7.h10->m10,0.44726562
a7.h11->m10,0.33984375
a7.h13->m10,0.328125
m7->m10,-1.6328125
a8.h2->m10,0.5234375
a8.h5->m10,0.51171875
a8.h7->m10,0.6796875
a8.h9->m10,0.45507812
a8.h10->m10,0.56640625
a8.h12->m10,0.328125
m8->m10,1.171875
a9.h9->m10,0.44921875
m9->m10,0.39453125
a10.h0->m10,0.38085938
a10.h13->m10,0.37304688
a1.h0->m11,-0.44726562
a1.h3->m11,-0.43945312
a1.h9->m11,0.35546875
m1->m11,0.3671875
a2.h10->m11,0.30664062
m3->m11,-0.63671875
m4->m11,0.47070312
a5.h3->m11,0.31445312
a5.h5->m11,0.34570312
a6.h2->m11,-0.53125
a6.h3->m11,-1.578125
a6.h5->m11,-0.5078125
m6->m11,1.1640625
a7.h5->m11,-0.44726562
m7->m11,2.875
m8->m11,-1.1328125
a9.h2->m11,-0.3984375
a9.h5->m11,-0.4140625
m9->m11,-1.0
a10.h0->m11,-0.96484375
a10.h13->m11,0.328125
m10->m11,-1.96875
m0->m12,-0.40820312
a1.h1->m12,0.75390625
a1.h3->m12,0.34960938
a1.h5->m12,0.63671875
a1.h6->m12,0.5234375
m1->m12,-0.703125
a2.h2->m12,-0.30664062
m4->m12,0.66015625
m5->m12,-0.55859375
a6.h1->m12,-0.328125
a6.h2->m12,-0.34960938
m6->m12,-0.6953125
a7.h12->m12,0.57421875
a7.h13->m12,0.41796875
m7->m12,-0.8984375
a8.h6->m12,0.76171875
a10.h0->m12,0.40234375
a10.h7->m12,-0.94140625
a10.h11->m12,-0.59765625
m10->m12,0.62890625
m11->m12,-1.5234375
a12.h0->m12,-1.3203125
a12.h1->m12,-0.6484375
a12.h5->m12,-0.6171875
a12.h6->m12,-0.4296875
m0->m13,0.40429688
m1->m13,0.30664062
m2->m13,-1.0078125
m3->m13,0.78515625
m4->m13,-0.41210938
m5->m13,-0.49804688
a6.h2->m13,0.39453125
a6.h3->m13,0.40429688
a6.h5->m13,0.46484375
m7->m13,0.7109375
a8.h13->m13,0.31835938
m9->m13,-0.5
a10.h7->m13,0.5390625
a11.h3->m13,0.375
a13.h6->m13,-0.33203125
m10->a14.h10<q>,0.31835938
m12->a14.h10<q>,0.5078125
m13->a14.h9<q>,-0.48828125
m13->a14.h10<q>,0.5703125
m1->m14,-0.38476562
m2->m14,0.6484375
m6->m14,0.359375
a8.h7->m14,0.30859375
a8.h10->m14,0.59765625
a8.h12->m14,0.4140625
a10.h0->m14,0.546875
m11->m14,-1.4609375
m12->m14,-0.80859375
m13->m14,0.31835938
a14.h7->m14,0.30664062
m0->m15,-0.38085938
m3->m15,-0.4296875
m4->m15,0.33203125
m5->m15,0.7734375
m6->m15,-0.38476562
m8->m15,-0.8359375
a10.h0->m15,0.49023438
a10.h7->m15,-0.34179688
a10.h13->m15,-0.3515625
m10->m15,-0.46484375
m11->m15,-0.4375
a13.h6->m15,-0.6953125
m13->m15,-0.98046875
m1->m16,0.3828125
m2->m16,-0.33007812
m3->m16,-0.59375
m4->m16,-0.36914062
a5.h13->m16,0.38671875
m7->m16,0.4453125
a8.h6->m16,-0.45703125
m8->m16,-0.49023438
m9->m16,0.34570312
a10.h0->m16,0.3515625
a10.h7->m16,-0.61328125
a10.h11->m16,-0.34179688
m11->m16,1.03125
m12->m16,-0.42773438
m13->m16,-0.39257812
a14.h7->m16,0.41210938
a14.h10->m16,0.3203125
a14.h11->m16,0.53125
m14->m16,-1.796875
a15.h2->m16,-0.35742188
a16.h11->m16,0.44921875
m9->m17,-0.42773438
m13->m17,1.1015625
m16->m17,0.98046875
m2->m18,0.3671875
m3->m18,-0.5390625
m4->m18,-0.3515625
a7.h12->m18,-0.3359375
a10.h0->m18,-0.33789062
m10->m18,0.39257812
m11->m18,0.55078125
a12.h0->m18,0.78515625
a12.h5->m18,0.37304688
a13.h6->m18,0.38085938
m14->m18,-0.359375
m15->m18,-0.92578125
m16->m18,1.078125
a17.h10->m18,-0.34570312
m1->m19,0.33984375
m3->m19,0.59375
m5->m19,-0.421875
a8.h7->m19,-0.33984375
m8->m19,0.53125
m9->m19,0.609375
m11->m19,-0.59375
m12->m19,0.38476562
a13.h6->m19,-0.4140625
m15->m19,-1.046875
a16.h11->m19,-0.359375
m16->m19,0.34765625
a17.h10->m19,0.6328125
a18.h9->m19,-0.31640625
m0->m20,-0.953125
m3->m20,-0.7734375
a6.h3->m20,0.43164062
m6->m20,0.71484375
m7->m20,-0.86328125
m9->m20,-0.33203125
a10.h7->m20,-0.88671875
a10.h11->m20,-0.38476562
m11->m20,-0.44335938
a12.h0->m20,-0.44726562
m13->m20,1.03125
m15->m20,-1.21875
a16.h11->m20,0.73828125
a17.h5->m20,-0.32421875
a17.h10->m20,-0.40039062
m18->m20,0.7109375
m19->m20,0.86328125
m16->a21.h7<q>,0.5859375
m20->a21.h7<q>,-0.30859375
m0->m21,-0.671875
a2.h3->m21,0.43164062
a2.h5->m21,0.32226562
a2.h6->m21,0.33203125
m4->m21,-0.53515625
m5->m21,-0.4453125
a6.h3->m21,-0.87890625
m6->m21,0.36328125
a8.h6->m21,-0.43554688
a8.h10->m21,0.51171875
m9->m21,0.4296875
a10.h0->m21,0.81640625
a10.h7->m21,-1.2578125
a10.h11->m21,-0.4375
m11->m21,1.2421875
a12.h7->m21,0.33984375
m12->m21,-0.82421875
a14.h1->m21,0.55078125
m14->m21,1.046875
a16.h11->m21,-0.75
m16->m21,-0.6640625
m18->m21,0.9765625
m19->m21,1.640625
m20->m21,6.09375
m16->a22.h9<q>,0.3515625
m0->m22,-0.9453125
m2->m22,-0.35546875
m3->m22,-0.52734375
m4->m22,-0.4609375
a6.h2->m22,0.38476562
a6.h5->m22,0.61328125
m9->m22,-0.40429688
m10->m22,-0.8359375
m11->m22,0.6171875
m13->m22,0.734375
m14->m22,1.1015625
m16->m22,-0.6484375
a17.h10->m22,-0.41796875
m18->m22,0.71484375
m19->m22,1.7421875
a20.h3->m22,-0.30664062
m20->m22,-2.234375
m21->m22,2.40625
a22.h9->m22,-0.453125
m2->m23,-0.55078125
a7.h6->m23,0.46679688
a12.h0->m23,-0.41796875
a13.h6->m23,-0.4453125
m14->m23,-1.1171875
m15->m23,0.49023438
m16->m23,-0.37695312
m17->m23,-1.0859375
m19->m23,-1.171875
m20->m23,-3.5625
m21->m23,-6.15625
a22.h9->m23,0.8515625
m22->m23,-0.44726562
a23.h0->m23,-0.48242188
a23.h1->m23,-0.45507812
a23.h2->m23,-0.46484375
a23.h3->m23,-0.375
a23.h4->m23,-0.40820312
a23.h5->m23,-0.43164062
a23.h6->m23,-0.34179688
a23.h7->m23,0.59765625
a23.h8->m23,0.55859375
a23.h9->m23,0.56640625
a23.h10->m23,0.60546875
a23.h11->m23,0.59375
a23.h12->m23,0.61328125
a23.h13->m23,0.62109375
input->logits,0.734375
m1->logits,-0.53125
m2->logits,0.44726562
m3->logits,-0.69921875
a5.h13->logits,-0.3671875
m5->logits,-0.34570312
m6->logits,0.34570312
a7.h12->logits,-0.40039062
m7->logits,0.51171875
m8->logits,-0.30664062
m9->logits,0.4296875
m10->logits,0.4609375
m12->logits,1.0859375
m13->logits,-1.5703125
m14->logits,-1.390625
m16->logits,0.640625
a17.h4->logits,-0.36523438
a17.h5->logits,-0.41015625
m17->logits,1.1640625
m19->logits,-0.91015625
a20.h10->logits,0.30664062
m20->logits,-2.171875
m21->logits,-2.40625
m22->logits,0.46289062
a23.h0->logits,-0.484375
a23.h1->logits,-0.46289062
a23.h2->logits,-0.45507812
a23.h3->logits,-0.36523438
a23.h4->logits,-0.3671875
a23.h5->logits,-0.44335938
a23.h6->logits,-0.3984375
m23->logits,-18.875
