edge,score
input->m0,-0.32226562
a0.h0->m0,0.06542969
a0.h6->m0,0.14746094
a0.h7->m0,-0.12109375
a0.h10->m0,-0.0625
m0->m1,-0.08203125
a1.h1->m1,0.052734375
a1.h2->m1,-0.048095703
a1.h10->m1,0.064941406
a1.h11->m1,0.08886719
m0->m2,-0.107421875
a1.h4->m2,-0.057617188
m1->m2,0.21386719
a2.h13->m2,0.061767578
m1->a3.h8<q>,0.06933594
m0->m3,-0.14453125
a1.h1->m3,-0.049804688
a1.h2->m3,0.055908203
a1.h5->m3,0.10058594
a1.h9->m3,0.053466797
m1->m3,-0.17480469
m2->m3,0.17773438
a3.h0->m3,0.048095703
a3.h1->m3,0.05053711
a3.h2->m3,0.07714844
a3.h3->m3,0.095703125
a3.h8->m3,-0.087890625
a3.h13->m3,-0.07470703
m0->m4,-0.16210938
a1.h5->m4,-0.110839844
a1.h10->m4,-0.052734375
a3.h7->m4,-0.059570312
a3.h10->m4,-0.052734375
m3->m4,-0.18261719
a4.h0->m4,-0.059570312
a4.h2->m4,0.057617188
a4.h6->m4,0.048095703
a4.h13->m4,-0.076660156
m0->m5,0.1875
a3.h2->m5,0.100097656
a3.h3->m5,0.10986328
a3.h9->m5,0.064453125
a3.h10->m5,0.12597656
m3->m5,0.16601562
m4->m5,-0.24511719
a5.h5->m5,-0.059326172
a5.h8->m5,-0.08251953
a5.h9->m5,-0.15917969
a5.h13->m5,-0.09667969
m0->m6,0.119140625
a1.h4->m6,0.055908203
m1->m6,-0.09423828
a2.h2->m6,0.051757812
a2.h3->m6,0.06298828
a2.h5->m6,0.05908203
m2->m6,0.125
a3.h10->m6,-0.07080078
m3->m6,-0.053710938
a4.h1->m6,0.052490234
a4.h5->m6,0.08496094
a4.h7->m6,-0.056640625
a4.h10->m6,-0.063964844
m4->m6,-0.19726562
a5.h5->m6,0.057617188
a5.h9->m6,0.068359375
a5.h11->m6,-0.06738281
m5->m6,-0.060058594
a6.h0->m6,0.053466797
a6.h4->m6,0.08544922
m0->m7,0.063964844
a1.h10->m7,0.10449219
a1.h11->m7,0.08691406
m2->m7,0.12011719
a3.h1->m7,0.14160156
m3->m7,0.26953125
a4.h3->m7,0.095214844
m4->m7,0.12597656
a5.h9->m7,-0.17578125
a5.h13->m7,-0.0546875
m5->m7,0.16113281
