edge,score
input->m0,-0.26171875
a0.h0->m0,0.16113281
a0.h1->m0,0.13574219
a0.h3->m0,0.19335938
a0.h5->m0,0.061279297
a0.h6->m0,0.17285156
a0.h7->m0,-0.140625
a0.h8->m0,-0.11425781
a0.h9->m0,-0.16503906
a0.h10->m0,-0.23144531
a0.h11->m0,-0.23046875
a0.h12->m0,-0.087402344
a0.h13->m0,-0.063964844
m0->m1,0.94921875
a1.h1->m1,0.13964844
a1.h2->m1,0.21289062
a1.h3->m1,0.10888672
a1.h5->m1,0.37695312
a1.h7->m1,-0.09814453
a1.h10->m1,-0.06347656
a1.h11->m1,-0.057617188
a1.h13->m1,-0.057617188
a1.h2->m2,-0.068847656
a1.h5->m2,-0.10888672
a1.h6->m2,0.06689453
m1->m2,1.015625
a2.h0->m2,-0.068359375
a2.h1->m2,-0.20507812
a2.h3->m2,0.11621094
a2.h4->m2,-0.08300781
a2.h5->m2,0.107421875
a2.h7->m2,0.07763672
a2.h8->m2,0.13183594
a2.h9->m2,0.17578125
a2.h10->m2,0.12109375
a2.h11->m2,0.21484375
a2.h12->m2,0.13085938
a2.h13->m2,0.15039062
m0->a3.h10<q>,0.0546875
m0->m3,-0.25390625
a1.h1->m3,0.10058594
a1.h7->m3,0.056152344
a1.h9->m3,0.084472656
a1.h10->m3,0.123535156
a1.h11->m3,0.12890625
a1.h12->m3,0.12792969
m1->m3,-0.38476562
a2.h3->m3,-0.05444336
a2.h6->m3,-0.071777344
a2.h7->m3,-0.092285156
a2.h12->m3,-0.061523438
a2.h13->m3,-0.08105469
a3.h8->m3,0.12988281
a3.h9->m3,0.14160156
a3.h10->m3,0.3359375
a3.h11->m3,0.068359375
a3.h12->m3,0.13671875
a3.h13->m3,0.13476562
m0->m4,-0.057861328
a1.h8->m4,-0.05810547
a1.h10->m4,-0.06298828
a1.h11->m4,-0.12207031
a1.h12->m4,-0.103515625
m1->m4,0.13671875
a2.h0->m4,0.06689453
a2.h1->m4,0.17382812
a2.h2->m4,0.053955078
a2.h3->m4,0.08496094
a2.h4->m4,0.056884766
a2.h6->m4,0.11816406
m2->m4,-0.28710938
a3.h1->m4,0.087402344
a3.h8->m4,0.22851562
a3.h9->m4,0.13085938
a3.h10->m4,0.2265625
a3.h11->m4,0.063964844
a3.h13->m4,0.20898438
m3->m4,-0.38476562
a4.h7->m4,-0.087890625
a4.h13->m4,-0.064453125
m0->m5,-0.13769531
a1.h2->m5,0.068359375
a1.h5->m5,0.076660156
m1->m5,-0.076171875
a2.h1->m5,-0.053710938
a2.h4->m5,-0.056884766
m2->m5,0.22460938
a3.h3->m5,-0.063964844
a3.h8->m5,-0.091796875
a3.h9->m5,-0.05444336
a3.h13->m5,-0.092285156
a4.h3->m5,-0.12792969
a5.h3->m5,-0.100097656
a5.h5->m5,-0.100097656
a1.h11->m6,0.057861328
m2->m6,0.16113281
m3->m6,-0.14648438
a4.h3->m6,0.06298828
m4->m6,-0.43945312
m5->m6,0.08886719
a6.h3->m6,0.056884766
m0->m7,-0.107421875
m1->m7,0.103515625
a3.h1->m7,-0.053955078
a4.h3->m7,-0.068847656
m4->m7,-0.099609375
a5.h5->m7,0.109375
m5->m7,-0.06298828
m6->m7,0.0625
m0->m8,0.095703125
m1->m8,-0.10253906
a2.h1->m8,0.055908203
a2.h3->m8,0.07763672
a2.h6->m8,0.08203125
m2->m8,-0.11425781
m3->m8,0.08935547
m4->m8,0.21972656
a5.h3->m8,-0.06347656
m5->m8,-0.15039062
a6.h3->m8,0.06640625
a6.h4->m8,0.055664062
a6.h7->m8,0.076660156
a6.h8->m8,0.063964844
a6.h12->m8,0.06298828
m7->m8,-0.24023438
a8.h2->m8,-0.07421875
a8.h5->m8,-0.07421875
m0->m9,0.12792969
a1.h5->m9,-0.07373047
a2.h1->m9,-0.061767578
a2.h3->m9,-0.06933594
a2.h6->m9,-0.07519531
m2->m9,0.13085938
a3.h1->m9,0.068359375
a5.h3->m9,0.08691406
a5.h5->m9,0.1484375
a5.h9->m9,0.063964844
a5.h12->m9,0.056152344
m5->m9,0.053222656
a6.h3->m9,-0.06982422
m6->m9,-0.23535156
m7->m9,0.13085938
a8.h6->m9,0.095214844
a8.h7->m9,-0.06689453
a8.h10->m9,-0.15527344
a8.h12->m9,-0.061035156
m8->m9,-0.16992188
a9.h1->m9,-0.059570312
a9.h2->m9,-0.06225586
a9.h5->m9,-0.11328125
m0->m10,0.084472656
m1->m10,0.078125
a2.h3->m10,0.059570312
a2.h6->m10,0.061035156
m3->m10,0.092285156
a4.h0->m10,0.09375
a4.h1->m10,0.063964844
a4.h3->m10,0.064453125
a4.h5->m10,0.06982422
m4->m10,0.103027344
a5.h5->m10,-0.091796875
a5.h13->m10,0.06542969
m5->m10,0.20410156
a6.h1->m10,-0.06298828
a6.h2->m10,-0.06689453
a6.h3->m10,-0.05810547
a6.h4->m10,-0.07861328
m6->m10,-0.12890625
m7->m10,-0.32421875
a8.h7->m10,0.06982422
a8.h9->m10,0.07080078
a8.h10->m10,0.16113281
a8.h12->m10,0.08984375
m8->m10,0.055908203
a9.h1->m10,0.053466797
a9.h2->m10,0.07128906
a9.h5->m10,0.07128906
a10.h0->m10,0.064453125
m0->m11,-0.10644531
m4->m11,0.1875
m6->m11,0.122558594
a7.h10->m11,-0.068359375
a7.h12->m11,-0.09423828
a8.h10->m11,0.09765625
m8->m11,0.083984375
m9->m11,-0.08691406
a10.h7->m11,-0.10449219
m10->m11,-0.24902344
a1.h11->m12,-0.07080078
a1.h12->m12,-0.05810547
m1->m12,0.068359375
m2->m12,-0.13574219
m3->m12,0.2421875
m4->m12,-0.33007812
a5.h13->m12,-0.060546875
a6.h0->m12,0.091308594
a6.h1->m12,0.07861328
a6.h2->m12,0.091796875
a6.h3->m12,0.13671875
a6.h4->m12,0.080566406
m7->m12,0.118652344
m8->m12,-0.18164062
m9->m12,0.22265625
a10.h7->m12,0.12109375
a10.h12->m12,-0.05834961
m10->m12,-0.14648438
m11->m12,0.15234375
a12.h0->m12,-0.06347656
m0->m13,0.08691406
m3->m13,-0.10644531
m4->m13,0.14160156
m6->m13,0.23046875
m7->m13,0.18261719
m8->m13,-0.19726562
m9->m13,-0.10107422
m10->m13,0.06640625
m12->m13,-0.45507812
a13.h6->m13,-0.05444336
a13.h11->m13,0.06298828
m4->m14,-0.16601562
m8->m14,0.072265625
m9->m14,-0.056640625
m10->m14,0.092285156
m11->m14,-0.14453125
m12->m14,-0.07763672
m13->m14,0.13671875
m1->m15,-0.06225586
m3->m15,0.06982422
m6->m15,-0.056884766
m9->m15,-0.057861328
m10->m15,-0.1484375
m11->m15,-0.08886719
a13.h11->m15,-0.055908203
m13->m15,-0.07324219
m14->m15,0.05883789
a15.h2->m15,-0.087890625
a15.h4->m15,-0.09082031
a15.h5->m15,-0.05908203
a15.h6->m15,-0.068359375
m3->m16,-0.08691406
m9->m16,-0.07861328
m10->m16,0.059326172
a12.h0->m16,0.068359375
m13->m16,-0.10644531
a14.h7->m16,-0.056152344
a14.h10->m16,-0.057861328
m15->m16,0.1328125
m4->m17,-0.11230469
m5->m17,-0.11376953
a6.h3->m17,-0.06640625
m10->m17,0.15722656
m12->m17,0.061523438
m14->m17,0.12890625
m15->m17,-0.07421875
m16->m17,-0.16796875
a17.h5->m17,-0.059326172
a17.h9->m17,0.055908203
a17.h10->m17,0.05810547
m14->m18,-0.08984375
m16->m18,0.11816406
m4->m19,0.064453125
m6->m19,-0.10644531
m10->m19,-0.06298828
m15->m19,-0.1953125
a16.h11->m19,-0.064941406
a17.h5->m19,-0.057617188
a17.h9->m19,0.05444336
m17->m19,-0.1953125
m16->a20.h6<q>,-0.063964844
m4->m20,-0.0625
m5->m20,0.083984375
m7->m20,0.13769531
m8->m20,-0.061279297
m9->m20,0.053222656
a10.h7->m20,-0.07373047
a10.h13->m20,-0.061523438
m11->m20,-0.115722656
m12->m20,0.07324219
m14->m20,-0.12597656
m15->m20,0.060302734
m16->m20,0.063964844
a17.h1->m20,0.0546875
a17.h5->m20,0.091796875
m17->m20,-0.109375
m19->m20,-0.08935547
m3->m21,0.056884766
m5->m21,0.055908203
m12->m21,0.068359375
a17.h5->m21,0.063964844
m17->m21,-0.122558594
m19->m21,-0.12890625
m20->m21,-0.16503906
m9->m22,0.053466797
a10.h7->m22,0.079589844
a14.h6->m22,-0.05444336
m15->m22,0.16796875
m16->m22,0.17871094
m17->m22,-0.07519531
m18->m22,0.103027344
m19->m22,0.11376953
a20.h0->m22,0.064453125
m20->m22,0.1953125
m22->a23.h0<q>,0.07128906
input->m23,0.053222656
m3->m23,-0.061279297
m4->m23,0.07763672
a5.h13->m23,0.053710938
m5->m23,-0.05908203
a10.h0->m23,0.053222656
m10->m23,0.08691406
m11->m23,0.110839844
m12->m23,0.08105469
m13->m23,-0.10253906
a14.h6->m23,-0.06225586
m14->m23,-0.24121094
m15->m23,-0.22265625
a16.h0->m23,0.13085938
a16.h2->m23,0.111816406
a16.h5->m23,0.07324219
m16->m23,0.19042969
a17.h13->m23,0.056640625
m17->m23,0.12207031
m19->m23,-0.16503906
a20.h0->m23,0.08935547
a20.h3->m23,0.13964844
a20.h5->m23,0.06738281
a20.h6->m23,0.057861328
m20->m23,0.4453125
a21.h1->m23,-0.059570312
a21.h6->m23,-0.079589844
m21->m23,-0.1640625
a22.h13->m23,0.107421875
m22->m23,0.5
a23.h0->m23,0.07373047
a23.h1->m23,0.091308594
a23.h2->m23,0.080566406
a23.h3->m23,0.091308594
a23.h4->m23,0.10546875
a23.h5->m23,0.08251953
a23.h6->m23,0.068359375
a23.h7->m23,-0.059570312
a23.h8->m23,-0.11816406
a23.h9->m23,-0.12890625
a23.h10->m23,-0.076171875
a23.h11->m23,-0.064941406
a23.h12->m23,-0.08300781
a23.h13->m23,-0.068847656
input->logits,-0.06982422
m0->logits,0.05908203
m1->logits,-0.1328125
m3->logits,0.12695312
a6.h0->logits,-0.060058594
a6.h1->logits,-0.072753906
a6.h2->logits,-0.07763672
a6.h3->logits,-0.07519531
m6->logits,-0.14648438
a7.h10->logits,0.08203125
a7.h12->logits,0.08496094
a7.h13->logits,0.056152344
a8.h10->logits,-0.08203125
a8.h12->logits,-0.060302734
a10.h2->logits,-0.079589844
a10.h7->logits,0.10107422
a10.h11->logits,0.07519531
a10.h12->logits,0.07080078
a10.h13->logits,0.09375
m10->logits,-0.24707031
m11->logits,-0.23730469
m12->logits,-0.12792969
a13.h7->logits,-0.06225586
a13.h8->logits,-0.055664062
a13.h10->logits,-0.05834961
a13.h11->logits,-0.109375
a13.h12->logits,-0.07080078
m13->logits,0.20410156
a15.h9->logits,-0.061279297
a15.h13->logits,-0.053710938
m15->logits,0.119140625
a16.h11->logits,-0.1328125
m16->logits,-0.69140625
a17.h1->logits,0.053222656
m18->logits,0.07910156
a19.h7->logits,-0.08496094
a19.h8->logits,-0.08544922
m19->logits,0.20996094
a20.h7->logits,-0.05834961
a20.h11->logits,-0.057861328
m20->logits,-0.33789062
m21->logits,-0.17089844
a22.h7->logits,-0.060058594
a22.h9->logits,-0.055664062
a22.h13->logits,-0.11621094
m22->logits,0.28710938
a23.h0->logits,-0.09863281
a23.h1->logits,-0.12207031
a23.h2->logits,-0.10888672
a23.h3->logits,-0.11767578
a23.h4->logits,-0.10888672
a23.h5->logits,-0.106933594
a23.h6->logits,-0.14355469
a23.h7->logits,-0.064941406
a23.h11->logits,-0.06225586
m23->logits,3.21875
