edge,score
input->m0,-0.6640625
a0.h7->m0,0.4921875
a0.h8->m0,0.484375
a0.h9->m0,0.51953125
a0.h10->m0,0.55859375
a0.h11->m0,0.625
a0.h12->m0,0.484375
a0.h13->m0,0.5234375
m0->a1.h3<q>,-0.21582031
m0->m1,0.2109375
a1.h4->m1,-0.21582031
a1.h11->m1,-0.19238281
m0->m2,-0.3671875
a1.h1->m2,-0.25195312
m1->m2,-1.234375
a2.h2->m2,0.19140625
a2.h4->m2,0.19921875
a2.h4->m3,-0.17285156
a2.h6->m3,-0.18164062
m0->m4,0.41992188
a1.h1->m4,0.22851562
m1->m4,-0.34179688
m2->m4,0.19726562
m3->m4,0.296875
a4.h7->m4,0.23339844
a4.h13->m4,0.22460938
m0->m5,-0.45703125
a1.h7->m5,0.296875
a1.h8->m5,0.28320312
a1.h9->m5,0.2734375
a1.h10->m5,0.30664062
a1.h11->m5,0.27539062
a1.h12->m5,0.26953125
a1.h13->m5,0.26171875
m1->m5,-0.36523438
m4->m5,-0.28710938
m0->m6,0.20507812
a1.h1->m6,-0.22460938
a1.h6->m6,-0.18652344
a2.h1->m6,0.20703125
m3->m6,-0.1875
m4->m6,0.390625
a5.h5->m6,-0.20117188
a5.h13->m6,-0.18652344
m5->m6,-0.39257812
a1.h0->m7,-0.18261719
m4->m7,0.5
m5->m7,-0.36523438
a6.h2->m7,-0.20703125
a6.h5->m7,-0.390625
m2->m8,0.32226562
m3->m8,0.25195312
a4.h13->m8,-0.17773438
m4->m8,-0.4375
a6.h5->m8,0.2890625
m7->m8,-0.84375
a8.h6->m8,0.296875
m2->m9,0.50390625
a4.h3->m9,-0.23339844
m4->m9,0.40429688
a5.h4->m9,-0.24902344
a5.h5->m9,0.17480469
m7->m9,0.28710938
a8.h7->m9,-0.25195312
m8->m9,0.3984375
a1.h0->m10,-0.18652344
a1.h2->m10,-0.17871094
a1.h4->m10,-0.20898438
a1.h6->m10,-0.22167969
m2->m10,-0.27929688
a3.h10->m10,0.17773438
m3->m10,0.46289062
m4->m10,-0.24609375
a5.h13->m10,0.25
m5->m10,-0.86328125
a6.h3->m10,0.33007812
m7->m10,-0.19335938
a8.h6->m10,-0.19238281
m8->m10,0.6015625
m9->m10,-0.4609375
a10.h7->m10,-0.3671875
m0->m11,0.17578125
a1.h3->m11,-0.19335938
a1.h9->m11,0.17285156
m1->m11,0.296875
a2.h1->m11,0.19238281
m2->m11,-0.28320312
m4->m11,-0.17773438
m5->m11,0.38671875
a6.h2->m11,-0.25585938
a6.h3->m11,-0.5859375
a6.h5->m11,-0.41992188
m6->m11,0.44335938
a7.h5->m11,-0.21972656
