edge,score
input->m0,-0.10986328
a0.h2->m0,-0.061523438
a0.h4->m0,-0.04272461
a0.h6->m0,-0.043945312
a0.h7->m0,-0.045410156
a0.h8->m0,-0.053466797
a0.h9->m0,-0.049316406
a0.h10->m0,-0.07080078
a0.h11->m0,-0.057617188
a0.h12->m0,-0.09326172
a0.h13->m0,-0.056152344
m0->m1,-0.12597656
a1.h0->m1,-0.076660156
a1.h2->m1,-0.08496094
a1.h3->m1,-0.07373047
a1.h4->m1,-0.07519531
a1.h5->m1,-0.09423828
a1.h6->m1,-0.04345703
m0->m2,-0.050048828
a1.h0->m2,0.076660156
a1.h2->m2,0.05126953
a1.h4->m2,0.044433594
a1.h7->m2,0.041015625
m1->m2,0.084472656
m1->m3,-0.07763672
a2.h1->m3,-0.04248047
a2.h4->m3,-0.045410156
a2.h7->m3,-0.04272461
a2.h10->m3,-0.041503906
a2.h13->m3,-0.042236328
m2->m3,-0.06298828
m0->m4,-0.061279297
a2.h3->m4,0.043701172
a4.h0->m4,0.068847656
a1.h0->m5,0.049804688
a2.h3->m5,0.04711914
a2.h5->m5,0.0546875
a3.h3->m5,-0.048095703
m3->m5,-0.118652344
a4.h3->m5,-0.063964844
m4->m5,0.080078125
a5.h3->m5,-0.047607422
m1->m6,0.04248047
m2->m6,0.0546875
a3.h2->m6,0.044677734
m4->m6,-0.053466797
a5.h3->m6,0.051513672
m5->m6,0.068359375
a6.h3->m6,-0.04321289
a6.h12->m6,0.04321289
a3.h1->m7,0.040527344
a3.h3->m7,0.061523438
m4->m7,-0.125
a5.h5->m7,-0.044677734
m5->m7,0.109375
a6.h2->m7,-0.052734375
a6.h3->m7,-0.10986328
a6.h7->m7,0.053955078
a6.h8->m7,0.09814453
a6.h12->m7,0.109375
m6->m7,0.27734375
m1->m8,-0.041259766
m4->m8,0.044433594
a5.h5->m8,-0.06640625
m5->m8,0.04272461
m6->m8,-0.25585938
a7.h10->m8,0.06542969
a7.h12->m8,0.07763672
a8.h10->m8,0.055908203
m0->m9,-0.05053711
a1.h10->m9,0.04321289
a1.h12->m9,0.04272461
m2->m9,-0.11328125
a3.h3->m9,0.045410156
a4.h1->m9,0.04711914
m4->m9,-0.06298828
a5.h5->m9,0.04248047
a5.h10->m9,0.04321289
m5->m9,0.045410156
a6.h2->m9,-0.0546875
a6.h3->m9,-0.09375
a6.h4->m9,-0.041992188
a7.h1->m9,-0.052246094
a7.h6->m9,-0.078125
m7->m9,0.28710938
m0->m10,0.12207031
a2.h3->m10,0.059326172
a2.h4->m10,0.043701172
a2.h5->m10,0.053710938
a2.h6->m10,0.048095703
m2->m10,-0.060546875
m3->m10,0.080078125
m4->m10,-0.15722656
a5.h5->m10,-0.09863281
m5->m10,0.06298828
a6.h3->m10,0.10107422
m6->m10,0.2734375
a7.h4->m10,-0.042236328
a7.h5->m10,-0.059570312
a7.h12->m10,-0.055664062
a8.h0->m10,-0.057128906
a8.h1->m10,-0.04321289
a8.h2->m10,-0.05908203
a8.h6->m10,-0.16210938
a8.h10->m10,0.04321289
m8->m10,0.18164062
a10.h0->m10,-0.076171875
a10.h4->m10,-0.052734375
a10.h5->m10,-0.055664062
a10.h7->m10,-0.10644531
a1.h11->m11,-0.042236328
m2->m11,0.06640625
m3->m11,-0.060302734
a4.h7->m11,-0.040527344
m4->m11,-0.053466797
a6.h12->m11,0.056640625
a7.h1->m11,0.053955078
a7.h3->m11,0.040527344
a7.h4->m11,0.09667969
a7.h5->m11,0.10546875
a7.h6->m11,0.11230469
m7->m11,-0.14941406
a8.h0->m11,-0.056884766
a8.h1->m11,-0.041992188
a8.h2->m11,-0.07128906
a8.h4->m11,-0.04248047
a8.h5->m11,-0.05810547
a8.h6->m11,-0.12207031
a8.h10->m11,0.08642578
m8->m11,0.10498047
a9.h1->m11,0.061279297
a9.h4->m11,0.046142578
a9.h5->m11,0.083984375
a10.h0->m11,0.057861328
a10.h7->m11,0.06933594
m10->m11,0.080566406
m1->m12,0.06982422
m2->m12,0.09423828
m3->m12,-0.13183594
m5->m12,-0.115234375
a6.h1->m12,-0.04248047
a6.h2->m12,-0.04711914
a6.h12->m12,-0.09667969
m6->m12,-0.15527344
a7.h10->m12,-0.045410156
a7.h12->m12,-0.07324219
a7.h13->m12,-0.057861328
a8.h10->m12,-0.091796875
m8->m12,0.12792969
a9.h1->m12,-0.06298828
a9.h2->m12,-0.041259766
a9.h5->m12,-0.11767578
m9->m12,0.107910156
a10.h2->m12,-0.041992188
a10.h7->m12,0.0703125
a10.h8->m12,-0.057128906
a10.h12->m12,-0.076171875
a10.h13->m12,-0.04248047
m10->m12,-0.12792969
a11.h0->m12,-0.059326172
a11.h2->m12,-0.0546875
a12.h0->m12,0.072265625
a12.h1->m12,0.080566406
a12.h4->m12,0.05029297
a12.h5->m12,0.08496094
a12.h6->m12,0.040283203
a12.h7->m12,-0.044677734
a12.h11->m12,-0.04248047
m5->m13,-0.05810547
a6.h1->m13,0.043945312
a6.h2->m13,0.061035156
a6.h3->m13,0.042236328
m6->m13,0.071777344
a7.h4->m13,0.067871094
a7.h5->m13,0.068847656
a7.h6->m13,0.057128906
m7->m13,0.09814453
a8.h2->m13,0.044921875
a8.h6->m13,0.051757812
a8.h7->m13,-0.049316406
a8.h10->m13,-0.12792969
m8->m13,-0.15722656
m9->m13,-0.06542969
a10.h5->m13,0.04663086
a11.h0->m13,0.046142578
a11.h1->m13,0.041015625
a11.h2->m13,0.053222656
a11.h3->m13,0.056884766
a12.h7->m13,-0.050048828
m12->m13,-0.07421875
a13.h7->m13,-0.042236328
a13.h10->m13,-0.05102539
a13.h12->m13,-0.041015625
m0->m14,-0.04345703
m2->m14,-0.060058594
m3->m14,0.043945312
a5.h5->m14,0.040527344
m5->m14,0.055664062
a6.h12->m14,-0.050048828
a8.h6->m14,0.044921875
m8->m14,0.059570312
a11.h0->m14,-0.041259766
a11.h3->m14,-0.055908203
a12.h0->m14,-0.08984375
a12.h1->m14,-0.048339844
a14.h1->m14,-0.07519531
a14.h2->m14,-0.07714844
a14.h6->m14,-0.07519531
a14.h7->m14,0.049804688
a14.h10->m14,0.049316406
m3->m15,0.04272461
a6.h1->m15,0.064941406
