edge,score
input->m0,0.060302734
a0.h0->m0,0.029663086
a0.h4->m0,0.014221191
a0.h5->m0,-0.028442383
a0.h8->m0,0.014465332
a1.h0->m1,0.015380859
a1.h1->m1,0.015014648
a1.h11->m1,-0.015991211
m0->m2,0.033203125
a1.h3->m2,0.01574707
a1.h5->m2,0.020629883
a1.h11->m2,0.0138549805
m1->m2,-0.02722168
a2.h9->m2,0.012878418
a2.h13->m2,-0.014160156
m0->m3,-0.06225586
a1.h10->m3,0.016113281
a2.h11->m3,-0.01361084
a2.h13->m3,-0.017333984
m2->m3,0.034179688
a3.h1->m3,-0.0138549805
a3.h8->m3,0.020141602
m0->m4,0.05053711
a1.h5->m4,0.014038086
m1->m4,-0.030029297
m2->m4,0.049804688
a3.h6->m4,-0.013122559
m3->m4,-0.01373291
a4.h4->m4,0.013305664
a4.h5->m4,-0.0134887695
m0->a5.h13<q>,0.017944336
m3->a5.h13<q>,0.024658203
m4->a5.h13<q>,0.022338867
m0->m5,-0.016601562
a1.h0->m5,-0.017944336
a1.h1->m5,-0.020141602
a1.h10->m5,0.025878906
m3->m5,-0.02734375
a4.h0->m5,0.020141602
a4.h2->m5,0.01361084
m4->m5,-0.025146484
a5.h7->m5,-0.014526367
a5.h9->m5,-0.016967773
a5.h13->m5,0.012756348
m0->m6,0.06640625
m1->m6,-0.014526367
a2.h3->m6,0.013916016
m2->m6,-0.015014648
m3->m6,-0.048828125
a4.h0->m6,0.016601562
a5.h3->m6,0.018920898
a5.h5->m6,0.022338867
a5.h13->m6,0.037109375
m5->m6,0.021972656
a6.h4->m6,0.0154418945
a6.h9->m6,0.016113281
m0->m7,0.029663086
a1.h5->m7,-0.016967773
a1.h10->m7,-0.013916016
a1.h11->m7,-0.0234375
m1->m7,0.022827148
a4.h6->m7,0.017700195
a5.h0->m7,-0.012573242
a6.h3->m7,-0.027832031
a6.h12->m7,0.015625
a7.h5->m7,0.012756348
a3.h6->m8,-0.01586914
m3->m8,0.019165039
a4.h13->m8,0.016601562
m4->m8,-0.015991211
a5.h3->m8,0.020507812
a5.h9->m8,-0.0138549805
a5.h11->m8,-0.018432617
a6.h7->m8,0.013183594
a6.h8->m8,0.017456055
a6.h11->m8,0.014404297
a6.h13->m8,0.022827148
a7.h6->m8,-0.029663086
a7.h12->m8,0.018310547
a7.h13->m8,0.018554688
m7->m8,0.016235352
m0->a9.h6<q>,0.015319824
m3->a9.h12<q>,0.0138549805
m7->a9.h5<q>,0.013122559
a8.h10->a9.h6<q>,-0.015563965
m2->m9,0.014160156
m3->m9,-0.033203125
a4.h0->m9,0.014526367
a4.h4->m9,0.015136719
m5->m9,-0.022216797
a6.h3->m9,0.02722168
a6.h5->m9,0.017333984
a6.h7->m9,-0.013183594
a6.h12->m9,-0.018920898
m6->m9,0.049316406
a7.h6->m9,0.02331543
a7.h7->m9,-0.015319824
m7->m9,-0.020019531
a8.h12->m9,-0.014221191
a9.h2->m9,-0.01940918
a9.h6->m9,-0.014831543
m0->m10,0.016845703
a1.h5->m10,-0.018432617
a1.h10->m10,0.017456055
m1->m10,-0.040283203
a2.h13->m10,-0.014465332
a3.h8->m10,-0.014282227
a3.h11->m10,0.013183594
a3.h13->m10,0.014526367
m3->m10,0.029541016
m4->m10,0.040283203
a5.h3->m10,-0.014587402
a5.h5->m10,0.017944336
m5->m10,0.022216797
a6.h8->m10,0.012756348
m6->m10,-0.016601562
a7.h6->m10,0.015563965
a7.h7->m10,-0.014892578
a7.h8->m10,-0.01928711
a8.h12->m10,-0.016113281
m8->m10,-0.014221191
a9.h5->m10,-0.012634277
m9->m10,-0.016357422
a10.h0->m10,0.028320312
a10.h13->m10,0.014892578
m3->a11.h1<q>,0.012512207
m0->m11,0.013916016
a1.h5->m11,0.01965332
m2->m11,0.014770508
a3.h1->m11,0.020263672
a3.h3->m11,0.017944336
a4.h0->m11,0.018066406
m4->m11,-0.052490234
a5.h0->m11,-0.015991211
a5.h13->m11,-0.015136719
m5->m11,-0.024414062
a6.h3->m11,-0.012634277
a7.h7->m11,0.015319824
a7.h8->m11,0.015625
m7->m11,-0.017944336
a8.h10->m11,0.024902344
a9.h0->m11,0.01361084
a10.h7->m11,0.017822266
a11.h7->m11,0.016845703
a11.h13->m11,0.013305664
m0->m12,0.056152344
a2.h11->m12,-0.013916016
m2->m12,-0.014831543
m3->m12,-0.037353516
a4.h0->m12,0.017211914
a5.h0->m12,0.024047852
a5.h1->m12,0.013305664
a5.h9->m12,0.016113281
a5.h11->m12,-0.027832031
a5.h12->m12,-0.016601562
m5->m12,-0.041015625
a6.h3->m12,0.01965332
a6.h5->m12,0.01574707
a7.h5->m12,0.0138549805
m7->m12,-0.017944336
a8.h10->m12,-0.020629883
a8.h12->m12,0.014526367
m8->m12,-0.012512207
a9.h12->m12,-0.015991211
m9->m12,0.024414062
a10.h0->m12,-0.048095703
a10.h4->m12,-0.021240234
a10.h7->m12,-0.016357422
m11->m12,0.03515625
a12.h2->m12,-0.018432617
a12.h3->m12,-0.020507812
a12.h5->m12,-0.021850586
a12.h7->m12,0.014282227
m0->m13,0.014404297
