edge,score
input->m0,-1.7421875
a0.h0->m0,0.52734375
a0.h1->m0,0.47460938
a0.h2->m0,0.43554688
a0.h3->m0,0.55078125
a0.h4->m0,0.4765625
a0.h5->m0,0.59765625
a0.h6->m0,0.49804688
a0.h7->m0,-0.1875
a0.h8->m0,-0.09082031
a0.h9->m0,-0.16503906
a0.h10->m0,-0.18457031
a0.h11->m0,-0.079589844
a0.h13->m0,-0.19628906
a1.h7->m1,-0.48242188
a1.h8->m1,-0.3359375
a1.h9->m1,-0.453125
a1.h10->m1,-0.36523438
a1.h11->m1,-0.36523438
a1.h12->m1,-0.375
a1.h13->m1,-0.33789062
m0->m2,0.4296875
a1.h0->m2,0.1953125
a1.h1->m2,0.123535156
a1.h2->m2,0.2265625
a1.h3->m2,0.15332031
a1.h4->m2,0.26171875
a1.h5->m2,0.22460938
a1.h6->m2,0.16796875
a1.h7->m2,0.29492188
a1.h8->m2,0.3984375
a1.h9->m2,0.29882812
a1.h10->m2,0.36523438
a1.h11->m2,0.35742188
a1.h12->m2,0.36328125
a1.h13->m2,0.35546875
m1->m2,1.015625
a2.h2->m2,0.07519531
a2.h3->m2,0.15917969
a2.h4->m2,0.09423828
a2.h5->m2,0.080078125
a2.h6->m2,0.100097656
m0->m3,0.296875
a1.h10->m3,-0.10107422
a1.h11->m3,-0.09667969
m1->m3,0.18359375
m0->m4,-0.18164062
a1.h0->m4,0.08544922
a1.h1->m4,0.107910156
m2->m4,0.15234375
m3->m4,0.58984375
a2.h3->m5,-0.079589844
m2->m5,-0.3515625
m3->m5,0.087402344
m4->m5,0.18652344
a5.h0->m5,-0.11425781
a5.h3->m5,-0.07763672
a5.h4->m5,-0.13769531
m0->m6,-0.16015625
m1->m6,-0.07763672
a2.h3->m6,-0.08300781
a2.h5->m6,-0.076171875
m3->m6,0.084472656
m4->m6,-0.22851562
a5.h0->m6,0.080566406
a5.h1->m6,0.072753906
a1.h7->m7,0.07421875
a1.h8->m7,0.080566406
a1.h9->m7,0.07373047
a1.h10->m7,0.07470703
a1.h12->m7,0.08105469
a1.h13->m7,0.10058594
m2->m7,-0.23730469
a4.h5->m7,0.075683594
m4->m7,-0.109375
m6->m7,0.25195312
a7.h1->m7,0.079589844
a7.h5->m7,0.087890625
a7.h6->m7,0.07910156
a7.h8->m7,0.08691406
m0->m8,-0.16992188
a1.h8->m8,-0.07128906
a1.h9->m8,-0.078125
a1.h10->m8,-0.083984375
a1.h12->m8,-0.087402344
a1.h13->m8,-0.09082031
m1->m8,-0.12988281
m3->m8,-0.10888672
a4.h7->m8,0.12695312
a4.h10->m8,0.08544922
a4.h13->m8,0.08496094
m4->m8,0.20996094
a5.h5->m8,-0.092285156
a6.h12->m8,0.07470703
m7->m8,-0.13769531
a8.h6->m8,0.13867188
a8.h7->m8,-0.118652344
a8.h9->m8,-0.125
a8.h10->m8,-0.16894531
a8.h12->m8,-0.12792969
m0->m9,0.11376953
a1.h0->m9,-0.10888672
a1.h1->m9,-0.10888672
a1.h2->m9,-0.083984375
a1.h3->m9,-0.100097656
a1.h4->m9,-0.07080078
a1.h5->m9,-0.07861328
a1.h6->m9,-0.107421875
a1.h8->m9,0.08300781
a1.h9->m9,0.09082031
a1.h13->m9,0.09082031
m1->m9,-0.12597656
a2.h9->m9,0.087890625
a2.h10->m9,0.091308594
a2.h12->m9,0.072265625
m2->m9,0.23632812
a4.h5->m9,-0.08251953
a4.h6->m9,-0.118652344
m4->m9,-0.38085938
a5.h3->m9,0.103515625
a5.h13->m9,-0.072265625
a6.h12->m9,0.09765625
a6.h13->m9,0.11669922
a7.h2->m9,-0.08300781
m7->m9,0.13085938
a8.h9->m9,0.072753906
a8.h10->m9,0.111328125
a8.h12->m9,0.07519531
a8.h13->m9,0.091308594
m8->m9,-0.3203125
a9.h9->m9,0.080078125
a1.h0->m10,0.07470703
a1.h7->m10,-0.083984375
a1.h8->m10,-0.07763672
a1.h9->m10,-0.07128906
a1.h11->m10,-0.110839844
a1.h12->m10,-0.075683594
a1.h13->m10,-0.084472656
a2.h2->m10,0.07763672
a2.h3->m10,0.11376953
a2.h4->m10,0.08496094
a2.h5->m10,0.087890625
a2.h6->m10,0.08984375
m3->m10,0.22363281
a4.h3->m10,0.07080078
m4->m10,0.103515625
a5.h4->m10,-0.14550781
a5.h10->m10,0.08300781
a5.h13->m10,0.087402344
m5->m10,-0.13085938
a6.h1->m10,0.080078125
a6.h3->m10,0.1484375
a6.h13->m10,-0.079589844
m6->m10,-0.111816406
m7->m10,0.21484375
a8.h10->m10,0.084472656
a9.h1->m10,0.076171875
a9.h2->m10,0.092285156
m9->m10,0.20117188
a10.h11->m10,0.07373047
m1->m11,-0.083984375
m3->m11,0.09765625
m7->m11,0.18164062
a8.h6->m11,-0.10205078
a10.h7->m11,-0.18457031
a10.h11->m11,-0.13671875
a10.h13->m11,-0.087890625
m10->m11,-0.2578125
m0->m12,-0.11376953
m1->m12,0.13867188
m2->m12,-0.10644531
m4->m12,0.15136719
a5.h4->m12,0.091308594
m6->m12,0.087402344
m7->m12,-0.30078125
a8.h6->m12,0.07421875
a8.h9->m12,0.07373047
a8.h10->m12,0.11328125
a8.h12->m12,0.08886719
m9->m12,-0.087890625
a10.h7->m12,0.106933594
m5->m13,-0.083984375
m6->m13,-0.12988281
m7->m13,0.10253906
a8.h6->m13,0.071777344
a8.h7->m13,-0.10498047
a8.h9->m13,-0.08886719
a8.h10->m13,-0.15332031
a8.h12->m13,-0.103027344
m8->m13,-0.095214844
m9->m13,0.11669922
a10.h7->m13,0.106933594
m10->m13,0.17578125
a12.h0->m13,0.107421875
m2->m14,-0.07128906
a5.h4->m14,-0.095703125
m6->m14,0.19042969
m7->m14,-0.08300781
m11->m14,-0.16015625
a14.h1->m14,-0.071777344
m0->m15,-0.12060547
m2->m15,0.10546875
m4->m15,-0.10498047
a8.h6->m15,-0.07714844
m8->m15,0.17480469
m9->m15,-0.10205078
a10.h0->m15,0.07470703
m10->m15,-0.087402344
m12->m15,0.16894531
m13->m15,0.095214844
m14->m15,0.19335938
m9->m16,-0.091308594
a10.h7->m16,-0.10205078
a10.h11->m16,-0.110839844
m11->m16,0.140625
a12.h0->m16,0.122558594
a12.h1->m16,0.09326172
a12.h5->m16,0.10253906
m13->m16,-0.18652344
m14->m16,-0.16113281
m15->m16,0.091308594
a16.h2->m16,0.09667969
m0->m17,-0.080566406
m10->m17,-0.075683594
m12->m17,0.14648438
m15->m17,-0.29296875
m16->m17,-0.17285156
a17.h10->m17,0.076171875
m11->m18,0.09667969
a12.h0->m18,0.071777344
m12->m18,-0.091796875
m15->m18,-0.119140625
m16->m18,-0.09863281
m5->m19,-0.09814453
m7->m19,-0.09667969
a8.h7->m19,-0.076660156
a8.h9->m19,-0.076171875
a8.h10->m19,-0.095703125
m8->m19,0.16210938
a10.h7->m19,-0.076660156
m12->m19,-0.08691406
m15->m19,-0.076171875
a16.h11->m19,-0.08496094
m16->m19,0.15039062
m18->m19,-0.11767578
m16->a20.h0<q>,0.072753906
m0->m20,-0.22363281
m3->m20,-0.092285156
a8.h10->m20,-0.076171875
m8->m20,-0.10986328
m12->m20,-0.16113281
m13->m20,0.08691406
m14->m20,-0.11621094
m15->m20,-0.17285156
a17.h10->m20,-0.079589844
m18->m20,0.22167969
m19->m20,0.17773438
a20.h3->m20,0.13671875
a20.h4->m20,0.087890625
m14->a21.h7<q>,0.21289062
m15->a21.h7<q>,0.14550781
a16.h11->a21.h7<q>,0.10644531
m16->a21.h6<q>,0.07763672
m16->a21.h7<q>,0.3046875
m0->m21,-0.087890625
m1->m21,0.09423828
m4->m21,-0.1328125
a5.h4->m21,0.07861328
m5->m21,-0.083984375
m10->m21,-0.071777344
m12->m21,-0.07324219
m14->m21,-0.087890625
m15->m21,-0.07519531
a16.h11->m21,-0.10449219
m16->m21,-0.12060547
a17.h7->m21,-0.07324219
a17.h10->m21,-0.13769531
a17.h11->m21,-0.12695312
a17.h13->m21,-0.079589844
m18->m21,0.107421875
m19->m21,0.25585938
m20->m21,0.4609375
m0->m22,-0.13574219
m2->m22,-0.103027344
m13->m22,-0.107421875
m14->m22,0.16210938
m15->m22,0.1484375
m16->m22,-0.08105469
m18->m22,0.08642578
m19->m22,0.084472656
a20.h3->m22,-0.07861328
m20->m22,-0.43554688
m21->m22,0.099609375
a22.h9->m22,-0.20507812
input->m23,-0.16503906
m0->m23,0.25976562
m1->m23,0.33007812
m2->m23,-0.16015625
m3->m23,-0.09326172
m4->m23,0.1875
m5->m23,0.079589844
