edge,score
input->m0,-0.734375
a0.h0->m0,0.09667969
a0.h3->m0,0.111816406
a0.h6->m0,0.06738281
a0.h7->m0,-0.15039062
a0.h8->m0,-0.083984375
a0.h9->m0,-0.118652344
a0.h10->m0,-0.16894531
a0.h11->m0,-0.18847656
a0.h12->m0,-0.09765625
m0->a1.h5<q>,0.06347656
m0->m1,0.7734375
a1.h1->m1,0.052490234
a1.h2->m1,0.068359375
a1.h5->m1,0.20605469
a1.h7->m1,-0.099609375
a1.h8->m1,-0.109375
a1.h11->m1,-0.095703125
a1.h12->m1,-0.095214844
a1.h13->m1,-0.119140625
m0->a2.h13<q>,-0.053466797
m0->m2,0.17382812
a1.h0->m2,-0.068847656
a1.h2->m2,-0.052490234
a1.h5->m2,-0.07324219
a1.h10->m2,-0.055664062
m1->m2,0.609375
a2.h1->m2,-0.11816406
a2.h4->m2,-0.10205078
a2.h7->m2,0.087402344
a2.h8->m2,0.10107422
a2.h9->m2,0.11669922
a2.h10->m2,0.09814453
a2.h11->m2,0.15332031
a2.h12->m2,0.123046875
a2.h13->m2,0.110839844
m0->a3.h10<q>,0.06347656
m0->m3,-0.44335938
a1.h10->m3,0.087890625
a1.h11->m3,0.06542969
a1.h12->m3,0.063964844
m1->m3,-0.20703125
a2.h3->m3,-0.057861328
m2->m3,0.27148438
a3.h9->m3,0.09814453
a3.h10->m3,0.2578125
a3.h12->m3,0.10644531
a3.h13->m3,0.076171875
m0->m4,-0.12451172
a1.h11->m4,-0.08105469
a1.h12->m4,-0.08105469
m1->m4,0.095214844
a2.h1->m4,0.12988281
a2.h2->m4,0.05883789
a2.h3->m4,0.05810547
a2.h6->m4,0.07080078
m2->m4,-0.33984375
a3.h1->m4,0.08203125
a3.h3->m4,0.06225586
a3.h8->m4,0.13574219
a3.h9->m4,0.07763672
a3.h10->m4,0.14453125
a3.h13->m4,0.11425781
m3->m4,-0.076171875
a4.h0->m4,-0.07519531
a4.h3->m4,-0.12597656
m0->m5,-0.05834961
a1.h2->m5,0.052490234
a1.h5->m5,0.06542969
m2->m5,0.13085938
a3.h3->m5,-0.0625
a3.h10->m5,-0.08251953
m3->m5,0.061279297
a4.h3->m5,-0.08203125
m4->m5,0.1875
a5.h13->m5,0.053222656
m1->m6,0.05493164
m2->m6,0.08886719
a4.h3->m6,0.08984375
m4->m6,-0.53515625
m5->m6,0.111816406
a6.h13->m6,-0.05908203
a1.h11->m7,0.059326172
m1->m7,0.109375
m2->m7,0.119140625
m3->m7,-0.084472656
a4.h0->m7,-0.06298828
a4.h3->m7,-0.111328125
a4.h5->m7,-0.0546875
a4.h7->m7,0.055908203
a4.h13->m7,0.053222656
m4->m7,-0.18652344
a5.h5->m7,0.07763672
m5->m7,-0.13964844
a6.h3->m7,-0.06298828
m0->m8,0.087890625
m1->m8,-0.16503906
a2.h1->m8,0.063964844
a2.h3->m8,0.080078125
a2.h6->m8,0.08300781
m2->m8,-0.20507812
m3->m8,0.14355469
a4.h3->m8,0.06225586
m4->m8,0.23339844
m5->m8,-0.07519531
a6.h7->m8,0.057617188
m6->m8,-0.076171875
m7->m8,-0.29101562
m0->m9,0.13476562
a1.h5->m9,-0.060058594
m1->m9,0.107910156
a2.h1->m9,-0.068847656
a2.h3->m9,-0.076171875
a2.h6->m9,-0.0625
m2->m9,0.15039062
a5.h3->m9,0.068359375
a5.h5->m9,0.119140625
a5.h9->m9,0.052490234
a6.h1->m9,-0.053955078
m6->m9,-0.22753906
m7->m9,0.28710938
a8.h6->m9,0.119140625
a8.h10->m9,-0.07861328
m8->m9,-0.22363281
a9.h1->m9,-0.068847656
a9.h2->m9,-0.118652344
a9.h5->m9,-0.11816406
m0->m10,0.103515625
m1->m10,0.084472656
m2->m10,0.12207031
a4.h0->m10,0.08642578
a4.h5->m10,0.055419922
m4->m10,0.07861328
a5.h5->m10,-0.078125
m5->m10,0.18652344
a6.h1->m10,-0.080566406
a6.h2->m10,-0.09667969
a6.h4->m10,-0.071777344
a6.h7->m10,0.056152344
a6.h12->m10,0.055664062
m6->m10,-0.06347656
m7->m10,-0.26953125
a8.h6->m10,-0.06933594
a8.h10->m10,0.09863281
m8->m10,0.10058594
a10.h0->m10,0.08544922
a10.h13->m10,-0.09814453
m0->m11,-0.075683594
m1->m11,0.083984375
m2->m11,-0.07421875
a3.h10->m11,0.072265625
m3->m11,-0.071777344
m4->m11,0.21582031
m5->m11,0.06738281
a6.h0->m11,0.053222656
a6.h3->m11,0.06738281
m6->m11,0.14355469
m7->m11,-0.09423828
a8.h7->m11,0.052734375
a8.h10->m11,0.15332031
a8.h12->m11,0.07421875
m8->m11,0.06982422
a10.h7->m11,-0.21777344
m10->m11,-0.2421875
a1.h8->m12,-0.055908203
a1.h9->m12,-0.05908203
a1.h11->m12,-0.07861328
a1.h12->m12,-0.076660156
m1->m12,0.06347656
m2->m12,-0.08300781
m3->m12,0.25195312
a4.h0->m12,0.057861328
a4.h3->m12,0.05493164
m4->m12,-0.30859375
a5.h13->m12,-0.055908203
a6.h0->m12,0.05834961
a6.h3->m12,0.123535156
a6.h4->m12,0.055419922
m6->m12,-0.11669922
m7->m12,0.12597656
m8->m12,-0.12890625
a9.h2->m12,-0.08203125
m9->m12,0.23730469
a10.h7->m12,0.21875
m11->m12,0.19042969
a12.h0->m12,-0.06982422
m0->m13,0.05883789
m2->m13,-0.09814453
m4->m13,0.19042969
m6->m13,0.16210938
m7->m13,0.10644531
m8->m13,-0.20898438
a9.h1->m13,0.060302734
a9.h2->m13,0.07519531
a9.h5->m13,0.064941406
m9->m13,-0.15917969
m11->m13,0.13671875
m12->m13,-0.4453125
a13.h6->m13,-0.059326172
a13.h11->m13,0.087402344
m2->m14,0.061523438
m4->m14,-0.13085938
m6->m14,0.056152344
m7->m14,0.056152344
a8.h10->m14,0.060546875
m8->m14,0.06347656
a10.h7->m14,-0.052490234
m10->m14,0.10449219
m11->m14,-0.09863281
m12->m14,-0.08984375
m13->m14,0.17382812
m8->m15,0.052490234
m9->m15,-0.067871094
m10->m15,-0.14355469
m11->m15,-0.096191406
a12.h0->m15,-0.05810547
m13->m15,-0.063964844
m14->m15,0.06689453
a15.h2->m15,-0.08984375
a15.h4->m15,-0.08984375
a15.h5->m15,-0.061035156
a15.h6->m15,-0.063964844
m0->m16,-0.06347656
m2->m16,-0.072265625
m3->m16,-0.059570312
m9->m16,-0.09863281
m12->m16,0.122558594
m13->m16,-0.19140625
a14.h10->m16,-0.053222656
a16.h11->m16,-0.05810547
m0->m17,-0.053710938
m4->m17,-0.11669922
m5->m17,-0.07861328
a6.h3->m17,-0.059570312
m7->m17,-0.08251953
m9->m17,0.087890625
m10->m17,0.13964844
m12->m17,0.103515625
a13.h6->m17,-0.055908203
a14.h7->m17,-0.055419922
a14.h10->m17,-0.06640625
m14->m17,0.15429688
m15->m17,-0.118652344
m16->m17,-0.16210938
a17.h10->m17,0.060058594
m6->m18,0.0546875
m7->m18,-0.061523438
m10->m18,0.061279297
m13->m18,-0.06933594
m16->m18,0.13476562
a17.h5->m18,-0.06225586
m4->m19,0.05493164
a6.h3->m19,-0.055419922
m6->m19,-0.096191406
m9->m19,-0.064453125
m11->m19,0.057617188
m12->m19,0.099609375
m13->m19,0.06640625
m14->m19,0.071777344
m15->m19,-0.13476562
a16.h11->m19,-0.057128906
a17.h5->m19,-0.064453125
a17.h9->m19,0.068359375
a17.h10->m19,0.07080078
a17.h11->m19,0.06640625
a17.h12->m19,0.053222656
m17->m19,-0.19628906
m16->a20.h0<q>,0.0625
m16->a20.h3<q>,0.07324219
m16->a20.h6<q>,-0.05493164
m4->m20,-0.05444336
m7->m20,0.13867188
m8->m20,-0.08251953
m9->m20,0.052490234
a10.h7->m20,-0.106933594
a10.h13->m20,-0.06933594
m11->m20,-0.12597656
m12->m20,0.11816406
m14->m20,-0.09375
m15->m20,0.140625
a16.h11->m20,0.06933594
m16->m20,-0.064941406
a17.h5->m20,0.07763672
a17.h10->m20,-0.057128906
a17.h11->m20,-0.05810547
a19.h7->m20,-0.09863281
a19.h8->m20,-0.061523438
m19->m20,-0.13476562
m2->m21,0.059570312
m3->m21,0.06640625
m5->m21,0.067871094
m12->m21,0.11621094
m13->m21,-0.05444336
a17.h5->m21,0.061523438
m17->m21,-0.059326172
m18->m21,-0.087402344
m19->m21,-0.08496094
m20->m21,-0.16894531
m15->m22,0.14550781
m16->m22,0.20703125
a17.h5->m22,0.055419922
a17.h11->m22,0.06982422
m17->m22,-0.059326172
m18->m22,0.08300781
m19->m22,0.16894531
a20.h0->m22,0.07421875
m20->m22,0.25585938
m21->m22,0.17578125
input->m23,0.061035156
m0->m23,-0.07421875
m3->m23,-0.056640625
a4.h7->m23,-0.056884766
a4.h13->m23,-0.052490234
m4->m23,0.064453125
a5.h13->m23,0.059570312
m5->m23,-0.076660156
m10->m23,0.05883789
m11->m23,0.05444336
m12->m23,0.107910156
m13->m23,-0.13671875
a14.h6->m23,-0.06738281
m14->m23,-0.1953125
m15->m23,-0.2265625
a16.h0->m23,0.083984375
a16.h2->m23,0.06689453
m16->m23,0.16015625
a17.h10->m23,0.053466797
a17.h11->m23,0.057861328
m17->m23,0.18164062
m19->m23,-0.09326172
a20.h0->m23,0.07324219
a20.h3->m23,0.10449219
a20.h4->m23,0.05493164
a20.h5->m23,0.061523438
m20->m23,0.36523438
