edge,score
a0.h0->m0,0.04711914
a0.h1->m0,0.08203125
a0.h3->m0,0.044677734
a0.h5->m0,0.044433594
a0.h7->m0,-0.096191406
a0.h8->m0,-0.11425781
a0.h9->m0,-0.12011719
a0.h10->m0,-0.055419922
a0.h11->m0,-0.10986328
a0.h12->m0,-0.08203125
a0.h13->m0,-0.053222656
m0->m1,0.091796875
a1.h1->m1,-0.050048828
a1.h2->m1,-0.046142578
a1.h3->m1,-0.04248047
a1.h4->m1,-0.05834961
a1.h5->m1,-0.076171875
a1.h6->m1,-0.040039062
a1.h10->m1,-0.052246094
a1.h12->m1,-0.044433594
a1.h0->m2,0.052246094
a1.h2->m2,0.044677734
m1->m2,-0.041992188
m0->m3,-0.08886719
a1.h11->m3,0.036621094
a2.h1->m3,-0.03857422
a2.h13->m3,-0.037109375
m2->m3,-0.080566406
a3.h1->m3,0.048828125
m3->m4,-0.06298828
a4.h0->m4,0.08691406
m0->m5,0.115234375
m3->m5,-0.09326172
m0->m6,-0.048339844
a1.h11->m6,-0.052490234
a1.h12->m6,-0.036621094
m2->m6,0.037353516
m4->m6,-0.125
a5.h5->m6,0.047851562
a5.h7->m6,0.036865234
m0->m7,0.056152344
a1.h0->m7,-0.040039062
m2->m7,-0.064453125
a3.h1->m7,0.03881836
a3.h3->m7,0.044433594
a4.h1->m7,-0.041992188
a4.h3->m7,-0.07080078
a4.h4->m7,-0.042236328
a4.h6->m7,-0.037597656
m4->m7,-0.11669922
a5.h5->m7,-0.072265625
a5.h10->m7,-0.049316406
a5.h11->m7,-0.05444336
a5.h12->m7,-0.053955078
a6.h8->m7,0.05834961
a6.h12->m7,0.036865234
m6->m7,0.14648438
m1->m8,-0.06591797
m3->m8,-0.07421875
a4.h7->m8,0.050048828
a4.h13->m8,0.055419922
m4->m8,0.12109375
a5.h3->m8,-0.036621094
a5.h4->m8,-0.049072266
a5.h5->m8,-0.14941406
m5->m8,-0.08544922
a6.h1->m8,-0.044433594
a6.h2->m8,-0.053710938
a6.h4->m8,-0.03881836
m6->m8,-0.09082031
a7.h5->m8,-0.05102539
a7.h10->m8,0.047607422
a7.h12->m8,0.072753906
a8.h12->m8,-0.041503906
a8.h13->m8,-0.037841797
a1.h5->m9,-0.038085938
a2.h7->m9,0.037109375
m2->m9,-0.09667969
a3.h11->m9,0.037841797
a4.h3->m9,-0.041259766
a4.h7->m9,0.037353516
m4->m9,-0.111816406
a5.h5->m9,0.076660156
m5->m9,0.079589844
a6.h3->m9,-0.05493164
a6.h8->m9,-0.09765625
a6.h12->m9,-0.06347656
m6->m9,-0.111328125
a7.h12->m9,-0.059570312
m7->m9,0.12451172
a8.h10->m9,0.046142578
m8->m9,-0.08496094
m0->m10,0.07763672
m1->m10,-0.038085938
a2.h3->m10,0.061523438
a2.h4->m10,0.044433594
a2.h6->m10,0.03857422
m3->m10,-0.103515625
m4->m10,-0.064941406
a5.h13->m10,0.045410156
m5->m10,0.052246094
a6.h1->m10,-0.036865234
a6.h2->m10,-0.041259766
a6.h4->m10,-0.05053711
a6.h12->m10,0.07373047
m6->m10,0.106933594
a7.h10->m10,-0.041259766
m7->m10,0.08300781
a8.h6->m10,-0.100097656
a8.h10->m10,0.10205078
m8->m10,0.3046875
m9->m10,-0.037597656
a10.h7->m10,-0.09375
a10.h8->m10,-0.048095703
a10.h11->m10,-0.044677734
a10.h13->m10,-0.096191406
m0->m11,0.063964844
a5.h5->m11,0.040283203
a6.h0->m11,0.04711914
a6.h1->m11,0.047607422
a6.h2->m11,0.041992188
a6.h3->m11,0.052246094
