edge,score
input->m0,-0.80078125
a0.h5->m0,0.20507812
a0.h8->m0,0.091308594
a1.h1->m1,-0.09814453
a1.h5->m1,-0.265625
a1.h10->m1,0.111328125
a1.h11->m1,0.11230469
m0->m2,-0.265625
a1.h5->m2,0.122558594
a1.h11->m2,-0.29101562
m1->m2,-0.16894531
m0->m3,0.20703125
a1.h1->m3,-0.076660156
a1.h11->m3,0.087402344
m1->m3,-0.10449219
a2.h3->m3,0.07324219
a2.h9->m3,0.095214844
a2.h11->m3,0.11376953
a2.h13->m3,0.09863281
a3.h2->m3,0.14160156
a3.h3->m3,0.123046875
m0->m4,-0.53125
a1.h2->m4,-0.083984375
a1.h10->m4,-0.1796875
a2.h13->m4,-0.08105469
m2->m4,-0.31640625
a3.h8->m4,-0.12597656
a3.h10->m4,-0.09765625
m3->m4,0.50390625
a4.h0->m4,0.111328125
a4.h3->m4,-0.33789062
a4.h5->m4,-0.09326172
m0->a5.h1<q>,0.09326172
m0->m5,0.2265625
a1.h10->m5,0.12207031
m1->m5,-0.16894531
m2->m5,0.20410156
a3.h1->m5,-0.10058594
a3.h2->m5,0.09667969
a3.h8->m5,0.16992188
a3.h11->m5,-0.103027344
m3->m5,-0.421875
a4.h3->m5,0.15820312
a4.h9->m5,0.080566406
a4.h11->m5,0.08300781
m4->m5,0.076171875
a5.h0->m5,-0.096191406
a5.h1->m5,-0.095703125
a5.h2->m5,-0.087402344
a5.h3->m5,0.07470703
a5.h5->m5,0.18457031
a5.h11->m5,-0.079589844
a5.h12->m5,-0.079589844
m0->m6,0.11425781
a1.h10->m6,0.125
a1.h11->m6,0.20703125
m1->m6,-0.18457031
a2.h3->m6,0.12890625
a2.h5->m6,0.08691406
m2->m6,0.1796875
a3.h3->m6,-0.087402344
a3.h6->m6,-0.08935547
m3->m6,0.38671875
a4.h11->m6,0.103515625
m4->m6,-0.2578125
a5.h0->m6,0.091308594
a5.h1->m6,0.07421875
a5.h3->m6,0.17089844
a5.h4->m6,0.12207031
a5.h5->m6,0.18652344
a5.h9->m6,0.08105469
a5.h10->m6,0.087890625
a5.h11->m6,0.10107422
a5.h12->m6,0.18652344
a5.h13->m6,-0.13378906
m5->m6,-0.23046875
a6.h3->m6,-0.546875
a6.h4->m6,0.08984375
a6.h5->m6,-0.09863281
a6.h7->m6,0.100097656
a6.h9->m6,-0.07519531
a6.h13->m6,-0.13183594
m5->a7.h11<q>,0.08886719
m6->a7.h6<q>,-0.07861328
a1.h10->m7,0.076660156
m1->m7,0.18261719
m2->m7,-0.08935547
a3.h3->m7,-0.08105469
a3.h8->m7,0.079589844
m4->m7,-0.18457031
a5.h0->m7,0.15039062
a5.h2->m7,0.10449219
a5.h3->m7,-0.123535156
a5.h4->m7,0.10644531
a5.h5->m7,-0.1328125
a5.h10->m7,0.087402344
a5.h12->m7,0.122558594
a5.h13->m7,0.17382812
m5->m7,-0.14550781
a6.h2->m7,0.08251953
a6.h3->m7,0.21484375
a6.h5->m7,0.125
m6->m7,0.640625
a7.h4->m7,-0.07373047
a7.h5->m7,0.12890625
a7.h6->m7,0.1796875
a7.h7->m7,-0.18847656
a7.h8->m7,-0.111328125
a7.h9->m7,-0.08691406
a7.h13->m7,-0.091796875
m0->m8,0.484375
m1->m8,-0.22167969
m2->m8,-0.23632812
m3->m8,0.22851562
a4.h0->m8,-0.16796875
a4.h1->m8,0.10644531
a4.h3->m8,0.20605469
a4.h9->m8,0.109375
a4.h11->m8,0.12597656
m4->m8,-0.15527344
a5.h9->m8,0.12792969
a5.h10->m8,0.12890625
a5.h12->m8,0.084472656
a5.h13->m8,0.10498047
a6.h2->m8,-0.083984375
a6.h3->m8,-0.11669922
a6.h12->m8,0.15136719
a6.h13->m8,0.23144531
m6->m8,-0.24609375
a7.h0->m8,-0.083984375
a7.h2->m8,-0.09082031
a7.h4->m8,-0.11328125
a7.h5->m8,-0.15234375
a7.h8->m8,0.08691406
a7.h12->m8,0.09765625
a7.h13->m8,0.07324219
m7->m8,0.080078125
a8.h2->m8,-0.07763672
a8.h6->m8,0.18457031
a8.h10->m8,0.14257812
a8.h12->m8,0.15136719
m0->a9.h9<q>,0.13183594
m0->a9.h12<q>,-0.26367188
m2->a9.h9<q>,0.2265625
m2->a9.h12<q>,-0.096191406
m3->a9.h12<q>,0.15917969
m4->a9.h12<q>,-0.123046875
m5->a9.h9<q>,-0.14160156
m5->a9.h12<q>,0.10253906
a6.h3->a9.h9<q>,-0.12792969
a6.h3->a9.h12<q>,0.08203125
m6->a9.h9<q>,0.15234375
m6->a9.h12<q>,-0.17382812
m7->a9.h4<q>,0.07763672
m8->a9.h9<q>,-0.29101562
m8->a9.h12<q>,0.21484375
m0->m9,-0.22167969
a3.h1->m9,0.08496094
a3.h11->m9,0.08105469
m3->m9,-0.27539062
a4.h6->m9,-0.076171875
a4.h9->m9,-0.084472656
a4.h11->m9,-0.08642578
m4->m9,0.44921875
a5.h8->m9,-0.08935547
a5.h9->m9,-0.09423828
a5.h11->m9,0.095214844
m5->m9,0.21777344
a6.h1->m9,0.122558594
a6.h2->m9,0.08251953
a6.h5->m9,0.100097656
a6.h7->m9,-0.092285156
a6.h8->m9,0.084472656
m6->m9,-0.11669922
a7.h7->m9,-0.08691406
a7.h8->m9,-0.092285156
a7.h11->m9,0.08544922
m7->m9,0.10253906
a8.h6->m9,-0.22265625
a8.h9->m9,-0.09863281
a8.h12->m9,-0.08300781
a2.h11->m10,-0.07861328
m2->m10,0.09423828
a3.h10->m10,0.13476562
m3->m10,-0.07763672
a4.h0->m10,0.080566406
a4.h3->m10,0.09814453
a4.h5->m10,0.08984375
m4->m10,0.34960938
a5.h1->m10,0.08886719
a5.h9->m10,-0.15820312
a5.h10->m10,-0.07763672
a5.h11->m10,0.083984375
a5.h13->m10,0.08496094
a6.h3->m10,0.078125
a6.h4->m10,-0.080566406
a6.h5->m10,0.099609375
a7.h2->m10,-0.07421875
a7.h5->m10,-0.14355469
a7.h6->m10,-0.13476562
a7.h10->m10,-0.07763672
a7.h12->m10,-0.08300781
a7.h13->m10,-0.09765625
a8.h6->m10,0.27539062
a8.h10->m10,-0.11621094
a8.h12->m10,-0.080078125
m8->m10,-0.49804688
a9.h0->m10,-0.15039062
m9->m10,0.21582031
a10.h0->m10,0.44921875
a10.h4->m10,0.18652344
a10.h5->m10,0.15917969
a10.h6->m10,0.1328125
a10.h7->m10,-0.37695312
m3->a11.h3<q>,0.07861328
m6->a11.h1<q>,0.09082031
m0->m11,0.1953125
a1.h5->m11,-0.115234375
m1->m11,-0.14453125
a2.h9->m11,0.07519531
m2->m11,-0.08886719
a3.h10->m11,-0.08203125
m3->m11,0.27929688
a4.h3->m11,-0.115234375
m4->m11,-0.32421875
a5.h0->m11,-0.17285156
a5.h1->m11,-0.10058594
a6.h3->m11,-0.08642578
m6->m11,-0.30273438
a7.h2->m11,-0.08251953
a7.h9->m11,0.07324219
m7->m11,-0.13671875
a8.h6->m11,-0.092285156
a8.h10->m11,0.15722656
m8->m11,0.40039062
a9.h0->m11,-0.11328125
a9.h2->m11,-0.10107422
a9.h6->m11,-0.080566406
m9->m11,-0.087402344
a10.h0->m11,-0.51171875
a10.h5->m11,0.106933594
a10.h6->m11,-0.11816406
a10.h7->m11,0.1484375
a10.h13->m11,-0.091796875
m10->m11,0.19140625
a11.h1->m11,0.11376953
a11.h3->m11,0.15332031
a11.h4->m11,0.09863281
a11.h5->m11,0.16992188
a11.h10->m11,-0.092285156
a11.h11->m11,-0.08300781
a11.h13->m11,-0.110839844
m0->m12,0.22460938
a1.h10->m12,0.095214844
m1->m12,0.17382812
a3.h10->m12,0.10546875
m3->m12,-0.27929688
a4.h0->m12,-0.106933594
a4.h4->m12,-0.08300781
a4.h5->m12,-0.09082031
m4->m12,0.23339844
a5.h0->m12,0.11621094
a5.h2->m12,0.07763672
a5.h9->m12,0.07324219
a5.h11->m12,-0.08105469
a5.h13->m12,-0.12792969
a6.h13->m12,0.107910156
m6->m12,-0.17089844
a8.h2->m12,-0.07519531
a8.h6->m12,-0.123046875
a8.h10->m12,-0.10498047
a9.h0->m12,0.13964844
a9.h3->m12,0.09667969
a9.h6->m12,0.123046875
a9.h12->m12,-0.09814453
m9->m12,0.17871094
a10.h2->m12,0.07861328
m10->m12,-0.20898438
a11.h3->m12,0.07470703
a11.h4->m12,-0.11425781
a11.h5->m12,-0.123535156
a11.h13->m12,0.19140625
m11->m12,0.23242188
a12.h1->m12,0.10498047
a12.h2->m12,-0.08203125
a12.h6->m12,-0.100097656
a12.h7->m12,0.09082031
a12.h8->m12,0.14648438
a12.h12->m12,0.11230469
m0->m13,-0.106933594
m2->m13,0.19238281
a3.h8->m13,-0.11669922
a3.h10->m13,-0.111816406
m3->m13,-0.103027344
a4.h3->m13,-0.118652344
a5.h5->m13,-0.075683594
m5->m13,-0.20214844
m6->m13,0.34960938
a7.h0->m13,-0.08496094
a7.h6->m13,-0.08203125
a7.h11->m13,0.08105469
a8.h6->m13,-0.10888672
a8.h9->m13,0.08251953
a8.h10->m13,-0.084472656
a8.h12->m13,0.123535156
m8->m13,-0.118652344
a9.h6->m13,0.08642578
m9->m13,0.099609375
a10.h0->m13,-0.27929688
m10->m13,-0.15234375
a11.h0->m13,0.08691406
m11->m13,0.328125
a12.h0->m13,-0.31054688
m12->m13,-0.20410156
a13.h4->m13,0.076660156
a13.h6->m13,0.087890625
a13.h9->m13,-0.13085938
a13.h10->m13,-0.084472656
m0->a14.h13<q>,-0.076660156
m3->a14.h10<q>,-0.075683594
m9->a14.h13<q>,0.091796875
m3->m14,-0.078125
a5.h9->m14,0.07324219
a5.h13->m14,0.075683594
a6.h3->m14,0.122558594
m6->m14,-0.1953125
m8->m14,0.080566406
m9->m14,-0.12988281
a10.h0->m14,0.17773438
a10.h7->m14,-0.11767578
m10->m14,0.11230469
a11.h5->m14,-0.076660156
a11.h13->m14,-0.08496094
m11->m14,0.14550781
a12.h2->m14,-0.12890625
a13.h2->m14,0.080078125
a13.h3->m14,0.1328125
a13.h5->m14,0.09765625
a13.h9->m14,0.095703125
a14.h5->m14,0.08203125
a14.h11->m14,-0.14160156
a14.h13->m14,0.111816406
m3->m15,-0.13671875
m4->m15,0.10107422
m5->m15,0.17480469
m6->m15,-0.14941406
m7->m15,0.08691406
m9->m15,0.100097656
m11->m15,-0.2734375
