edge,score
input->a0.h3<q>,0.07763672
input->m0,-0.66015625
a0.h0->m0,0.38671875
a0.h1->m0,0.26953125
a0.h2->m0,0.19726562
a0.h3->m0,0.359375
a0.h4->m0,0.20019531
a0.h5->m0,0.37695312
a0.h6->m0,0.31054688
a0.h7->m0,-0.14355469
a0.h8->m0,-0.13574219
a0.h9->m0,-0.15039062
a0.h10->m0,-0.20410156
a0.h11->m0,-0.16015625
a0.h13->m0,-0.14257812
m0->m1,-0.087890625
a1.h0->m1,-0.18457031
a1.h2->m1,-0.15039062
a1.h3->m1,-0.12792969
a1.h4->m1,-0.08544922
a1.h6->m1,-0.09326172
a1.h7->m1,-0.16601562
a1.h9->m1,-0.15820312
m0->m2,0.25390625
a1.h0->m2,0.08496094
a1.h2->m2,0.123535156
a1.h3->m2,0.08496094
a1.h4->m2,0.19921875
a1.h5->m2,0.1953125
a1.h6->m2,0.10644531
a1.h7->m2,0.107910156
a1.h8->m2,0.21289062
a1.h9->m2,0.13671875
a1.h10->m2,0.18359375
a1.h11->m2,0.16210938
a1.h12->m2,0.20996094
a1.h13->m2,0.19042969
a2.h1->m2,-0.07080078
a2.h2->m2,0.071777344
a2.h3->m2,0.09863281
a2.h4->m2,0.064453125
a2.h7->m2,0.118652344
a2.h8->m2,0.09814453
a2.h9->m2,0.125
a2.h10->m2,0.16113281
a2.h11->m2,0.09765625
a2.h12->m2,0.1328125
a2.h13->m2,0.09863281
m0->m3,0.25
a1.h7->m3,-0.07128906
a1.h10->m3,-0.099609375
a1.h11->m3,-0.122558594
m1->m3,0.22753906
m2->m3,0.111328125
m0->m4,-0.13671875
a1.h0->m4,0.08886719
a1.h1->m4,0.095703125
a1.h6->m4,0.0703125
m2->m4,0.25585938
m3->m4,0.51171875
m0->m5,-0.07910156
m2->m5,-0.3828125
m3->m5,0.09375
a4.h5->m5,0.091796875
a4.h6->m5,0.08886719
m4->m5,0.2734375
a5.h0->m5,-0.07861328
a5.h4->m5,-0.099609375
m0->m6,-0.12792969
m4->m6,-0.18359375
a6.h2->m6,-0.06738281
a6.h8->m6,0.087402344
a6.h13->m6,0.10986328
a1.h7->m7,0.092285156
a1.h8->m7,0.08544922
a1.h9->m7,0.08251953
a1.h10->m7,0.08935547
a1.h11->m7,0.087890625
a1.h12->m7,0.096191406
a1.h13->m7,0.10253906
