edge,score_own,score_cross
input->m0,0.78125,1.0546875
m10->logits,-0.40234375,-0.56640625
m0->m1,0.1875,0.18164062
m8->logits,-0.18359375,-0.38476562
m9->logits,-0.18164062,-0.69140625
m0->m5,-0.13476562,-0.16796875
m0->m3,0.12890625,0.063964844
m3->m5,0.12597656,0.026855469
m9->m11,0.12597656,0.03564453
m9->m10,-0.11669922,-0.095214844
m7->logits,-0.107421875,-0.3359375
m5->m6,0.107421875,-0.025146484
m8->m11,0.092285156,0.03125
m7->m9,0.091308594,-0.079589844
m0->logits,-0.07519531,0.3203125
m1->m2,-0.07080078,0.20117188
m5->m8,-0.068847656,-0.071777344
m0->m6,-0.06640625,0.03881836
m3->logits,-0.06542969,-0.091796875
m0->m11,0.06225586,-0.30859375
m3->m6,-0.060302734,-0.052734375
m7->m10,-0.053955078,-0.09863281
m2->m6,-0.053222656,0.057861328
input->a0.h6<v>,0.052490234,0.29296875
input->a0.h3<v>,0.05102539,-0.020629883
m5->logits,-0.046142578,-0.2109375
input->a0.h10<q>,-0.045654297,0.022216797
m10->m11,0.043945312,-0.27148438
input->a0.h11<v>,-0.04248047,-0.045654297
input->a0.h10<v>,-0.039794922,0.044677734
m7->m8,0.03930664,-0.1953125
input->a0.h1<v>,0.036621094,-0.10107422
m1->m8,-0.035888672,-0.06542969
a0.h10->m0,0.03540039,0.06982422
m3->m4,-0.03491211,0.110839844
m2->m8,-0.033935547,0.0154418945
m4->m6,-0.032470703,0.053710938
m0->m2,-0.03112793,0.051513672
m0->a9.h5<q>,-0.029663086,-0.029418945
m2->m3,-0.029418945,0.06982422
input->a0.h8<k>,0.026733398,0.024414062
input->a0.h8<v>,-0.026611328,-0.17871094
m2->m10,-0.025756836,-0.02734375
m0->a3.h8<k>,0.025634766,0.016845703
m6->m10,0.025024414,-0.0625
m6->m7,0.025024414,0.020751953
m0->a3.h0<q>,-0.023071289,-0.079589844
m8->m10,-0.022460938,-0.07421875
