edge,score_own,score_cross
input->m0,0.78125,0.734375
m10->logits,-0.40234375,-0.31835938
m0->m1,0.1875,1.1640625
m8->logits,-0.18359375,-0.27734375
m9->logits,-0.18164062,-0.40820312
m0->m5,-0.13476562,-0.19921875
m0->m3,0.12890625,0.34179688
m3->m5,0.12597656,-0.02746582
m9->m11,0.12597656,-0.32226562
m9->m10,-0.11669922,-0.20214844
m7->logits,-0.107421875,-0.53515625
m5->m6,0.107421875,-0.08691406
m8->m11,0.092285156,0.103027344
m7->m9,0.091308594,-0.071777344
m0->m9,0.08984375,-0.19726562
m0->logits,-0.07519531,-0.24511719
m1->m2,-0.07080078,0.07470703
m0->m6,-0.06640625,0.10986328
m3->logits,-0.06542969,-0.091796875
input->a0.h10<k>,-0.06347656,0.018798828
m0->m11,0.06225586,0.09667969
m3->m6,-0.060302734,-0.107910156
m7->m10,-0.053955078,0.017822266
m2->m6,-0.053222656,-0.045410156
input->a0.h6<v>,0.052490234,0.17089844
input->a0.h3<v>,0.05102539,0.032226562
input->a0.h8<q>,0.047607422,-0.015319824
m5->logits,-0.046142578,-0.17480469
m10->m11,0.043945312,-0.079589844
input->a0.h11<v>,-0.04248047,-0.072753906
a0.h5->m0,0.041503906,0.036376953
m0->a3.h7<k>,-0.041015625,-0.018310547
a0.h1->m0,-0.040527344,-0.087890625
m4->m7,0.039794922,-0.13671875
input->a0.h10<v>,-0.039794922,-0.05493164
input->a0.h1<v>,0.036621094,0.025268555
m1->m8,-0.035888672,0.020751953
a0.h10->m0,0.03540039,-0.03930664
m0->a1.h6<q>,-0.03540039,-0.01586914
m3->m4,-0.03491211,0.083984375
m0->a2.h7<k>,-0.034179688,0.019165039
m4->m8,-0.033935547,0.032226562
m4->m6,-0.032470703,0.20019531
m1->m7,0.03149414,0.019165039
m2->m3,-0.029418945,-0.027709961
m10->a11.h9<q>,-0.028808594,-0.020141602
m1->m4,0.028320312,0.029663086
input->a0.h8<k>,0.026733398,0.019165039
m0->a11.h9<v>,-0.026733398,0.015319824
input->a0.h8<v>,-0.026611328,-0.12792969
m0->a3.h8<k>,0.025634766,0.021606445
m6->m7,0.025024414,-0.18847656
m6->m10,0.025024414,-0.07128906
m0->a5.h6<k>,-0.022827148,0.016845703
m2->m7,0.022705078,0.0234375
m8->m10,-0.022460938,-0.15527344
m1->m9,-0.022460938,-0.03491211
m0->a3.h10<k>,-0.022460938,-0.0154418945
m0->a3.h2<k>,0.022216797,-0.014404297
m2->m5,0.021972656,-0.020996094
m2->logits,0.021606445,-0.16015625
m6->m8,0.021118164,0.14355469
m4->logits,0.021118164,-0.3203125
a0.h4->m0,-0.020629883,0.072753906
input->a0.h5<k>,0.020263672,0.040039062
input->a0.h9<v>,0.01977539,-0.03881836
m0->a2.h3<q>,0.01965332,-0.024902344
m4->m10,-0.018310547,-0.013366699
m1->m3,0.017700195,-0.06689453
m4->m5,-0.017578125,0.016235352
m1->a3.h1<q>,-0.017578125,0.021240234
m7->a9.h4<q>,-0.017578125,0.022949219
m3->a5.h6<v>,0.017456055,0.013183594
m0->a1.h11<v>,-0.017089844,0.053955078
m0->m10,0.016357422,-0.20507812
m1->m11,0.016113281,-0.015258789
m0->a1.h5<v>,-0.015991211,-0.044677734
m2->a5.h9<q>,-0.015991211,-0.013061523
a4.h11->m4,-0.015991211,0.020996094
m4->m11,0.015991211,0.13085938
input->a0.h5<q>,0.015563965,0.061523438
m9->a11.h9<q>,-0.015380859,-0.012939453
m4->m9,-0.015258789,-0.06689453
m3->m7,0.015136719,0.012451172
m0->a7.h6<q>,0.014892578,-0.024902344
m0->a2.h10<v>,-0.014770508,-0.036865234
m5->m11,0.014404297,0.103515625
m7->a11.h9<q>,-0.01361084,-0.017211914
m8->m9,0.0134887695,0.110839844
input->a0.h2<k>,0.013427734,0.014526367
m6->logits,0.013305664,-0.3671875
m3->a5.h9<q>,-0.013305664,0.0154418945
m0->a7.h6<k>,0.013305664,-0.033691406
m0->a5.h8<q>,0.013305664,-0.013122559
m0->a2.h11<k>,-0.012573242,-0.017089844
m0->a2.h1<k>,0.012512207,-0.05810547
m0->a2.h7<v>,0.011230469,0.034179688
m2->a5.h10<q>,0.010986328,0.025268555
m0->a1.h9<q>,0.010925293,0.07373047
m0->a4.h10<q>,-0.010803223,-0.026977539
input->m4,-0.010681152,0.01586914
m0->a4.h11<v>,-0.010620117,-0.020629883
m0->m8,-0.010620117,-0.04711914
m4->a6.h4<q>,-0.010559082,-0.01574707
m7->a8.h2<k>,-0.010375977,-0.118652344
m3->a5.h10<q>,0.010314941,-0.018676758
a2.h5->m2,0.010314941,0.014404297
m0->a1.h5<q>,-0.010253906,-0.013061523
m1->logits,-0.010253906,-0.14648438
m0->a6.h4<q>,-0.010070801,-0.030761719
m3->m11,-0.0099487305,-0.10986328
m1->a3.h6<q>,0.009887695,0.014770508
m2->a5.h11<q>,0.00982666,-0.013183594
m5->a6.h7<v>,-0.00982666,-0.024536133
m1->a4.h6<q>,-0.009765625,0.021850586
m0->a2.h5<q>,0.00970459,-0.0154418945
m6->m11,0.00970459,0.16210938
a4.h11->m8,0.009460449,-0.013122559
m1->a3.h3<k>,-0.009460449,0.027954102
m0->a8.h10<q>,-0.009277344,0.035888672
m3->a6.h4<q>,-0.009216309,-0.050048828
input->m1,0.009155273,0.033691406
m0->a3.h2<v>,0.008972168,-0.020629883
m0->a2.h0<k>,0.008728027,-0.01574707
m8->a9.h3<v>,0.008728027,-0.017700195
m2->a3.h11<v>,-0.008605957,0.0234375
m6->a7.h6<q>,-0.008544922,-0.01373291
m5->a6.h6<q>,0.008300781,-0.037109375
m2->a8.h2<q>,0.008056641,-0.046875
m0->a2.h11<v>,0.008056641,0.029174805
m0->a8.h2<v>,-0.00793457,0.01965332
input->a0.h7<v>,0.00793457,-0.07128906
m0->a4.h3<k>,-0.007873535,-0.015991211
m0->a1.h1<v>,-0.007873535,-0.037109375
m0->a5.h4<k>,-0.0077819824,0.01361084
m0->m4,0.0077209473,-0.22265625
