edge,score_own,score_cross
m11->logits,-1.3984375,0.19238281
input->m0,1.3203125,0.8515625
m10->logits,-0.953125,-0.41992188
m9->logits,-0.54296875,-0.19726562
m8->logits,-0.34960938,-0.17285156
m0->m1,0.328125,0.21972656
m0->m2,0.27734375,0.0234375
m0->logits,-0.26171875,-0.07421875
m6->m11,-0.19921875,0.009277344
m9->m11,0.18164062,0.14160156
m10->m11,0.1640625,0.068847656
input->a0.h11<v>,-0.1640625,-0.041992188
input->a0.h6<v>,0.140625,0.05053711
m7->logits,-0.13085938,-0.095703125
m1->logits,-0.12597656,-0.013061523
input->a0.h8<v>,-0.119140625,-0.026733398
input->a0.h8<k>,0.11816406,0.02734375
input->a0.h3<v>,0.10253906,0.036621094
m7->m8,0.091308594,0.009460449
m9->m10,0.09082031,-0.10986328
input->a0.h9<v>,0.08642578,0.015136719
input->a0.h5<q>,0.084472656,0.015991211
m1->m2,0.076171875,-0.05834961
m0->m6,-0.07080078,-0.015625
m3->m5,0.0703125,0.060302734
m4->m10,-0.06298828,-0.01928711
m3->m9,-0.060058594,0.009155273
input->a0.h5<k>,0.060058594,0.021972656
m2->m8,0.057128906,-0.033691406
m5->m11,-0.056640625,0.025512695
a0.h1->m0,-0.056152344,-0.03930664
m4->m8,-0.051757812,-0.010925293
m5->m6,0.048095703,0.08691406
input->a0.h10<q>,0.047607422,-0.027709961
m0->a2.h11<q>,-0.04663086,0.0095825195
m5->m8,-0.04663086,-0.06689453
m1->m5,0.045654297,-0.017089844
m0->m9,0.045654297,0.076660156
m4->m5,0.044921875,-0.051513672
m2->m5,0.044677734,0.018554688
m6->m8,-0.043701172,0.012084961
m2->logits,-0.04248047,0.017700195
m0->m4,0.03930664,-0.056884766
m1->m3,0.03881836,0.00793457
m0->a2.h7<k>,-0.036621094,-0.03466797
m4->m11,-0.036132812,0.01953125
m7->m10,0.035888672,-0.04248047
m0->m3,0.034423828,0.122558594
m3->m6,0.033935547,-0.018554688
m0->a5.h1<q>,0.032714844,0.016845703
m3->m8,0.031982422,-0.014282227
m6->m7,0.03125,0.024414062
m0->a4.h0<k>,-0.029785156,-0.053466797
m3->m11,-0.029174805,-0.010803223
m8->a9.h5<q>,-0.028808594,-0.038330078
m0->a3.h3<q>,-0.028320312,-0.009277344
m8->m9,-0.027832031,0.013305664
m8->m11,0.02746582,0.076171875
m2->m7,-0.02746582,0.024047852
m0->a3.h7<k>,0.02722168,-0.048095703
m10->a11.h0<v>,-0.025756836,-0.008178711
m0->a5.h9<k>,-0.025756836,-0.010925293
a0.h4->m0,0.025756836,-0.018066406
m6->m10,-0.025512695,0.041992188
m0->a4.h5<k>,0.024902344,-0.021362305
input->a0.h2<k>,0.023803711,0.015075684
m0->a1.h10<q>,-0.0234375,0.028076172
m0->a9.h3<k>,0.021972656,0.021850586
m0->a4.h10<q>,-0.021850586,-0.010681152
m0->a8.h10<q>,-0.021728516,-0.012329102
m0->a1.h0<q>,-0.021240234,0.012817383
m0->a3.h10<v>,0.020629883,0.008178711
m0->a3.h9<v>,0.020019531,0.008056641
m1->a6.h9<q>,0.019042969,-0.008483887
m0->a10.h9<k>,0.018798828,0.01574707
m8->m10,0.018798828,-0.01940918
m0->a5.h11<q>,-0.018310547,0.014038086
m1->m9,0.018310547,-0.011230469
m0->a9.h5<q>,-0.017700195,-0.03491211
m0->a4.h7<v>,0.017089844,0.010559082
m5->a8.h7<v>,0.016967773,-0.0078125
m1->m10,0.016845703,-0.008972168
m0->a7.h9<k>,-0.016845703,-0.012207031
m0->a10.h2<q>,-0.016723633,0.008728027
m2->a9.h5<q>,-0.016601562,-0.028564453
m0->a7.h3<k>,0.016479492,0.014587402
m1->m8,0.016235352,-0.05053711
m2->m10,-0.016113281,-0.021362305
input->a0.h1<k>,0.015563965,0.06298828
m0->a3.h0<k>,-0.0154418945,-0.009399414
input->a0.h10<v>,0.015319824,-0.028442383
m0->a3.h0<q>,-0.015258789,-0.020141602
m4->a5.h11<v>,0.015014648,0.009277344
m0->a11.h2<k>,0.014526367,0.011413574
m4->logits,-0.014404297,0.017089844
m0->a1.h5<q>,-0.014221191,-0.011352539
m3->a4.h4<k>,-0.014160156,-0.017089844
m1->a3.h7<k>,0.013977051,-0.009033203
m0->a4.h4<k>,-0.01361084,0.010131836
m0->m10,-0.0134887695,0.021606445
m0->a6.h5<k>,0.013183594,0.029785156
m4->m7,-0.012939453,0.028320312
m0->a5.h7<v>,-0.012634277,0.012084961
m0->a9.h8<v>,-0.012573242,0.016967773
m4->a7.h9<v>,0.012573242,0.009643555
m3->a4.h0<q>,0.012573242,-0.02355957
a0.h3->m0,0.012512207,0.013122559
m0->a1.h9<q>,0.012451172,0.008300781
m0->a7.h3<q>,0.012329102,0.012573242
input->a0.h6<q>,0.011962891,0.011352539
m5->a7.h3<k>,0.011779785,-0.008178711
m0->a5.h9<q>,-0.011169434,0.010131836
m8->a9.h7<q>,0.011169434,0.011413574
m4->a5.h8<q>,0.010986328,0.01361084
m0->a2.h4<v>,-0.010986328,-0.015991211
m0->a9.h7<q>,0.010803223,0.01940918
m0->a5.h5<q>,-0.010620117,-0.030151367
m0->a4.h9<q>,0.010620117,0.0075683594
m0->a3.h9<k>,0.010498047,-0.016723633
m1->a3.h4<q>,0.010498047,-0.014587402
m0->a2.h7<v>,0.010498047,0.0099487305
m0->a3.h6<k>,-0.010375977,0.0234375
m8->a10.h1<q>,0.010253906,-0.010803223
m4->a5.h5<k>,0.010253906,-0.01171875
m0->a5.h8<k>,-0.010131836,0.010498047
m0->m11,-0.010131836,0.05908203
m0->a4.h2<q>,0.010070801,0.0079956055
m0->a4.h11<v>,-0.010070801,-0.010070801
m1->a2.h7<k>,-0.010070801,-0.010925293
input->m4,0.010009766,-0.01574707
m4->m9,0.009887695,-0.010070801
input->a0.h2<q>,-0.00970459,0.0154418945
m3->a6.h11<v>,-0.009521484,-0.008605957
m3->a5.h7<v>,-0.009521484,-0.010681152
m4->a6.h6<k>,-0.009521484,0.012634277
a4.h0->m6,-0.009399414,-0.008544922
m0->a10.h0<k>,0.009399414,0.022338867
m0->a6.h11<k>,-0.009277344,-0.008422852
m4->a9.h5<q>,-0.009216309,-0.024047852
m7->a9.h4<q>,0.009216309,-0.014160156
m0->a5.h4<v>,-0.009155273,-0.012207031
input->m5,-0.009033203,0.0077819824
m1->m7,0.009033203,0.033447266
m0->a3.h8<k>,-0.009033203,0.03149414
m10->a11.h3<q>,0.008972168,0.018554688
m4->a5.h10<q>,-0.008850098,-0.014221191
a3.h0->m7,-0.0087890625,0.007873535
m6->a10.h7<q>,0.008728027,-0.00982666
