edge,score_own,score_cross
m11->logits,-1.3984375,-0.07421875
input->m0,1.3203125,0.76953125
m10->logits,-0.953125,-0.32226562
m9->logits,-0.54296875,-0.3515625
m8->logits,-0.34960938,-0.37304688
m0->m1,0.328125,1.2265625
m0->m2,0.27734375,0.111328125
m0->logits,-0.26171875,-0.31445312
m6->m11,-0.19921875,0.13769531
m9->m11,0.18164062,-0.33203125
input->a0.h11<v>,-0.1640625,-0.061767578
m10->m11,0.1640625,-0.22753906
input->a0.h6<v>,0.140625,0.115234375
m7->logits,-0.13085938,-0.55078125
m1->logits,-0.12597656,-0.1796875
input->a0.h8<v>,-0.119140625,-0.080566406
input->a0.h8<k>,0.11816406,0.029174805
m6->logits,-0.09667969,-0.35546875
m7->m8,0.091308594,-0.076660156
m9->m10,0.09082031,-0.12207031
input->a0.h9<v>,0.08642578,-0.027709961
m0->m7,-0.08496094,-0.10449219
input->a0.h5<q>,0.084472656,0.051513672
m7->m11,-0.080078125,0.021850586
m1->m2,0.076171875,0.12011719
m6->m9,0.07470703,-0.021972656
m0->m6,-0.07080078,0.19335938
m3->m5,0.0703125,-0.063964844
m4->m6,0.068847656,0.23535156
m4->m10,-0.06298828,-0.023071289
m3->m9,-0.060058594,-0.026855469
input->a0.h5<k>,0.060058594,0.032470703
m2->m8,0.057128906,-0.016113281
m5->m11,-0.056640625,0.11376953
a0.h1->m0,-0.056152344,-0.078125
input->a0.h9<k>,0.055664062,0.027709961
input->a0.h7<v>,0.053466797,-0.050048828
m4->m8,-0.051757812,0.056152344
m5->m6,0.048095703,-0.05029297
m5->m8,-0.04663086,-0.02331543
m1->m5,0.045654297,-0.19628906
m0->m9,0.045654297,-0.24707031
m4->m5,0.044921875,-0.07421875
m2->m5,0.044677734,0.053466797
m6->m8,-0.043701172,0.10253906
m2->logits,-0.04248047,-0.13867188
m0->m4,0.03930664,-0.1484375
m1->m3,0.03881836,0.014831543
m0->a2.h7<k>,-0.036621094,0.020751953
m4->m11,-0.036132812,0.17578125
m7->m10,0.035888672,-0.03466797
m0->m3,0.034423828,0.29296875
m3->m6,0.033935547,-0.08691406
m6->m7,0.03125,-0.20019531
m0->a11.h8<k>,0.030883789,-0.013671875
m3->m11,-0.029174805,-0.12792969
m2->m9,-0.028442383,0.060058594
m8->m9,-0.027832031,0.061523438
m2->m7,-0.02746582,0.06591797
m8->m11,0.02746582,0.06640625
m2->m11,0.026123047,-0.014526367
m10->a11.h0<v>,-0.025756836,-0.016601562
a0.h4->m0,0.025756836,0.100097656
m6->m10,-0.025512695,-0.047607422
input->a0.h2<k>,0.023803711,0.02722168
m0->a2.h3<v>,-0.0234375,-0.024902344
m0->a2.h2<q>,0.022949219,0.025634766
m0->a4.h10<q>,-0.021850586,-0.029174805
m0->a11.h8<v>,-0.021850586,0.053710938
m0->a1.h6<v>,0.021728516,0.03125
m0->a8.h10<q>,-0.021728516,0.017578125
m0->a1.h2<v>,-0.021362305,-0.020507812
m3->m4,-0.021362305,-0.028442383
input->m1,0.021240234,0.024902344
m0->a1.h9<v>,-0.020751953,-0.021240234
m8->m10,0.018798828,-0.10449219
m1->m9,0.018310547,-0.014282227
a0.h9->m0,0.017089844,0.016479492
m7->a8.h3<q>,-0.017089844,0.020141602
m0->a4.h7<v>,0.017089844,0.0154418945
m1->m10,0.016845703,-0.13085938
m0->a8.h2<k>,-0.0154418945,-0.13964844
input->a0.h4<v>,-0.015380859,0.048095703
input->a0.h10<v>,0.015319824,-0.030761719
a0.h6->m0,0.014831543,-0.064453125
m0->a1.h1<k>,0.014831543,-0.022949219
m5->m7,-0.014587402,0.11621094
m4->logits,-0.014404297,-0.33789062
a4.h11->m7,-0.014160156,-0.021362305
m1->a3.h7<k>,0.013977051,0.015075684
m0->a11.h0<k>,0.01361084,0.016479492
m0->m10,-0.0134887695,-0.23242188
a11.h3->m11,0.013183594,-0.019042969
m4->m7,-0.012939453,-0.1640625
m9->a11.h8<v>,-0.012878418,-0.028808594
m5->a6.h8<v>,-0.012634277,-0.0154418945
a0.h3->m0,0.012512207,-0.020751953
m0->m8,-0.012512207,-0.015319824
input->m9,-0.012512207,-0.019165039
m0->a1.h9<q>,0.012451172,0.06982422
m0->a6.h8<q>,-0.012268066,0.015319824
m0->a1.h4<v>,0.011474609,-0.018310547
m0->a1.h8<q>,-0.011413574,0.018310547
m8->a9.h3<v>,-0.010864258,-0.024414062
m1->a3.h7<v>,-0.010681152,-0.016845703
input->logits,0.010620117,-0.14355469
input->m11,-0.010620117,0.115722656
m0->a2.h9<v>,0.010620117,-0.021850586
m0->a3.h1<k>,-0.010559082,-0.016845703
m0->a2.h7<v>,0.010498047,0.044677734
m0->a2.h1<k>,0.010253906,-0.06982422
m0->m11,-0.010131836,0.045898438
m0->a4.h11<v>,-0.010070801,-0.030883789
input->m4,0.010009766,0.017944336
m4->m9,0.009887695,-0.07373047
m0->a2.h6<v>,0.009765625,0.014221191
m0->a1.h6<k>,0.0095825195,-0.018920898
m2->a5.h9<q>,-0.009460449,-0.013671875
a0.h7->m0,-0.009399414,-0.08544922
a10.h5->logits,-0.009033203,0.025268555
m0->a3.h8<k>,-0.009033203,0.028930664
m4->a5.h10<v>,0.009033203,-0.018310547
m1->m7,0.009033203,0.013671875
input->m5,-0.009033203,-0.016601562
input->a0.h5<v>,0.008911133,0.068359375
m0->a7.h0<q>,-0.008850098,0.014831543
a2.h3->m3,0.008728027,0.019897461
