edge,score_own,score_cross
m11->logits,-1.3984375,-7.5625
input->m0,1.3203125,0.66015625
m10->logits,-0.953125,-2.15625
m9->logits,-0.54296875,-1.9921875
m8->logits,-0.34960938,-0.96484375
m0->m1,0.328125,0.69140625
m0->m2,0.27734375,0.068359375
m0->logits,-0.26171875,-0.53125
m6->m11,-0.19921875,0.24609375
m9->m11,0.18164062,0.46679688
input->a0.h11<v>,-0.1640625,-0.06542969
input->a0.h6<v>,0.140625,-0.061035156
m7->logits,-0.13085938,-0.94140625
m1->logits,-0.12597656,-0.12597656
input->a0.h8<v>,-0.119140625,0.067871094
input->a0.h8<k>,0.11816406,0.033447266
m6->logits,-0.09667969,-0.59375
m2->m3,0.09667969,0.026611328
m7->m8,0.091308594,0.08544922
m9->m10,0.09082031,-0.16503906
input->a0.h9<v>,0.08642578,-0.05029297
m0->m7,-0.08496094,-0.15722656
input->a0.h5<q>,0.084472656,0.016479492
m7->m11,-0.080078125,0.40429688
m1->m2,0.076171875,0.14355469
m0->m6,-0.07080078,0.32421875
m3->m5,0.0703125,-0.05444336
m4->m6,0.068847656,0.099609375
m4->m10,-0.06298828,-0.19921875
m3->m9,-0.060058594,0.07324219
m2->m8,0.057128906,-0.027832031
m5->m11,-0.056640625,0.19726562
a0.h1->m0,-0.056152344,0.024902344
input->a0.h7<v>,0.053466797,0.072265625
m4->m8,-0.051757812,-0.061767578
m5->m6,0.048095703,0.06689453
input->a0.h10<q>,0.047607422,0.015014648
m5->m8,-0.04663086,-0.072753906
m0->a2.h11<q>,-0.04663086,0.028808594
m1->m5,0.045654297,-0.0390625
m0->m9,0.045654297,0.20019531
m4->m5,0.044921875,0.106933594
m2->m5,0.044677734,0.035888672
m6->m8,-0.043701172,-0.017089844
m2->logits,-0.04248047,0.038330078
m0->m4,0.03930664,-0.1796875
m1->m3,0.03881836,0.076171875
m4->m11,-0.036132812,0.10253906
m7->m10,0.035888672,-0.11816406
m0->m3,0.034423828,0.4140625
m3->m6,0.033935547,0.07763672
m3->m8,0.031982422,-0.12988281
m3->m11,-0.029174805,0.14355469
m2->m9,-0.028442383,-0.01977539
m0->a3.h3<q>,-0.028320312,0.021240234
m8->m9,-0.027832031,0.22851562
m8->m11,0.02746582,0.16796875
m2->m7,-0.02746582,-0.033447266
m2->m11,0.026123047,-0.044433594
a0.h4->m0,0.025756836,0.06640625
m6->m10,-0.025512695,-0.18457031
m0->a2.h3<v>,-0.0234375,-0.028808594
m0->a3.h3<k>,0.021972656,-0.024047852
m0->a11.h8<v>,-0.021850586,0.063964844
m0->a8.h10<q>,-0.021728516,0.017211914
m0->a1.h2<v>,-0.021362305,0.021972656
m3->m4,-0.021362305,0.18847656
input->m1,0.021240234,-0.022460938
a0.h2->m0,-0.020629883,0.017211914
m0->a3.h9<v>,0.020019531,0.022949219
m0->a10.h9<k>,0.018798828,0.017456055
m8->m10,0.018798828,-0.123046875
m0->a1.h10<v>,0.018554688,-0.026123047
m0->a5.h11<q>,-0.018310547,-0.019042969
a0.h9->m0,0.017089844,0.10205078
m7->a8.h3<q>,-0.017089844,0.014892578
m1->m10,0.016845703,-0.05102539
m0->a7.h3<k>,0.016479492,0.029541016
m1->m8,0.016235352,-0.11669922
m3->a5.h3<q>,0.016113281,-0.018310547
m2->m10,-0.016113281,-0.11425781
m0->a3.h1<q>,0.015991211,0.03930664
m2->a5.h7<v>,-0.01574707,0.021240234
m0->a8.h0<q>,-0.01574707,0.021362305
m0->a5.h3<q>,0.01574707,0.016601562
m3->a8.h3<q>,-0.015563965,0.016601562
input->a0.h4<v>,-0.015380859,-0.043701172
input->a0.h10<v>,0.015319824,0.033691406
m6->a8.h3<q>,-0.015075684,0.022460938
input->m10,0.014831543,-0.043701172
m0->a8.h3<k>,0.014587402,0.020751953
m4->logits,-0.014404297,-0.31054688
a4.h11->m7,-0.014160156,0.017456055
m0->a1.h11<k>,-0.013916016,0.028442383
a11.h0->m11,-0.0138549805,-0.019042969
m0->m10,-0.0134887695,-0.44726562
m4->m7,-0.012939453,0.03173828
m9->a11.h8<v>,-0.012878418,-0.05053711
