edge,score_own,score_cross
m11->logits,-1.3984375,-0.51171875
input->m0,1.3203125,0.43945312
m10->logits,-0.953125,-0.19726562
m9->logits,-0.54296875,-0.37304688
m8->logits,-0.34960938,-0.23144531
m0->m1,0.328125,0.30078125
m0->m2,0.27734375,-0.11816406
m0->logits,-0.26171875,-0.111328125
m6->m11,-0.19921875,-0.06591797
m9->m11,0.18164062,-0.18164062
input->a0.h11<v>,-0.1640625,-0.048828125
m10->m11,0.1640625,-0.107421875
input->a0.h6<v>,0.140625,0.16796875
m7->logits,-0.13085938,-0.0546875
m1->logits,-0.12597656,-0.052490234
input->a0.h8<v>,-0.119140625,-0.16503906
input->a0.h8<k>,0.11816406,0.0625
m6->logits,-0.09667969,0.0390625
m7->m8,0.091308594,-0.072265625
m9->m10,0.09082031,-0.10986328
input->a0.h9<v>,0.08642578,-0.036132812
m0->m7,-0.08496094,0.02722168
input->a0.h5<q>,0.084472656,0.068359375
m7->m11,-0.080078125,0.032226562
m6->m9,0.07470703,-0.060058594
m3->m5,0.0703125,0.027832031
m4->m6,0.068847656,-0.050048828
m4->m10,-0.06298828,-0.013183594
input->a0.h5<k>,0.060058594,0.036376953
m2->m8,0.057128906,0.010559082
m5->m11,-0.056640625,0.009277344
a0.h1->m0,-0.056152344,-0.037597656
m4->m8,-0.051757812,-0.037109375
m5->m6,0.048095703,0.010803223
input->a0.h10<q>,0.047607422,0.026245117
m0->a2.h11<q>,-0.04663086,0.020751953
m1->m5,0.045654297,0.023071289
m0->m9,0.045654297,-0.068359375
m4->m5,0.044921875,0.056884766
m6->m8,-0.043701172,-0.038330078
m0->m4,0.03930664,0.053466797
m1->m3,0.03881836,0.037109375
m4->m11,-0.036132812,-0.014465332
m0->m3,0.034423828,0.10253906
m3->m6,0.033935547,-0.036621094
m0->a5.h1<q>,0.032714844,0.009277344
m3->m8,0.031982422,0.02355957
m6->m7,0.03125,0.08984375
input->a0.h9<q>,0.030517578,-0.014038086
m0->a5.h2<k>,0.030029297,0.015136719
m3->m11,-0.029174805,-0.017456055
m2->m9,-0.028442383,-0.029174805
m0->a3.h3<q>,-0.028320312,0.013977051
m8->m9,-0.027832031,-0.17285156
m8->m11,0.02746582,-0.122558594
m2->m11,0.026123047,0.018798828
a0.h4->m0,0.025756836,-0.018920898
m10->a11.h0<v>,-0.025756836,-0.032714844
m6->m10,-0.025512695,-0.043945312
m0->a4.h5<k>,0.024902344,-0.017578125
m0->a4.h4<q>,-0.02355957,0.02355957
m0->a2.h2<q>,0.022949219,0.012084961
m0->a8.h10<q>,-0.021728516,0.032226562
m0->a1.h6<v>,0.021728516,0.016601562
m3->m4,-0.021362305,0.05029297
m0->a1.h9<v>,-0.020751953,-0.019165039
input->a0.h7<k>,0.020751953,-0.013305664
a0.h2->m0,-0.020629883,0.017089844
m0->a3.h9<v>,0.020019531,-0.019897461
m0->a10.h9<k>,0.018798828,0.009765625
m0->a1.h10<v>,0.018554688,-0.024047852
m3->a4.h11<v>,-0.018310547,0.010559082
m1->m9,0.018310547,-0.012756348
m0->a8.h5<k>,0.018066406,0.016113281
m7->a8.h3<q>,-0.017089844,0.015075684
m0->a4.h7<v>,0.017089844,-0.021728516
a0.h9->m0,0.017089844,0.045654297
m1->m10,0.016845703,-0.036865234
m1->m8,0.016235352,-0.021240234
m2->m10,-0.016113281,-0.012512207
m3->a5.h3<q>,0.016113281,0.009399414
m0->a8.h7<q>,0.015991211,-0.011779785
m0->a5.h3<q>,0.01574707,0.01928711
m0->a3.h0<k>,-0.0154418945,0.018554688
m0->a8.h2<k>,-0.0154418945,0.014526367
input->a0.h4<v>,-0.015380859,0.025268555
input->a0.h10<v>,0.015319824,0.020019531
m0->a3.h0<q>,-0.015258789,0.014892578
m4->a5.h11<v>,0.015014648,0.00970459
m5->m7,-0.014587402,-0.05029297
m3->a4.h4<q>,-0.014404297,0.010498047
m4->logits,-0.014404297,-0.040527344
m3->a4.h4<k>,-0.014160156,0.0119018555
m0->a1.h11<k>,-0.013916016,-0.0115356445
m0->a4.h4<k>,-0.01361084,0.012817383
a1.h11->m3,-0.0134887695,-0.010620117
m0->m10,-0.0134887695,-0.055664062
m9->a10.h5<v>,-0.013061523,-0.026245117
m4->m7,-0.012939453,-0.048828125
m9->a11.h8<v>,-0.012878418,-0.034179688
m5->a6.h8<v>,-0.012634277,-0.020751953
m0->m8,-0.012512207,-0.016479492
a0.h3->m0,0.012512207,0.024047852
m3->a5.h8<q>,0.012451172,-0.011413574
m0->a1.h9<q>,0.012451172,0.01940918
m0->a6.h8<q>,-0.012268066,-0.0095825195
m9->a10.h9<v>,-0.011779785,-0.0095825195
input->a0.h0<v>,-0.011169434,0.013427734
m0->a3.h7<v>,-0.011108398,-0.010803223
m0->a2.h4<v>,-0.010986328,0.01373291
m0->a6.h6<k>,-0.010925293,-0.011352539
m8->a9.h3<v>,-0.010864258,-0.017578125
input->logits,0.010620117,0.012268066
m0->a2.h9<v>,0.010620117,-0.022827148
m0->a3.h9<k>,0.010498047,-0.010498047
m0->a3.h6<k>,-0.010375977,-0.010620117
m0->a2.h1<k>,0.010253906,0.012207031
m0->m11,-0.010131836,-0.029541016
m0->a5.h8<k>,-0.010131836,-0.010620117
m0->a4.h11<v>,-0.010070801,-0.013916016
m0->a4.h2<q>,0.010070801,0.017822266
