edge,score_own,score_cross
m0->m1,2.46875,0.6640625
input->m0,1.0703125,0.62109375
m0->m5,-0.890625,-0.023803711
m0->m6,0.76171875,0.50390625
m11->logits,-0.65625,-7.0
m9->logits,-0.65625,-1.5234375
m9->m10,-0.6484375,-0.24511719
m6->m10,-0.640625,-0.34765625
m10->logits,-0.63671875,-2.375
m7->logits,-0.53125,-1.0234375
m1->m3,-0.47265625,0.05029297
m0->m10,-0.4140625,-0.6953125
m7->m8,0.4140625,0.07519531
m8->logits,-0.41015625,-0.796875
m1->m5,-0.40429688,-0.06933594
m6->m8,0.39257812,-0.12890625
m4->logits,-0.38671875,-0.3828125
m6->logits,-0.38671875,-0.6796875
m2->m10,-0.359375,-0.20703125
m7->m9,-0.34960938,0.115722656
m1->m6,0.34570312,0.30664062
m8->m11,0.34179688,0.18652344
m7->m10,-0.3359375,-0.26757812
m4->m5,-0.32226562,0.079589844
m0->m3,0.31640625,0.30273438
m1->m2,0.31054688,0.296875
m8->m9,0.29882812,0.26171875
m0->m8,0.27929688,-0.36523438
m4->m7,-0.27539062,0.037353516
m0->m7,-0.26171875,-0.12890625
m0->m11,0.25585938,-0.072265625
m3->m6,-0.24609375,0.071777344
m7->a8.h2<v>,-0.24511719,-0.13964844
m5->a6.h4<v>,-0.22753906,-0.04663086
m0->logits,-0.21582031,-0.41210938
a0.h1->m0,-0.21289062,0.019897461
input->a0.h4<v>,0.20507812,-0.020141602
m3->m7,0.20410156,0.050048828
m0->a1.h5<v>,-0.20214844,-0.0703125
m6->m11,0.20117188,0.265625
m1->m10,-0.19921875,-0.17480469
m1->m8,-0.19628906,-0.17773438
m5->m9,-0.19335938,-0.0390625
m0->a11.h8<v>,-0.19042969,0.16601562
m5->m10,0.18652344,-0.17773438
m0->a1.h0<v>,-0.18164062,0.022705078
m2->m4,-0.17871094,0.111328125
m9->m11,-0.16601562,0.10058594
m4->a8.h2<v>,0.16503906,-0.021118164
m4->m11,0.15917969,0.11767578
m5->m6,-0.15527344,0.068359375
m8->m10,-0.15234375,-0.17089844
input->a0.h6<v>,0.15039062,-0.037841797
input->a0.h8<v>,-0.14453125,0.07763672
m4->a6.h6<v>,-0.13964844,-0.020751953
input->a0.h9<v>,-0.13476562,-0.044921875
m3->m10,-0.13378906,-0.20605469
m5->a6.h4<q>,-0.1328125,-0.028808594
m2->m6,0.12890625,0.17480469
m5->logits,-0.12792969,-0.37695312
m3->m8,0.12597656,-0.11669922
a0.h11->m0,-0.123046875,0.08544922
m0->m9,-0.11816406,0.23144531
m3->logits,-0.115234375,-0.1953125
m2->a5.h11<q>,0.11376953,-0.032226562
m0->a5.h11<q>,0.11376953,-0.048828125
m3->a8.h2<v>,-0.11328125,-0.028320312
m1->logits,-0.11328125,-0.21972656
m3->m4,-0.111816406,0.25195312
input->a0.h10<v>,-0.111816406,-0.050048828
a0.h4->m0,0.107421875,0.08642578
m5->m7,-0.107421875,0.03540039
m3->a5.h9<q>,0.106933594,-0.07763672
m2->a5.h9<q>,-0.10644531,0.06298828
m0->a2.h11<v>,0.10644531,0.025268555
m4->m9,0.10498047,0.05053711
m2->logits,-0.103027344,-0.053222656
m1->m11,0.10253906,-0.07421875
m4->m8,0.10205078,-0.26171875
m0->a1.h9<q>,0.100097656,0.056640625
m6->m9,-0.09375,0.040527344
m3->a6.h6<v>,0.091796875,0.03149414
m6->a8.h2<v>,0.08935547,-0.03930664
m7->m11,0.08642578,0.39453125
a0.h7->m0,-0.08496094,-0.02355957
a0.h0->m0,-0.08496094,-0.026855469
m0->a1.h10<v>,-0.08203125,-0.023803711
input->a0.h0<v>,-0.076660156,-0.041259766
m0->a4.h7<v>,0.076171875,-0.025146484
input->m2,-0.07470703,-0.061035156
m0->a3.h1<k>,0.07421875,0.043701172
m0->a1.h3<v>,0.07324219,0.03881836
m3->a6.h4<q>,-0.072753906,-0.034423828
m3->m11,-0.072265625,0.061035156
m9->a11.h8<v>,-0.071777344,-0.096191406
m7->a9.h4<q>,0.07080078,0.056640625
a0.h8->m0,-0.068847656,-0.055419922
m0->a1.h3<k>,-0.068359375,-0.025024414
m3->a6.h6<q>,-0.068359375,-0.041503906
m1->a10.h5<q>,0.067871094,0.071777344
m2->m8,0.067871094,-0.057861328
m4->a11.h8<v>,-0.06640625,0.049316406
m0->m4,0.06640625,-0.13769531
m7->a11.h8<v>,-0.06640625,-0.0390625
m0->a3.h8<v>,0.06542969,-0.024658203
m5->a6.h6<v>,0.064453125,0.030029297
m0->a1.h8<v>,0.064453125,0.083984375
m1->a5.h11<q>,-0.064453125,0.03540039
m4->m6,-0.06298828,0.12109375
m1->a6.h6<q>,-0.06225586,-0.040039062
m0->m2,-0.060546875,0.16113281
m6->a7.h6<v>,0.057861328,0.029785156
input->a0.h10<k>,0.057617188,0.03491211
m3->a4.h7<v>,0.057128906,0.029663086
m2->m11,0.056640625,-0.048095703
m7->a8.h5<v>,0.055664062,0.039794922
m0->a9.h4<k>,-0.055664062,-0.06738281
a1.h1->m2,-0.05444336,-0.039794922
m10->a11.h8<v>,-0.052734375,-0.34960938
m1->a5.h3<q>,0.051757812,-0.03955078
m0->a2.h8<v>,0.051513672,-0.025756836
input->a0.h1<v>,-0.048828125,0.01965332
m0->a4.h10<k>,-0.048095703,-0.020263672
m6->a9.h4<q>,0.047607422,0.03515625
m5->a6.h3<v>,-0.04711914,-0.06933594
m1->m4,0.045654297,0.09814453
m0->a4.h6<q>,0.045410156,-0.038085938
input->a0.h3<v>,-0.045410156,-0.03125
