edge,score_own,score_cross
m0->m1,2.46875,0.265625
input->m0,1.0703125,0.25195312
m0->m5,-0.890625,-0.060302734
m0->m6,0.76171875,0.111816406
m11->logits,-0.65625,-0.103027344
m9->logits,-0.65625,-0.140625
m9->m10,-0.6484375,-0.075683594
m6->m10,-0.640625,-0.028564453
m10->logits,-0.63671875,-0.14257812
m7->logits,-0.53125,-0.10107422
m1->m3,-0.47265625,0.06738281
m3->m5,-0.47070312,0.04321289
m7->m8,0.4140625,-0.091796875
m8->logits,-0.41015625,-0.296875
m1->m5,-0.40429688,-0.0115356445
m6->m8,0.39257812,0.018432617
m6->logits,-0.38671875,0.05053711
m4->logits,-0.38671875,-0.080566406
m7->m9,-0.34960938,-0.12792969
m8->m11,0.34179688,-0.047607422
m7->m10,-0.3359375,-0.031982422
m4->m5,-0.32226562,0.048339844
m0->m3,0.31640625,-0.036132812
m8->m9,0.29882812,-0.042236328
m0->m8,0.27929688,-0.025634766
m4->m7,-0.27539062,-0.010803223
m0->m7,-0.26171875,-0.011230469
m0->m11,0.25585938,-0.05908203
m3->m6,-0.24609375,-0.068847656
m7->a8.h2<v>,-0.24511719,0.016601562
m0->logits,-0.21582031,-0.06347656
m6->m7,-0.20703125,0.055908203
m3->m7,0.20410156,0.080078125
m0->a1.h5<v>,-0.20214844,-0.031982422
m6->m11,0.20117188,0.016235352
m1->m10,-0.19921875,-0.017089844
m1->m8,-0.19628906,-0.032470703
m5->m9,-0.19335938,-0.09814453
m2->m3,-0.19238281,0.057128906
m2->m4,-0.17871094,0.031982422
m9->m11,-0.16601562,-0.07519531
m4->a8.h2<v>,0.16503906,0.012023926
m5->m6,-0.15527344,0.035888672
m8->m10,-0.15234375,0.01574707
input->a0.h6<v>,0.15039062,0.08544922
input->a0.h8<v>,-0.14453125,-0.08935547
m4->a6.h6<v>,-0.13964844,-0.025024414
input->a0.h9<v>,-0.13476562,-0.022338867
m3->m10,-0.13378906,0.030761719
m2->m6,0.12890625,0.106933594
m5->logits,-0.12792969,-0.013427734
m2->m5,-0.125,-0.015991211
m5->a6.h6<q>,-0.11816406,0.015014648
m0->m9,-0.11816406,-0.010620117
m3->logits,-0.115234375,0.015258789
m0->a5.h11<q>,0.11376953,0.0095825195
m3->a8.h2<v>,-0.11328125,-0.040039062
m1->logits,-0.11328125,-0.061279297
m1->m9,-0.11230469,-0.021118164
m3->m4,-0.111816406,0.06689453
m5->m7,-0.107421875,-0.09082031
a0.h4->m0,0.107421875,-0.016479492
m4->m9,0.10498047,0.07519531
m4->m8,0.10205078,-0.026123047
m6->a8.h2<q>,0.10107422,0.010986328
m1->a2.h11<q>,-0.099609375,-0.011657715
m0->a8.h2<k>,-0.09765625,0.014404297
m2->a8.h2<v>,0.09423828,-0.028808594
m6->m9,-0.09375,-0.05493164
m3->a6.h6<v>,0.091796875,0.021606445
m6->a8.h2<v>,0.08935547,0.02734375
m7->m11,0.08642578,0.079589844
a0.h0->m0,-0.08496094,-0.0095825195
m0->a8.h10<q>,0.08300781,0.017333984
m0->a1.h10<v>,-0.08203125,-0.0134887695
m7->a8.h9<k>,0.079589844,0.013183594
input->a0.h5<v>,0.079589844,0.028930664
m0->a2.h2<v>,-0.07861328,0.0099487305
m0->a4.h4<k>,-0.07861328,0.014831543
m0->a4.h7<v>,0.076171875,-0.018188477
m0->a5.h8<k>,-0.076171875,-0.018798828
m4->a5.h11<v>,-0.07519531,0.024536133
input->m2,-0.07470703,0.014038086
m9->a11.h8<v>,-0.071777344,-0.028930664
m0->a1.h6<v>,0.06982422,0.011657715
a0.h8->m0,-0.068847656,-0.019165039
m0->m4,0.06640625,0.09082031
m7->a11.h8<v>,-0.06640625,-0.009765625
m1->a8.h2<v>,0.064941406,-0.02746582
m0->a1.h8<v>,0.064453125,0.00982666
m0->a4.h4<q>,-0.064453125,0.034423828
m5->a6.h6<v>,0.064453125,0.013916016
m3->a4.h4<q>,-0.063964844,0.01928711
m0->a3.h3<v>,-0.063964844,0.011352539
m4->m6,-0.06298828,-0.040283203
m4->a7.h6<v>,0.06298828,0.015014648
m0->m2,-0.060546875,-0.08544922
m0->a2.h5<v>,0.05834961,-0.013916016
m6->a7.h6<v>,0.057861328,0.011657715
input->m5,-0.057128906,-0.011413574
m0->a1.h5<k>,-0.056152344,-0.014892578
