edge,score_own,score_cross
m11->logits,-6.0,-1.4921875
m10->logits,-2.234375,-0.83984375
m9->logits,-1.78125,-0.703125
m0->m1,1.0703125,0.15039062
input->m0,1.0234375,1.4921875
m7->logits,-1.0078125,-0.3515625
m8->logits,-0.94921875,-0.36914062
m7->m11,0.59375,0.07324219
m6->logits,-0.5546875,-0.17871094
m0->m10,-0.48242188,-0.23632812
m0->m8,-0.4609375,-0.11621094
m0->logits,-0.4375,0.40234375
m6->m11,0.41796875,0.0546875
m0->m6,0.3984375,0.047851562
m0->m3,0.38671875,0.3984375
m4->logits,-0.37304688,-0.2265625
input->logits,0.37304688,0.3828125
m9->m11,0.36328125,-0.05102539
m5->logits,-0.35546875,-0.29296875
m0->m9,0.34960938,-0.056152344
m3->logits,-0.29492188,-0.099609375
m8->m9,0.27929688,0.026245117
m8->m10,-0.27539062,-0.09863281
m6->m10,-0.24511719,-0.05126953
m10->a11.h8<v>,-0.24121094,-0.10498047
m4->m11,0.23144531,-0.033935547
m1->m8,-0.20605469,-0.110839844
m5->m10,-0.19238281,-0.03466797
a0.h11->m0,0.18457031,-0.063964844
m6->m8,-0.17773438,-0.14941406
m7->m10,-0.17089844,-0.03857422
m4->m10,-0.16210938,-0.03930664
m3->m4,0.15820312,0.10107422
m1->m2,0.14453125,0.19335938
m1->logits,-0.1328125,-0.15429688
m0->m11,0.13183594,-0.33789062
m1->m6,0.12988281,-0.017333984
a0.h9->m0,0.12695312,0.10546875
m3->m10,-0.12597656,-0.068359375
m0->a3.h1<q>,0.122558594,0.09667969
m0->m4,-0.12207031,0.18457031
m0->a1.h7<v>,-0.12109375,-0.04345703
m1->m5,0.12011719,0.19042969
m2->m7,-0.12011719,-0.041992188
input->a0.h5<q>,0.11621094,0.16894531
input->a0.h10<v>,-0.110839844,0.1796875
m9->a11.h8<v>,-0.10888672,-0.05493164
m0->m2,-0.10107422,-0.03930664
m10->a11.h0<v>,0.096191406,0.060058594
m3->a4.h8<q>,0.09375,0.018310547
input->m9,-0.09375,-0.045410156
m7->a8.h2<v>,-0.092285156,-0.06982422
m1->a7.h4<q>,0.091796875,0.061767578
