edge,score_own,score_cross
m11->logits,-6.0,0.13964844
m10->logits,-2.234375,-0.27929688
m9->logits,-1.78125,-0.48242188
m0->m1,1.0703125,1.296875
input->m0,1.0234375,1.3203125
m7->logits,-1.0078125,-0.66015625
m8->logits,-0.94921875,-0.515625
m7->m11,0.59375,0.15820312
m6->logits,-0.5546875,-0.46484375
m0->m10,-0.48242188,-0.49414062
m0->m8,-0.4609375,0.064453125
m0->logits,-0.4375,-0.34179688
m6->m11,0.41796875,0.24023438
m0->m6,0.3984375,0.29492188
m0->m3,0.38671875,0.29492188
input->logits,0.37304688,-0.18847656
m4->logits,-0.37304688,-0.42773438
m9->m11,0.36328125,-0.453125
m5->logits,-0.35546875,-0.23632812
m0->m9,0.34960938,-0.265625
m3->logits,-0.29492188,-0.08935547
m8->m11,0.2890625,0.18652344
m8->m9,0.27929688,0.109375
m8->m10,-0.27539062,-0.27148438
m5->m11,0.2734375,0.119140625
m6->m10,-0.24511719,-0.11669922
m10->a11.h8<v>,-0.24121094,-0.03173828
m4->m11,0.23144531,0.29296875
m1->m8,-0.20605469,0.09375
m5->m10,-0.19238281,0.029418945
m3->m11,0.18359375,-0.15429688
m6->m8,-0.17773438,0.16992188
m7->m10,-0.17089844,-0.1796875
m4->m10,-0.16210938,-0.020263672
m3->m4,0.15820312,-0.06689453
m9->m10,-0.14453125,-0.29296875
m1->m2,0.14453125,0.30859375
m1->logits,-0.1328125,-0.20410156
m0->m11,0.13183594,0.23730469
m1->m6,0.12988281,-0.03125
m3->m10,-0.12597656,-0.03125
m2->m10,-0.123046875,-0.08642578
m0->m4,-0.12207031,-0.18261719
m4->m8,-0.12109375,0.091308594
m1->m5,0.12011719,-0.14160156
m2->m7,-0.12011719,0.080566406
input->a0.h5<q>,0.11621094,0.047607422
m5->m8,-0.11230469,0.07421875
input->a0.h10<v>,-0.110839844,-0.10107422
m3->a5.h9<q>,-0.109375,0.033691406
m9->a11.h8<v>,-0.10888672,-0.037109375
a0.h4->m0,0.10498047,0.16601562
m0->m2,-0.10107422,0.16503906
input->m9,-0.09375,-0.025878906
m3->a4.h8<q>,0.09375,-0.036865234
m7->a8.h2<v>,-0.092285156,-0.1484375
m1->m4,0.091796875,0.05053711
m0->a1.h9<q>,0.08886719,0.16015625
m2->m5,0.087890625,0.061523438
m10->a11.h11<v>,0.083984375,-0.019042969
