edge,score_own,score_cross
m9->logits,-0.32421875,-0.53515625
input->m0,0.24023438,1.2265625
m0->m1,0.24023438,0.33984375
m8->logits,-0.22851562,-0.35546875
m11->logits,-0.21972656,-1.453125
m7->m9,-0.15332031,0.0390625
input->a0.h8<v>,-0.1328125,-0.109375
input->a0.h6<v>,0.122558594,0.118652344
m0->m2,-0.12011719,0.3046875
m8->m9,-0.12011719,0.059326172
m6->m7,0.11767578,0.02722168
m9->m11,-0.107910156,0.18359375
m0->logits,-0.103515625,-0.33203125
m5->m9,-0.09326172,0.011169434
m7->logits,-0.087402344,-0.13476562
m9->m10,-0.080078125,0.099609375
m4->m7,-0.079589844,-0.011474609
m2->m5,0.07421875,0.015991211
m4->m5,0.06982422,0.01361084
m7->m10,0.06982422,0.03466797
m9->a10.h5<v>,-0.06689453,-0.010986328
m1->logits,-0.06689453,-0.14648438
m3->m7,0.06347656,0.01171875
m7->m8,-0.06298828,0.07910156
m6->m11,-0.06225586,-0.14355469
m3->m6,-0.061035156,0.014892578
m3->m10,0.060058594,-0.009155273
m10->logits,-0.05810547,-0.82421875
m1->m3,0.056640625,0.045898438
m7->m11,0.056152344,-0.010620117
m1->m4,0.053466797,-0.010314941
m4->logits,-0.051757812,-0.010314941
input->a0.h5<q>,0.049316406,0.07763672
input->a0.h8<k>,0.048828125,0.11230469
m2->m4,0.048095703,0.010314941
m0->m11,-0.047607422,0.010559082
m0->m9,-0.045654297,0.027832031
m2->m7,-0.044921875,-0.032958984
m9->a11.h8<v>,-0.04345703,-0.011169434
m0->m7,0.042236328,-0.09765625
m6->logits,0.041015625,-0.09326172
m4->m8,-0.03930664,-0.05029297
m2->m10,-0.03857422,-0.013977051
m6->m10,-0.038330078,-0.012817383
m3->m11,-0.037597656,-0.02734375
input->a0.h10<q>,0.037109375,0.053955078
input->a0.h11<k>,0.036132812,-0.012817383
input->a0.h11<v>,-0.03540039,-0.15722656
m0->m8,0.03491211,-0.024047852
m1->m2,-0.034423828,0.079589844
m5->m10,-0.032714844,-0.024047852
input->a0.h9<v>,-0.03149414,0.0703125
m5->logits,0.030273438,-0.038085938
m6->a8.h8<q>,-0.029418945,0.011474609
m2->m11,0.027954102,0.019165039
m2->m8,0.027832031,0.029418945
a0.h9->m0,0.027709961,0.016601562
m4->m6,-0.026855469,0.048828125
m6->m8,-0.026367188,-0.055908203
input->a0.h4<v>,0.026367188,-0.02734375
m4->m11,-0.025268555,-0.05126953
m5->m11,0.024902344,-0.064941406
input->a0.h10<v>,0.024658203,0.013122559
m0->a4.h4<q>,0.024047852,-0.019165039
input->m4,0.024047852,0.0119018555
m0->a8.h10<q>,0.024047852,-0.017333984
a0.h8->m0,-0.0234375,-0.0099487305
m10->a11.h0<v>,-0.02331543,-0.025512695
input->a0.h5<k>,0.02331543,0.046142578
m0->a4.h7<v>,-0.022949219,0.020263672
a0.h1->m0,-0.022705078,-0.06982422
m0->m6,0.022705078,-0.076171875
input->a0.h7<v>,-0.022460938,0.057128906
m2->m9,-0.021240234,-0.022949219
m0->a1.h10<v>,-0.021118164,0.015991211
m4->m9,0.020996094,0.017211914
input->a0.h0<v>,0.020996094,-0.008544922
m2->logits,-0.020263672,-0.050048828
m0->a1.h6<v>,0.020019531,0.018188477
m0->a3.h9<v>,-0.020019531,0.019042969
m0->a3.h7<v>,-0.01977539,-0.010498047
m2->a6.h6<q>,-0.01953125,-0.011108398
m0->a3.h3<q>,0.01940918,-0.025146484
m4->m10,0.019165039,-0.06640625
a0.h2->m0,0.018676758,-0.022216797
m6->a8.h10<v>,0.018554688,0.010498047
m5->m6,0.018188477,0.032226562
m0->a1.h9<v>,-0.016601562,-0.01965332
m0->a4.h5<k>,-0.016601562,0.012939453
input->a0.h9<q>,-0.016479492,0.04248047
m0->a4.h4<k>,0.016479492,-0.012084961
m1->m5,0.015991211,0.049072266
m10->m11,-0.01574707,0.18847656
a11.h5->logits,-0.01574707,-0.012023926
m5->a6.h8<v>,-0.0154418945,-0.010375977
a8.h10->m8,-0.014831543,0.008239746
m0->a8.h5<k>,0.014770508,0.019165039
m5->m8,0.014465332,-0.059326172
input->m2,0.014282227,-0.0099487305
m2->a4.h11<v>,-0.013977051,-0.010070801
m0->a3.h8<k>,0.0134887695,-0.018066406
m2->m3,-0.013427734,0.107421875
m4->a5.h10<q>,0.013427734,-0.008605957
m10->a11.h0<q>,-0.013427734,0.020141602
m0->a2.h2<q>,0.013061523,0.025146484
m0->a6.h6<k>,-0.012939453,-0.00982666
m0->a1.h4<v>,-0.012939453,0.009094238
input->a0.h3<v>,-0.012939453,0.08300781
input->logits,0.012939453,0.014526367
m0->a8.h10<k>,-0.012939453,-0.008972168
m4->a5.h11<v>,0.012939453,0.014709473
m8->a9.h5<v>,0.012817383,0.010375977
m4->a5.h10<v>,-0.012817383,0.009460449
m8->a11.h0<v>,-0.012573242,-0.020019531
m0->a3.h1<k>,-0.012329102,-0.0095825195
m0->a2.h7<v>,0.012329102,0.009399414
m5->a6.h4<q>,-0.012268066,-0.010559082
m0->m3,-0.012207031,0.04711914
m4->a6.h6<q>,-0.012084961,-0.009765625
m0->a3.h10<q>,-0.011962891,-0.014892578
m3->m8,0.0115356445,0.030639648
a0.h3->m0,0.011413574,0.0099487305
m1->m11,-0.011413574,0.011474609
m3->m5,0.011230469,0.06933594
m8->a9.h3<v>,-0.010986328,-0.009094238
m3->a4.h4<q>,0.010986328,-0.00970459
m0->a9.h5<v>,0.010559082,0.011413574
a1.h11->m3,-0.010253906,-0.011474609
m1->m6,0.010009766,0.020996094
m9->a10.h9<v>,-0.00970459,-0.012451172
