edge,score_own,score_cross
m1->a6.h30<k>,-4.875,-0.40039062
m1->a6.h6<q>,4.75,-1.6484375
m1->m2,3.78125,10.375
m1->m4,-3.484375,-2.203125
m1->a4.h17<q>,-2.1875,-0.23535156
m1->a5.h4<q>,2.015625,1.1328125
m1->a2.h30<k>,1.9296875,-2.546875
m1->a4.h5<q>,1.8203125,-1.421875
m1->a2.h29<q>,-1.78125,0.7890625
m1->a6.h13<q>,-1.7421875,-0.98046875
m1->a5.h1<q>,-1.640625,-0.20703125
m1->a8.h23<k>,-1.640625,0.49804688
m1->a5.h16<q>,-1.578125,-0.3359375
m1->a2.h22<k>,1.546875,-0.21289062
m1->a2.h3<q>,1.453125,0.421875
m1->a4.h5<k>,-1.421875,-1.6875
m1->a2.h25<q>,-1.3671875,0.53125
m1->a5.h31<k>,-1.328125,-0.59375
m1->a7.h21<q>,-1.2890625,0.51953125
m1->a5.h31<q>,1.2578125,2.28125
m1->a7.h12<k>,-1.1875,0.27734375
m1->a5.h28<q>,1.1796875,-0.35546875
m1->a3.h6<k>,-1.15625,-0.4375
m1->a2.h15<q>,-1.1171875,2.484375
m1->a3.h26<k>,1.109375,-0.49023438
m1->a8.h24<k>,-1.109375,0.34570312
m1->a4.h26<q>,1.0625,3.015625
m1->a2.h13<k>,1.046875,-0.390625
m1->a3.h21<k>,-1.03125,0.27929688
m1->a5.h16<k>,0.85546875,-0.19335938
m1->a3.h25<k>,-0.82421875,0.31445312
m1->a2.h2<k>,0.80078125,-0.21777344
m1->a3.h23<k>,0.7890625,-1.3125
m1->a8.h16<q>,0.76953125,-0.3203125
m1->m7,0.76171875,-0.33789062
m1->a6.h9<k>,0.71875,-0.2421875
m1->a6.h8<k>,0.6953125,-1.453125
m1->m5,-0.69140625,1.0
m1->a7.h25<q>,-0.67578125,-1.609375
m1->a2.h8<k>,-0.67578125,0.8359375
m1->a8.h12<k>,0.6640625,0.5
m1->a2.h18<k>,0.6640625,1.2265625
m1->a4.h2<k>,-0.66015625,-1.0546875
m1->a7.h0<k>,0.6484375,0.65625
m1->a2.h22<q>,-0.62890625,0.6015625
m1->a9.h12<k>,-0.625,-0.47070312
m1->a4.h10<q>,-0.62109375,0.265625
m1->a4.h0<q>,0.62109375,0.87890625
m1->a3.h15<q>,0.6171875,-0.4921875
m1->a3.h30<q>,-0.6015625,-0.546875
m1->a4.h4<k>,-0.59375,0.20214844
m1->a2.h11<k>,-0.57421875,-2.171875
m1->a2.h27<k>,0.57421875,0.45507812
m1->a2.h16<k>,0.5703125,0.7265625
m1->a6.h1<k>,-0.56640625,-0.38671875
m1->a2.h25<k>,0.5234375,0.41992188
m1->m8,-0.515625,-2.109375
m1->a2.h26<q>,0.515625,-0.27148438
m1->a5.h28<k>,-0.51171875,0.78125
m1->a3.h27<q>,0.49414062,-0.44921875
m1->a4.h7<k>,-0.48242188,0.359375
m1->a8.h23<q>,-0.48046875,-0.33203125
m1->a4.h2<q>,0.47460938,-0.98828125
m1->a11.h14<k>,0.47265625,-0.25976562
m1->a4.h24<q>,0.46484375,0.21582031
m1->a6.h2<k>,-0.45703125,-1.359375
m1->a2.h8<q>,0.453125,-0.37304688
m1->a5.h12<q>,-0.44335938,-0.98828125
m1->a6.h18<k>,0.44335938,0.18457031
m1->a3.h16<q>,0.43945312,-1.140625
m1->a4.h4<q>,0.43164062,-1.53125
m1->a5.h19<q>,0.421875,0.66015625
m1->a6.h27<k>,0.40820312,-0.40234375
m1->a5.h13<q>,0.40429688,-0.36914062
m1->a2.h27<q>,-0.40234375,0.22363281
m30->m31,0.40039062,0.6796875
m1->a4.h21<k>,-0.39453125,-0.36914062
m1->a3.h3<k>,-0.39453125,0.18847656
m1->a4.h7<q>,0.38671875,-0.65625
m1->a4.h27<q>,0.375,-0.734375
m1->a3.h17<k>,-0.36523438,0.953125
m1->a7.h21<k>,0.359375,0.7265625
m1->a6.h27<q>,-0.35742188,-0.5
m1->a8.h24<q>,0.34765625,0.4296875
m1->a5.h22<q>,-0.34570312,0.6015625
m1->a2.h23<q>,0.33203125,2.125
m1->a8.h10<q>,0.33007812,-1.171875
m1->a3.h27<k>,-0.33007812,0.32226562
m1->a12.h23<q>,0.328125,0.32421875
m1->a4.h12<k>,-0.32421875,-0.29296875
m1->a12.h25<k>,0.31835938,0.33007812
m1->a9.h15<q>,-0.31640625,-0.71484375
m1->a7.h26<q>,0.30664062,-0.31445312
m6->m9,0.3046875,0.36914062
m1->m3,-0.3046875,-0.69921875
m1->a6.h18<q>,0.296875,-0.69140625
m1->a5.h13<k>,0.296875,0.4140625
m1->a3.h22<q>,-0.2890625,-1.5625
m1->a3.h30<k>,-0.28320312,-0.33789062
m1->a4.h17<k>,0.28320312,-0.31445312
m7->m8,-0.27929688,0.30078125
m1->a5.h17<k>,0.27734375,-0.4296875
m1->a11.h12<q>,-0.27539062,-0.21484375
m1->a6.h0<q>,0.27539062,0.27734375
m1->a5.h0<q>,-0.27539062,0.94921875
m1->a3.h2<k>,-0.27148438,0.37695312
m1->a2.h0<k>,0.25585938,0.20214844
m1->a6.h8<q>,-0.25585938,-3.09375
m1->a11.h23<q>,-0.25390625,0.22265625
m1->a4.h27<k>,-0.25195312,-0.43945312
m1->a5.h8<q>,0.25,-1.3828125
m1->a4.h26<k>,-0.24414062,-2.40625
m1->a3.h17<q>,-0.23730469,-5.90625
m1->a3.h19<k>,0.23730469,0.4609375
m1->a7.h14<q>,0.23730469,0.20507812
m1->a4.h1<q>,-0.23632812,0.59375
m1->a2.h16<q>,-0.23339844,-0.96875
m1->a5.h21<k>,0.23242188,-0.23730469
m1->a7.h20<k>,-0.23144531,-0.33789062
m10->m12,0.23046875,0.2734375
m1->a10.h29<k>,0.22753906,0.296875
m1->a5.h23<q>,0.22753906,0.18261719
m1->a4.h30<q>,-0.22460938,1.5390625
m1->a5.h9<q>,0.22167969,0.35546875
m1->a4.h22<k>,0.22167969,-0.42578125
m1->a5.h22<k>,-0.21972656,-0.2734375
m1->a6.h4<q>,-0.21289062,-1.359375
m1->m9,-0.20898438,-0.19140625
m1->a2.h20<k>,0.20703125,-0.83984375
m1->m10,0.20507812,0.48828125
m1->m12,0.20507812,-0.34960938
m1->a4.h16<q>,0.19921875,-0.734375
m1->a9.h11<k>,0.19921875,-0.55078125
m1->a8.h3<q>,0.19628906,-0.4375
m1->a8.h28<q>,0.19335938,-1.1875
m1->a3.h12<k>,0.19238281,0.38671875
m1->a7.h27<k>,0.19140625,0.27734375
m1->a4.h19<q>,-0.18457031,1.265625
m1->a11.h26<k>,0.18359375,-0.18847656
m1->a6.h15<q>,0.18359375,-0.484375
m1->a8.h31<k>,0.18261719,-0.1796875
m1->a4.h21<q>,-0.1796875,-1.140625
m1->a7.h22<k>,0.17773438,0.25585938
m1->a9.h4<k>,-0.17578125,-0.65625
m1->a11.h13<k>,-0.17480469,0.26953125
m1->a3.h2<q>,0.17480469,-0.60546875
m1->a4.h12<q>,0.17089844,0.25390625
m1->a5.h4<k>,-0.17089844,-0.5234375
m1->a4.h9<q>,-0.17089844,-2.1875
m1->a2.h29<k>,0.16894531,-1.8828125
m1->a9.h25<k>,0.16894531,0.25585938
m1->a8.h10<k>,0.16894531,0.20898438
m1->a7.h0<q>,-0.16796875,-0.40429688
m1->a5.h6<k>,0.16601562,-0.76171875
m1->a8.h6<q>,0.16113281,-0.29101562
m12->m14,-0.15917969,-0.24023438
m1->a11.h6<q>,0.15625,0.4296875
m1->a9.h29<q>,-0.15625,0.7265625
m27->m29,0.15625,0.1953125
m1->a3.h19<q>,-0.15136719,-0.75390625
m1->a2.h24<k>,0.15039062,-0.94140625
m1->a8.h18<k>,-0.14746094,0.68359375
m1->a9.h4<q>,0.14746094,0.62890625
m1->a11.h9<k>,-0.14453125,-0.23242188
m1->a5.h2<q>,-0.14160156,0.31054688
m30->logits,-0.13964844,-0.484375
m1->a9.h6<q>,0.13964844,0.34765625
m1->a8.h4<k>,-0.13867188,0.20214844
m1->a6.h1<q>,-0.13671875,-1.8984375
m1->a3.h20<k>,-0.13671875,0.24707031
m1->a2.h23<k>,0.13671875,-0.57421875
m1->a3.h13<q>,-0.1328125,0.6484375
m1->a8.h5<k>,-0.1328125,-0.55859375
m1->a7.h13<k>,0.12988281,0.34179688
m1->a7.h30<q>,-0.12988281,-0.18359375
m1->a4.h28<q>,0.12890625,1.5625
m1->a2.h26<k>,-0.12890625,-0.19921875
m1->a4.h20<k>,0.12792969,1.5234375
m1->a3.h21<q>,-0.125,-1.7421875
m1->a11.h30<k>,0.12451172,0.37695312
m1->a6.h3<q>,0.123535156,-0.67578125
m1->a8.h28<k>,-0.12207031,2.0625
m1->a9.h27<q>,-0.12011719,0.22851562
m1->a8.h21<k>,0.12011719,0.2109375
m1->a2.h7<q>,-0.119140625,-0.24121094
m1->a14.h7<k>,0.119140625,-0.20019531
m1->a13.h7<k>,0.11669922,0.47070312
m1->a4.h3<q>,0.115234375,0.25195312
m1->a9.h13<q>,0.11376953,-0.18261719
m1->a6.h6<k>,0.11328125,0.3046875
m1->a11.h4<q>,0.111328125,0.21582031
m1->a10.h12<k>,-0.10986328,0.19628906
m1->a11.h7<k>,0.107910156,0.63671875
m1->a8.h9<q>,0.106933594,-0.40820312
m1->a3.h8<k>,-0.103515625,-0.40820312
m1->a6.h14<k>,0.103515625,0.19726562
m1->a2.h15<k>,-0.103027344,-0.32226562
m1->a8.h6<k>,-0.10253906,0.36523438
m1->a12.h8<k>,-0.10205078,-0.8515625
m1->a4.h22<q>,0.099609375,-0.765625
m17->m19,0.09765625,-0.27929688
