edge,score_own,score_cross
m31->logits,3.953125,1.0234375
m30->m31,2.09375,0.41210938
m30->logits,-1.1796875,-0.82421875
m1->m30,1.109375,0.068847656
m29->m30,-0.99609375,-0.07421875
m1->m2,-0.43554688,7.4375
m18->logits,-0.29296875,-0.15039062
m1->a2.h29<q>,-0.20019531,0.1953125
m28->logits,-0.19921875,-0.08544922
m20->logits,-0.16992188,-0.17773438
m21->logits,-0.16992188,-0.12792969
m29->logits,-0.16601562,-0.15234375
m1->a2.h27<q>,0.16210938,0.38671875
m26->logits,-0.15234375,-0.063964844
m24->logits,-0.15136719,-0.10449219
m1->a3.h25<q>,0.13964844,0.14648438
m1->a4.h8<q>,0.13671875,0.118652344
m1->a4.h15<q>,0.13671875,-0.25585938
m19->logits,-0.12597656,-0.08935547
m1->a2.h23<q>,-0.12597656,0.40429688
m1->a4.h31<q>,-0.12451172,-0.064453125
m1->a5.h22<q>,-0.11669922,-0.2109375
m1->a2.h26<q>,0.106933594,-0.4375
m1->a4.h5<q>,-0.10644531,-1.4296875
m1->a3.h27<q>,-0.10498047,-0.359375
m1->m6,-0.10107422,-0.087890625
m28->m31,-0.10058594,-0.08251953
m1->a3.h28<q>,-0.09863281,0.10253906
m27->m31,-0.09765625,-0.060546875
m1->a4.h26<q>,0.09326172,0.85546875
m23->logits,-0.08984375,-0.08984375
m1->a2.h29<k>,0.08984375,-0.64453125
m1->a8.h10<q>,0.08691406,0.08886719
m21->m30,0.08642578,0.06542969
m1->a3.h11<q>,0.080078125,0.671875
m1->a3.h13<q>,0.07421875,0.11816406
m1->a3.h30<q>,-0.07421875,0.671875
m1->a8.h4<q>,-0.072753906,0.22265625
m1->a3.h3<q>,-0.07128906,-1.5
m1->a9.h26<q>,0.07080078,-0.103515625
m1->a3.h17<q>,-0.06933594,-1.3515625
m28->m29,0.06933594,0.10449219
m1->a6.h3<q>,-0.06640625,-0.22363281
m16->m31,-0.06591797,-0.08984375
m1->a7.h25<q>,0.06542969,-0.33984375
m1->a6.h10<q>,-0.064453125,0.08642578
m1->a9.h13<q>,-0.06347656,-0.109375
m1->m3,0.0625,-0.40039062
m1->m4,0.061767578,1.21875
m1->a5.h19<q>,0.061767578,0.17578125
m4->m5,0.061767578,-0.07128906
m1->a3.h21<q>,-0.061523438,0.07861328
m1->a6.h13<q>,-0.060546875,-0.38085938
m1->a4.h6<q>,0.060058594,0.4921875
input->a0.h15<q>,-0.05834961,-0.09814453
m1->a6.h15<q>,0.057861328,-0.08251953
m1->m12,-0.056152344,-0.17871094
m1->a2.h11<q>,-0.056152344,0.17871094
m1->a4.h27<q>,-0.055908203,0.5859375
m1->a3.h0<q>,0.055419922,0.7109375
m1->a10.h15<q>,-0.05444336,-0.07373047
m1->m10,0.052490234,-0.32226562
m1->a2.h21<q>,-0.052246094,1.2265625
m22->m31,-0.05029297,-0.09423828
m1->a6.h1<q>,-0.049316406,-0.39257812
m1->a4.h4<q>,-0.049316406,-1.4765625
m1->a4.h5<k>,0.049072266,-0.52734375
m1->a10.h23<q>,0.048828125,0.07324219
m22->logits,-0.048339844,-0.11376953
m1->a2.h15<q>,0.04663086,0.5078125
m1->a2.h24<q>,0.04663086,0.21972656
m1->a9.h21<q>,-0.04663086,0.080078125
m1->a3.h31<k>,0.045898438,0.3828125
m1->a2.h30<k>,-0.045898438,-0.48828125
m1->a4.h17<q>,0.04345703,-0.78125
m2->m3,0.04248047,-0.09082031
m1->a5.h8<q>,-0.041992188,-0.16894531
m1->a9.h4<q>,-0.040527344,0.14746094
m1->a5.h10<q>,0.040283203,0.16210938
m1->a2.h10<q>,-0.040039062,-0.10644531
m1->a2.h10<k>,-0.039794922,-0.13476562
m1->a2.h4<q>,0.03955078,-0.1640625
m1->a5.h4<q>,0.03930664,0.63671875
m1->a3.h18<q>,0.03930664,0.106933594
m1->a3.h20<q>,-0.03930664,-0.19726562
m1->a2.h7<q>,0.03930664,-0.67578125
m1->a3.h26<k>,-0.038085938,-0.12207031
m1->a2.h3<k>,0.037841797,-0.14160156
m1->m9,0.037597656,-0.4609375
m1->a3.h13<k>,-0.036621094,0.16992188
m1->a3.h23<q>,0.036132812,0.13769531
m1->a7.h21<q>,-0.035888672,0.17382812
m1->a2.h21<k>,0.03564453,-0.953125
m1->a3.h27<k>,0.03540039,0.08886719
m1->a3.h16<q>,0.03515625,-0.50390625
m1->a6.h23<q>,0.03491211,-0.17773438
m1->a3.h10<k>,0.03466797,0.24902344
m1->a2.h18<k>,-0.034179688,0.10644531
m1->a4.h28<q>,-0.034179688,0.13964844
m1->a2.h16<q>,-0.033691406,0.12011719
m1->a2.h14<q>,-0.033691406,0.33007812
m1->a2.h11<k>,0.032470703,-0.40234375
m1->a6.h13<k>,0.032470703,0.49023438
m1->a7.h20<q>,0.032226562,0.106933594
m1->a2.h7<k>,-0.03149414,-0.17578125
m0->m1,-0.030151367,0.06542969
m1->a3.h24<k>,-0.029785156,0.12060547
m1->a3.h14<k>,-0.029663086,-0.06542969
m1->a5.h28<q>,0.029052734,-0.103515625
m1->a6.h2<q>,0.028808594,-0.24707031
m1->a4.h0<q>,0.028808594,0.75390625
m1->a6.h15<k>,-0.028564453,0.15917969
m19->m31,-0.028564453,-0.06738281
m1->a2.h27<k>,0.028442383,0.10253906
