edge,score_own,score_cross
m31->logits,3.953125,3.3125
m30->m31,2.09375,1.0
m30->a31.h11<k>,1.296875,0.02722168
m30->logits,-1.1796875,-2.0625
m29->m30,-0.99609375,-0.36523438
m1->logits,0.73828125,-0.056152344
input->m0,-0.44726562,-0.09423828
m1->m2,-0.43554688,-0.028808594
m18->logits,-0.29296875,-0.61328125
m25->m31,-0.23046875,0.08544922
m1->a2.h29<q>,-0.20019531,-0.030883789
m28->logits,-0.19921875,-0.2109375
m1->a12.h23<q>,-0.17480469,0.02734375
input->a0.h21<v>,-0.16992188,0.07421875
m21->logits,-0.16992188,-0.078125
m29->logits,-0.16601562,-0.10205078
m26->logits,-0.15234375,-0.059570312
m24->logits,-0.15136719,-0.103027344
input->a0.h25<v>,0.14550781,-0.025268555
m30->a31.h11<v>,-0.13574219,0.075683594
m19->logits,-0.12597656,-0.025756836
input->a0.h25<k>,-0.115722656,0.03149414
m18->m31,0.10644531,0.26757812
m25->logits,0.10449219,-0.14746094
m28->m31,-0.10058594,0.080566406
input->a0.h12<k>,-0.100097656,0.024902344
m27->m31,-0.09765625,-0.06591797
m16->logits,-0.092285156,-0.09082031
m24->m31,-0.091796875,-0.05810547
m1->a3.h14<q>,0.087890625,0.029418945
m21->m30,0.08642578,-0.024169922
m30->a31.h24<q>,-0.08300781,0.024536133
m5->m6,0.08251953,-0.03955078
m6->m8,-0.076660156,-0.030029297
m1->a3.h30<q>,-0.07421875,0.044921875
m0->m2,-0.06982422,0.025268555
m28->m29,0.06933594,0.033691406
m4->m8,0.068847656,0.028808594
m16->m31,-0.06591797,-0.115234375
input->a0.h22<k>,0.061523438,0.10253906
input->m1,-0.059570312,-0.10205078
m1->a2.h18<q>,0.05834961,-0.025878906
input->a0.h15<q>,-0.05834961,-0.029541016
input->a0.h15<v>,0.05834961,-0.026123047
m13->m31,-0.05810547,0.0234375
a0.h15->m1,0.057861328,-0.032226562
m1->a4.h27<q>,-0.055908203,0.032714844
m1->a3.h0<q>,0.055419922,0.028930664
m11->m15,0.0546875,0.033691406
m15->m31,-0.053710938,-0.15234375
m4->m11,-0.053222656,0.04345703
m14->m31,-0.052734375,-0.06738281
m17->m31,-0.052246094,-0.14355469
m9->a12.h23<q>,-0.05053711,0.08691406
m5->m10,0.05029297,0.038330078
m22->m31,-0.05029297,-0.14257812
m5->m31,0.05029297,0.05102539
m16->m17,0.050048828,0.08886719
m1->a4.h4<q>,-0.049316406,0.024047852
m11->m18,-0.049072266,-0.028930664
m16->m20,0.048828125,0.07324219
m22->logits,-0.048339844,-0.10205078
m6->m7,0.048339844,0.03173828
m14->logits,-0.047607422,-0.12792969
m20->m31,0.046875,-0.115722656
m1->a2.h24<q>,0.04663086,-0.023925781
m30->a31.h10<q>,-0.046142578,0.10888672
m12->m31,-0.045410156,-0.09667969
m18->m19,0.044921875,-0.05126953
m8->m9,-0.044921875,-0.078125
m21->m31,-0.04345703,-0.055908203
m2->m3,0.04248047,-0.072753906
m1->m14,-0.042236328,0.033691406
m9->m30,0.041259766,-0.05029297
m1->a2.h4<q>,0.03955078,0.03125
m18->a30.h31<v>,0.03930664,-0.109375
input->a0.h16<v>,-0.037109375,0.034423828
m9->m13,0.036132812,-0.033691406
m4->m12,-0.035888672,-0.04248047
m19->m23,0.034423828,0.027954102
m15->m18,0.034179688,0.040283203
a30.h31->logits,-0.033691406,-0.063964844
m11->m16,-0.033691406,-0.032470703
m1->a11.h10<q>,-0.033447266,-0.025268555
m8->logits,-0.033203125,-0.03930664
m8->a12.h23<q>,-0.032958984,0.06225586
m12->logits,-0.032958984,-0.033447266
m24->m27,0.032226562,0.04272461
m10->m12,-0.032226562,0.055908203
m15->m20,-0.031982422,-0.053466797
m4->m7,-0.031982422,0.08496094
m9->m15,-0.03112793,-0.0703125
m4->logits,-0.030761719,-0.068847656
m8->a10.h1<v>,0.030639648,-0.05444336
m5->logits,-0.030517578,-0.026977539
m0->m1,-0.030151367,-0.11816406
m16->m25,-0.030029297,-0.024658203
a30.h11->logits,-0.029663086,0.041992188
m30->a31.h10<v>,-0.029418945,-0.025878906
m20->m24,-0.029174805,-0.038085938
m0->a2.h30<q>,-0.029052734,-0.030639648
m24->m28,-0.028808594,-0.071777344
m19->m31,-0.028564453,-0.07861328
