edge,score_own,score_cross
m31->logits,3.953125,3.65625
m30->a31.h24<v>,3.3125,2.71875
m30->a31.h14<k>,-2.359375,-0.061279297
m30->m31,2.09375,-9.875
m1->a31.h6<k>,1.4765625,11.75
m30->a31.h11<k>,1.296875,-0.94921875
m30->logits,-1.1796875,6.8125
m1->m30,1.109375,16.125
m1->m31,-1.09375,10.5625
m29->m30,-0.99609375,-15.4375
m1->a31.h6<q>,-0.890625,-2.65625
m1->logits,0.73828125,-8.375
m1->a31.h6<v>,-0.640625,-4.125
m30->a31.h4<v>,-0.48828125,-0.1875
m30->a31.h20<k>,-0.4609375,0.29296875
input->m0,-0.44726562,0.984375
m30->a31.h0<k>,-0.375,0.08935547
m1->a31.h16<k>,0.31835938,5.3125
m18->logits,-0.29296875,0.18652344
m30->a31.h6<q>,0.28710938,1.4765625
m30->a31.h5<k>,0.265625,0.859375
m1->a31.h20<q>,-0.26171875,-1.84375
m30->a31.h29<k>,0.2421875,1.2109375
m29->a31.h6<k>,0.24121094,1.40625
m25->m31,-0.23046875,0.061523438
m29->a31.h6<q>,0.22753906,1.0859375
m30->a31.h13<k>,-0.21484375,0.19140625
m30->a31.h6<v>,0.21289062,3.78125
m30->a31.h12<k>,-0.20703125,0.06982422
m30->a31.h14<v>,-0.20117188,0.080566406
m28->logits,-0.19921875,-0.15332031
m1->a31.h29<k>,-0.19042969,-1.171875
m1->a31.h12<v>,0.1875,1.9375
m1->a31.h16<q>,-0.18164062,-2.046875
input->a0.h21<v>,-0.16992188,-0.375
m29->logits,-0.16601562,-0.78515625
input->a0.h8<k>,-0.15332031,-0.99609375
m26->logits,-0.15234375,-0.060302734
input->a0.h25<v>,0.14550781,-0.33203125
m30->a31.h22<q>,0.14453125,-0.43945312
m30->a31.h22<k>,-0.14355469,-0.083984375
m30->a31.h11<v>,-0.13574219,0.34765625
m1->a31.h24<v>,0.12792969,-3.4375
m19->logits,-0.12597656,-0.31445312
m30->a31.h20<v>,-0.12011719,-0.13867188
m1->a31.h15<v>,0.12011719,4.40625
m0->a1.h8<v>,0.11230469,2.125
m1->a31.h5<q>,0.110839844,2.078125
m30->a31.h11<q>,-0.10986328,-0.072265625
m30->a31.h16<q>,0.106933594,1.2734375
m18->m31,0.10644531,0.22753906
m28->m31,-0.10058594,0.08300781
m30->a31.h1<k>,-0.09814453,0.38476562
m27->m31,-0.09765625,-0.2421875
m16->logits,-0.092285156,-0.31835938
m24->m31,-0.091796875,-0.076171875
m30->a31.h1<q>,-0.08496094,0.13769531
m1->m29,-0.08496094,-6.40625
m30->a31.h8<k>,0.084472656,0.69140625
m30->a31.h24<q>,-0.08300781,-1.8203125
m1->a31.h10<k>,-0.08300781,-0.55078125
m5->m6,0.08251953,0.059570312
m1->a31.h24<k>,0.07861328,1.8203125
m30->a31.h6<k>,-0.07324219,-12.8125
m0->a1.h22<q>,0.072265625,-0.09667969
m30->a31.h29<v>,0.07080078,-0.35546875
m28->m29,0.06933594,-0.21875
m30->a31.h27<q>,-0.068359375,0.2734375
a0.h3->m1,-0.067871094,-0.16894531
