edge,score_own,score_cross
m31->logits,3.953125,3.1875
m30->a31.h24<v>,3.3125,0.62890625
m30->a31.h14<k>,-2.359375,0.091308594
m30->m31,2.09375,4.90625
m1->a31.h6<k>,1.4765625,0.07763672
m30->logits,-1.1796875,-7.40625
m1->m31,-1.09375,-4.6875
m1->logits,0.73828125,5.71875
m30->a31.h4<v>,-0.48828125,-0.10498047
input->m0,-0.44726562,-0.12597656
m30->a31.h14<q>,0.40429688,-0.09765625
m18->logits,-0.29296875,-0.39257812
m30->a31.h5<k>,0.265625,0.079589844
m1->a31.h20<q>,-0.26171875,-0.15527344
m30->a31.h29<k>,0.2421875,0.20019531
m25->m31,-0.23046875,-0.05883789
m30->a31.h12<k>,-0.20703125,0.06225586
m30->a31.h14<v>,-0.20117188,-0.06347656
m1->a2.h29<q>,-0.20019531,-0.15625
m28->logits,-0.19921875,-0.09667969
m1->a31.h29<k>,-0.19042969,-0.18847656
m1->a31.h12<v>,0.1875,0.46484375
m29->logits,-0.16601562,0.20410156
m1->a3.h15<q>,0.1640625,0.060302734
m30->a31.h22<q>,0.14453125,0.060546875
m1->a3.h25<q>,0.13964844,-0.38476562
m1->a31.h24<v>,0.12792969,-0.6484375
m19->logits,-0.12597656,0.079589844
m1->a2.h23<q>,-0.12597656,0.39453125
m1->a31.h15<v>,0.12011719,-0.484375
m1->a5.h22<q>,-0.11669922,-0.34960938
m1->a31.h5<q>,0.110839844,0.12890625
m18->m31,0.10644531,0.26953125
m1->a4.h5<q>,-0.10644531,-0.5625
m1->a3.h27<q>,-0.10498047,-0.09326172
m25->logits,0.10449219,0.12451172
m28->m31,-0.10058594,0.06542969
m1->a4.h26<q>,0.09326172,-0.10253906
m16->logits,-0.092285156,0.099609375
m24->m31,-0.091796875,-0.08886719
m1->a2.h29<k>,0.08984375,-0.1484375
m1->a3.h14<q>,0.087890625,-0.103027344
m1->a8.h10<q>,0.08691406,0.09863281
m1->m29,-0.08496094,0.28710938
m1->a31.h10<k>,-0.08300781,-0.36328125
m30->a31.h24<q>,-0.08300781,0.91015625
m1->a3.h11<q>,0.080078125,0.4609375
m1->a31.h24<k>,0.07861328,-0.765625
m1->a3.h15<k>,-0.076660156,0.06640625
m1->a3.h30<q>,-0.07421875,-0.76171875
m1->a3.h13<q>,0.07421875,-0.30273438
m30->a31.h6<k>,-0.07324219,-0.08886719
m1->a3.h3<q>,-0.07128906,0.08105469
m28->m29,0.06933594,0.103515625
m16->m31,-0.06591797,-0.071777344
m30->a31.h5<q>,0.06542969,-0.14257812
m1->a7.h25<q>,0.06542969,0.06542969
m1->a6.h10<q>,-0.064453125,0.08642578
m1->a9.h13<q>,-0.06347656,0.07080078
m1->m3,0.0625,-1.09375
m1->a5.h19<q>,0.061767578,0.3046875
m1->m4,0.061767578,-0.38085938
m1->a3.h21<q>,-0.061523438,-0.25195312
m1->a6.h13<q>,-0.060546875,0.103027344
m1->a6.h15<q>,0.057861328,-0.15234375
m1->a2.h11<q>,-0.056152344,-0.71875
m1->m12,-0.056152344,0.34570312
m1->a4.h27<q>,-0.055908203,0.74609375
m1->a3.h0<q>,0.055419922,-0.47070312
m1->a10.h15<q>,-0.05444336,-0.2890625
m14->m31,-0.052734375,-0.05810547
m16->m17,0.050048828,0.061279297
m1->a31.h15<k>,-0.050048828,0.34960938
m1->a4.h4<q>,-0.049316406,0.10058594
m1->a6.h1<q>,-0.049316406,-0.076171875
m1->a4.h5<k>,0.049072266,-0.15234375
m1->a10.h23<q>,0.048828125,0.15527344
m1->a11.h4<q>,0.047607422,-0.09082031
m20->m31,0.046875,-0.07421875
m1->a2.h15<q>,0.04663086,0.55859375
m1->a2.h30<k>,-0.045898438,0.15332031
m1->a6.h22<q>,-0.045410156,-0.14550781
m1->a4.h17<q>,0.04345703,-0.81640625
m21->m31,-0.04345703,-0.064453125
m2->m3,0.04248047,-0.06298828
m1->a4.h10<q>,0.04248047,-0.27929688
m1->a5.h8<q>,-0.041992188,0.31640625
m1->a2.h20<q>,0.041259766,-0.103515625
m1->a31.h5<k>,-0.041015625,-0.09765625
m1->a9.h4<q>,-0.040527344,0.20996094
m1->a8.h0<k>,-0.040527344,0.100097656
m1->a5.h10<q>,0.040283203,0.07910156
m30->a31.h15<q>,0.040039062,-0.15136719
m1->a2.h10<q>,-0.040039062,0.13085938
m1->a2.h10<k>,-0.039794922,-0.0625
m1->a9.h3<q>,-0.03955078,-0.22363281
m1->a5.h4<q>,0.03930664,0.1796875
m1->a3.h2<q>,0.03930664,-0.061767578
m1->m9,0.037597656,-0.3515625
m1->a3.h13<k>,-0.036621094,0.14941406
m1->a3.h23<q>,0.036132812,0.08544922
m30->a31.h15<k>,-0.036132812,-0.38085938
m1->a2.h21<k>,0.03564453,0.12011719
m1->a3.h16<q>,0.03515625,-0.118652344
m1->a3.h10<k>,0.03466797,0.13671875
m1->a13.h29<q>,-0.034179688,0.16503906
m1->a2.h18<k>,-0.034179688,-0.1484375
m1->a4.h28<q>,-0.034179688,-0.125
m1->a2.h16<q>,-0.033691406,-0.27539062
m1->a2.h14<q>,-0.033691406,-0.07080078
m8->logits,-0.033203125,-0.068359375
m1->a2.h11<k>,0.032470703,0.08203125
m1->a9.h10<q>,0.03112793,-0.07324219
m0->m1,-0.030151367,-0.09765625
m1->a12.h24<q>,0.029785156,-0.18164062
m1->a3.h24<k>,-0.029785156,0.09375
m1->a5.h28<q>,0.029052734,0.07763672
m1->m16,-0.028930664,0.079589844
m1->a4.h0<q>,0.028808594,0.21484375
m1->a6.h15<k>,-0.028564453,0.23046875
m19->m31,-0.028564453,-0.08642578
