edge,score_own,score_cross
m31->logits,4.71875,-0.18457031
m30->logits,-3.265625,-0.27929688
m30->m31,2.046875,0.24023438
m18->logits,-0.84375,-0.04345703
m30->a31.h11<q>,-0.23828125,0.029052734
m27->m31,-0.21582031,0.025878906
m1->m2,-0.20703125,-0.33203125
m17->logits,0.17382812,-0.025512695
m15->m31,-0.17382812,-0.023071289
m21->m24,0.15527344,0.033447266
m19->m21,-0.15527344,-0.020751953
m6->m7,0.15136719,-0.023803711
m3->m4,0.14648438,0.04272461
m21->logits,0.14355469,-0.03112793
m20->logits,0.13867188,-0.035888672
m8->m13,0.13183594,-0.020263672
m8->m15,-0.12890625,-0.01977539
m26->m27,0.12695312,0.034423828
m27->m29,-0.125,0.07861328
m14->m15,0.12109375,0.022460938
m25->m31,-0.119140625,0.029418945
m24->logits,-0.118652344,0.028564453
m19->logits,0.11669922,-0.0390625
m26->m31,-0.115234375,0.03540039
m16->logits,-0.110839844,-0.026733398
m1->m3,-0.110839844,0.20019531
m30->a31.h10<q>,0.109375,0.044433594
m14->logits,-0.10546875,-0.021606445
m7->m9,-0.091308594,0.033447266
m22->m23,-0.087402344,-0.028076172
m28->m30,-0.07763672,0.050048828
m28->logits,-0.076171875,-0.045654297
m21->m27,0.076171875,0.02722168
m29->m30,0.071777344,-0.034179688
m15->m19,0.06738281,0.025146484
m19->m20,0.06689453,0.03857422
m1->m4,0.064941406,-0.36328125
m25->logits,-0.064941406,-0.044921875
m21->m31,-0.061523438,0.022216797
m3->m5,-0.060302734,0.021362305
m18->m30,0.059570312,0.025878906
m23->m31,0.05834961,0.021850586
m10->m15,-0.05834961,0.04248047
m4->m6,0.05810547,0.020996094
m1->m11,0.056884766,-0.040039062
m5->m15,-0.053955078,0.025146484
m17->m25,0.053222656,0.028320312
m11->m16,0.05126953,0.021362305
m25->m30,-0.05029297,0.03930664
m13->m17,-0.048095703,-0.025146484
m27->m28,0.045410156,0.023071289
m1->m9,-0.043945312,-0.03173828
m0->m2,-0.04321289,0.01965332
m15->m18,0.03857422,0.02746582
m3->m6,-0.03857422,-0.028808594
m13->m15,0.037353516,0.01977539
m11->m12,0.036621094,-0.025756836
m1->a4.h7<q>,-0.035888672,0.22167969
m16->m19,0.03540039,-0.022460938
