edge,score_own,score_cross
m31->logits,4.71875,1.03125
m30->logits,-3.265625,-0.9453125
m30->m31,2.046875,0.40234375
m18->logits,-0.84375,-0.13964844
m1->m2,-0.20703125,6.25
m19->m31,-0.16503906,-0.06689453
m6->m7,0.15136719,-0.15722656
m21->logits,0.14355469,-0.09375
m20->logits,0.13867188,-0.118652344
m27->m29,-0.125,0.125
input->m1,-0.12451172,0.06298828
m19->logits,0.11669922,-0.07519531
m1->m3,-0.110839844,0.08105469
m17->m18,-0.09765625,0.09765625
m22->m23,-0.087402344,-0.109375
m16->m31,-0.084472656,-0.09326172
m28->m30,-0.07763672,0.06689453
m28->logits,-0.076171875,-0.10644531
m22->m31,-0.06933594,-0.096191406
m1->m4,0.064941406,0.24707031
m25->logits,-0.064941406,-0.06933594
m0->m1,-0.06225586,0.076660156
m26->logits,0.060058594,-0.11425781
m11->m15,-0.05908203,-0.07421875
m23->m31,0.05834961,-0.061035156
m1->m11,0.056884766,0.13085938
m1->a4.h7<q>,-0.035888672,-0.13476562
m1->a5.h11<q>,0.03540039,-0.21484375
