edge,score_own,score_cross
m1->m30,-26.375,-0.068847656
m29->m30,25.25,0.019165039
m30->m31,-20.375,0.15332031
m0->a1.h11<v>,8.3125,-0.018676758
m30->a31.h11<q>,6.53125,0.025268555
input->a0.h22<k>,6.25,-0.111328125
m0->m1,-6.03125,0.038330078
input->a0.h22<v>,-5.875,0.13769531
input->a0.h17<q>,-5.3125,0.091796875
input->a0.h8<k>,4.75,-0.10888672
input->m0,-4.625,0.03149414
m31->logits,3.375,-0.29101562
input->a0.h9<v>,-2.484375,-0.15527344
input->a0.h17<v>,-2.390625,0.045654297
input->a0.h9<q>,-2.265625,-0.091796875
input->a0.h15<v>,-2.25,-0.06738281
input->a0.h23<q>,2.125,0.045410156
input->a0.h22<q>,-1.5625,0.21972656
input->m1,-1.390625,-0.036621094
input->a0.h21<v>,1.171875,0.024414062
input->a0.h17<k>,-1.03125,0.123046875
input->a0.h2<q>,-1.0234375,0.030761719
m29->a31.h11<q>,0.91015625,0.017700195
input->a0.h26<v>,0.86328125,0.021850586
input->a0.h3<q>,-0.765625,0.10205078
m30->logits,0.71484375,-0.22851562
input->a0.h19<v>,-0.65625,0.02355957
m28->m30,0.63671875,0.029174805
input->a0.h23<v>,-0.62109375,-0.028808594
input->a0.h12<v>,0.6015625,0.020141602
m19->m30,-0.578125,0.018920898
m19->m31,0.5390625,-0.019897461
m30->a31.h29<k>,0.53515625,0.07324219
m30->a31.h29<v>,0.50390625,-0.037597656
m1->a31.h29<k>,-0.49023438,-0.068847656
input->a0.h28<q>,0.47265625,-0.083984375
m1->a31.h29<v>,-0.46484375,0.03857422
input->a0.h7<q>,-0.44726562,-0.075683594
m16->m31,0.39453125,-0.01953125
m18->m31,0.34960938,-0.025146484
m19->logits,-0.33007812,-0.052734375
m16->logits,-0.2578125,-0.01940918
m29->logits,-0.24707031,-0.060546875
m30->a31.h25<k>,0.23730469,0.028320312
m1->a31.h25<k>,-0.22363281,-0.021972656
m27->m31,-0.20214844,0.021240234
input->a0.h8<q>,0.20214844,-0.017700195
input->a0.h25<k>,0.16503906,0.027832031
m28->logits,-0.1640625,-0.07861328
m28->m29,0.12890625,0.018920898
m20->m29,-0.12792969,-0.021972656
m15->logits,0.123535156,-0.026245117
m27->m29,-0.118652344,0.07861328
m18->m19,0.110839844,0.023071289
input->a0.h26<k>,0.10888672,0.033935547
input->a0.h28<v>,-0.103515625,-0.024536133
m2->m4,-0.103515625,-0.026611328
m30->a31.h16<k>,0.103515625,0.022949219
m30->a31.h10<q>,0.100097656,0.047607422
