edge,score_own,score_cross
m1->m30,-26.375,0.47070312
m29->m30,25.25,-0.46484375
m1->m31,22.5,-1.8125
m30->m31,-20.375,7.28125
m1->a31.h6<q>,-13.6875,-1.0234375
m30->a31.h6<q>,12.5625,0.26171875
input->a0.h9<k>,-11.5,-0.044921875
m0->a1.h8<v>,-11.1875,-0.12207031
m0->a1.h11<v>,8.3125,0.14648438
m30->a31.h12<v>,8.0625,-0.31640625
m1->a31.h12<v>,-7.8125,0.328125
m1->m29,7.59375,0.06933594
m30->a31.h24<q>,7.53125,0.052246094
m1->a31.h5<q>,7.1875,0.09326172
m1->a31.h24<v>,-7.1875,0.421875
m1->a31.h15<v>,-7.15625,0.057128906
m30->a31.h24<v>,6.90625,2.484375
m30->a31.h15<q>,-6.59375,0.3984375
m30->a31.h11<q>,6.53125,-0.5
m30->a31.h5<q>,-6.4375,-0.11767578
input->a0.h22<k>,6.25,0.13671875
m0->m1,-6.03125,-0.10644531
input->a0.h22<v>,-5.875,-0.036865234
m1->a31.h16<q>,-5.40625,-0.09765625
m30->a31.h16<q>,4.90625,0.07373047
m29->a31.h15<q>,-4.875,-0.038330078
m30->a31.h15<k>,4.75,0.4765625
input->m0,-4.625,-0.20507812
m30->a31.h6<k>,-4.34375,-1.640625
m1->a31.h24<k>,-3.765625,0.05444336
m30->a31.h24<k>,3.4375,-0.17773438
m1->a31.h6<k>,3.4375,1.234375
m31->logits,3.375,3.40625
m1->a31.h15<k>,-3.078125,-0.14160156
m30->a31.h4<q>,-3.0,-0.16015625
m30->a31.h6<v>,-2.6875,0.875
m1->a31.h6<v>,2.5625,-0.80859375
m1->logits,-2.453125,1.1015625
input->a0.h4<v>,-2.1875,0.06542969
m16->m29,-1.859375,-0.03173828
m30->a31.h5<v>,1.5703125,0.033691406
input->a0.h22<q>,-1.5625,-0.03930664
input->a0.h14<q>,-1.546875,-0.03149414
m30->a31.h5<k>,1.453125,-0.24121094
input->m1,-1.390625,-0.080566406
m30->a31.h11<k>,-1.2421875,1.078125
m1->a31.h11<k>,1.1953125,0.09082031
m1->a31.h5<k>,-1.1875,-0.042236328
input->a0.h0<k>,1.1875,-0.044677734
input->a0.h21<v>,1.171875,0.19042969
m29->a31.h6<q>,1.1640625,0.22851562
m1->a31.h22<q>,1.0,-0.08300781
m30->a31.h14<k>,-0.99609375,-0.41210938
m30->a31.h22<q>,-0.9140625,0.20605469
m29->a31.h11<q>,0.91015625,0.047607422
m30->a31.h1<q>,-0.890625,-0.06982422
m30->a31.h14<q>,0.875,0.13671875
input->a0.h26<v>,0.86328125,0.03564453
m30->a31.h16<v>,-0.828125,0.05029297
m18->m29,0.8203125,-0.030761719
m29->a31.h6<k>,0.8203125,0.265625
m1->a31.h16<v>,0.81640625,-0.030517578
m30->a31.h29<q>,0.765625,0.068847656
m30->logits,0.71484375,-5.75
m30->a31.h23<q>,0.6953125,-0.06347656
input->a0.h3<v>,0.671875,-0.09765625
m1->a31.h10<k>,-0.64453125,-0.05883789
a0.h15->m0,0.58203125,0.04248047
m30->a31.h2<q>,0.56640625,-0.060058594
m30->a31.h18<q>,0.55859375,-0.16796875
m19->m31,0.5390625,-0.051757812
m30->a31.h29<k>,0.53515625,-0.059570312
m30->a31.h10<v>,0.50390625,-0.036132812
m1->a31.h29<k>,-0.49023438,-0.14648438
m1->a31.h29<v>,-0.46484375,0.03930664
input->a0.h25<v>,-0.46289062,-0.036132812
m30->a31.h10<k>,0.4453125,0.10888672
m16->m31,0.39453125,-0.076660156
m30->a31.h17<q>,0.36523438,0.107421875
m18->m31,0.34960938,0.11230469
m1->a31.h20<q>,-0.34570312,-0.390625
m19->logits,-0.33007812,-0.03564453
m30->a31.h20<q>,0.32421875,0.44726562
m30->a31.h17<k>,0.32226562,-0.05908203
input->a0.h11<v>,0.31054688,0.049072266
m0->a1.h8<q>,0.30859375,-0.037597656
m30->a31.h30<q>,-0.28710938,-0.10449219
m16->logits,-0.2578125,-0.083984375
m29->logits,-0.24707031,-0.11376953
m30->a31.h25<k>,0.23730469,-0.038085938
input->a0.h18<k>,-0.21582031,-0.04321289
m30->a31.h28<q>,-0.21386719,0.08935547
m0->a1.h17<v>,0.1953125,0.052734375
m1->a31.h17<v>,-0.17578125,0.036621094
input->a0.h25<k>,0.16503906,0.036865234
m28->logits,-0.1640625,-0.20507812
m1->a31.h11<v>,0.15917969,-0.07080078
m30->a31.h8<k>,0.15722656,0.100097656
m30->a31.h11<v>,-0.15234375,-0.16210938
m1->a31.h8<k>,-0.15234375,-0.10205078
a0.h21->m0,0.15234375,-0.053710938
m30->a31.h23<k>,0.1484375,0.08496094
a31.h24->logits,-0.13769531,0.03149414
m20->m29,-0.12792969,0.03564453
m3->m4,-0.125,-0.083984375
m30->a31.h1<k>,-0.12207031,0.036376953
a0.h15->m1,0.11767578,0.040527344
m14->m31,-0.115722656,-0.083984375
m30->a31.h14<v>,-0.111328125,-0.063964844
m18->m19,0.110839844,0.039794922
m16->a31.h6<k>,0.107421875,0.030151367
m13->m14,0.106933594,0.03149414
m8->m14,0.10449219,0.045410156
m30->a31.h16<k>,0.103515625,-0.359375
m30->a31.h19<q>,0.099609375,0.047851562
m30->a31.h4<v>,-0.09667969,-0.25390625
m0->a1.h22<q>,0.095703125,0.045410156
