edge,score_own,score_cross
m30->logits,-4.21875,13.1875
m30->m31,3.3125,-30.25
m31->logits,3.265625,3.078125
m1->logits,2.25,-14.3125
m1->m31,-2.171875,32.0
m18->logits,-0.4140625,0.23535156
m1->m30,0.35546875,11.6875
m1->a31.h11<q>,-0.30859375,-0.98046875
m29->m30,-0.26953125,-11.4375
m30->a31.h11<q>,0.24609375,0.07128906
m18->m31,0.23046875,0.20019531
m29->m31,-0.19042969,-3.375
m30->a31.h20<q>,-0.15917969,4.5625
m1->a31.h20<q>,0.15429688,-4.4375
m1->a31.h15<v>,-0.14648438,7.8125
m1->a31.h22<q>,-0.1328125,0.5078125
m1->a31.h12<v>,-0.12792969,2.859375
m30->a31.h12<v>,0.12695312,-2.734375
m16->m31,-0.123046875,0.484375
m30->a31.h15<k>,-0.12011719,2.421875
m1->a31.h15<k>,0.11328125,-1.9921875
m30->a31.h22<q>,0.111816406,-0.26953125
m28->m30,-0.111816406,-0.36328125
m19->m31,-0.10888672,0.58984375
m1->m29,0.10888672,-6.28125
m16->logits,0.096191406,-0.2109375
m19->logits,0.09326172,-0.17871094
m30->a31.h15<v>,0.08496094,-7.84375
m1->a31.h24<v>,-0.084472656,-14.0625
input->m0,-0.084472656,1.046875
m30->a31.h24<v>,0.08203125,13.0625
m30->a31.h5<q>,-0.07763672,-1.9609375
m30->a31.h4<v>,-0.07763672,-0.16796875
input->a0.h9<k>,-0.076171875,1.4375
m1->a31.h5<q>,0.075683594,1.6796875
m28->m29,0.072265625,-0.24121094
m28->logits,-0.071777344,-0.12011719
m30->a31.h10<q>,0.07128906,0.31835938
m30->a31.h14<k>,-0.068847656,-0.19726562
m24->m31,-0.06542969,-0.09863281
m3->m4,0.064453125,-0.07763672
m1->a31.h5<k>,-0.061279297,-0.80859375
m1->a31.h12<k>,0.060546875,0.07080078
m1->a31.h14<k>,0.060546875,0.17285156
m1->a31.h12<q>,-0.05908203,0.24511719
m1->a31.h25<k>,0.05834961,-0.059326172
m29->logits,-0.056884766,-0.73828125
m21->m31,-0.055419922,-0.10546875
m30->a31.h24<k>,-0.05493164,-0.29492188
m25->m30,-0.05493164,-0.08935547
m29->a31.h11<q>,0.053222656,0.7734375
m30->a31.h5<k>,0.052246094,0.68359375
m7->m8,-0.05029297,-0.06982422
m29->a31.h15<v>,0.048095703,-0.2734375
m29->a31.h12<q>,0.04663086,-0.123046875
m11->m12,-0.045898438,-0.10205078
m1->a31.h24<q>,0.044677734,-0.30859375
m18->a30.h31<v>,-0.043945312,0.9453125
m1->a31.h25<q>,-0.043945312,-0.41796875
