edge,score_own,score_cross
m0->a1.h23<q>,0.8984375,-0.515625
m4->m7,0.7890625,-0.57421875
m6->m7,0.78515625,0.94140625
m5->m7,-0.6640625,1.3125
m5->m6,-0.59375,-0.6484375
m5->m8,0.5234375,-0.890625
m3->m8,0.421875,0.57421875
m0->a1.h25<q>,-0.41992188,0.5078125
m4->m8,-0.40039062,0.265625
m7->m8,0.34570312,-1.46875
m14->m15,0.328125,-3.421875
m6->m8,-0.32421875,-0.34179688
m9->m10,-0.28515625,-0.67578125
m2->m3,-0.27929688,-0.76171875
input->m0,-0.27929688,-1.3984375
m1->m6,0.26757812,0.40039062
m4->m9,-0.26171875,-0.4765625
m8->m9,0.25976562,-0.5390625
m7->m9,0.24121094,0.62109375
m15->logits,0.24121094,2.578125
m0->m3,0.23730469,-0.19140625
m1->m3,0.23242188,0.48828125
m2->m9,0.20605469,0.41992188
input->logits,0.19335938,2.09375
m1->m10,-0.19238281,0.35546875
m1->m9,0.19042969,0.46289062
m8->m12,-0.18261719,-0.71484375
m10->m12,0.17382812,-0.51171875
a5.h29->m5,0.16601562,-0.2578125
m4->m10,0.16503906,-0.32226562
m8->m10,0.15722656,0.46289062
input->m1,0.14550781,-0.609375
m14->logits,-0.14160156,2.125
m12->logits,-0.13769531,-0.90625
a3.h19->m7,-0.1328125,0.17871094
m13->logits,-0.13085938,-0.51171875
m6->m11,-0.12988281,0.75
a3.h31->m4,-0.12988281,0.16503906
m1->m4,-0.123535156,-0.41796875
a6.h9->m8,-0.12060547,-0.21484375
m4->m13,-0.119140625,0.20410156
m1->m7,-0.11816406,0.22460938
m0->m2,-0.115722656,-0.5390625
m6->a7.h26<q>,-0.11425781,-0.19921875
a3.h6->m5,0.11328125,0.17089844
input->m8,-0.111328125,0.2890625
m0->m4,-0.106933594,0.609375
m12->a13.h26<q>,0.106933594,0.15820312
a2.h12->m3,0.10546875,-0.15917969
a7.h15->m7,0.10546875,-0.16796875
m13->m15,0.10498047,0.55859375
a15.h14->m15,0.103515625,-0.20214844
m1->m11,0.10253906,0.16113281
m0->logits,-0.095214844,-0.52734375
m4->m15,-0.09326172,0.5
m11->m12,-0.092285156,1.7890625
a4.h12->m6,0.091308594,-0.21484375
input->a0.h9<q>,-0.09082031,-0.25195312
a6.h5->m6,0.08886719,0.19238281
m0->m5,0.087402344,-0.5703125
a5.h8->m5,-0.08496094,-0.18652344
m10->m11,-0.08496094,-0.94921875
a3.h30->m4,-0.083984375,0.23730469
a8.h29->m12,0.08300781,-0.18847656
a6.h9->m7,-0.08251953,0.1640625
a6.h31->m10,0.08251953,-0.26171875
a1.h31->m4,0.079589844,-0.16894531
a6.h15->m7,-0.07861328,-0.16601562
a3.h5->m3,-0.07763672,-0.34960938
m5->m14,0.07714844,0.5703125
a1.h11->m1,0.07373047,-0.20214844
a6.h8->m8,-0.072265625,-0.2265625
a5.h29->m9,0.068847656,0.17578125
a6.h8->m7,-0.06738281,0.20703125
m7->logits,-0.06689453,0.67578125
a15.h23->m15,0.06542969,-0.24414062
a5.h23->m6,-0.064453125,-0.16601562
input->m15,-0.064453125,1.7734375
a6.h4->m6,0.063964844,0.18164062
