edge,score_own,score_cross
m0->a1.h23<q>,0.8984375,0.15332031
m4->m7,0.7890625,-0.09814453
m0->m1,-0.6015625,-0.1953125
m5->m6,-0.59375,0.32421875
m3->m5,-0.49023438,0.100097656
m3->m8,0.421875,0.29101562
m0->a1.h25<q>,-0.41992188,-0.17773438
m3->m6,0.39453125,-0.08984375
m1->m2,-0.390625,0.18457031
m7->m8,0.34570312,-0.1796875
m6->m8,-0.32421875,-0.23632812
m2->m5,0.2890625,-0.23535156
m9->m10,-0.28515625,-0.22753906
input->m0,-0.27929688,-0.111328125
m2->m3,-0.27929688,-0.15722656
m3->m7,-0.26953125,-0.31640625
m1->m6,0.26757812,-0.080078125
m4->m9,-0.26171875,0.2734375
m8->m9,0.25976562,0.12451172
input->m4,-0.24609375,-0.07470703
m7->m9,0.24121094,0.10107422
m15->logits,0.24121094,0.26171875
a4.h4->m4,-0.24023438,0.15625
a3.h19->m6,0.24023438,0.075683594
m0->m3,0.23730469,0.09667969
m1->m3,0.23242188,-0.103515625
m2->m7,-0.21875,0.123535156
m2->m9,0.20605469,-0.08544922
input->m5,-0.19921875,0.100097656
input->logits,0.19335938,0.11816406
input->m2,0.17773438,-0.18359375
m10->m12,0.17382812,-0.17382812
m4->m10,0.16503906,-0.47265625
m4->m6,-0.16015625,-0.49414062
a10.h11->m10,-0.15332031,-0.20507812
a6.h8->m9,0.15039062,-0.07128906
input->m1,0.14550781,-0.21875
m14->logits,-0.14160156,-0.14648438
m12->logits,-0.13769531,0.23242188
m12->a13.h27<q>,-0.13574219,-0.119140625
m13->logits,-0.13085938,-0.17480469
m6->m11,-0.12988281,-0.41210938
a15.h23->logits,-0.123535156,-0.08984375
a4.h1->m4,0.12207031,-0.11376953
m9->m12,0.12011719,0.21484375
a6.h7->m8,0.118652344,-0.07421875
m1->m7,-0.11816406,-0.16601562
m0->m2,-0.115722656,-0.24023438
a6.h29->m7,-0.11230469,0.09863281
m0->m7,0.11230469,0.23144531
input->m7,0.111816406,-0.110839844
a7.h26->m10,0.107910156,0.12060547
m12->a13.h26<q>,0.106933594,0.118652344
m1->m5,0.106933594,0.079589844
m0->m4,-0.106933594,-0.15332031
m4->m5,0.10644531,0.71875
m13->m15,0.10498047,-0.25585938
a15.h14->m15,0.103515625,-0.115722656
m3->m10,0.10253906,0.15234375
a5.h12->m9,0.100097656,0.12597656
m0->m8,0.096191406,-0.13476562
a9.h5->m12,0.095703125,0.071777344
m4->m15,-0.09326172,0.11767578
m11->m12,-0.092285156,-0.09814453
a2.h7->m2,-0.091308594,-0.115234375
a4.h12->m6,0.091308594,-0.095214844
m2->m4,-0.091308594,0.30078125
input->a0.h9<q>,-0.09082031,0.095703125
a8.h15->m9,-0.08984375,-0.09375
a8.h23->m10,-0.08984375,0.08300781
a0.h23->m0,0.08935547,-0.15820312
m0->m5,0.087402344,-0.13085938
a8.h22->m10,-0.087402344,0.11328125
a4.h4->m9,-0.08691406,-0.08886719
m10->m11,-0.08496094,0.21484375
a5.h30->m7,0.08203125,-0.080566406
m3->m4,-0.08203125,0.20507812
a5.h13->m5,-0.08203125,0.17089844
a6.h6->m7,-0.08105469,-0.111328125
a8.h15->m10,0.08105469,0.11230469
a4.h24->m6,-0.079589844,0.1328125
a7.h25->m10,0.079589844,0.08984375
a6.h0->m7,-0.079589844,-0.103027344
a8.h28->m9,-0.07763672,-0.13085938
m5->m14,0.07714844,0.075683594
a5.h13->m9,0.076660156,0.14355469
a5.h14->m9,0.076171875,0.15136719
a9.h5->m9,-0.07519531,0.13769531
a2.h31->m5,-0.07421875,0.079589844
a10.h9->m10,-0.07373047,-0.25976562
a5.h15->m9,0.07373047,0.13476562
a7.h23->m8,0.07324219,0.14746094
a8.h14->m11,-0.072265625,-0.080078125
a8.h13->m10,0.07128906,0.080566406
a9.h14->m10,0.07128906,0.111816406
a8.h29->m11,-0.06933594,0.21289062
a9.h6->m12,0.068847656,0.07910156
a7.h22->m8,0.068359375,0.111816406
a7.h8->m7,-0.068359375,0.09863281
a3.h2->m3,-0.067871094,-0.1328125
m7->logits,-0.06689453,-0.19042969
a3.h28->m5,0.06689453,0.08935547
a9.h1->m11,-0.06689453,0.103515625
m2->a3.h23<q>,0.06542969,0.14746094
a6.h24->m7,-0.06542969,-0.09375
