edge,score_own,score_cross
input->logits,2.296875,1.78125
m15->logits,1.359375,3.4375
m13->logits,-0.91015625,-1.59375
m13->m15,-0.7890625,0.33203125
m12->m15,-0.69140625,-0.38085938
m0->logits,-0.6796875,-0.51171875
input->m0,-0.5,-0.75390625
m12->m13,0.5,0.80078125
m14->m15,-0.484375,-4.8125
m13->m14,0.47265625,0.55078125
input->m14,-0.46679688,-1.421875
m11->logits,-0.46484375,-0.734375
m10->m15,-0.46289062,0.68359375
input->m10,-0.43945312,-0.36328125
m11->m12,0.40429688,1.5234375
m7->m9,0.3828125,0.40820312
m5->m6,0.3828125,-0.23632812
m5->m8,0.375,-0.20410156
m11->m14,0.34960938,1.0234375
m7->m15,-0.34570312,0.12060547
m0->m3,0.33203125,0.12792969
input->m1,-0.3203125,-0.18847656
m12->logits,-0.31835938,-0.53125
input->m12,-0.3125,-0.78515625
input->m15,-0.2890625,1.6796875
m12->m14,0.28710938,1.3203125
m2->logits,-0.28125,-0.52734375
m11->m15,-0.28125,-1.890625
m9->m10,-0.27734375,-0.15136719
input->m9,-0.2734375,-0.27929688
m3->m8,-0.2578125,-0.17773438
m2->m5,0.25195312,0.1640625
m14->logits,-0.24023438,2.28125
m5->m7,0.24023438,0.640625
a15.h14->logits,-0.23828125,-0.32226562
m7->m10,0.23144531,-0.15039062
m3->logits,-0.23046875,0.15722656
m5->logits,-0.22753906,-0.515625
m10->logits,-0.21875,-0.5390625
m3->m9,0.21582031,0.16894531
a13.h20->m13,0.20019531,0.13964844
m8->m15,-0.19335938,-0.6484375
m4->m5,0.18359375,0.12890625
m8->m10,0.18164062,0.6796875
m9->m15,-0.17578125,0.93359375
m5->m11,-0.17480469,-0.27929688
m3->m10,0.17382812,-0.28320312
m7->m13,-0.16601562,-0.69140625
a9.h12->m15,0.1640625,0.123046875
m6->m14,-0.16210938,-0.26953125
m1->m14,-0.16015625,-0.76171875
a9.h14->m15,0.15625,0.15039062
m5->m9,-0.15332031,0.9765625
m14->a15.h19<q>,0.15234375,0.6015625
a9.h15->m15,0.15234375,0.13183594
m11->a12.h5<q>,-0.15234375,-0.1484375
m2->m12,0.15136719,0.25390625
m0->m10,0.15039062,0.69921875
m1->m4,0.1484375,-0.17382812
m6->m11,-0.1484375,0.18359375
m4->m8,0.14550781,0.3828125
a9.h12->m9,-0.14453125,-0.24121094
m3->m4,-0.14355469,0.20898438
m3->m7,-0.14355469,-0.17871094
m10->m11,0.13964844,-0.1875
a0.h2->m1,-0.13671875,-0.12792969
m8->m9,0.13476562,-0.3984375
m5->m12,-0.13476562,0.40039062
a6.h2->m12,0.1328125,0.19042969
a6.h2->m9,-0.13183594,-0.20019531
a9.h13->m9,-0.13085938,-0.15820312
m0->m1,-0.12890625,-0.13769531
m4->m9,-0.12451172,-0.3203125
m6->m9,0.12207031,0.19335938
m7->m11,0.12109375,0.96875
m2->m9,-0.119140625,0.27929688
a14.h4->m15,-0.11669922,-0.20410156
a14.h25->m14,-0.11669922,-0.16015625
a0.h19->m1,-0.11425781,-0.11328125
m5->m15,0.111328125,-0.52734375
m6->m7,-0.10986328,0.67578125
a9.h14->m9,-0.10986328,-0.28710938
a6.h2->m7,0.10644531,0.2890625
a9.h31->m15,-0.10644531,-0.17285156
m1->m8,-0.10449219,-0.45507812
m1->m10,0.103515625,0.21386719
m6->logits,-0.103027344,-0.49804688
m0->m12,0.10205078,0.17773438
m4->m10,-0.10107422,-0.671875
a15.h25->m15,-0.09863281,0.15234375
m11->m13,0.09667969,0.88671875
m2->m10,0.096191406,0.625
a9.h15->m9,-0.09326172,-0.24609375
a0.h16->m0,0.091796875,0.16992188
a13.h18->m13,-0.09082031,-0.18261719
m13->a14.h18<q>,0.08984375,0.25585938
a5.h22->m7,-0.08984375,0.11425781
a10.h21->m10,0.08886719,0.11230469
a14.h5->m15,-0.08886719,-0.23339844
a14.h27->m14,-0.084472656,-0.13574219
m8->m11,-0.08300781,0.61328125
m0->m5,0.08300781,-0.40429688
m2->m14,0.08105469,0.2890625
a14.h24->m14,-0.08105469,-0.20214844
m0->m11,0.080566406,0.20019531
a6.h15->m8,0.080078125,0.19042969
m3->m14,0.07763672,-0.50390625
m5->m14,-0.076660156,0.4375
a9.h12->m13,0.075683594,0.13769531
a8.h22->m8,0.07324219,0.16210938
a6.h31->m10,-0.07324219,-0.15820312
m10->m14,0.07080078,0.5390625
a5.h31->m8,-0.07080078,-0.11621094
a9.h31->m10,-0.068847656,0.16210938
a9.h14->logits,-0.068847656,0.18359375
a14.h6->logits,0.06738281,-0.19140625
a6.h29->m10,-0.06689453,-0.31054688
m14->a15.h25<q>,0.06640625,0.19726562
a11.h10->m12,-0.06542969,-0.2578125
m0->a1.h25<q>,0.064453125,0.20996094
a6.h30->m10,-0.063964844,-0.14160156
