edge,score_own,score_cross
m14->logits,-0.55859375,-0.083984375
m5->m6,0.4609375,0.10986328
m7->m9,0.41992188,-0.053222656
m6->m7,0.3984375,0.037597656
m11->m15,-0.39453125,-0.111328125
m3->m4,0.37304688,0.028442383
m5->m10,0.34179688,0.017944336
a10.h12->m11,0.31445312,0.016357422
m10->m11,0.30078125,0.08886719
m2->m10,-0.30078125,-0.029418945
m1->m3,0.265625,0.12597656
m1->m9,0.25585938,0.025024414
m4->m7,-0.25,0.11230469
m7->m10,0.24511719,0.028320312
m5->m7,0.23144531,-0.030639648
m3->m7,0.22753906,-0.06738281
m5->m8,-0.20898438,-0.025634766
m12->m15,-0.20703125,-0.076660156
m8->m15,0.19335938,0.0703125
m0->m10,-0.19335938,0.025024414
a6.h2->m8,-0.18652344,0.017700195
m0->m2,-0.18164062,-0.10107422
m13->logits,-0.17578125,-0.27539062
m13->m15,0.17382812,0.036865234
m6->m13,-0.17285156,0.06982422
m11->logits,0.16601562,-0.060546875
m2->m9,-0.16210938,-0.016357422
m1->m2,-0.16015625,0.017700195
a9.h12->m10,0.15527344,0.028808594
input->m1,-0.15429688,-0.025268555
m10->m13,0.15332031,-0.056152344
a15.h24->m15,-0.15332031,0.02746582
a10.h13->m10,-0.14453125,-0.030639648
m8->m10,0.14160156,-0.07324219
m7->logits,-0.13671875,-0.025878906
m6->m11,-0.13671875,-0.029418945
m4->m8,0.13671875,0.057861328
m10->m14,0.13574219,0.018310547
m2->m11,0.12890625,0.05102539
m10->m12,-0.12792969,0.029052734
m3->m8,-0.125,0.03149414
m11->m14,0.123046875,0.022216797
a10.h13->m11,0.12060547,0.023803711
m10->m15,-0.12011719,-0.03491211
m3->m11,0.11621094,-0.021362305
m1->m7,0.115722656,-0.08984375
input->a0.h9<q>,0.115722656,-0.044677734
m3->m6,-0.11425781,-0.13671875
m0->m7,0.109375,0.05444336
a6.h0->m8,-0.107910156,0.016235352
m0->m4,0.107421875,-0.061767578
m9->m15,0.10449219,-0.030761719
a6.h1->m8,-0.103027344,0.0234375
a7.h21->m11,0.103027344,0.016601562
m5->logits,-0.10107422,-0.022827148
m5->m15,-0.10107422,0.021362305
m6->m12,0.099609375,-0.032714844
m7->m12,-0.095703125,0.04663086
m1->m4,-0.092285156,-0.051513672
a9.h26->m9,-0.091308594,0.029174805
m1->m6,0.09082031,0.033447266
m2->m8,0.08691406,0.05102539
a5.h17->m10,0.08544922,-0.020019531
a4.h14->m4,0.083984375,0.016479492
a14.h24->logits,-0.083984375,-0.020996094
input->m15,0.08300781,-0.04272461
m13->m14,-0.08105469,0.072265625
m1->m8,-0.07861328,0.03112793
a14.h25->logits,-0.07861328,-0.034179688
m7->m11,0.07861328,-0.0390625
m9->m10,-0.078125,0.106933594
m9->m13,-0.076660156,0.021240234
a15.h13->logits,-0.076171875,0.018432617
a10.h17->m10,-0.075683594,0.034179688
a6.h3->m8,-0.075683594,0.024902344
m0->m9,0.072265625,0.060058594
a4.h24->m8,-0.072265625,0.035888672
m0->m6,-0.07080078,0.01940918
a6.h31->m12,-0.07080078,-0.020141602
a6.h0->m6,0.07080078,-0.024658203
a7.h17->m8,0.06738281,0.016601562
a5.h19->m10,0.06640625,-0.016723633
m9->m14,-0.06591797,-0.038330078
m10->logits,-0.06542969,-0.122558594
a15.h14->m15,-0.06542969,0.034179688
a0.h6->m0,0.064941406,0.06738281
a0.h2->m2,0.063964844,0.018432617
m1->a2.h5<q>,-0.063964844,-0.017089844
a0.h2->m0,0.06347656,-0.03540039
m7->m13,0.06347656,-0.025024414
a10.h9->m10,-0.06298828,-0.017822266
m4->m13,0.0625,-0.057128906
m0->m12,-0.061035156,0.030029297
a7.h25->m10,0.060302734,0.018066406
m3->m15,0.059570312,-0.030029297
m3->m9,-0.059326172,0.095214844
m2->m3,-0.05834961,0.119140625
a15.h14->logits,0.057128906,0.05444336
a6.h30->m6,-0.056640625,-0.022827148
m0->a1.h25<q>,0.056640625,0.021972656
a4.h4->m9,-0.056640625,-0.022705078
m4->m6,0.055664062,0.026855469
a15.h12->logits,-0.055419922,0.02355957
m4->m10,-0.05444336,-0.016601562
