edge,score_own,score_cross
m15->logits,1.6484375,1.578125
m14->logits,-0.55859375,-0.13183594
m5->m6,0.4609375,0.24414062
m7->m9,0.41992188,0.42578125
m4->m5,0.40820312,-0.14746094
m6->m7,0.3984375,-0.20898438
m11->m15,-0.39453125,-0.62890625
m7->m8,-0.39257812,0.13964844
m3->m4,0.37304688,-0.15429688
m11->m12,-0.35742188,0.087890625
m5->m10,0.34179688,0.08496094
m9->m11,-0.31640625,-0.39257812
m2->m10,-0.30078125,0.16601562
m9->m12,0.2890625,-0.18847656
m12->m13,0.28320312,0.59375
m1->m9,0.25585938,0.087890625
m5->m7,0.23144531,0.080078125
m3->m7,0.22753906,-0.10498047
m5->m8,-0.20898438,0.080566406
m12->m15,-0.20703125,-0.40429688
m0->m10,-0.19335938,0.25
m0->m2,-0.18164062,0.21972656
m4->m12,-0.17578125,0.13183594
m13->logits,-0.17578125,-0.5703125
m13->m15,0.17382812,-0.953125
m6->m13,-0.17285156,-0.080566406
m11->logits,0.16601562,-0.122558594
m2->m9,-0.16210938,-0.21972656
m1->m2,-0.16015625,-0.78125
a9.h12->m10,0.15527344,-0.072265625
input->m1,-0.15429688,-0.28515625
m10->m13,0.15332031,-0.18164062
m5->m12,0.14453125,-0.23339844
m9->logits,0.14355469,0.12060547
m8->m10,0.14160156,0.083984375
m10->m14,0.13574219,-0.13964844
a8.h29->m11,0.1328125,0.08300781
a7.h21->m9,-0.12988281,-0.095703125
m3->m8,-0.125,-0.14160156
m11->m14,0.123046875,0.14746094
m10->m15,-0.12011719,-0.2578125
m4->logits,0.118652344,-0.2734375
m6->m15,0.11767578,-0.17480469
input->m7,-0.11621094,-0.06982422
input->a0.h9<q>,0.115722656,-0.328125
m1->m7,0.115722656,0.22460938
m1->m14,0.111816406,-0.16992188
a10.h3->m11,0.111328125,0.06738281
m0->m4,0.107421875,0.08203125
m9->m15,0.10449219,-0.16015625
a15.h2->m15,0.103515625,-0.07324219
a15.h1->m15,0.10205078,-0.07324219
m5->logits,-0.10107422,-0.07714844
m6->m12,0.099609375,0.20507812
a9.h31->m11,-0.099609375,-0.123535156
a6.h2->m12,-0.09863281,0.12060547
m2->m12,0.09863281,0.07519531
a9.h31->m9,0.09326172,0.16894531
m1->m4,-0.092285156,0.3984375
a9.h26->m9,-0.091308594,0.09375
a6.h0->m12,-0.091308594,0.061523438
m1->m6,0.09082031,-0.12597656
m1->a2.h6<q>,0.08935547,-0.119140625
m1->a2.h7<q>,0.08935547,0.107910156
m0->m5,-0.08886719,-0.15429688
a6.h2->m9,0.08886719,-0.13183594
a9.h25->m9,-0.08642578,0.08496094
a2.h26->m7,0.08544922,0.07861328
input->m15,0.08300781,-0.20214844
a7.h21->m7,-0.08251953,0.091796875
a6.h5->m6,0.08105469,0.06298828
a6.h15->m8,-0.08105469,0.078125
m13->m14,-0.08105469,0.328125
m1->m11,-0.080078125,0.12890625
input->m9,0.079589844,-0.265625
a2.h12->m2,0.07910156,-0.110839844
m1->m8,-0.07861328,-0.18652344
m9->m10,-0.078125,0.072265625
m8->m13,0.078125,-0.18261719
m9->m13,-0.076660156,-0.10107422
a1.h31->m1,-0.075683594,-0.21484375
m0->a2.h6<q>,0.07373047,-0.115234375
m2->m15,-0.072753906,-0.21875
m0->a2.h7<q>,0.072265625,0.119140625
m0->m9,0.072265625,0.15917969
a6.h0->m9,0.07128906,-0.13964844
a14.h25->m15,-0.07080078,-0.11425781
a6.h1->m9,0.06933594,-0.13671875
a0.h3->m0,0.06933594,-0.09814453
a1.h11->m2,0.068847656,-0.087890625
a5.h14->m8,0.06738281,0.06542969
m1->a2.h16<q>,0.06640625,0.08935547
a10.h3->m10,-0.06542969,-0.100097656
a7.h21->m10,-0.06542969,0.06591797
a6.h1->m12,-0.064453125,0.11376953
a0.h16->m1,0.064453125,0.063964844
a0.h2->m2,0.063964844,0.084472656
a0.h2->m0,0.06347656,-0.39257812
m1->m5,-0.06347656,0.07421875
a6.h2->logits,0.06298828,0.064453125
m0->a1.h28<q>,0.0625,0.08496094
a7.h31->m7,-0.061767578,-0.0625
m6->m8,-0.061523438,0.17578125
input->a0.h28<q>,0.061279297,0.08105469
m3->m15,0.059570312,-0.09375
a9.h12->m15,0.059570312,0.115722656
m3->m9,-0.059326172,0.092285156
m6->m9,0.059326172,0.1328125
a9.h28->m9,0.05908203,0.15332031
m2->m3,-0.05834961,-0.09667969
a9.h31->m13,-0.05810547,0.14746094
m0->a1.h17<q>,0.057128906,0.12890625
a15.h14->logits,0.057128906,-0.13769531
m0->a1.h25<q>,0.056640625,-0.15039062
a11.h8->m13,-0.056152344,-0.080566406
a9.h14->m15,0.055908203,0.11425781
m4->m6,0.055664062,0.07910156
a6.h3->m6,0.055419922,0.07910156
m4->m10,-0.05444336,-0.07861328
