edge,score_own,score_cross
m15->logits,1.6484375,0.36523438
m14->logits,-0.55859375,-0.375
m5->m6,0.4609375,0.07128906
m7->m9,0.41992188,-0.13671875
m4->m5,0.40820312,-0.31640625
m6->m7,0.3984375,0.107421875
m11->m15,-0.39453125,-0.18261719
m3->m4,0.37304688,-0.11376953
m11->m12,-0.35742188,0.13476562
m9->m11,-0.31640625,0.06542969
a10.h12->m11,0.31445312,-0.03955078
m2->m10,-0.30078125,-0.049804688
m9->m12,0.2890625,0.06738281
m12->m13,0.28320312,0.08935547
m1->m3,0.265625,0.07128906
m4->m7,-0.25,0.08251953
m8->logits,-0.24902344,-0.04321289
m5->m8,-0.20898438,-0.12890625
m12->m15,-0.20703125,-0.12890625
m8->m15,0.19335938,0.07128906
m0->m2,-0.18164062,0.25195312
m4->m12,-0.17578125,-0.08886719
m13->logits,-0.17578125,-0.07421875
m13->m15,0.17382812,0.091308594
m11->logits,0.16601562,-0.12109375
m6->m10,-0.16015625,0.083984375
m1->m2,-0.16015625,-0.033447266
input->m1,-0.15429688,-0.24121094
a15.h24->m15,-0.15332031,-0.037109375
m10->m13,0.15332031,0.06542969
m8->m12,0.14746094,0.057128906
a6.h6->m7,-0.14648438,0.04663086
m5->m12,0.14453125,-0.12451172
a10.h13->m10,-0.14453125,0.045654297
a1.h26->m1,0.14160156,0.09863281
m1->m15,-0.14160156,-0.033691406
m8->m10,0.14160156,-0.18847656
m7->logits,-0.13671875,-0.043701172
m4->m8,0.13671875,0.08886719
m6->m11,-0.13671875,-0.06542969
m10->m14,0.13574219,0.061279297
m2->m11,0.12890625,0.055664062
m11->m14,0.123046875,0.10888672
m10->m15,-0.12011719,-0.26757812
m6->m15,0.11767578,0.13964844
a7.h8->m8,0.115722656,0.045654297
m1->m7,0.115722656,0.096191406
input->a0.h9<q>,0.115722656,-0.056152344
m3->m6,-0.11425781,-0.079589844
m0->m13,0.11328125,-0.06542969
a10.h3->m11,0.111328125,0.033447266
m0->m7,0.109375,-0.07519531
m0->m4,0.107421875,-0.12890625
m0->a1.h23<q>,0.10449219,0.13769531
m9->m15,0.10449219,-0.087890625
m5->m15,-0.10107422,0.04272461
m5->logits,-0.10107422,-0.076660156
a8.h26->m10,-0.10058594,0.045898438
m4->m9,-0.100097656,-0.07373047
a6.h2->m12,-0.09863281,0.048339844
a6.h22->m10,-0.09814453,0.036132812
a6.h6->m6,0.09814453,-0.059570312
m7->m12,-0.095703125,0.036621094
a9.h12->m12,-0.095214844,0.041992188
a8.h29->m9,-0.091796875,-0.034423828
a9.h26->m9,-0.091308594,-0.03930664
m1->m6,0.09082031,-0.095703125
m1->a2.h7<q>,0.08935547,0.052734375
m0->m15,0.08886719,0.06640625
m0->m5,-0.08886719,0.052490234
a7.h4->m9,0.087890625,0.059326172
a7.h11->m8,0.087402344,0.0390625
input->m15,0.08300781,-0.06542969
a7.h21->m7,-0.08251953,0.05102539
a4.h31->m4,-0.08105469,-0.047851562
m13->m14,-0.08105469,0.048339844
a8.h16->m11,0.080566406,-0.0390625
m1->m11,-0.080078125,-0.10498047
a12.h5->logits,-0.080078125,0.051757812
input->m9,0.079589844,0.041992188
m1->m8,-0.07861328,0.11621094
a9.h19->m9,-0.07763672,-0.06347656
m9->m13,-0.076660156,-0.13769531
a9.h14->m12,-0.076660156,0.039794922
a10.h17->m10,-0.075683594,0.044921875
m2->m15,-0.072753906,-0.059326172
m0->m9,0.072265625,0.06347656
m0->a2.h7<q>,0.072265625,0.048095703
m0->m6,-0.07080078,0.07080078
a6.h0->m6,0.07080078,0.05883789
a4.h12->m9,0.07080078,0.036132812
a7.h14->m9,-0.0703125,-0.03491211
a5.h17->m9,-0.06982422,-0.052734375
a4.h13->m4,0.06982422,0.045410156
a0.h3->m0,0.06933594,0.12792969
m4->a5.h19<q>,-0.068847656,0.036621094
a8.h22->m10,-0.068359375,0.06738281
m9->m14,-0.06591797,-0.05126953
m10->logits,-0.06542969,-0.040283203
a10.h3->m10,-0.06542969,0.06347656
a6.h19->m6,0.06542969,0.041992188
m1->a2.h5<q>,-0.063964844,0.033447266
a9.h20->m9,-0.06347656,0.03930664
a0.h2->m0,0.06347656,0.25390625
m1->m5,-0.06347656,0.140625
m7->m13,0.06347656,0.15234375
a13.h28->logits,-0.06225586,-0.035888672
input->a0.h28<q>,0.061279297,-0.056152344
m1->logits,-0.060302734,0.036132812
a7.h25->m10,0.060302734,0.03881836
a5.h29->m10,0.060058594,0.034423828
m6->m9,0.059326172,0.04248047
a9.h28->m9,0.05908203,0.041503906
m2->m3,-0.05834961,-0.2734375
a6.h8->m10,0.057861328,0.034423828
a13.h30->logits,-0.057617188,-0.036376953
a15.h14->logits,0.057128906,0.045410156
a3.h30->m9,-0.056884766,0.04345703
a15.h3->m15,0.056884766,-0.04248047
a6.h8->m8,-0.056884766,0.057861328
m0->a1.h25<q>,0.056640625,-0.055419922
a6.h4->m10,-0.056152344,-0.035888672
m4->m6,0.055664062,-0.044433594
a6.h30->m10,-0.055419922,0.087890625
a9.h0->m9,-0.055419922,-0.05102539
m6->a7.h15<q>,-0.05493164,0.05493164
a8.h23->m10,-0.0546875,0.04663086
a4.h7->m6,-0.0546875,-0.03540039
m4->m10,-0.05444336,-0.035888672
