edge,score_own,score_cross
m15->logits,1.6484375,2.265625
m14->logits,-0.55859375,1.3125
m5->m6,0.4609375,-0.25
m7->m9,0.41992188,0.7109375
m6->m7,0.3984375,0.87109375
m11->m15,-0.39453125,-1.546875
m7->m8,-0.39257812,-0.55859375
m3->m4,0.37304688,0.16113281
m11->m12,-0.35742188,0.796875
m5->m10,0.34179688,0.31054688
a10.h12->m10,-0.32421875,-0.13769531
m9->m11,-0.31640625,0.3515625
m2->m10,-0.30078125,0.31445312
m10->m11,0.30078125,-0.34570312
m9->m12,0.2890625,-0.1484375
m12->m13,0.28320312,1.0234375
m1->m9,0.25585938,0.23535156
m8->logits,-0.24902344,-0.5234375
m7->m10,0.24511719,-0.2109375
m5->m7,0.23144531,0.62109375
m5->m8,-0.20898438,0.2421875
m0->m10,-0.19335938,0.3515625
a6.h2->m8,-0.18652344,-0.29296875
m0->m2,-0.18164062,0.22167969
m13->logits,-0.17578125,-0.22753906
m4->m12,-0.17578125,-0.109375
m13->m15,0.17382812,0.44921875
m6->m13,-0.17285156,-0.25390625
m11->logits,0.16601562,-0.68359375
m2->m9,-0.16210938,0.12011719
m1->m2,-0.16015625,0.16210938
a9.h12->m10,0.15527344,0.16503906
input->m1,-0.15429688,0.103515625
m10->m13,0.15332031,0.5234375
a10.h12->m15,0.15234375,-0.26171875
m8->m12,0.14746094,-0.14453125
m5->m12,0.14453125,0.12011719
m9->logits,0.14355469,-0.1484375
m8->m10,0.14160156,0.984375
m1->m15,-0.14160156,-0.19921875
m4->m8,0.13671875,0.20898438
m6->m11,-0.13671875,0.23632812
m10->m14,0.13574219,0.39257812
a8.h29->m11,0.1328125,0.11376953
m2->m11,0.12890625,0.21972656
m10->m12,-0.12792969,-0.8359375
m11->m14,0.123046875,1.4375
a8.h9->m8,0.12109375,-0.14648438
m10->m15,-0.12011719,0.453125
m4->logits,0.118652344,-0.35742188
m1->m7,0.115722656,0.26953125
a7.h8->m8,0.115722656,0.12890625
m3->m6,-0.11425781,-0.12792969
m0->m13,0.11328125,-0.10888672
m1->m14,0.111816406,-0.55859375
a10.h3->m11,0.111328125,0.28710938
a6.h0->m8,-0.107910156,-0.18261719
m0->m4,0.107421875,0.122558594
m9->m15,0.10449219,0.8515625
a9.h13->m10,0.103515625,0.12597656
a6.h1->m8,-0.103027344,-0.10498047
m5->m15,-0.10107422,-0.44335938
m5->logits,-0.10107422,-0.359375
m4->m9,-0.100097656,-0.33789062
a9.h31->m11,-0.099609375,-0.14257812
a6.h7->m8,-0.09863281,-0.16796875
a6.h5->m8,-0.09863281,-0.17578125
a6.h2->m12,-0.09863281,0.13085938
a1.h31->m6,0.096191406,0.107910156
a6.h4->m8,-0.095703125,-0.12109375
a10.h3->m13,0.095703125,0.14648438
a6.h6->m8,-0.095214844,-0.16503906
a9.h12->m12,-0.095214844,-0.12597656
a7.h8->m7,0.09375,0.12060547
m5->m14,0.09375,0.51171875
a6.h6->m10,-0.092285156,0.12109375
a8.h29->m9,-0.091796875,0.19238281
m1->a2.h7<q>,0.08935547,-0.28125
m0->m15,0.08886719,-0.55078125
m0->m5,-0.08886719,-0.33984375
a6.h24->m9,0.08886719,-0.118652344
a7.h11->m8,0.087402344,0.123046875
a10.h15->m15,0.084472656,-0.13183594
a5.h27->m11,-0.08300781,-0.17382812
input->m15,0.08300781,0.98046875
a6.h15->m8,-0.08105469,0.107910156
m13->m14,-0.08105469,-0.15820312
a13.h11->m14,0.080566406,0.35742188
m1->m11,-0.080078125,0.14355469
a14.h6->m15,-0.080078125,-0.15527344
m7->m11,0.07861328,0.7734375
a14.h25->logits,-0.07861328,-0.107910156
a1.h27->m1,0.07861328,-0.10986328
m1->m8,-0.07861328,-0.59375
m9->m10,-0.078125,-0.17089844
m8->m13,0.078125,0.32421875
a9.h14->m12,-0.076660156,-0.109375
m2->m15,-0.072753906,-0.7109375
a4.h24->m8,-0.072265625,-0.14550781
m0->a2.h7<q>,0.072265625,-0.21972656
m0->m6,-0.07080078,0.14160156
a14.h25->m15,-0.07080078,-0.18261719
a4.h2->m6,0.06738281,0.10888672
a7.h8->m13,0.06640625,0.15429688
a13.h10->m14,0.06640625,0.29101562
m9->m14,-0.06591797,-1.1484375
m10->logits,-0.06542969,-0.49804688
a15.h14->m15,-0.06542969,0.12207031
a10.h3->m10,-0.06542969,0.21972656
m7->m13,0.06347656,-0.18457031
a6.h2->logits,0.06298828,0.13476562
a14.h5->m15,-0.0625,-0.15136719
a7.h31->m7,-0.061767578,-0.12207031
m6->m8,-0.061523438,0.33007812
m0->m12,-0.061035156,0.36523438
m1->logits,-0.060302734,0.21972656
m3->m15,0.059570312,-0.19921875
a9.h12->m15,0.059570312,0.13476562
a5.h25->m11,-0.059570312,-0.13574219
m6->m9,0.059326172,0.3125
m3->m9,-0.059326172,0.24707031
m2->m3,-0.05834961,-0.41796875
a8.h29->m8,0.05810547,-0.16015625
a9.h31->m13,-0.05810547,0.15332031
a14.h19->m15,0.057861328,0.27148438
a10.h3->m14,0.057861328,-0.16015625
a4.h13->m6,-0.057617188,-0.10644531
a3.h30->m9,-0.056884766,-0.15625
a7.h21->m15,-0.056640625,0.25585938
a14.h4->m15,-0.056640625,-0.123046875
a11.h8->m13,-0.056152344,-0.10888672
a9.h14->m15,0.055908203,0.19628906
a14.h16->m15,0.055908203,0.123046875
a10.h3->m12,-0.055664062,0.21484375
m4->m6,0.055664062,0.19628906
m6->a7.h15<q>,-0.05493164,-0.15332031
m4->m10,-0.05444336,-0.1640625
