edge,score_own,score_cross
m14->m15,-3.8125,0.040283203
m14->logits,2.3125,-0.20507812
m15->logits,2.3125,0.75390625
m12->m14,2.296875,0.15039062
input->m14,-2.078125,-0.123535156
input->logits,1.96875,0.65625
m11->m15,-1.59375,-0.16210938
input->m15,1.5703125,-0.26757812
m11->m14,1.5,0.23632812
m11->m12,1.421875,0.14941406
m7->m8,-1.0703125,0.072753906
m5->m7,1.046875,0.05810547
m0->m15,-1.015625,0.08203125
m5->m9,1.0078125,0.14746094
input->m0,-0.98828125,0.091308594
m13->logits,-0.984375,-0.24707031
m12->m13,0.88671875,0.13574219
m12->logits,-0.8515625,-0.08105469
m10->m15,0.84375,-0.22460938
m9->m15,0.7890625,-0.14550781
m11->logits,-0.73828125,-0.2109375
m2->m8,-0.71875,-0.038330078
m1->m8,-0.69921875,0.103515625
m6->m7,0.68359375,0.068359375
m13->m14,0.67578125,0.05126953
m4->m7,-0.640625,0.037841797
m6->logits,-0.61328125,-0.08105469
m12->m15,-0.6015625,-0.25195312
m4->m15,0.59765625,0.042236328
m7->m11,0.578125,0.08251953
m5->m15,-0.5625,-0.045898438
m2->logits,-0.55078125,-0.11669922
m4->m10,-0.54296875,-0.04272461
m8->m15,-0.5390625,0.12597656
m7->m10,-0.51171875,0.060546875
m6->m9,0.50390625,0.14648438
m8->m9,-0.4921875,0.13867188
m4->m8,0.48828125,0.14355469
input->m12,-0.48046875,-0.056884766
m0->logits,-0.47460938,-0.1640625
m9->m11,-0.43164062,0.12890625
m2->m3,-0.42578125,0.19238281
m8->m10,0.41796875,-0.05908203
m2->m10,0.41210938,0.09423828
m1->m7,0.37304688,0.111816406
m10->logits,-0.36914062,-0.14257812
input->m10,-0.3671875,-0.056884766
a15.h14->logits,-0.35742188,0.052246094
a6.h29->m10,-0.34960938,0.064941406
m4->m9,-0.34960938,-0.068847656
m2->m14,0.34570312,0.07421875
m1->m9,0.34570312,-0.061279297
m7->m9,0.34179688,-0.12792969
m8->m13,0.33984375,-0.03564453
m2->m13,-0.33789062,0.07080078
m6->m8,-0.33007812,-0.13964844
m5->m6,-0.31445312,-0.19628906
m5->m12,0.28320312,-0.12451172
m3->m5,0.27929688,0.049316406
m2->m5,0.26757812,-0.084472656
m6->m10,0.2578125,0.043701172
a11.h8->m12,-0.25195312,0.04248047
m0->a1.h25<q>,0.2421875,0.055908203
m3->m9,0.23242188,0.08984375
m5->m8,-0.23242188,-0.063964844
a9.h31->m10,0.22753906,-0.052490234
m1->m4,-0.22460938,0.07861328
m3->m13,0.22460938,-0.051513672
m4->m6,0.21582031,0.14355469
m6->m12,-0.21484375,-0.07519531
a9.h12->logits,0.21386719,-0.059570312
m2->m12,0.21386719,0.060058594
m0->m12,0.20996094,0.07324219
a14.h6->m15,-0.20996094,0.039794922
m0->m6,0.20996094,-0.09375
m6->m13,-0.20507812,0.040283203
a9.h28->m9,0.20019531,0.044921875
a9.h15->logits,0.20019531,-0.057128906
m7->m12,0.19628906,0.056152344
m0->m9,-0.19042969,0.15332031
a9.h14->logits,0.1875,-0.04663086
a6.h31->m10,-0.18457031,0.08544922
m9->m13,0.18359375,-0.07470703
a9.h26->m9,0.18359375,-0.059326172
m4->m11,0.18164062,0.09667969
a14.h6->logits,-0.17773438,-0.041015625
a9.h14->m15,0.17285156,0.03881836
a4.h25->m10,0.17089844,-0.056152344
a8.h29->m9,0.17089844,-0.072265625
m10->m12,-0.16894531,0.10058594
a6.h30->m10,-0.1640625,0.061767578
a9.h13->logits,0.1640625,-0.037597656
a7.h8->m9,0.15527344,-0.03540039
a6.h31->m6,-0.15527344,-0.09667969
a6.h9->m8,-0.15136719,0.06542969
a8.h10->m8,-0.15136719,0.04321289
m0->m14,0.15136719,0.056640625
a6.h31->m15,0.1484375,0.035888672
input->m7,0.14453125,-0.13183594
a8.h11->m8,-0.14355469,0.05126953
m3->m4,0.13964844,0.05883789
m2->m4,0.13867188,0.15722656
m0->a1.h11<q>,0.13378906,0.03491211
a6.h20->m7,-0.1328125,-0.04272461
a6.h15->m7,-0.13183594,-0.041015625
a9.h15->m9,-0.13183594,0.041992188
a6.h30->m6,-0.13085938,-0.041259766
m9->m12,0.12890625,0.12695312
a6.h22->m6,0.12792969,0.04248047
m6->m14,-0.12597656,-0.037841797
m1->a2.h24<q>,0.12451172,-0.036621094
m6->a7.h23<q>,-0.123046875,0.07080078
