edge,score_own,score_cross
m14->m15,-3.8125,0.30078125
m15->logits,2.3125,1.4609375
m14->logits,2.3125,-0.390625
input->logits,1.96875,-0.119140625
m11->m15,-1.59375,-0.30664062
input->m15,1.5703125,0.13085938
m9->m14,-1.546875,-0.07324219
m11->m14,1.5,0.20410156
m11->m12,1.421875,-0.37304688
m7->m8,-1.0703125,-0.2734375
m5->m9,1.0078125,0.24609375
input->m0,-0.98828125,0.21386719
m13->logits,-0.984375,-0.43945312
m1->m14,-0.91015625,0.13476562
m12->m13,0.88671875,0.390625
m12->logits,-0.8515625,0.24023438
m7->m13,-0.73828125,-0.107421875
m11->logits,-0.73828125,-0.14453125
m1->m8,-0.69921875,-0.2421875
m6->m7,0.68359375,0.14941406
m13->m14,0.67578125,0.08642578
m0->m10,0.6484375,-0.20996094
m12->m15,-0.6015625,-0.15136719
m4->m15,0.59765625,0.15234375
m7->m11,0.578125,0.41015625
m5->m15,-0.5625,-0.103027344
m7->logits,0.546875,-0.13671875
m4->m10,-0.54296875,-0.1640625
m8->m15,-0.5390625,0.1640625
m0->m5,-0.52734375,-0.14160156
m6->m11,0.5234375,-0.118652344
m7->m10,-0.51171875,0.17871094
m6->m9,0.50390625,0.16210938
m5->m14,0.50390625,0.084472656
m8->m9,-0.4921875,0.5234375
m4->m8,0.48828125,0.08496094
m0->logits,-0.47460938,0.08691406
m8->m11,0.45703125,-0.10058594
m5->logits,-0.44335938,-0.083984375
m9->m11,-0.43164062,-0.12695312
m2->m3,-0.42578125,0.24902344
m2->m10,0.41210938,-0.38085938
m1->m7,0.37304688,-0.10644531
a15.h14->logits,-0.35742188,0.10888672
a6.h29->m10,-0.34960938,-0.063964844
m4->m9,-0.34960938,0.075683594
m1->m9,0.34570312,0.13183594
m8->m13,0.33984375,0.12890625
m2->m13,-0.33789062,0.095703125
m6->m8,-0.33007812,-0.2265625
m5->m6,-0.31445312,0.14746094
a10.h12->m15,-0.31054688,0.10498047
m5->m12,0.28320312,0.12695312
m0->m7,-0.27929688,-0.19628906
m3->m5,0.27929688,-0.25195312
m2->m5,0.26757812,0.31835938
a6.h2->m8,-0.265625,-0.31445312
a10.h12->m12,0.25585938,-0.07861328
a7.h31->m7,-0.25585938,-0.08300781
m2->m11,0.25195312,0.16796875
m0->a1.h25<q>,0.2421875,-0.20703125
a6.h0->m8,-0.23242188,-0.20214844
m5->m8,-0.23242188,-0.28515625
m3->m9,0.23242188,-0.16210938
m1->m4,-0.22460938,-0.22753906
m10->m14,0.21972656,0.09814453
m4->m6,0.21582031,-0.3046875
m6->m12,-0.21484375,0.17089844
m2->m12,0.21386719,0.13964844
m0->m12,0.20996094,-0.08203125
a14.h6->m15,-0.20996094,-0.061767578
m0->m6,0.20996094,0.09765625
m6->m13,-0.20507812,-0.12109375
a8.h9->m8,-0.20410156,0.087402344
m1->m2,0.20214844,0.43554688
a9.h28->m9,0.20019531,0.07421875
input->m8,0.19726562,0.078125
m7->m12,0.19628906,-0.16992188
m0->m9,-0.19042969,-0.12695312
m5->m10,-0.18457031,0.15039062
a6.h31->m10,-0.18457031,-0.08300781
a5.h27->m11,-0.18261719,-0.10449219
m4->m11,0.18164062,-0.1484375
a6.h2->m10,0.17773438,0.10546875
a14.h6->logits,-0.17773438,-0.095214844
m1->m12,0.17382812,0.06689453
a9.h14->m15,0.17285156,0.07324219
m10->m12,-0.16894531,-0.19238281
a7.h21->m13,-0.16601562,0.072753906
a8.h29->m10,-0.16601562,-0.061279297
m1->m15,-0.16503906,-0.12890625
a6.h30->m10,-0.1640625,-0.068359375
a1.h10->m1,-0.16015625,-0.10498047
a7.h21->m8,-0.15722656,0.06689453
a8.h22->m8,0.15722656,-0.099609375
m1->m6,0.15429688,0.15234375
a8.h29->m13,0.15234375,0.078125
a14.h5->logits,-0.15136719,-0.09375
a8.h10->m8,-0.15136719,0.068847656
m0->m14,0.15136719,0.0625
m2->m9,0.15039062,-0.25390625
a0.h9->m1,-0.15039062,-0.15917969
a10.h3->m13,0.14941406,0.10449219
a14.h4->logits,-0.14941406,-0.061279297
a8.h8->m8,-0.14355469,0.06347656
a8.h11->m8,-0.14355469,0.06738281
m3->m4,0.13964844,0.484375
m2->m4,0.13867188,-0.2109375
a0.h19->m0,0.13769531,-0.115234375
m0->m2,-0.13769531,-0.80859375
a6.h6->m10,0.13574219,-0.095703125
a6.h6->m11,0.13476562,-0.083984375
a7.h11->m9,0.13378906,0.06347656
m0->a1.h11<q>,0.13378906,0.08300781
a11.h8->m11,0.1328125,-0.09375
a1.h11->m1,-0.1328125,-0.19921875
a8.h23->m8,0.1328125,-0.067871094
a7.h8->m13,0.12890625,0.07519531
m9->m12,0.12890625,0.14355469
a12.h5->m12,0.12792969,-0.07128906
a6.h22->m6,0.12792969,0.07519531
a10.h5->m10,0.12451172,0.08935547
m1->a2.h24<q>,0.12451172,-0.08251953
a5.h25->m11,-0.12207031,-0.064941406
a13.h10->m14,0.12109375,0.06347656
a8.h29->m8,-0.12060547,0.13671875
