edge,score_own,score_cross
m14->m15,-3.8125,-0.11328125
m15->logits,2.3125,-0.08642578
m12->m14,2.296875,0.100097656
input->logits,1.96875,0.10205078
m11->m15,-1.59375,-0.296875
m9->m14,-1.546875,-0.1484375
m11->m12,1.421875,-0.17871094
m7->m8,-1.0703125,0.119140625
m5->m7,1.046875,-0.16503906
m0->m15,-1.015625,0.045654297
m5->m9,1.0078125,0.20214844
input->m0,-0.98828125,-0.34960938
m13->logits,-0.984375,-0.2109375
m1->m14,-0.91015625,0.049804688
m12->m13,0.88671875,0.27929688
m12->logits,-0.8515625,0.123046875
m10->m15,0.84375,-0.07519531
m9->m15,0.7890625,-0.11767578
m7->m13,-0.73828125,-0.052734375
m13->m15,0.703125,-0.107421875
m1->m8,-0.69921875,-0.061523438
m6->m7,0.68359375,0.4140625
m0->m10,0.6484375,-0.044677734
m4->m7,-0.640625,0.08544922
m12->m15,-0.6015625,-0.30664062
m4->m15,0.59765625,0.08886719
m7->m11,0.578125,0.29492188
m2->logits,-0.55078125,-0.04711914
m7->logits,0.546875,-0.1796875
m4->m10,-0.54296875,-0.2421875
m0->m5,-0.52734375,-0.06347656
m6->m11,0.5234375,-0.20898438
m7->m10,-0.51171875,0.07421875
m6->m9,0.50390625,-0.19140625
m8->m9,-0.4921875,-0.08105469
m4->m8,0.48828125,0.061523438
m8->m11,0.45703125,-0.44921875
m2->m3,-0.42578125,-0.16992188
m8->m10,0.41796875,0.107910156
m5->m11,-0.4140625,-0.044677734
m2->m10,0.41210938,-0.16503906
m10->logits,-0.36914062,0.12207031
a15.h14->logits,-0.35742188,-0.15527344
m4->m9,-0.34960938,0.051757812
m1->m9,0.34570312,0.06640625
m7->m9,0.34179688,0.25585938
m2->m15,-0.34179688,0.091796875
m8->m13,0.33984375,0.20996094
a8.h9->m10,-0.33789062,-0.051757812
m6->m8,-0.33007812,-0.080566406
m5->m6,-0.31445312,0.16796875
a10.h12->m15,-0.31054688,0.07080078
m5->m12,0.28320312,0.14648438
m0->m7,-0.27929688,0.08300781
a15.h24->logits,-0.265625,-0.07763672
a6.h2->m8,-0.265625,-0.05102539
m7->m15,0.25976562,-0.1328125
m6->m10,0.2578125,0.21386719
a10.h12->m12,0.25585938,-0.071777344
m3->m9,0.23242188,-0.22460938
m3->m13,0.22460938,0.084472656
a15.h25->logits,-0.22265625,-0.072753906
a8.h9->logits,-0.21972656,0.044677734
m4->m6,0.21582031,-0.2578125
m6->m12,-0.21484375,-0.14160156
m2->m12,0.21386719,0.043701172
m0->m12,0.20996094,-0.080566406
a4.h13->m6,-0.20898438,-0.048339844
m6->m13,-0.20507812,0.09082031
a3.h28->m7,0.20410156,-0.049072266
m1->m2,0.20214844,0.11425781
a9.h28->m9,0.20019531,0.05126953
a3.h5->m9,-0.19726562,0.045898438
a10.h12->m10,-0.19628906,0.118652344
m9->m13,0.18359375,-0.079589844
m4->m11,0.18164062,-0.09863281
a6.h2->m10,0.17773438,0.14160156
a15.h14->m15,-0.17578125,-0.07470703
a6.h15->m8,0.17382812,-0.091308594
m1->m12,0.17382812,-0.04345703
a8.h29->m9,0.17089844,-0.18457031
m3->logits,0.16992188,-0.047607422
m10->m12,-0.16894531,-0.10107422
m10->m13,0.16796875,-0.1484375
a8.h29->m10,-0.16601562,-0.10253906
a8.h10->m11,0.16503906,-0.083984375
a8.h22->m8,0.15722656,0.057128906
a7.h21->m8,-0.15722656,0.09765625
a4.h9->m6,-0.15039062,0.06738281
m2->m9,0.15039062,-0.15234375
input->m7,0.14453125,-0.05053711
m3->m4,0.13964844,0.091796875
m0->m2,-0.13769531,-0.14355469
a6.h6->m11,0.13476562,-0.072753906
a7.h31->m15,-0.13476562,0.056640625
m0->a1.h11<q>,0.13378906,0.053955078
a8.h23->m8,0.1328125,0.051513672
a6.h15->m7,-0.13183594,0.053955078
a2.h12->m10,0.13085938,0.046142578
m9->m12,0.12890625,0.10986328
a4.h12->m6,-0.12597656,-0.061767578
a4.h14->m10,0.123535156,0.049316406
a8.h10->logits,-0.122558594,0.044677734
a6.h29->logits,-0.12109375,0.07080078
a8.h29->m8,-0.12060547,-0.09375
